"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.00424647     , 0.001           
1               , -0.000805571    , 0.001           
2               , 0.00257486      , 0.001           
3               , 0.00283129      , 0.001           
4               , 0.00227311      , 0.001           
5               , 0.00361093      , 0.001           
6               , 0.00723718      , 0.001           
7               , 0.00169048      , 0.001           
8               , -0.0348708      , 0.001           
9               , -0.0052009      , 0.001           
10              , -0.00101349     , 0.001           
11              , 0.00323529      , 0.001           
12              , 0.0035671       , 0.001           
13              , 0.00289237      , 0.001           
14              , 0.00458274      , 0.001           
15              , 0.00912626      , 0.001           
16              , 0.00218315      , 0.001           
17              , -0.0438069      , 0.001           
18              , -0.00525784     , 0.001           
19              , -0.00100279     , 0.001           
20              , 0.00327107      , 0.001           
21              , 0.00362303      , 0.001           
22              , 0.00300401      , 0.001           
23              , 0.00475909      , 0.001           
24              , 0.0093695       , 0.001           
25              , 0.00231041      , 0.001           
26              , -0.0444054      , 0.001           
27              , -0.00511394     , 0.001           
28              , -0.000944295    , 0.001           
29              , 0.00319529      , 0.001           
30              , 0.00356268      , 0.001           
31              , 0.00305123      , 0.001           
32              , 0.00484165      , 0.001           
33              , 0.00938623      , 0.001           
34              , 0.00239962      , 0.001           
35              , -0.0437311      , 0.001           
36              , -0.00492924     , 0.001           
37              , -0.000858474    , 0.001           
38              , 0.00309861      , 0.001           
39              , 0.00347249      , 0.001           
40              , 0.00308736      , 0.001           
41              , 0.00491036      , 0.001           
42              , 0.00935847      , 0.001           
43              , 0.00250619      , 0.001           
44              , -0.0427116      , 0.001           
45              , -0.00473713     , 0.001           
46              , -0.000737967    , 0.001           
47              , 0.00298122      , 0.001           
48              , 0.00334774      , 0.001           
49              , 0.00309818      , 0.001           
50              , 0.00494953      , 0.001           
51              , 0.00928619      , 0.001           
52              , 0.00263888      , 0.001           
53              , -0.0413668      , 0.001           
54              , -0.00451126     , 0.001           
55              , -0.000586093    , 0.001           
56              , 0.0028244       , 0.001           
57              , 0.00316907      , 0.001           
58              , 0.00305882      , 0.001           
59              , 0.0049273       , 0.001           
60              , 0.00914042      , 0.001           
61              , 0.00279893      , 0.001           
62              , -0.039606       , 0.001           
63              , -0.00422458     , 0.001           
64              , -0.000428048    , 0.001           
65              , 0.0026005       , 0.001           
66              , 0.00291116      , 0.001           
67              , 0.00293542      , 0.001           
68              , 0.00479225      , 0.001           
69              , 0.00885242      , 0.001           
70              , 0.00297195      , 0.001           
71              , -0.0372112      , 0.001           
72              , -0.00384683     , 0.001           
73              , -0.000309299    , 0.001           
74              , 0.00227907      , 0.001           
75              , 0.00255008      , 0.001           
76              , 0.00268578      , 0.001           
77              , 0.0044626       , 0.001           
78              , 0.00827293      , 0.001           
79              , 0.00310171      , 0.001           
80              , -0.0336272      , 0.001           
81              , -0.00330305     , 0.001           
82              , -0.000247547    , 0.001           
83              , 0.0018526       , 0.001           
84              , 0.00208111      , 0.001           
85              , 0.00226699      , 0.001           
86              , 0.00379809      , 0.001           
87              , 0.00705183      , 0.001           
88              , 0.00300839      , 0.001           
89              , -0.0273042      , 0.001           
90              , -0.00214181     , 0.001           
91              , -2.78982e-05    , 0.001           
92              , 0.00134868      , 0.001           
93              , 0.00147292      , 0.001           
94              , 0.00154139      , 0.001           
95              , 0.00240872      , 0.001           
96              , 0.00431799      , 0.001           
97              , 0.0021047       , 0.001           
98              , -0.0152725      , 0.001           
99              , -0.00130014     , 0.001           
100             , 0.00973562      , 0.001           
101             , 0.0181395       , 0.001           
102             , 0.0131517       , 0.001           
103             , 0.00350192      , 0.001           
104             , 0.000657666     , 0.001           
105             , 0.00553478      , 0.001           
106             , 0.0025878       , 0.001           
107             , -0.0331082      , 0.001           
108             , -0.00146196     , 0.001           
109             , 0.0118976       , 0.001           
110             , 0.0222392       , 0.001           
111             , 0.0160648       , 0.001           
112             , 0.00428236      , 0.001           
113             , 0.000968381     , 0.001           
114             , 0.00711412      , 0.001           
115             , 0.00339219      , 0.001           
116             , -0.0415259      , 0.001           
117             , -0.00123406     , 0.001           
118             , 0.0118446       , 0.001           
119             , 0.0218656       , 0.001           
120             , 0.0157325       , 0.001           
121             , 0.00431001      , 0.001           
122             , 0.00131391      , 0.001           
123             , 0.00755531      , 0.001           
124             , 0.00365299      , 0.001           
125             , -0.0420439      , 0.001           
126             , -0.000875037    , 0.001           
127             , 0.0113545       , 0.001           
128             , 0.0205302       , 0.001           
129             , 0.0147197       , 0.001           
130             , 0.00425818      , 0.001           
131             , 0.00179786      , 0.001           
132             , 0.00791724      , 0.001           
133             , 0.00385227      , 0.001           
134             , -0.0413802      , 0.001           
135             , -0.000521903    , 0.001           
136             , 0.0106651       , 0.001           
137             , 0.018812        , 0.001           
138             , 0.0134595       , 0.001           
139             , 0.00421746      , 0.001           
140             , 0.00238108      , 0.001           
141             , 0.00830393      , 0.001           
142             , 0.00407016      , 0.001           
143             , -0.0403951      , 0.001           
144             , -0.000172151    , 0.001           
145             , 0.00983313      , 0.001           
146             , 0.0168028       , 0.001           
147             , 0.0120185       , 0.001           
148             , 0.0041689       , 0.001           
149             , 0.00299977      , 0.001           
150             , 0.00868214      , 0.001           
151             , 0.00431754      , 0.001           
152             , -0.0390962      , 0.001           
153             , 0.000249537     , 0.001           
154             , 0.00889819      , 0.001           
155             , 0.0145202       , 0.001           
156             , 0.0104002       , 0.001           
157             , 0.00407661      , 0.001           
158             , 0.00358841      , 0.001           
159             , 0.00899608      , 0.001           
160             , 0.00459302      , 0.001           
161             , -0.0373857      , 0.001           
162             , 0.000761286     , 0.001           
163             , 0.00786178      , 0.001           
164             , 0.0120053       , 0.001           
165             , 0.00863442      , 0.001           
166             , 0.00390837      , 0.001           
167             , 0.00406135      , 0.001           
168             , 0.00914254      , 0.001           
169             , 0.00486411      , 0.001           
170             , -0.0350497      , 0.001           
171             , 0.00129311      , 0.001           
172             , 0.00666174      , 0.001           
173             , 0.00935744      , 0.001           
174             , 0.00681141      , 0.001           
175             , 0.00363196      , 0.001           
176             , 0.00428959      , 0.001           
177             , 0.00892368      , 0.001           
178             , 0.00502885      , 0.001           
179             , -0.0315662      , 0.001           
180             , 0.00169864      , 0.001           
181             , 0.00519943      , 0.001           
182             , 0.00668117      , 0.001           
183             , 0.0050014       , 0.001           
184             , 0.0031607       , 0.001           
185             , 0.00404866      , 0.001           
186             , 0.00791265      , 0.001           
187             , 0.00480967      , 0.001           
188             , -0.0254861      , 0.001           
189             , 0.00156326      , 0.001           
190             , 0.00325952      , 0.001           
191             , 0.00383139      , 0.001           
192             , 0.00296656      , 0.001           
193             , 0.00211379      , 0.001           
194             , 0.00273025      , 0.001           
195             , 0.00501645      , 0.001           
196             , 0.00333275      , 0.001           
197             , -0.0141093      , 0.001           
