"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
0, 1.000080000000000e+00, 7.697936770445155e-20, 1.257210000000000e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.086749048081357e+01, -4.699015689963674e+01, -6.689237938693373e+00, -9.445246648777227e+01, 3.168380377197385e+01, -1.772865436084333e+00, 7.238048406083672e+01
1, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.247287595566533e-05, 6.716163976127486e-06, -7.195889974422306e-07, 6.716163976127486e-06, -8.994862468027881e-07, -9.894348714830682e-07, 6.329085906381468e-06
2, 1.200032000000000e+00, 1.600000000000000e+00, 5.028840000000000e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.095766721712719e+03, 7.719798858909276e+02, 1.480213825986920e+02, 1.205378695733534e+03, 7.802208310631879e+02, -3.189008678246992e+02, 1.532775759668950e+03
3, 8.000000000000000e-01, 1.600000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.059952052319934e+03, 2.802216402943030e+03, 9.189533118084497e+02, 4.098925066672171e+03, -1.579687197820146e+03, 1.218058998473089e+03, 4.012866715588904e+03
4, 1.100016000000000e+00, 1.620000000000000e+00, 2.514420000000000e-04, 2.447317227131423e-10, 2.267932735447693e-09, 1.759268329028573e-09, 1.855816594498990e+03, 5.053398047830535e+03, 8.563201419173402e+02, -1.699297548220647e+03, 1.343236610579012e+03, -1.524412557690619e+03, 6.986797409127159e+03
5, 9.000000000000000e-01, 1.620000000000000e+00, 0.000000000000000e+00, -1.449564414526511e-09, 9.924929298744391e-09, 3.270980283186452e-09, 1.311996001413945e+04, 3.017427633152418e+04, 2.523403338890773e+02, 1.467032878663506e+04, 1.267305776924786e+01, 4.654295298185673e+03, 1.822064136766459e+04
6, 9.807414746802866e-01, 3.206523386851996e-19, 5.236823044145473e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.325479150234438e+02, 7.432004443466583e+02, -7.417256030119813e+01, 6.915097721314498e+02, 8.835678124583191e+01, -2.481255608693128e+02, 5.106681830809378e+02
7, 9.613817344196114e-01, 5.579204785797668e-19, 9.111833804198770e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.306837597982204e+02, -6.513716073570167e+02, -9.200339479410002e+01, -2.045653960342797e+02, 1.424237170033046e+02, 1.574121456629167e+02, 5.909579363250888e+02
8, 9.420018996814820e-01, 7.889569505800320e-19, 1.288507034309355e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.685250152236505e+02, -4.265820461243281e+02, -9.252123255502886e+01, -6.854929738714184e+02, -2.928714888044965e+01, 2.657318531704080e+02, 6.107647551133920e+02
9, 9.226029285055426e-01, 1.013891913439322e-18, 1.655865838478871e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.208857269945130e+02, -3.741654907549578e+02, -4.692268065303743e+01, -5.310889594742558e+02, 1.500142195786121e+02, 1.067286916288621e+02, 3.796256136772995e+02
