"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000080000000000e+00, 7.697936770445155e-20, 1.257210000000000e-03, 1.277645888143412e+00, 2.197417882210010e+02, -3.532368570232450e+00, -2.862399663946659e+01, 2.848941656140868e+05, 1.062687964644670e+05, 2.889341348284993e+02, 5.083342313424229e-01, 1.239148636619890e-01
1, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.471183201099099e+00, 7.881230887409086e+01, 1.484504415167848e+01, 1.183214340605649e+00, 3.223702415073888e+05, 1.280735412984496e+05, 3.024100730888156e+02, 1.561654346877459e-01, 6.704446414769275e-01
2, 1.200032000000000e+00, 1.600000000000000e+00, 5.028840000000000e-04, 1.218409001100553e+00, 2.346475726359828e+02, 9.866101669232478e+00, 4.461898194026323e+01, 2.731537220023404e+05, 9.988078383177187e+04, 2.847688198116687e+02, 5.791589232430246e-01, -3.619887082137874e-02
3, 8.000000000000000e-01, 1.600000000000000e+00, 0.000000000000000e+00, 1.339648478576720e+00, 2.493252497873326e+02, 1.336741512750816e+02, 2.053544560230714e+01, 3.015515786608424e+05, 1.086094860462209e+05, 2.816310248506946e+02, 6.284624259731305e-01, 1.825835876846607e-01
4, 1.100016000244732e+00, 1.620000002267933e+00, 2.514437592683290e-04, 1.252284306451867e+00, 2.871007730568921e+02, -6.455279402760787e+00, 7.067117805165971e+01, 2.838397170015171e+05, 9.956734315941828e+04, 2.761961196486812e+02, 7.078448709409891e-01, -4.405517284755963e-02
5, 8.999999985504356e-01, 1.620000009924929e+00, 3.270980283186452e-09, 1.162555077612649e+00, 2.916933337944028e+02, 1.709536132038100e+01, 6.031123286933223e+01, 2.651784416399098e+05, 9.075774569203895e+04, 2.711900523245300e+02, 7.762796883447483e-01, -2.648652480465213e-01
11, 9.521556971657341e-01, 6.687099015355998e-19, 1.092122214535876e-02, 1.330226742050877e+00, 2.868436735973642e+02, 1.163351272407249e+00, -5.265657175731442e+01, 3.000349733341617e+05, 1.072261903322529e+05, 2.800133864542474e+02, 6.526321241069741e-01, 1.479116708627286e-01
12, 9.041106668360877e-01, 1.222527925342692e-18, 1.996605556596701e-02, 1.275243805471031e+00, 3.021133167226739e+02, 6.656391767891811e-01, -5.325922135852724e+01, 2.894143792004047e+05, 1.010063082744918e+05, 2.751432530972685e+02, 7.224066335897644e-01, -7.987918192099279e-03
13, 8.559577563153723e-01, 1.740036499214615e-18, 2.841789108448474e-02, 1.228678931717439e+00, 3.035081115542100e+02, -6.750896371772239e-01, -5.094063233173814e+01, 2.796999762921444e+05, 9.646301296435921e+04, 2.727256612907654e+02, 7.555099581136167e-01, -1.218643334081400e-01
14, 8.077072363409834e-01, 2.222261224524003e-18, 3.629347859559334e-02, 1.199568382577224e+00, 3.090157276039247e+02, -4.446799356193627e-01, -4.815312090879637e+01, 2.739762787631046e+05, 9.328303923093175e+04, 2.701352562427018e+02, 7.901562235205608e-01, -2.015694779177359e-01
15, 7.593673328406867e-01, 2.669669100250919e-18, 4.360044502330160e-02, 1.171447815895375e+00, 3.118213271536385e+02, -3.705113311683985e-01, -4.481512478458366e+01, 2.682982813863063e+05, 9.037599311521690e+04, 2.679993420856858e+02, 8.182644670049188e-01, -2.744337686863809e-01
16, 7.109446250167466e-01, 3.082139565523140e-18, 5.033682139412104e-02, 1.149416203351857e+00, 3.178985550658052e+02, -1.232182846033603e-01, -4.154944023519135e+01, 2.641650690140040e+05, 8.778114618844523e+04, 2.652940589295520e+02, 8.530282089629683e-01, -3.394728748602858e-01
17, 6.624444547037057e-01, 3.458938746810160e-18, 5.649062224793684e-02, 1.121956572360110e+00, 3.192185051669375e+02, -4.276309427918207e-01, -3.786760037404327e+01, 2.585482743856462e+05, 8.499888340033029e+04, 2.631726573980682e+02, 8.797600020427752e-01, -4.092095067259061e-01
18, 6.138712757325563e-01, 3.798638250335261e-18, 6.203851937365065e-02, 1.100374308892918e+00, 3.236176886237974e+02, -2.236165153253305e-01, -3.383955037120820e+01, 2.544065610918569e+05, 8.251943187794893e+04, 2.605069891094928e+02, 9.126020342567818e-01, -4.713562596435596e-01
19, 5.652291907400276e-01, 4.099079718768674e-18, 6.694526295693586e-02, 1.071688231560183e+00, 3.223479923211322e+02, -4.298232872211571e-01, -2.989512364145181e+01, 2.483524465297600e+05, 7.978265404833427e+04, 2.586089851446445e+02, 9.356912516574079e-01, -5.399528238563661e-01
20, 5.165225601799147e-01, 4.357311467962138e-18, 7.116264674540704e-02, 1.046838484799671e+00, 3.247653215138272e+02, -4.529474700102041e-01, -2.528185795073184e+01, 2.434238288073794e+05, 7.709670183592751e+04, 2.558348544018514e+02, 9.690814277938020e-01, -6.072754583125332e-01
21, 4.677566567902542e-01, 4.569418114524510e-18, 7.462672556388321e-02, 1.021963086965669e+00, 3.242188439731383e+02, -8.012773657177487e-01, -1.967892370431579e+01, 2.382506231318115e+05, 7.465258355589113e+04, 2.537541917034366e+02, 9.938802102687664e-01, -6.685365934788524e-01
22, 4.189388245283532e-01, 4.730491926872612e-18, 7.725734742608963e-02, 1.003084830087688e+00, 3.206371172193194e+02, -1.227916634374216e+00, -1.386993634680572e+01, 2.340428290535012e+05, 7.308007617749815e+04, 2.530841347270837e+02, 1.001822027368803e+00, -7.079510472901195e-01
23, 3.700777327093934e-01, 4.829884333877423e-18, 7.888060222457367e-02, 1.001556093407232e+00, 3.203312165715126e+02, -1.119389046362001e+00, -4.498987817004692e+00, 2.336783765575838e+05, 7.297652603777300e+04, 2.531112800204435e+02, 1.001501247003910e+00, -7.105465023292672e-01
24, 3.211909157694453e-01, 4.845831591047155e-18, 7.914104929999437e-02, 1.014831226472396e+00, 3.210334210188921e+02, -7.673963945900325e-01, 5.577118189189028e+00, 2.364544199349682e+05, 7.426427125801089e+04, 2.542082810214157e+02, 9.884759826366042e-01, -6.782695316764390e-01
25, 2.723208070269189e-01, 4.767125906288916e-18, 7.785564547185687e-02, 1.035293198681446e+00, 3.178221589857328e+02, -1.281731926008216e+00, 1.642252853660197e+01, 2.403922146259445e+05, 7.659097598994181e+04, 2.569909530610171e+02, 9.551733716347185e-01, -6.199513339692423e-01
26, 2.235299676808763e-01, 4.580224666678150e-18, 7.480321578247320e-02, 1.067230948002668e+00, 3.097737521186741e+02, -1.867965101083582e+00, 2.799866024004678e+01, 2.463515580293677e+05, 8.041011604240355e+04, 2.617314254584185e+02, 8.973680779928408e-01, -5.242256659915535e-01
27, 1.749151391263075e-01, 4.266055355097290e-18, 6.967227210248590e-02, 1.102872024606143e+00, 3.021339584662141e+02, -2.104183416749258e+00, 4.205998643557874e+01, 2.532498439765246e+05, 8.442428985831574e+04, 2.659168685437879e+02, 8.449237187419687e-01, -4.236115317549582e-01
28, 1.266415744778467e-01, 3.795278971782500e-18, 6.198365637963994e-02, 1.133133277882350e+00, 2.963297805159535e+02, -2.637637475405362e+00, 6.207658876975227e+01, 2.593712840029202e+05, 8.756828121108346e+04, 2.684537182348337e+02, 8.123439475316829e-01, -3.448082754654237e-01
29, 7.905220340216965e-02, 3.113673188001710e-18, 5.085182153894543e-02, 1.162702784993723e+00, 2.731978250593464e+02, -9.897940952173801e+00, 8.100035257182510e+01, 2.642694139303882e+05, 9.172378290379881e+04, 2.740418162664408e+02, 7.378964890749308e-01, -2.406517978674922e-01
30, 3.310886676610476e-02, 2.098925832446795e-18, 3.427919226280991e-02, 1.309139508332944e+00, 2.009267640534601e+02, 6.835075193576716e-01, 1.213144315089445e+02, 2.923179287851925e+05, 1.085110748892012e+05, 2.879331895828579e+02, 5.263071960429975e-01, 1.801169397972402e-01
31, 3.851067676126027e-02, -1.676071233304948e-18, -2.737322451534583e-02, 1.309888293481789e+00, 2.160971776714742e+02, -8.375051494676060e-01, -9.914645915261931e+01, 2.926371325911679e+05, 1.084237793401451e+05, 2.875370897580082e+02, 5.332012096657187e-01, 1.779289014875463e-01
32, 8.607761412762366e-02, -2.208525480489109e-18, -3.606914946334572e-02, 1.149759089781704e+00, 2.814429787976559e+02, -7.420342215858983e+00, -3.881547027166450e+01, 2.614900330585930e+05, 9.054579118242786e+04, 2.735678192186947e+02, 7.444378465814541e-01, -2.701778280343454e-01
33, 1.342798108754266e-01, -2.463853261398445e-18, -4.023910628436628e-02, 1.159200285317521e+00, 2.920737448952532e+02, -1.300345852576647e+00, -1.940141064741723e+01, 2.640809866246678e+05, 9.084889620238128e+04, 2.722480438277493e+02, 7.623418589110386e-01, -2.625805862197307e-01
34, 1.826348277140867e-01, -2.573037852007176e-18, -4.202228485873725e-02, 1.168521664115516e+00, 2.984185467751766e+02, -3.016484707826784e-01, -7.198431965537988e+00, 2.664582034675057e+05, 9.133229542579340e+04, 2.715133551527175e+02, 7.722497183732463e-01, -2.504643210591496e-01
35, 2.310232072466490e-01, -2.593519798353864e-18, -4.235679147439799e-02, 1.172526518516696e+00, 3.018817896133446e+02, -7.849349697226761e-01, 5.700217299181282e-01, 2.675446219025832e+05, 9.147303088124264e+04, 2.710029308743883e+02, 7.790534745109003e-01, -2.469368265719185e-01
36, 2.794095573936907e-01, -2.556180111131319e-18, -4.174696796489233e-02, 1.190182562651932e+00, 3.071357995715650e+02, -4.797091655328932e-01, 5.943156902328821e+00, 2.716285395626848e+05, 9.279368885534821e+04, 2.708372832526790e+02, 7.812359726759082e-01, -2.138349070285833e-01
37, 3.277845322958995e-01, -2.481180186116007e-18, -4.052208578489687e-02, 1.197551881326508e+00, 3.063893812187284e+02, -5.745230348378180e-01, 9.356401395909646e+00, 2.731202492264576e+05, 9.355569809820880e+04, 2.713810375910975e+02, 7.739814808281399e-01, -1.947353603306337e-01
38, 3.761483513284116e-01, -2.382593901576156e-18, -3.891199640013853e-02, 1.211505905267985e+00, 3.087175511188688e+02, -1.661852748470606e-01, 1.114861134707915e+01, 2.762132923842330e+05, 9.473123022470840e+04, 2.716259349089629e+02, 7.706745396651444e-01, -1.652709792153421e-01
39, 4.245033054705603e-01, -2.268865896150341e-18, -3.705461578030368e-02, 1.217717641101446e+00, 3.089664738357670e+02, -6.544191657681978e-02, 1.283092981436367e+01, 2.775335036569866e+05, 9.530780342110756e+04, 2.718851294756712e+02, 7.671565426491871e-01, -1.508193347076303e-01
40, 4.728432995381376e-01, -2.133419067055868e-18, -3.484252813807152e-02, 1.221693971347732e+00, 3.069924661317237e+02, -1.058237254367783e-01, 1.498464673863238e+01, 2.782284852193462e+05, 9.582615855187591e+04, 2.724741083473410e+02, 7.592017742441016e-01, -1.378269095907565e-01
41, 5.211686256358833e-01, -1.979541491410040e-18, -3.232943362136372e-02, 1.230652073428184e+00, 3.058399544322106e+02, -3.343821382615524e-03, 1.669155959791012e+01, 2.800285448797090e+05, 9.676475515811011e+04, 2.731401266986276e+02, 7.501528799236474e-01, -1.143012504478175e-01
42, 5.694820032062724e-01, -1.812154788641533e-18, -2.959571102967470e-02, 1.240075221216879e+00, 3.050749141751228e+02, 4.612507812532429e-02, 1.786006755436005e+01, 2.819542603097852e+05, 9.771976500898118e+04, 2.737398194571090e+02, 7.419424524033037e-01, -9.036419795848048e-02
