"EVALUATION"    , "WING_VOLUME"   , "WING_MIN_THICKNESS", "WING_MAX_THICKNESS", "WING_MIN_CHORD", "WING_MAX_CHORD", "WING_MIN_LE_RADIUS", "WING_MAX_LE_RADIUS", "WING_MIN_TOC"  , "WING_MAX_TOC"  , "WING_OBJFUN_MIN_TOC", "WING_MAX_TWIST", "WING_MAX_CURVATURE", "WING_MAX_DIHEDRAL", "STATION1_AREA" , "STATION2_AREA" , "STATION3_AREA" , "STATION4_AREA" , "STATION5_AREA" , "STATION1_THICKNESS", "STATION2_THICKNESS", "STATION3_THICKNESS", "STATION4_THICKNESS", "STATION5_THICKNESS", "STATION1_CHORD", "STATION2_CHORD", "STATION3_CHORD", "STATION4_CHORD", "STATION5_CHORD", "STATION1_LE_RADIUS", "STATION2_LE_RADIUS", "STATION3_LE_RADIUS", "STATION4_LE_RADIUS", "STATION5_LE_RADIUS", "STATION1_TOC"  , "STATION2_TOC"  , "STATION3_TOC"  , "STATION4_TOC"  , "STATION5_TOC"  , "STATION1_TWIST", "STATION2_TWIST", "STATION3_TWIST", "STATION4_TWIST", "STATION5_TWIST", "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "rms[RhoW]"     , "RMS_ENERGY"    , "avg[bgs]"      , "rms[U][1]"     , "rms[R][1]"     , "rms[E][1]"     , "rms[DispX][1]" , "rms[DispY][1]" , "rms[DispZ][1]" , "avg[bgs][1]"   
1               , 0.0603122       , 0.0659492         , 0.119945          , 0.525654        , 0.99841         , 18.7945           , 34.3433           , 0.120136        , 0.127805        , 0.0501363          , 0.846863        , 8.67836           , 13.2853          , 0.0816403       , 0.0643125       , 0.048905        , 0.0356261       , 0.0243525       , 0.119945          , 0.106384          , 0.0929553         , 0.0794925         , 0.0659492         , 0.99841         , 0.874463        , 0.751777        , 0.629415        , 0.525654        , 18.8983           , 26.1583           , 24.3655           , 26.3011           , 33.3874           , 0.120136        , 0.121656        , 0.123648        , 0.126296        , 0.125461        , -0.0914872      , -0.246455       , 0.136123        , 0.263145        , 0.207346        , 0.006885010433  , 44.28823733     , -0.001344346364 , 0.01534732471   , 0.304999733     , 0.3049249761    , 0.2112098933    , -0.1292347459   , 0.01175346057   , 0.01534732471   , 0.0             , 39.0            , 0.0             , -4.407204658    , -2.020511017    , -2.139080834    , -2.031772048    , 1.060035127     , -2.889890944    , -13.90077879    , -5.519776213    , -20.16995446    , 0.0             , 0.0             , 0.0             , -8.889202868    
2               , 0.0603115       , 0.06595           , 0.119944          , 0.525653        , 0.998136        , 18.7964           , 34.3446           , 0.120168        , 0.127806        , 0.0501675          , 0.862688        , 8.67006           , 13.2636          , 0.0816382       , 0.0643113       , 0.0489046       , 0.0356262       , 0.0243527       , 0.119944          , 0.106385          , 0.0929548         , 0.0794925         , 0.06595           , 0.998136        , 0.874464        , 0.751776        , 0.629415        , 0.525653        , 18.8998           , 26.1596           , 24.3668           , 26.3029           , 33.3884           , 0.120168        , 0.121657        , 0.123647        , 0.126296        , 0.125463        , -0.103501       , -0.259304       , 0.12077         , 0.246396        , 0.187631        , 0.006856414093  , 44.33867262     , -0.001589804204 , 0.01542744989   , 0.3040774527    , 0.3040042998    , 0.2105371913    , -0.1280916483   , 0.01193162645   , 0.01542744989   , 0.0             , 39.0            , 0.0             , -4.411516899    , -2.024382817    , -2.143452631    , -2.036280525    , 1.055785354     , -2.895728624    , -14.0442422     , -5.529358612    , -20.19487689    , 0.0             , 0.0             , 0.0             , -8.879736303    
3               , 0.0603078       , 0.065954          , 0.119935          , 0.525651        , 0.996802        , 18.8058           , 34.3514           , 0.12032         , 0.127812        , 0.0503201          , 0.943795        , 8.6291            , 13.1567          , 0.0816275       , 0.0643054       , 0.0489026       , 0.0356266       , 0.0243539       , 0.119935          , 0.106388          , 0.0929521         , 0.0794926         , 0.065954          , 0.996802        , 0.874469        , 0.751775        , 0.629411        , 0.525651        , 18.9075           , 26.1658           , 24.3733           , 26.3114           , 33.3935           , 0.12032         , 0.121661        , 0.123644        , 0.126297        , 0.125471        , -0.16223        , -0.323249       , 0.0443542       , 0.163031        , 0.0896345       , 0.006742660149  , 44.41157007     , -0.002750564952 , 0.0158146411    , 0.2995153956    , 0.2994521237    , 0.2072147742    , -0.122460955    , 0.01277432965   , 0.0158146411    , 0.0             , 39.0            , 0.0             , -4.433949424    , -2.044629264    , -2.16645034     , -2.059399403    , 1.033712774     , -2.92382706     , -13.7241459     , -5.540169907    , -20.18444461    , 0.0             , 0.0             , 0.0             , -8.826871445    
4               , 0.0602908       , 0.0659749         , 0.119901          , 0.525662        , 0.990938        , 18.848            , 34.3837           , 0.120314        , 0.127837        , 0.0503139          , 1.3267          , 8.43748           , 12.6581          , 0.0815728       , 0.0642781       , 0.0488934       , 0.0356285       , 0.0243595       , 0.119901          , 0.106408          , 0.0929432         , 0.0794962         , 0.0659749         , 0.990938        , 0.874507        , 0.751786        , 0.629414        , 0.525662        , 18.9419           , 26.194            , 24.4028           , 26.3504           , 33.417            , 0.120998        , 0.121678        , 0.12363         , 0.126302        , 0.125508        , -0.419161       , -0.623703       , -0.314891       , -0.229137       , -0.370868       , 0.006847565049  , 40.58587409     , -0.007035945732 , 0.01743643131   , 0.2779097075    , 0.2779144129    , 0.1915133544    , -0.09616717491  , 0.01588136781   , 0.01743643131   , 0.0             , 39.0            , 0.0             , -4.549001339    , -2.150645147    , -2.293371713    , -2.188720452    , 0.9196133211    , -3.073472162    , -14.16175876    , -5.537525278    , -20.18909771    , 0.0             , 0.0             , 0.0             , -8.646397092    
5               , 0.0603061       , 0.0659559         , 0.119932          , 0.525651        , 0.996189        , 18.8102           , 34.3547           , 0.120325        , 0.127815        , 0.0503252          , 0.982089        , 8.61002           , 13.107           , 0.0816224       , 0.0643027       , 0.0489017       , 0.0356268       , 0.0243544       , 0.119932          , 0.10639           , 0.0929509         , 0.0794928         , 0.0659559         , 0.996189        , 0.874471        , 0.751774        , 0.62941         , 0.525651        , 18.9111           , 26.1688           , 24.3763           , 26.3154           , 33.3959           , 0.12039         , 0.121662        , 0.123642        , 0.126297        , 0.125475        , -0.189268       , -0.353296       , 0.00842938      , 0.123814        , 0.0435838       , 0.006705155462  , 44.34296762     , -0.003263404815 , 0.01599068561   , 0.2973841823    , 0.2973264915    , 0.2056655749    , -0.1198414669   , 0.01314671264   , 0.01599068561   , 0.0             , 39.0            , 0.0             , -4.444705003    , -2.054718533    , -2.178223578    , -2.071212413    , 1.023115246     , -2.936829443    , -13.72756045    , -5.529482222    , -20.18184311    , 0.0             , 0.0             , 0.0             , -8.802801044    
6               , 0.0602583       , 0.0660242         , 0.119872          , 0.52578         , 0.98105         , 18.921            , 34.4467           , 0.120294        , 0.127878        , 0.0502945          , 2.10218         , 8.06366           , 12.085           , 0.0814496       , 0.0642258       , 0.0488764       , 0.0356327       , 0.0243708       , 0.119872          , 0.106461          , 0.0929438         , 0.0795149         , 0.0660242         , 0.98105         , 0.87465         , 0.751893        , 0.629504        , 0.52578         , 18.9998           , 26.2433           , 24.4565           , 26.4225           , 33.4619           , 0.122187        , 0.121719        , 0.123613        , 0.126314        , 0.125574        , -0.846409       , -1.2118         , -1.01753        , -0.996471       , -1.27034        , 0.01001442831   , 23.47365123     , -0.0100087173   , 0.01967279384   , 0.2350754406    , 0.2350751974    , 0.1603199932    , -0.0456977577   , 0.0180253386    , 0.01967279384   , 0.0             , 39.0            , 0.0             , -4.786939914    , -2.398436906    , -2.561885768    , -2.490145662    , 0.6723517451    , -3.272511382    , -13.70798934    , -5.510774107    , -20.17518039    , 0.0             , 0.0             , 0.0             , -8.605951048    
7               , 0.0603014       , 0.0659617         , 0.119921          , 0.525651        , 0.994485        , 18.8223           , 34.3642           , 0.120321        , 0.127822        , 0.0503211          , 1.09157         , 8.556             , 12.9662          , 0.0816074       , 0.064295        , 0.0488992       , 0.0356274       , 0.0243561       , 0.119921          , 0.106395          , 0.0929479         , 0.0794936         , 0.0659617         , 0.994485        , 0.87448         , 0.751775        , 0.629409        , 0.525651        , 18.9211           , 26.1772           , 24.3848           , 26.3262           , 33.4026           , 0.120586        , 0.121667        , 0.123638        , 0.126299        , 0.125486        , -0.264823       , -0.43916        , -0.0941769      , 0.011776        , -0.0878288      , 0.006655224553  , 43.76705587     , -0.004614088663 , 0.01647185302   , 0.2913190669    , 0.2912795849    , 0.2012668249    , -0.1124358231   , 0.01413008908   , 0.01647185302   , 0.0             , 39.0            , 0.0             , -4.475186023    , -2.0821928      , -2.210486908    , -2.104146696    , 0.9930346747    , -2.977359979    , -13.73073376    , -5.499467888    , -20.16700579    , 0.0             , 0.0             , 0.0             , -8.751606824    
8               , 0.0602582       , 0.066026          , 0.119873          , 0.525786        , 0.98082         , 18.923            , 34.4513           , 0.120292        , 0.127878        , 0.0502924          , 2.13333         , 8.05601           , 12.0808          , 0.0814462       , 0.0642251       , 0.0488768       , 0.0356334       , 0.0243714       , 0.119873          , 0.106463          , 0.0929439         , 0.0795162         , 0.066026          , 0.98082         , 0.874657        , 0.751899        , 0.62951         , 0.525786        , 19.0017           , 26.2466           , 24.4586           , 26.4221           , 33.4629           , 0.122217        , 0.121719        , 0.123612        , 0.126314        , 0.125576        , -0.860303       , -1.23284        , -1.04319        , -1.02522        , -1.30235        , 0.01004991209   , 23.29990457     , -0.01007085299  , 0.01973015587   , 0.2341610929    , 0.2341619926    , 0.1597329199    , -0.04479880196  , 0.01808898799   , 0.01973015587   , 0.0             , 39.0            , 0.0             , -4.789840134    , -2.40118378     , -2.564380111    , -2.492271624    , 0.6691948213    , -3.269489203    , -13.99944144    , -5.527560025    , -20.18756703    , 0.0             , 0.0             , 0.0             , -8.604852239    
9               , 0.0602971       , 0.0659672         , 0.119912          , 0.525654        , 0.992963        , 18.8333           , 34.3731           , 0.120317        , 0.127828        , 0.0503175          , 1.19298         , 8.50651           , 12.8374          , 0.0815931       , 0.064288        , 0.0488969       , 0.035628        , 0.0243576       , 0.119912          , 0.106401          , 0.0929456         , 0.0794946         , 0.0659672         , 0.992963        , 0.874491        , 0.751779        , 0.62941         , 0.525654        , 18.9301           , 26.1849           , 24.3926           , 26.336            , 33.4086           , 0.120762        , 0.121671        , 0.123634        , 0.1263          , 0.125495        , -0.332432       , -0.51854        , -0.189089       , -0.0919344      , -0.209303       , 0.006680326743  , 42.76796887     , -0.005721982828 , 0.01689126356   , 0.2857248061    , 0.2857040062    , 0.197214988     , -0.1056640018   , 0.01493484068   , 0.01689126356   , 0.0             , 39.0            , 0.0             , -4.505335788    , -2.110375386    , -2.242676038    , -2.136853178    , 0.9631526745    , -3.016807981    , -14.15803815    , -5.523130313    , -20.17214655    , 0.0             , 0.0             , 0.0             , -8.705307813    
10              , 0.0603009       , 0.0659622         , 0.11992           , 0.525651        , 0.994331        , 18.8234           , 34.3651           , 0.120321        , 0.127822        , 0.0503208          , 1.10171         , 8.55105           , 12.9533          , 0.081606        , 0.0642943       , 0.0488989       , 0.0356274       , 0.0243562       , 0.11992           , 0.106396          , 0.0929477         , 0.0794936         , 0.0659622         , 0.994331        , 0.874481        , 0.751776        , 0.629409        , 0.525651        , 18.922            , 26.1779           , 24.3856           , 26.3272           , 33.4032           , 0.120604        , 0.121667        , 0.123638        , 0.126299        , 0.125487        , -0.271673       , -0.447098       , -0.103668       , 0.00140494      , -0.0999763      , 0.006654770362  , 43.68646594     , -0.004730265905 , 0.01651461006   , 0.2907610791    , 0.2907233987    , 0.2008626706    , -0.1117590834   , 0.01421454235   , 0.01651461006   , 0.0             , 39.0            , 0.0             , -4.478151353    , -2.084741177    , -2.213305113    , -2.106838944    , 0.9901221021    , -2.981145557    , -13.80457502    , -5.544091046    , -20.19686997    , 0.0             , 0.0             , 0.0             , -8.747743406    
