"EVALUATION"    , "WING_VOLUME"   , "WING_MIN_THICKNESS", "WING_MAX_THICKNESS", "WING_MIN_CHORD", "WING_MAX_CHORD", "WING_MIN_LE_RADIUS", "WING_MAX_LE_RADIUS", "WING_MIN_TOC"  , "WING_MAX_TOC"  , "WING_OBJFUN_MIN_TOC", "WING_MAX_TWIST", "WING_MAX_CURVATURE", "WING_MAX_DIHEDRAL", "STATION1_AREA" , "STATION2_AREA" , "STATION3_AREA" , "STATION4_AREA" , "STATION5_AREA" , "STATION1_THICKNESS", "STATION2_THICKNESS", "STATION3_THICKNESS", "STATION4_THICKNESS", "STATION5_THICKNESS", "STATION1_CHORD", "STATION2_CHORD", "STATION3_CHORD", "STATION4_CHORD", "STATION5_CHORD", "STATION1_LE_RADIUS", "STATION2_LE_RADIUS", "STATION3_LE_RADIUS", "STATION4_LE_RADIUS", "STATION5_LE_RADIUS", "STATION1_TOC"  , "STATION2_TOC"  , "STATION3_TOC"  , "STATION4_TOC"  , "STATION5_TOC"  , "STATION1_TWIST", "STATION2_TWIST", "STATION3_TWIST", "STATION4_TWIST", "STATION5_TWIST", "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "rms[RhoW]"     , "RMS_ENERGY"    , "avg[bgs]"      , "rms[U][1]"     , "rms[R][1]"     , "rms[E][1]"     , "rms[DispX][1]" , "rms[DispY][1]" , "rms[DispZ][1]" , "avg[bgs][1]"   
1               , 0.0663906       , 0.04533           , 0.119981          , 0.369124        , 0.998404        , 27.9465           , 51.3637           , 0.120146        , 0.124952        , 0.0501459          , 0.548887        , 2.54752           , 5.04754          , 0.0819834       , 0.0584599       , 0.0388472       , 0.0232311       , 0.0115543       , 0.119981          , 0.101351          , 0.0826891         , 0.064044          , 0.04533           , 0.998404        , 0.828242        , 0.684253        , 0.512568        , 0.369124        , 27.9465           , 45.979            , 35.0359           , 38.3596           , 39.3757           , 0.120173        , 0.122369        , 0.120846        , 0.124947        , 0.122805        , -0.091821       , 0.153357        , -0.152415       , -0.544655       , 0.0704207       , 0.004376065892  , 66.59513255     , -0.001224223094 , 0.01194059641   , 0.2914549709    , 0.2914246881    , 0.2222327422    , -0.1337193285   , 0.01078741414   , 0.01194059641   , 0.0             , 29.0            , 0.0             , -3.390473829    , -0.7495731846   , -0.9781184759   , -0.6975918243   , 2.063303563     , -1.753570732    , -5.891579073    , -1.2931327      , -8.53130477     , 0.0             , 0.0             , 0.0             , -7.525322306    
2               , 0.0722731       , 0.0879186         , 0.119976          , 0.369138        , 0.998124        , 27.948            , 48.0345           , 0.120201        , 0.249162        , 0.0502012          , 0.903581        , 2.55098           , 5.05762          , 0.0819779       , 0.058614        , 0.0410391       , 0.0307159       , 0.0206637       , 0.119976          , 0.101716          , 0.0889704         , 0.0916185         , 0.0919753         , 0.998124        , 0.828242        , 0.684254        , 0.512576        , 0.369138        , 27.948            , 45.9243           , 34.2844           , 33.1257           , 28.0945           , 0.120201        , 0.122809        , 0.130025        , 0.178741        , 0.249162        , -0.105767       , 0.14114         , -0.167766       , -0.626793       , -0.511862       , 0.01222401197   , 23.97984827     , 0.006190960971  , 0.009284827832  , 0.2933193948    , 0.2931299522    , 0.2200420307    , -0.1337516966   , 0.001780084593  , 0.009284827832  , 0.0             , 29.0            , 0.0             , -3.442763998    , -0.7860573821   , -1.029950081    , -0.7349786514   , 2.010824908     , -1.803418685    , -10.32917646    , -3.150197874    , -14.6466855     , 0.0             , 0.0             , 0.0             , -7.029925625    
3               , 0.0722543       , 0.0878825         , 0.119966          , 0.36914         , 0.997794        , 27.9496           , 48.0431           , 0.12021         , 0.248938        , 0.0502096          , 0.928743        , 2.55559           , 5.06785          , 0.0819697       , 0.0586053       , 0.0410288       , 0.0307005       , 0.0206487       , 0.119966          , 0.101699          , 0.0889409         , 0.09156           , 0.0918929         , 0.997794        , 0.828241        , 0.684255        , 0.512578        , 0.36914         , 27.9496           , 45.9323           , 34.3001           , 33.142            , 28.1149           , 0.120232        , 0.122789        , 0.129982        , 0.178627        , 0.248938        , -0.122498       , 0.125688        , -0.188206       , -0.64789        , -0.540158       , 0.01210885178   , 24.18283419     , 0.005705260346  , 0.009461476942  , 0.2930210716    , 0.2928263549    , 0.2197167171    , -0.132345689    , 0.002270052664  , 0.009461476942  , 0.0             , 29.0            , 0.0             , -3.447502673    , -0.7911644091   , -1.036399731    , -0.7407228873   , 2.006031684     , -1.806772123    , -10.32169637    , -3.141852055    , -14.63036425    , 0.0             , 0.0             , 0.0             , -7.028902758    
4               , 0.072161        , 0.0877031         , 0.11992           , 0.369149        , 0.996198        , 27.9572           , 48.0867           , 0.120129        , 0.247819        , 0.0501287          , 1.054           , 2.57822           , 5.11815          , 0.0819288       , 0.0585619       , 0.0409779       , 0.0306235       , 0.0205738       , 0.11992           , 0.101615          , 0.0887943         , 0.0912685         , 0.0914822         , 0.996198        , 0.828239        , 0.68426         , 0.512589        , 0.369149        , 27.9572           , 45.9719           , 34.3769           , 33.2226           , 28.2168           , 0.120377        , 0.122688        , 0.129767        , 0.178054        , 0.247819        , -0.203894       , 0.0489244       , -0.289647       , -0.75297        , -0.680803       , 0.01163414453   , 25.04487417     , 0.003419725686  , 0.01031712628   , 0.2915878069    , 0.2913756859    , 0.2181493395    , -0.1254654935   , 0.004586341539  , 0.01031712628   , 0.0             , 29.0            , 0.0             , -3.471451256    , -0.8169335446   , -1.069050898    , -0.7697537981   , 1.98177162      , -1.828736779    , -10.32327359    , -3.143000978    , -14.63429683    , 0.0             , 0.0             , 0.0             , -7.038413381    
5               , 0.0717294       , 0.0868757         , 0.11971           , 0.369223        , 0.989429        , 27.9921           , 48.293            , 0.119757        , 0.242631        , 0.049757           , 1.63415         , 2.68156           , 5.34809          , 0.0817334       , 0.0583623       , 0.0407428       , 0.0302665       , 0.0202256       , 0.11971           , 0.101232          , 0.088122          , 0.0899196         , 0.089585          , 0.989429        , 0.828251        , 0.684311        , 0.512665        , 0.369223        , 27.9921           , 46.1575           , 34.7283           , 33.5945           , 28.6928           , 0.120989        , 0.122224        , 0.128775        , 0.175396        , 0.242631        , -0.551743       , -0.306132       , -0.758157       , -1.23962        , -1.33164        , 0.0115385409    , 24.71357622     , -0.004795314529 , 0.01394079947   , 0.2853516704    , 0.2851586101    , 0.2111309609    , -0.09405933384  , 0.01306672133   , 0.01394079947   , 0.0             , 29.0            , 0.0             , -3.59786514     , -0.9633447394   , -1.225649805    , -0.9239712799   , 1.853201326     , -1.93294621     , -10.25074258    , -3.050924313    , -14.45722477    , 0.0             , 0.0             , 0.0             , -7.078898017    
6               , 0.0711682       , 0.0858079         , 0.119449          , 0.369391        , 0.981877        , 28.0377           , 48.5716           , 0.119284        , 0.23586         , 0.0492839          , 2.39175         , 2.813             , 5.64155          , 0.0814689       , 0.0581057       , 0.0404379       , 0.0298001       , 0.0197696       , 0.119449          , 0.10075           , 0.0872647         , 0.0881677         , 0.0871243         , 0.981877        , 0.828314        , 0.684446        , 0.51282         , 0.369391        , 28.0377           , 46.4053           , 35.1769           , 34.0741           , 29.3214           , 0.121654        , 0.121632        , 0.127497        , 0.171927        , 0.23586         , -0.94552        , -0.768952       , -1.36715        , -1.87534        , -2.17976        , 0.01672023069   , 16.63256898     , -0.009674186546 , 0.01771676969   , 0.2784345584    , 0.2781003903    , 0.2022403266    , -0.05484700259  , 0.0185716866    , 0.01771676969   , 0.0             , 29.0            , 0.0             , -3.784545587    , -1.259009877    , -1.275908448    , -1.114238088    , 1.662016725     , -2.037739606    , -10.23475788    , -3.000537694    , -14.36642162    , 0.0             , 0.0             , 0.0             , -7.225736278    
7               , 0.0716733       , 0.0867683         , 0.119683          , 0.369236        , 0.988622        , 27.9967           , 48.3209           , 0.119709        , 0.241953        , 0.0497092          , 1.70994         , 2.69471           , 5.37745          , 0.0817076       , 0.0583367       , 0.0407123       , 0.0302198       , 0.02018         , 0.119683          , 0.101183          , 0.0880353         , 0.0897437         , 0.0893377         , 0.988622        , 0.828255        , 0.684321        , 0.512678        , 0.369236        , 27.9967           , 46.1822           , 34.7731           , 33.6427           , 28.7553           , 0.12106         , 0.122164        , 0.128646        , 0.175049        , 0.241953        , -0.593817       , -0.352417       , -0.819066       , -1.30321        , -1.41649        , 0.01177194581   , 24.15984273     , -0.005579688301 , 0.01436680448   , 0.2845971902    , 0.2844083594    , 0.2102475166    , -0.09009424748  , 0.01390007649   , 0.01436680448   , 0.0             , 29.0            , 0.0             , -3.615720205    , -0.9860460608   , -1.243347334    , -0.9457605986   , 1.834957197     , -1.945722392    , -10.23739959    , -3.034028666    , -14.42439032    , 0.0             , 0.0             , 0.0             , -7.087066715    
8               , 0.0717238       , 0.086865          , 0.119707          , 0.369224        , 0.989348        , 27.9926           , 48.2958           , 0.119752        , 0.242563        , 0.0497522          , 1.64173         , 2.68287           , 5.35103          , 0.0817309       , 0.0583598       , 0.0407397       , 0.0302618       , 0.020221        , 0.119707          , 0.101227          , 0.0881133         , 0.089902          , 0.0895603         , 0.989348        , 0.828251        , 0.684312        , 0.512666        , 0.369224        , 27.9926           , 46.16             , 34.7328           , 33.5993           , 28.699            , 0.120996        , 0.122218        , 0.128762        , 0.175362        , 0.242563        , -0.555979       , -0.310761       , -0.764248       , -1.24598        , -1.34013        , 0.01155914394   , 24.66299182     , -0.004876618662 , 0.01398383032   , 0.2852756397    , 0.2850830725    , 0.2110426734    , -0.09366252739  , 0.01315287472   , 0.01398383032   , 0.0             , 29.0            , 0.0             , -3.599664723    , -0.9655598581   , -1.227426156    , -0.9261091448   , 1.8514073       , -1.933992179    , -10.24919979    , -3.048740394    , -14.45292834    , 0.0             , 0.0             , 0.0             , -7.079656934    
9               , 0.0717288       , 0.0868746         , 0.119709          , 0.369223        , 0.989421        , 27.9922           , 48.2933           , 0.119757        , 0.242624        , 0.0497565          , 1.63491         , 2.68169           , 5.34838          , 0.0817332       , 0.0583621       , 0.0407424       , 0.030266        , 0.0202251       , 0.119709          , 0.101232          , 0.0881211         , 0.0899179         , 0.0895825         , 0.989421        , 0.828251        , 0.684311        , 0.512665        , 0.369223        , 27.9922           , 46.1578           , 34.7288           , 33.595            , 28.6934           , 0.120989        , 0.122223        , 0.128773        , 0.175393        , 0.242624        , -0.552167       , -0.306595       , -0.758766       , -1.24025        , -1.33249        , 0.01154057375   , 24.70857166     , -0.004803477223 , 0.01394510827   , 0.2853441039    , 0.2851510936    , 0.2111221659    , -0.09401966309  , 0.01307536915   , 0.01394510827   , 0.0             , 29.0            , 0.0             , -3.598043536    , -0.9635682143   , -1.225836056    , -0.9241894095   , 1.853018813     , -1.93307709     , -10.25064461    , -3.050805187    , -14.45695023    , 0.0             , 0.0             , 0.0             , -7.078973246    
10              , 0.0717293       , 0.0868756         , 0.11971           , 0.369223        , 0.989428        , 27.9921           , 48.293            , 0.119757        , 0.242631        , 0.049757           , 1.63423         , 2.68157           , 5.34812          , 0.0817334       , 0.0583623       , 0.0407427       , 0.0302664       , 0.0202255       , 0.11971           , 0.101232          , 0.0881219         , 0.0899195         , 0.0895848         , 0.989428        , 0.828251        , 0.684311        , 0.512665        , 0.369223        , 27.9921           , 46.1575           , 34.7284           , 33.5946           , 28.6928           , 0.120989        , 0.122224        , 0.128775        , 0.175396        , 0.242631        , -0.551785       , -0.306179       , -0.758218       , -1.23968        , -1.33173        , 0.01153874389   , 24.7130764      , -0.004796131169 , 0.01394123041   , 0.2853509146    , 0.2851578593    , 0.2111300825    , -0.09405536709  , 0.01306758645   , 0.01394123041   , 0.0             , 29.0            , 0.0             , -3.597882992    , -0.963367098    , -1.2256686      , -0.9239932479   , 1.853183061     , -1.932959963    , -10.25086263    , -3.05093448     , -14.45723475    , 0.0             , 0.0             , 0.0             , -7.078906609    
