"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Ux_adj]"  ,   "rms[Uy_adj]"  ,   "rms[Uz_adj]"  
          0,           0,           0,      -2.511024899,      -2.322201749,      -2.155979681
          0,           0,           1,      -2.195369918,      -1.935592826,      -2.012880423
          0,           0,           2,      -2.160866417,      -1.883827594,      -1.982617301
          0,           0,           3,       -2.10272597,       -1.83079404,      -1.840421487
          0,           0,           4,      -1.817444399,       -1.61292675,         -1.601205
          0,           0,           5,      -1.758066501,       -1.52651985,      -1.590348926
          0,           0,           6,      -1.919235671,      -1.855924027,       -1.77259907
          0,           0,           7,      -1.663584102,      -1.252051321,      -1.407272428
          0,           0,           8,      -1.571582871,       -1.18504698,      -1.320185091
          0,           0,           9,      -1.748548077,      -1.526981339,      -1.620952734
          0,           0,          10,      -1.615887747,      -1.463663347,       -1.41956263
          0,           0,          11,      -1.545222581,      -1.383529289,      -1.390587573
          0,           0,          12,      -1.629094365,       -1.47161053,      -1.473098906
          0,           0,          13,      -1.547358002,      -1.379442636,      -1.378347245
          0,           0,          14,      -1.499685742,      -1.352818089,      -1.347528749
          0,           0,          15,      -1.669604075,       -1.51577409,       -1.47098577
          0,           0,          16,      -1.465619368,      -1.254751198,      -1.235458422
          0,           0,          17,      -1.352037239,      -1.247492808,      -1.151192439
          0,           0,          18,      -1.399795606,      -1.288799528,      -1.271397402
          0,           0,          19,      -1.488320839,      -1.203238205,        -1.2174458
          0,           0,          20,      -1.477413979,        -1.1375238,      -1.186502275
          0,           0,          21,      -1.486250672,      -1.101282567,      -1.213036771
          0,           0,          22,      -1.265752767,     -0.8654017695,     -0.9797089804
          0,           0,          23,      -1.158363802,     -0.7781922781,     -0.9146390964
          0,           0,          24,      -1.340439135,      -1.100205568,       -1.25238829
          0,           0,          25,      -1.583420376,      -1.419559198,      -1.494828633
          0,           0,          26,      -1.241063743,     -0.9959804806,     -0.9847886224
          0,           0,          27,      -1.204503625,      -0.897696639,     -0.9376082702
          0,           0,          28,      -1.157504504,      -1.009447823,      -1.054561373
          0,           0,          29,      -1.172200567,     -0.9087093137,     -0.9958930272
          0,           0,          30,      -1.623398742,      -1.084292534,      -1.223806914
          0,           0,          31,      -1.735259757,      -1.399975142,      -1.469793919
          0,           0,          32,      -1.902200902,      -1.401972439,      -1.486683797
          0,           0,          33,      -1.954677124,      -1.510339523,      -1.578874514
          0,           0,          34,      -1.621111468,      -1.427492244,      -1.372229468
          0,           0,          35,      -1.384165806,       -1.16379569,      -1.105174671
          0,           0,          36,      -1.404640466,      -1.161208822,      -1.159959839
          0,           0,          37,      -1.519271208,      -1.354451212,      -1.378630469
          0,           0,          38,      -1.501858563,      -1.293434022,      -1.308333569
          0,           0,          39,      -1.458270763,      -1.190206956,      -1.270004118
          0,           0,          40,      -1.544307744,      -1.488570495,      -1.345496174
          0,           0,          41,      -1.518702071,      -1.302065819,      -1.304940989
          0,           0,          42,      -1.617583312,      -1.319359811,      -1.404951995
          0,           0,          43,       -1.77946416,      -1.543201338,      -1.465813518
          0,           0,          44,      -1.563245951,      -1.315755106,      -1.343724536
          0,           0,          45,      -1.212961526,      -1.117686187,     -0.9959581691
          0,           0,          46,      -1.111064688,      -1.013131046,     -0.9309283458
          0,           0,          47,      -1.325084705,      -1.261408567,      -1.222275456
          0,           0,          48,      -1.377271711,      -1.218131369,      -1.180267186
          0,           0,          49,      -1.211048376,      -1.051148083,      -1.016076973
          0,           1,           0,      -1.135055314,     -0.9403350296,     -0.9317569157
          0,           1,           1,      -1.162684831,     -0.9578970597,     -0.9842208479
          0,           1,           2,     -0.9753192809,     -0.5740130473,     -0.7048478167
          0,           1,           3,     -0.9822479571,     -0.5011386274,     -0.6619555313
          0,           1,           4,       -1.52689935,     -0.9924594947,      -1.149555749
