"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.257210000000000e-03, -6.495578012747979e-05, 2.541268594183269e-02, -8.923235278945205e+03, -1.122010018361709e+04, 3.607883721271318e+03, 7.572508710801969e+03
1, 9.798550000000000e-01, 5.416750000000000e-03, -1.880752118123646e-04, 2.475954686461265e-02, -1.574681906811514e+04, -8.085373797918855e+03, 2.178967647216880e+03, 8.814155867619118e+03
2, 9.596080000000000e-01, 9.461560000000001e-03, -3.067317611092531e-04, 2.410709748526818e-02, -2.124218779654041e+04, -3.575851394482718e+03, 7.259055379258003e+03, 2.286645975806502e+04
3, 9.393450000000000e-01, 1.339430000000000e-02, -4.209062389435473e-04, 2.345637175120948e-02, -2.778203482166845e+04, -1.276519319626432e+03, 1.016256703385442e+04, 3.340139857699567e+04
4, 9.190670000000000e-01, 1.721730000000000e-02, -5.307072033437089e-04, 2.280787347893636e-02, -4.391544760914632e+04, -1.643938601132756e+03, 1.313369190319269e+04, 4.976802111644112e+04
5, 8.987730000000000e-01, 2.093270000000000e-02, -6.363001369029781e-04, 2.216150034267343e-02, -5.138204551750908e+04, -1.102423381853335e+03, 1.476468581810127e+04, 5.830972638705559e+04
6, 8.784640000000000e-01, 2.454230000000000e-02, -7.378270972995973e-04, 2.151741195883681e-02, -5.809697929647277e+04, -1.470764769445440e+03, 1.564162825653176e+04, 6.469289226586683e+04
7, 8.581410000000000e-01, 2.804760000000000e-02, -8.354257536338745e-04, 2.087557054042428e-02, -6.573268127424645e+04, -2.805434343676615e+02, 1.625399766186465e+04, 7.308044955922273e+04
8, 8.378050000000000e-01, 3.144970000000000e-02, -9.289679542924391e-04, 2.023631827812903e-02, -9.522891303631953e+04, 2.910904798391636e+03, 1.728885754082123e+04, 1.040530740771148e+05
9, 8.174540000000000e-01, 3.474970000000000e-02, -1.017894427937470e-03, 1.959923408507390e-02, -1.076148204629255e+05, 2.472260323034476e+03, 2.530128106693087e+04, 1.211601611524424e+05
10, 7.970910000000000e-01, 3.794800000000000e-02, -1.103149140993302e-03, 1.896510548158062e-02, -1.145207305718863e+05, 3.230150383397817e+03, 2.222518433728173e+04, 1.258614525621332e+05
11, 7.767150000000000e-01, 4.104500000000000e-02, -1.184294663208538e-03, 1.833408452403625e-02, -1.370247274177308e+05, 3.622161178587710e+03, 2.464480337404984e+04, 1.490335955588791e+05
12, 7.563270000000000e-01, 4.404060000000000e-02, -1.261334765884144e-03, 1.770577455051509e-02, -1.539150710414925e+05, 5.172685483160139e+03, 2.510530382814731e+04, 1.668233179062852e+05
13, 7.359270000000000e-01, 4.693450000000000e-02, -1.334289161622179e-03, 1.708062193522540e-02, -1.678812251855763e+05, 5.249013333309969e+03, 2.658878757949664e+04, 1.811130420190573e+05
14, 7.155150000000000e-01, 4.972610000000000e-02, -1.403360630619304e-03, 1.645872873592400e-02, -1.800548871423499e+05, 5.522109495744940e+03, 2.761043823948214e+04, 1.936186119161082e+05
15, 6.950930000000000e-01, 5.241420000000000e-02, -1.468503052815077e-03, 1.584015334550098e-02, -1.908574629924935e+05, 7.242212218096207e+03, 2.773127969797289e+04, 2.057172253684411e+05
16, 6.746590000000000e-01, 5.499760000000000e-02, -1.529848204628105e-03, 1.522506723031517e-02, -2.250512233239829e+05, 1.244928740001791e+04, 2.631809192407219e+04, 2.432633561477291e+05
17, 6.542150000000000e-01, 5.747460000000000e-02, -1.586322319344329e-03, 1.461315236892686e-02, -2.403629698774910e+05, 1.043339834306178e+04, 3.431476590217771e+04, 2.600169820382972e+05
18, 6.337610000000000e-01, 5.984290000000000e-02, -1.639258333508397e-03, 1.400509528425071e-02, -2.451352105905326e+05, 9.873078407551709e+03, 2.966744404054240e+04, 2.618202750004769e+05
19, 6.132970000000000e-01, 6.210030000000000e-02, -1.688007050330235e-03, 1.340096961785677e-02, -2.661018607241981e+05, 8.762673334678693e+03, 3.051722041121993e+04, 2.815594343116767e+05
20, 5.928230000000000e-01, 6.424370000000000e-02, -1.732549156120114e-03, 1.280018747720565e-02, -2.746669597083107e+05, 9.172656580468874e+03, 3.265421215783011e+04, 2.912561039043748e+05
21, 5.723410000000000e-01, 6.627000000000000e-02, -1.773003756956501e-03, 1.220370615824264e-02, -3.041230208513644e+05, 1.296610734923923e+04, 2.627705126792769e+04, 3.214147615097477e+05
22, 5.518500000000000e-01, 6.817540000000000e-02, -1.808516613179150e-03, 1.161161460938548e-02, -3.257308689170566e+05, 2.491559924342118e+04, 2.532940512380463e+04, 3.542869750486464e+05
23, 5.313510000000000e-01, 6.995570000000000e-02, -1.839743853986552e-03, 1.102414501648198e-02, -3.393606790786285e+05, 4.377513992462150e+04, 3.014808178410854e+04, 3.878513673359117e+05
24, 5.108440000000000e-01, 7.160630000000000e-02, -1.866444218042545e-03, 1.043968232573019e-02, -3.643683814459495e+05, 4.592168764025626e+04, 3.669730421616176e+04, 4.168029622467883e+05
25, 4.903300000000000e-01, 7.312210000000000e-02, -1.888027811357106e-03, 9.859193572493813e-03, -3.942798785640991e+05, 4.373016284137170e+04, 4.055597765431899e+04, 4.454570076517067e+05
26, 4.698100000000000e-01, 7.449720000000000e-02, -1.904469735332757e-03, 9.283226876077985e-03, -4.225836134818650e+05, 4.727049958062553e+04, 4.123742764608805e+04, 4.770377231595056e+05
27, 4.492840000000000e-01, 7.572540000000000e-02, -1.915661840062325e-03, 8.712524858645347e-03, -4.937762383156285e+05, 5.273157958356818e+04, 3.505409741180232e+04, 5.509863464790811e+05
28, 4.287520000000000e-01, 7.679970000000000e-02, -1.919948732716075e-03, 8.146388382996915e-03, -5.388084600897465e+05, 5.331114071971581e+04, 3.845046987042435e+04, 5.970924352190226e+05
29, 4.082160000000000e-01, 7.771220000000000e-02, -1.918590104466510e-03, 7.586928709049286e-03, -6.085240975036523e+05, 5.395231004656932e+04, 2.620989973250540e+04, 6.645470833105802e+05
30, 3.875760000000000e-01, 7.844390000000000e-02, -1.909669166216111e-03, 7.030774089375328e-03, -6.595817241074431e+05, 5.575118107076851e+04, 3.445715973309087e+04, 7.186448000634159e+05
31, 3.668650000000000e-01, 7.894160000000000e-02, -1.892999513370660e-03, 6.480642970655085e-03, -7.356698729771296e+05, 5.625900247749732e+04, 1.695955525101461e+04, 7.926549374324738e+05
32, 3.461490000000000e-01, 7.918989999999999e-02, -1.866996656426770e-03, 5.938139731529394e-03, -8.059763990994480e+05, 5.485289546671329e+04, 2.075897814098584e+04, 8.618299223611967e+05
33, 3.254310000000000e-01, 7.917720000000000e-02, -1.832246105542878e-03, 5.404552513526585e-03, -8.747308692951727e+05, 5.213238840039279e+04, 7.823497978283981e+03, 9.269953219668918e+05
34, 3.047140000000000e-01, 7.889030000000000e-02, -1.788182895344237e-03, 4.880958831354553e-03, -9.579539474655057e+05, 5.095638590023487e+04, -5.796837041493360e+03, 1.008976944261321e+06
35, 2.840020000000000e-01, 7.831420000000000e-02, -1.734375695997633e-03, 4.368372181807392e-03, -1.056551405443170e+06, 4.753132613544971e+04, -2.368191976719025e+04, 1.105098190870632e+06
36, 2.632960000000000e-01, 7.743220000000001e-02, -1.670310952173788e-03, 3.867897532825833e-03, -1.164673655105816e+06, 4.476805722938465e+04, -4.249550271289294e+04, 1.212424317860537e+06
37, 2.426010000000000e-01, 7.622460000000000e-02, -1.595658562685752e-03, 3.381184234853093e-03, -1.291274431251821e+06, 4.420496231413216e+04, -6.806053355572480e+04, 1.342398657460162e+06
38, 2.219220000000000e-01, 7.466879999999999e-02, -1.509754716207166e-03, 2.909662721063732e-03, -1.438813433640611e+06, 4.145670498900629e+04, -9.965617302837638e+04, 1.493628164775020e+06
39, 2.012640000000000e-01, 7.273780000000001e-02, -1.411641737137872e-03, 2.455799971097277e-03, -1.610663606109962e+06, 3.816238181540216e+04, -1.328433627694247e+05, 1.670094780120461e+06
40, 1.806310000000000e-01, 7.039890000000000e-02, -1.301047238336370e-03, 2.021834404644702e-03, -1.812451097536196e+06, 3.184133213903572e+04, -1.743017410280277e+05, 1.876949374346302e+06
41, 1.600330000000000e-01, 6.761140000000000e-02, -1.176179265495920e-03, 1.611293405928083e-03, -2.051024567345854e+06, 2.338008224371008e+04, -2.112245251439914e+05, 2.116983195570532e+06
42, 1.394760000000000e-01, 6.432340000000000e-02, -1.036707037149125e-03, 1.227778464236171e-03, -2.282216015833953e+06, 1.986733165317772e+04, -2.461697907948856e+05, 2.354142307163598e+06
43, 1.189730000000000e-01, 6.046550000000000e-02, -8.844815304241102e-04, 8.748644103485389e-04, -2.581257504224902e+06, -1.736998903322456e+01, -3.506941175073090e+05, 2.674835712115218e+06
44, 9.853700000000000e-02, 5.594070000000000e-02, -7.127101267773261e-04, 5.639544428808118e-04, -3.146590648140136e+06, -2.518527554154043e+04, -5.042359284455135e+05, 3.280272395126450e+06
45, 7.818849999999999e-02, 5.060340000000000e-02, -5.174092562264730e-04, 3.045298605807997e-04, -3.959584904523909e+06, -6.763365945066084e+04, -6.731438554394706e+05, 4.118224750361600e+06
46, 5.795880000000000e-02, 4.421300000000000e-02, -2.894984236592679e-04, 1.112578134411263e-04, -5.437438893576179e+06, -1.959981646668977e+05, -7.017514184791548e+05, 5.426096306555854e+06
47, 3.790390000000000e-02, 3.630690000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.924891202506020e+06, -5.781313300848802e+05, 1.476722381966227e+05, 3.359766361428182e+06
48, 1.815790000000000e-02, 2.570150000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.408559068898309e+05, 7.892340212348745e+04, 1.696769934806210e+04, 6.207076632084474e+05
49, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.671286305671271e+04, -1.841678916519933e+04, -1.194186127239597e+05, 2.451173164298460e+05
50, 2.265850000000000e-02, -2.172400000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.610917514196318e+05, -4.381036098718844e+04, 1.414401087370250e+05, 6.677782439046657e+05
51, 4.372870000000000e-02, -2.856010000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.958714398833995e+06, 7.707513144507650e+05, 7.593985346596600e+05, 3.531267925995306e+06
52, 6.449020000000000e-02, -3.290520000000000e-02, 2.697483320072450e-04, 1.583620756499069e-04, 5.714702314406747e+06, 1.887082579073410e+05, 2.057197575081635e+05, 5.541289812578262e+06
53, 8.507679999999999e-02, -3.594290000000000e-02, 4.585615457102509e-04, 3.812965559307297e-04, 4.029149071779158e+06, 1.504377124247525e+04, 2.199722451399738e+04, 4.014346382082888e+06
54, 1.055450000000000e-01, -3.813560000000000e-02, 6.061615880590885e-04, 6.665088266039636e-04, 3.173794415731321e+06, 1.149305122125114e+04, 7.237647151419235e+04, 3.165612631781979e+06
55, 1.259250000000000e-01, -3.972410000000000e-02, 7.227532304605092e-04, 9.982824193431952e-04, 2.764913853459398e+06, -3.216403774266354e+04, 1.369867162008756e+05, 2.810463693256572e+06
56, 1.462380000000000e-01, -4.085400000000000e-02, 8.263624447325302e-04, 1.361119875869024e-03, 2.486152550060561e+06, -2.268777919769713e+03, 8.313636823345360e+04, 2.493970193975780e+06
57, 1.664980000000000e-01, -4.162220000000000e-02, 9.088325935827950e-04, 1.750821366818947e-03, 2.104476818470478e+06, 1.512132230796831e+03, 1.009962756210343e+05, 2.112643240665219e+06
58, 1.867150000000000e-01, -4.209820000000000e-02, 9.767624474177404e-04, 2.164037773575017e-03, 1.862025276138985e+06, 8.044304338343848e+03, 1.107523566337578e+05, 1.867166243749756e+06
59, 2.069000000000000e-01, -4.233380000000000e-02, 1.032735196995266e-03, 2.596972195879048e-03, 1.673761148959820e+06, 1.371271294875953e+04, 1.136324605123419e+05, 1.675532797121895e+06
60, 2.270570000000000e-01, -4.236980000000000e-02, 1.078724193855183e-03, 3.047032751345588e-03, 1.502819658857294e+06, 1.064686804948144e+04, 1.070044681970898e+05, 1.507441362867473e+06
61, 2.471950000000000e-01, -4.223880000000000e-02, 1.114954229520883e-03, 3.512322574989965e-03, 1.341832959941035e+06, 1.356214601600552e+04, 1.064727300029989e+05, 1.345231996371714e+06
62, 2.673160000000000e-01, -4.196780000000000e-02, 1.142854886246476e-03, 3.990742158759168e-03, 1.207742349727988e+06, 1.672698215348900e+04, 1.049986417258692e+05, 1.209386813577744e+06
63, 2.874270000000000e-01, -4.157950000000000e-02, 1.163801438548283e-03, 4.481106313286724e-03, 1.094908561451793e+06, 1.689713339766942e+04, 1.001397544370566e+05, 1.096458170971491e+06
64, 3.075300000000000e-01, -4.109350000000000e-02, 1.178427533720913e-03, 4.982227131335173e-03, 9.914756169143242e+05, 1.709414626658208e+04, 9.467193314782114e+04, 9.926078531048598e+05
65, 3.276300000000000e-01, -4.052670000000000e-02, 1.187453945943034e-03, 5.493163590516845e-03, 8.984214657887404e+05, 1.642790041597623e+04, 8.958242217611145e+04, 9.000070504227824e+05
66, 3.477290000000000e-01, -3.989380000000000e-02, 1.191549988229885e-03, 6.013042619461154e-03, 8.143318819514596e+05, 1.620800312001924e+04, 8.457169377212251e+04, 8.158499932652365e+05
