"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,      -3.147955757,      -5.360331986,      -5.378136008,                 0,      -8.009427417
          0,           0,           1,      -2.767955978,      -5.029171749,      -5.195745222,                 0,      -7.896109803
          0,           0,           2,      -2.532755949,      -4.903626638,       -5.14247853,                 0,      -7.795664286
          0,           0,           3,      -2.315116526,      -4.844474457,      -5.094812057,                 0,      -7.675625616
          0,           0,           4,      -2.119916919,      -4.795421672,      -5.044620145,                 0,      -7.537537852
          0,           0,           5,      -1.969011813,      -4.748952941,      -4.998679474,                 0,      -7.411508336
          0,           0,           6,       -1.85648302,      -4.706289083,      -4.960822385,                 0,      -7.309721315
          0,           0,           7,      -1.774699944,      -4.671671738,      -4.933642148,                 0,      -7.232497757
          0,           0,           8,      -1.717081964,      -4.647122317,       -4.91658268,                 0,      -7.176325906
          0,           0,           9,      -1.678389206,       -4.63208277,      -4.908112086,                 0,      -7.137274706
          0,           0,          10,      -1.655583738,      -4.626723216,      -4.907997679,                 0,      -7.113054423
          0,           0,          11,      -1.639927822,      -4.623930937,      -4.911615256,                 0,      -7.095520691
          0,           0,          12,      -1.631881183,      -4.623441961,      -4.917327809,                 0,      -7.085778683
          0,           0,          13,       -1.63024629,      -4.625290585,      -4.923761437,                 0,       -7.08251961
          0,           0,          14,      -1.633324913,      -4.629118309,      -4.930259529,                 0,      -7.084248977
          0,           0,          15,      -1.639526307,      -4.634024122,      -4.935994555,                 0,      -7.089711924
          0,           0,          16,       -1.64745155,      -4.638880145,      -4.940163046,                 0,      -7.097681438
          0,           0,          17,       -1.65637682,      -4.639417594,      -4.937910192,                 0,      -7.107725382
          0,           0,          18,      -1.666707566,      -4.646441559,      -4.943073117,                 0,      -7.118986629
          0,           0,          19,      -1.673224613,      -4.647400807,      -4.939497447,                 0,      -7.127242962
          0,           0,          20,      -1.678930693,      -4.647632014,      -4.936984379,                 0,      -7.134798361
          0,           0,          21,       -1.68336233,      -4.650873532,      -4.937877289,                 0,      -7.140438013
          0,           0,          22,      -1.683068745,      -4.651349476,      -4.936132653,                 0,      -7.141107076
          0,           0,          23,      -1.681138294,      -4.650507359,      -4.933950973,                 0,       -7.13977608
          0,           0,          24,       -1.67757648,      -4.649057664,      -4.931968446,                 0,      -7.136256459
          0,           0,          25,      -1.673283395,      -4.647672609,      -4.930954709,                 0,      -7.131671308
          0,           0,          26,      -1.669724239,      -4.649734128,      -4.933284152,                 0,      -7.127447106
          0,           0,          27,      -1.662688515,      -4.644924355,      -4.930968045,                 0,      -7.120168731
          0,           0,          28,      -1.658530865,      -4.640260213,      -4.929194739,                 0,      -7.115846309
          0,           0,          29,      -1.656798848,      -4.641801823,      -4.932027379,                 0,      -7.113269017
          0,           0,          30,      -1.653871119,      -4.639322116,      -4.930463152,                 0,      -7.109981632
          0,           0,          31,       -1.65395545,       -4.64099425,      -4.933723512,                 0,      -7.109729388
          0,           0,          32,      -1.653318131,      -4.638648114,      -4.931420345,                 0,      -7.109066566
          0,           0,          33,      -1.655152612,      -4.641134148,      -4.934942845,                 0,        -7.1107007
          0,           0,          34,      -1.655713697,      -4.639435831,      -4.932470812,                 0,      -7.111426281
          0,           0,          35,      -1.658224867,      -4.642419131,      -4.935885867,                 0,       -7.11394721
          0,           0,          36,       -1.65874165,      -4.640620846,      -4.932948494,                 0,      -7.114822046
          0,           0,          37,       -1.66078255,      -4.639626325,      -4.931587523,                 0,      -7.117274396
          0,           0,          38,      -1.663544392,      -4.645115372,      -4.935715707,                 0,      -7.119818226
          0,           0,          39,       -1.66260204,      -4.644024059,      -4.933570694,                 0,      -7.119199804
          0,           0,          40,      -1.662711515,      -4.642030758,      -4.931972606,                 0,      -7.119751248
          0,           0,          41,      -1.663390201,      -4.645410602,      -4.934910867,                 0,      -7.120133173
          0,           0,          42,      -1.660774262,      -4.642843448,      -4.932311631,                 0,      -7.117617311
