JST,LAX-FRIEDRICH,ROE,AUSM
-3.158660064,-3.241490202,-3.178127058,-3.147955757
-2.733174325,-2.840000616,-2.781474045,-2.767955978
-2.46951406,-2.589016926,-2.517080289,-2.532755949
-2.254794696,-2.403919402,-2.283216296,-2.315116526
-2.073192368,-2.261504966,-2.089652766,-2.119916919
-1.92861408,-2.152733149,-1.949106269,-1.969011813
-1.815071889,-2.070985468,-1.849440695,-1.85648302
-1.726410471,-2.008222747,-1.781520406,-1.774699944
-1.657822344,-1.960353796,-1.738668349,-1.717081964
-1.615959806,-1.924313787,-1.715832744,-1.678389206
-1.579038216,-1.906677928,-1.708856057,-1.655583738
-1.548927307,-1.889506316,-1.714072325,-1.639927822
-1.526702808,-1.87510469,-1.728095493,-1.631881183
-1.512049458,-1.864579661,-1.747741222,-1.63024629
-1.503839855,-1.857858827,-1.770041134,-1.633324913
-1.50071258,-1.854281046,-1.792299791,-1.639526307
-1.501357188,-1.853055286,-1.812179875,-1.64745155
-1.504586774,-1.853466594,-1.827843033,-1.65637682
-1.509341562,-1.854926741,-1.838143061,-1.666707566
-1.514696844,-1.856969347,-1.842780447,-1.673224613
-1.519885334,-1.859236914,-1.842294051,-1.678930693
-1.524321243,-1.861470196,-1.83785084,-1.68336233
-1.527614483,-1.86349738,-1.830919043,-1.683068745
-1.529570191,-1.865220632,-1.822956215,-1.681138294
-1.530173123,-1.866600368,-1.815196758,-1.67757648
-1.529558459,-1.86763916,-1.808551837,-1.673283395
-1.527972204,-1.868367079,-1.803592718,-1.669724239
-1.525726407,-1.868829556,-1.800581185,-1.662688515
-1.523155447,-1.869078109,-1.799520209,-1.658530865
-1.520578775,-1.869163814,-1.800210111,-1.656798848
-1.518273334,-1.869133156,-1.802304217,-1.653871119
-1.516456436,-1.869025786,-1.805362697,-1.65395545
-1.515278132,-1.868873695,-1.808904884,-1.653318131
-1.514821115,-1.86870134,-1.812459853,-1.655152612
-1.515105996,-1.868526369,-1.815613454,-1.655713697
-1.516099974,-1.868360641,-1.818048063,-1.658224867
-1.517727358,-1.868211344,-1.819570081,-1.65874165
-1.519880832,-1.868082082,-1.820120747,-1.66078255
-1.522432702,-1.867973853,-1.819768286,-1.663544392
-1.525245643,-1.867885882,-1.818683276,-1.66260204
-1.528182563,-1.867816286,-1.817102625,-1.662711515
-1.531115269,-1.867762599,-1.815289436,-1.663390201
-1.533931643,-1.867722148,-1.813495671,-1.660774262
-1.536541056,-1.867692319,-1.811932591,-1.659900087
-1.538877795,-1.867670718,-1.810751458,-1.660166725
-1.540902404,-1.867655269,-1.810034783,-1.657780898
-1.542600967,-1.867644247,-1.809797017,-1.657386031
-1.543982557,-1.867636277,-1.809992812,-1.655474777
-1.545075227,-1.867630309,-1.810530769,-1.655831754
-1.545921043,-1.867625572,-1.811290504,-1.654854453
-1.546570712,-1.867621533,-1.812140913,-1.656070113
-1.547078334,-1.867617846,-1.812957578,-1.655660578
-1.54749671,-1.867614304,-1.813637427,-1.657150642
-1.547873532,-1.867610808,-1.814109096,-1.65672693
-1.548248617,-1.867607327,-1.814338035,-1.65808019
-1.54865224,-1.867603872,-1.814326155,-1.657387522
-1.549104488,-1.867600482,-1.814106631,-1.658478162
-1.549615518,-1.867597201,-1.813735155,-1.657512256
-1.550186525,-1.867594077,-1.813279347,-1.658390286
-1.550811212,-1.867591148,-1.812808081,-1.660318548
-1.551477586,-1.867588443,-1.812382234,-1.659100048
-1.552169868,-1.867585981,-1.812047892,-1.65940187
-1.552870378,-1.86758377,-1.811832542,-1.660480884
-1.553561248,-1.867581809,-1.81174426,-1.658665516
-1.554225877,-1.867580089,-1.811773534,-1.658672382
-1.554850051,-1.867578596,-1.811897084,-1.65969124
-1.555422711,-1.867577311,-1.8120829,-1.658019152
-1.555936353,-1.867576213,-1.812295685,-1.658085292
-1.55638709,-1.867575282,-1.812501959,-1.656426935
-1.556774432,-1.867574496,-1.812674194,-1.656813794
-1.557100836,-1.867573834,-1.812793593,-1.655654277
-1.557371098,-1.867573279,-1.812851304,-1.656580267
