JST,LAX-FRIEDRICH,ROE,AUSM
-7.990665127,-7.961392746,-8.061020251,-8.009427417
-7.831886209,-7.75747656,-7.935344687,-7.896109803
-7.687769817,-7.660279777,-7.806645362,-7.795664286
-7.533893479,-7.577773007,-7.638984319,-7.675625616
-7.380837613,-7.493499787,-7.468775669,-7.537537852
-7.241351942,-7.415253221,-7.335709195,-7.411508336
-7.123012358,-7.349448,-7.238959058,-7.309721315
-7.026620004,-7.295717429,-7.172302481,-7.232497757
-6.949848187,-7.25286434,-7.129958209,-7.176325906
-6.897935387,-7.21928986,-7.10721511,-7.137274706
-6.85429291,-7.200814335,-7.100078891,-7.113054423
-6.818795129,-7.183831377,-7.104986767,-7.095520691
-6.791561096,-7.169466428,-7.118634591,-7.085778683
-6.772074666,-7.158501983,-7.137907442,-7.08251961
-6.759342028,-7.150967251,-7.159892449,-7.084248977
-6.752191213,-7.146406841,-7.181931923,-7.089711924
-6.749447629,-7.144198803,-7.201705658,-7.097681438
-6.749994096,-7.143730878,-7.217371935,-7.107725382
-6.752788692,-7.144463558,-7.227764362,-7.118986629
-6.756883588,-7.145944337,-7.232552821,-7.127242962
-6.761451766,-7.147809189,-7.232242851,-7.134798361
-6.765814201,-7.149780905,-7.22797223,-7.140438013
-6.769460394,-7.151663778,-7.221188016,-7.141107076
-6.772058608,-7.153333888,-7.213335282,-7.13977608
-6.773453948,-7.154726156,-7.205643384,-7.136256459
-6.773653231,-7.15582026,-7.199024134,-7.131671308
-6.772797123,-7.156627219,-7.194053541,-7.127447106
-6.771122666,-7.157177763,-7.191000839,-7.120168731
-6.768921589,-7.157512969,-7.189877958,-7.115846309
-6.766500411,-7.15767724,-7.190494606,-7.113269017
-6.764147142,-7.157713456,-7.192513014,-7.109981632
-6.762107252,-7.157659964,-7.195501064,-7.109729388
-6.760569328,-7.157549036,-7.198984104,-7.109066566
-6.759659309,-7.157406392,-7.202495227,-7.1107007
-6.75944134,-7.157251442,-7.205622207,-7.111426281
-6.759923226,-7.157097972,-7.208047301,-7.11394721
-6.761064729,-7.156955028,-7.209574992,-7.114822046
-6.762787384,-7.156827873,-7.210143182,-7.117274396
-6.764984938,-7.156718898,-7.209815872,-7.119818226
-6.767533792,-7.15662844,-7.208759121,-7.119199804
