JST,LAX-FRIEDRICH,ROE,AUSM
-5.330407472,-5.483247751,-5.338876591,-5.360331986
-4.921393108,-5.090343305,-5.00723056,-5.029171749
-4.71789816,-4.867460514,-4.883866609,-4.903626638
-4.605455857,-4.728728812,-4.814266526,-4.844474457
-4.529723195,-4.638833614,-4.750599609,-4.795421672
-4.466058722,-4.579527158,-4.692275674,-4.748952941
-4.407831162,-4.539384324,-4.642407481,-4.706289083
-4.356081348,-4.512085999,-4.604254548,-4.671671738
-4.312344285,-4.493551846,-4.578671371,-4.647122317
-4.280718008,-4.481020141,-4.564649301,-4.63208277
-4.254743853,-4.474081814,-4.560298318,-4.626723216
-4.233549071,-4.469664987,-4.563396303,-4.623930937
-4.216806123,-4.466613303,-4.571643343,-4.623441961
-4.204200251,-4.464476623,-4.582803268,-4.625290585
-4.195203849,-4.463130641,-4.594823118,-4.629118309
-4.189159795,-4.462494183,-4.605964077,-4.634024122
-4.185403691,-4.462439257,-4.614941067,-4.638880145
-4.183319303,-4.4628066,-4.621030136,-4.639417594
-4.182353031,-4.463440625,-4.624084281,-4.646441559
-4.182024645,-4.464210031,-4.624432779,-4.647400807
-4.181942523,-4.465013539,-4.622702429,-4.647632014
-4.181816001,-4.465778432,-4.619632834,-4.650873532
-4.181458677,-4.466457014,-4.615938726,-4.651349476
-4.180782081,-4.467022657,-4.612230585,-4.650507359
-4.179782083,-4.467465627,-4.608978489,-4.649057664
-4.178520572,-4.467788791,-4.606501239,-4.647672609
-4.177104525,-4.468003512,-4.604970034,-4.649734128
-4.175664693,-4.468126044,-4.604421955,-4.644924355
-4.174336077,-4.468174653,-4.604780832,-4.640260213
-4.173242002,-4.468167502,-4.605883416,-4.641801823
-4.172482673,-4.468121248,-4.607508793,-4.639322116
-4.172128347,-4.468050225,-4.609408977,-4.64099425
-4.172216594,-4.467966084,-4.61133855,-4.638648114
-4.172752916,-4.467877775,-4.613081038,-4.641134148
-4.17371385,-4.46779174,-4.614469646,-4.639435831
-4.175051794,-4.467712246,-4.615400311,-4.642419131
-4.176700864,-4.467641774,-4.615835916,-4.640620846
-4.178583257,-4.46758142,-4.615801827,-4.639626325
-4.180615634,-4.46753126,-4.615374256,-4.645115372
-4.182715169,-4.467490687,-4.614663961,-4.644024059
-4.184804891,-4.46745867,-4.613798113,-4.642030758
-4.186818047,-4.467433971,-4.612902933,-4.645410602
-4.188701248,-4.4674153,-4.612089094,-4.642843448
-4.19041628,-4.467401424,-4.611441112,-4.640255391
-4.191940566,-4.467391231,-4.611011283,-4.643549632
-4.193266392,-4.467383769,-4.610818135,-4.641369705
-4.194399113,-4.467378259,-4.610848929,-4.642421696
-4.195354633,-4.467374086,-4.611065425,-4.638982283
-4.196156472,-4.467370786,-4.61141188,-4.640392621
-4.196832734,-4.467368026,-4.611824151,-4.637890275
-4.197413243,-4.467365579,-4.612238717,-4.640313598
-4.197927049,-4.467363303,-4.612600547,-4.63835604
-4.198400428,-4.467361117,-4.612868934,-4.640963696
-4.198855456,-4.467358984,-4.613020793,-4.638919476
-4.199309148,-4.467356898,-4.613051245,-4.641368117
-4.199773125,-4.467354869,-4.612971752,-4.63913639
-4.200253753,-4.467352916,-4.612806366,-4.641423769
-4.200752637,-4.467351058,-4.612586837,-4.639070682
-4.201267395,-4.467349317,-4.612347401,-4.637795042
-4.201792593,-4.467347706,-4.612119989,-4.643087003
-4.202320751,-4.467346237,-4.61193042,-4.642206227
-4.202843331,-4.467344912,-4.611795944,-4.640611936
-4.203351647,-4.467343732,-4.61172424,-4.644462438
-4.20383762,-4.467342693,-4.611713808,-4.642478546
-4.20429437,-4.467341786,-4.611755489,-4.640339686
-4.204716607,-4.467341001,-4.61183477,-4.644033068
-4.205100836,-4.467340328,-4.611934457,-4.642096394
-4.20544538,-4.467339753,-4.612037319,-4.643213313
-4.205750264,-4.467339266,-4.61212836,-4.639658145
-4.206016973,-4.467338854,-4.612196476,-4.640873455
-4.206248145,-4.467338506,-4.612235347,-4.638087145
-4.206447219,-4.467338213,-4.612243564,-4.640231194
-4.206618082,-4.467337966,-4.61222408,-4.638003596
-4.206764743,-4.467337758,-4.612183162,-4.640393352
-4.206891054,-4.467337581,-4.612129043,-4.638216162
-4.207000495,-4.467337431,-4.612070525,-4.640596456
-4.207096019,-4.467337303,-4.612015708,-4.638402975
-4.207179983,-4.467337193,-4.611971005,-4.640769984
-4.207254123,-4.467337099,-4.611940542,-4.638570965
-4.207319598,-4.467337017,-4.611925942,-4.640922491
-4.207377063,-4.467336946,-4.61192649,-4.638713016
-4.20742678,-4.467336884,-4.611939581,-4.641050365
-4.207468738,-4.46733683,-4.611961352,-4.638831045
-4.207502771,-4.467336783,-4.611987396,-4.641159204
-4.207528674,-4.467336741,-4.61201343,-4.638928014
-4.207546297,-4.467336705,-4.612035852,-4.641244281
-4.207555622,-4.467336673,-4.612052117,-4.63899507
-4.207556807,-4.467336645,-4.612060914,-4.641294079
-4.207550212,-4.467336621,-4.61206215,-4.639024397
-4.207536401,-4.467336599,-4.612056771,-4.641305483
-4.207516118,-4.467336581,-4.612046471,-4.639019751
-4.207490258,-4.467336565,-4.612033344,-4.641288202
-4.207459819,-4.467336551,-4.61201954,-4.638995325
-4.207425853,-4.467336538,-4.612006968,-4.641259618
-4.207389417,-4.467336528,-4.611997071,-4.638968681
-4.207351523,-4.467336519,-4.611990711,-4.641236523
-4.207313105,-4.467336511,-4.611988141,-4.638953053
-4.207274983,-4.467336504,-4.611989069,-4.641228224
-4.207237844,-4.467336498,-4.611992784,-4.638952595
-4.207202228,-4.467336493,-4.611998317,-4.641234105
-4.207168535,-4.467336489,-4.612004614,-4.63896262
-4.207137023,-4.467336485,-4.612010688,-4.641246382
-4.207107825,-4.467336482,-4.612015743,-4.638974133
-4.207080971,-4.467336479,-4.612019251,-4.641255869
-4.2070564,-4.467336477,-4.612020976,-4.638979566
-4.207033993,-4.467336475,-4.612020961,-4.641257122
-4.207013584,-4.467336473,-4.612019477,-4.638976405
-4.206994988,-4.467336471,-4.612016947,-4.641250358
-4.206978011,-4.46733647,-4.612013869,-4.638967253
-4.206962466,-4.467336469,-4.612010732,-4.641239918
-4.206948185,-4.467336468,-4.612007958,-4.638957193
-4.206935017,-4.467336467,-4.61200585,-4.641230982
-4.20692284,-4.467336466,-4.612004574,-4.63895056
-4.206911554,-4.467336465,-4.612004159,-4.641226745
-4.206901083,-4.467336465,-4.612004516,-4.638948983
-4.206891369,-4.467336464,-4.612005467,-4.641227384
-4.206882369,-4.467336464,-4.612006785,-4.638951333
-4.206874049,-4.467336463,-4.61200823,-4.641230819
-4.206866381,-4.467336463,-4.612009586,-4.63895505
-4.206859338,-4.467336463,-4.612010684,-4.641234354
-4.206852893,-4.467336463,-4.612011418,-4.638957771
-4.206847015,-4.467336462,-4.612011746,-4.64123612
-4.20684167,-4.467336462,-4.612011688,-4.638958365
-4.206836818,-4.467336462,-4.612011313,-4.641235685
-4.206832418,-4.467336462,-4.61201072,-4.638957072
-4.206828425,-4.467336462,-4.612010022,-4.641233803
-4.206824794,-4.467336462,-4.612009327,-4.638954963
-4.206821481,-4.467336462,-4.612008724,-4.641231693
-4.206818444,-4.467336462,-4.612008278,-4.638953183
-4.206815647,-4.467336461,-4.612008021,-4.641230334
-4.206813055,-4.467336461,-4.612007955,-4.638952402
-4.206810644,-4.467336461,-4.612008057,-4.641230081
-4.20680839,-4.467336461,-4.612008285,-4.638952643
-4.20680628,-4.467336461,-4.612008588,-4.64123069
-4.206804302,-4.467336461,-4.612008913,-4.638953464
-4.206802452,-4.467336461,-4.612009213,-4.641231597
-4.206800728,-4.467336461,-4.612009451,-4.638954289
-4.206799131,-4.467336461,-4.612009607,-4.641232273
-4.206797662,-4.467336461,-4.612009671,-4.638954715
-4.206796326,-4.467336461,-4.612009651,-4.641232452
-4.206795126,-4.467336461,-4.612009561,-4.638954642
-4.206794062,-4.467336461,-4.612009426,-4.64123218
-4.206793137,-4.467336461,-4.612009269,-4.638954236
-4.206792348,-4.467336461,-4.612009116,-4.641231703
-4.206791693,-4.467336461,-4.612008984,-4.638953773
-4.206791168,-4.467336461,-4.612008889,-4.641231293
-4.206790765,-4.467336461,-4.612008835,-4.638953477
-4.206790478,-4.467336461,-4.612008825,-4.641231115
-4.206790296,-4.467336461,-4.612008851,-4.638953431
-4.206790211,-4.467336461,-4.612008904,-4.641231178
-4.206790212,-4.467336461,-4.612008973,-4.638953577
-4.206790289,-4.467336461,-4.612009047,-4.641231376
-4.206790432,-4.467336461,-4.612009113,-4.638953786
-4.206790631,-4.467336461,-4.612009166,-4.641231573
-4.206790878,-4.467336461,-4.612009199,-4.638953938
-4.206791164,-4.467336461,-4.612009212,-4.641231673
-4.206791481,-4.467336461,-4.612009206,-4.638953974
-4.206791824,-4.467336461,-4.612009185,-4.641231655
-4.206792185,-4.467336461,-4.612009155,-4.638953911
-4.20679256,-4.467336461,-4.612009119,-4.64123156
-4.206792943,-4.467336461,-4.612009085,-4.638953805
-4.206793332,-4.467336461,-4.612009056,-4.641231455
-4.206793721,-4.467336461,-4.612009035,-4.638953718
-4.206794108,-4.467336461,-4.612009024,-4.64123139
-4.20679449,-4.467336461,-4.612009022,-4.638953683
-4.206794865,-4.467336461,-4.612009029,-4.641231383
-4.20679523,-4.467336461,-4.612009041,-4.638953701
-4.206795583,-4.467336461,-4.612009057,-4.641231419
-4.206795923,-4.467336461,-4.612009074,-4.638953746
-4.206796249,-4.467336461,-4.612009089,-4.641231467
-4.206796558,-4.467336461,-4.6120091,-4.638953788
-4.206796851,-4.467336461,-4.612009108,-4.641231501
-4.206797126,-4.467336461,-4.61200911,-4.638953809
-4.206797384,-4.467336461,-4.612009109,-4.641231508
-4.206797624,-4.467336461,-4.612009104,-4.638953804
-4.206797847,-4.467336461,-4.612009097,-4.641231494
-4.206798053,-4.467336461,-4.612009089,-4.638953783
-4.206798242,-4.467336461,-4.612009081,-4.64123147
-4.206798415,-4.467336461,-4.612009074,-4.638953761
-4.206798574,-4.467336461,-4.61200907,-4.641231451
-4.206798718,-4.467336461,-4.612009067,-4.638953748
-4.20679885,-4.467336461,-4.612009067,-4.641231444
-4.206798969,-4.467336461,-4.612009069,-4.638953747
-4.206799077,-4.467336461,-4.612009072,-4.641231448
-4.206799175,-4.467336461,-4.612009075,-4.638953755
-4.206799263,-4.467336461,-4.612009079,-4.641231459
-4.206799344,-4.467336461,-4.612009083,-4.638953766
-4.206799416,-4.467336461,-4.612009085,-4.641231468
-4.206799482,-4.467336461,-4.612009087,-4.638953773
