JST,LAX-FRIEDRICH,ROE,AUSM
-5.312206299,-5.446936353,-5.371707245,-5.378136008
-5.047980744,-5.092423172,-5.190357126,-5.195745222
-4.956328844,-4.908406909,-5.138219759,-5.14247853
-4.923299904,-4.810249519,-5.090876975,-5.094812057
-4.880586709,-4.762684555,-5.049895847,-5.044620145
-4.827106673,-4.745451821,-5.018437873,-4.998679474
-4.784720162,-4.744001697,-4.995939728,-4.960822385
-4.760031886,-4.750009769,-4.981906555,-4.933642148
-4.749180837,-4.758207412,-4.974892463,-4.91658268
-4.74664279,-4.765716785,-4.973346647,-4.908112086
-4.746825221,-4.771494891,-4.975802098,-4.907997679
-4.746628972,-4.776409547,-4.980878614,-4.911615256
-4.745125489,-4.77933464,-4.9873097,-4.917327809
-4.743223708,-4.780385433,-4.993989533,-4.923761437
-4.741952762,-4.780375987,-5.000013781,-4.930259529
-4.741665491,-4.780055235,-5.004718841,-4.935994555
-4.742129975,-4.779806285,-5.007729514,-4.940163046
-4.742924019,-4.779718839,-5.008985874,-4.937910192
-4.743714458,-4.779755962,-5.008709732,-4.943073117
-4.744333768,-4.779862186,-5.007310155,-4.939497447
-4.744738706,-4.779998986,-5.005268445,-4.936984379
-4.744946967,-4.78014377,-5.003043358,-4.937877289
-4.744996087,-4.780281874,-5.001012395,-4.936132653
-4.744926936,-4.78040245,-4.999444903,-4.933950973
-4.744780495,-4.78049809,-4.998496755,-4.931968446
-4.74459884,-4.780565356,-4.998218653,-4.930954709
-4.744426146,-4.780604644,-4.998573023,-4.933284152
-4.74430827,-4.780619225,-4.999455733,-4.930968045
-4.744290602,-4.780613987,-5.000719504,-4.929194739
-4.744414467,-4.780594316,-5.002196609,-4.932027379
-4.744712881,-4.780565312,-5.003719259,-4.930463152
-4.745206658,-4.78053135,-5.005136759,-4.933723512
-4.745901735,-4.780495894,-5.006328819,-4.931420345
-4.746788273,-4.780461486,-5.007214515,-4.934942845
-4.747841647,-4.780429819,-5.007756388,-4.932470812
-4.749025141,-4.780401874,-5.007959421,-4.935885867
-4.750293879,-4.780378064,-5.007865236,-4.932948494
-4.751599381,-4.780358382,-5.007542501,-4.931587523
-4.752894108,-4.780342541,-5.007075171,-4.935715707
-4.754135454,-4.780330082,-5.006550387,-4.933570694
-4.755288764,-4.780320472,-5.006047682,-4.931972606
-4.7563292,-4.780313168,-5.005630715,-4.934910867
-4.757242414,-4.780307661,-5.005342176,-4.932311631
-4.758024153,-4.780303509,-5.00520197,-4.930643747
-4.758679029,-4.780300341,-5.005208368,-4.933787274
-4.759218705,-4.780297863,-5.0053415,-4.931620791
-4.759659785,-4.780295854,-5.005568443,-4.934037009
-4.760021659,-4.780294152,-5.005849094,-4.930801385
-4.760324518,-4.780292646,-5.006142073,-4.933499645
-4.760587677,-4.780291265,-5.00641,-4.93058752
-4.760828296,-4.780289966,-5.006623607,-4.933747699
-4.761060511,-4.78028873,-5.006764342,-4.930961063
-4.761294982,-4.780287548,-5.006825308,-4.934141252
-4.761538773,-4.780286422,-5.00681059,-4.931233977
-4.761795538,-4.780285355,-5.006733265,-4.934271293
-4.762065904,-4.780284356,-5.006612477,-4.931236603
-4.762348018,-4.780283429,-5.006470126,-4.934149615
-4.762638167,-4.780282578,-5.006327638,-4.931064107
-4.762931429,-4.780281807,-5.006203262,-4.929793743
-4.763222299,-4.780281115,-5.006110171,-4.934097263
-4.763505255,-4.780280501,-5.006055504,-4.932442087
-4.763775226,-4.78027996,-5.006040337,-4.93134068
-4.76402795,-4.780279488,-5.006060446,-4.934861305
-4.764260211,-4.78027908,-5.006107644,-4.932758004
-4.764469947,-4.78027873,-5.006171438,-4.931380727
-4.764656254,-4.78027843,-5.006240737,-4.934791482
-4.764819295,-4.780278175,-5.0063054,-4.932647349
-4.764960135,-4.780277959,-5.006357423,-4.934956737
-4.765080532,-4.780277776,-5.006391686,-4.931452737
-4.765182712,-4.780277621,-5.0064062,-4.933843255
-4.765269138,-4.780277491,-5.006401912,-4.930593511
-4.765342304,-4.780277381,-5.006382139,-4.933444753
-4.765404562,-4.780277287,-5.006351773,-4.930426009
-4.765457989,-4.780277207,-5.006316388,-4.933440249
-4.765504301,-4.78027714,-5.006281394,-4.930485255
-4.765544813,-4.780277081,-5.006251335,-4.933543161
-4.765580441,-4.780277031,-5.006229415,-4.930619839
-4.765611732,-4.780276988,-5.006217266,-4.933684632
-4.765638923,-4.780276951,-5.006214978,-4.930776312
-4.76566202,-4.780276918,-5.006221312,-4.933833102
-4.765680872,-4.78027689,-5.006234077,-4.930925087
-4.765695261,-4.780276865,-5.006250563,-4.933971718
-4.765704968,-4.780276843,-5.006267983,-4.931054313
-4.765709838,-4.780276824,-5.006283861,-4.934086648
-4.765709821,-4.780276807,-5.006296312,-4.931150581
-4.765705004,-4.780276793,-5.006304204,-4.934162017
-4.765695617,-4.78027678,-5.006307193,-4.931202949
-4.765682031,-4.780276769,-5.006305647,-4.934191777
-4.765664741,-4.780276759,-5.006300484,-4.931213197
-4.765644337,-4.780276751,-5.006292965,-4.934184527
-4.765621473,-4.780276744,-5.006284466,-4.931195404
-4.765596832,-4.780276737,-5.006276281,-4.934158631
-4.765571091,-4.780276732,-5.006269454,-4.931169011
-4.765544891,-4.780276727,-5.006264685,-4.934133675
-4.765518811,-4.780276723,-5.006262284,-4.931150604
-4.765493348,-4.78027672,-5.006262197,-4.934122648
-4.765468908,-4.780276717,-5.006264066,-4.931148007
-4.765445796,-4.780276714,-5.00626733,-4.934128057
-4.765424222,-4.780276712,-5.006271329,-4.931158981
-4.765404306,-4.78027671,-5.006275411,-4.934143341
-4.765386088,-4.780276708,-5.006279018,-4.931174737
-4.765369541,-4.780276706,-5.006281743,-4.934158286
-4.765354589,-4.780276705,-5.006283363,-4.931185885
-4.76534112,-4.780276704,-5.006283841,-4.934165068
-4.765328999,-4.780276703,-5.006283296,-4.931187403
-4.765318082,-4.780276702,-5.006281965,-4.934161713
-4.765308227,-4.780276702,-5.006280153,-4.931180209
-4.765299302,-4.780276701,-5.006278179,-4.934151725
-4.765291187,-4.780276701,-5.006276333,-4.931169307
-4.765283782,-4.7802767,-5.006274841,-4.934141003
-4.765277004,-4.7802767,-5.006273843,-4.931160287
-4.765270787,-4.780276699,-5.006273393,-4.934134318
-4.76526508,-4.780276699,-5.006273462,-4.931156425
-4.765259846,-4.780276699,-5.006273956,-4.934133287
-4.765255054,-4.780276699,-5.006274741,-4.931157715
-4.765250682,-4.780276698,-5.006275665,-4.934136463
-4.765246708,-4.780276698,-5.006276582,-4.931161785
-4.765243112,-4.780276698,-5.006277372,-4.934140901
-4.765239873,-4.780276698,-5.00627795,-4.931165709
-4.765236968,-4.780276698,-5.006278273,-4.934143984
-4.765234368,-4.780276698,-5.00627834,-4.93116755
-4.765232047,-4.780276698,-5.006278184,-4.934144557
-4.765229973,-4.780276698,-5.006277861,-4.931166963
-4.765228116,-4.780276697,-5.006277442,-4.93414301
-4.765226444,-4.780276697,-5.006276997,-4.931164865
-4.765224928,-4.780276697,-5.00627659,-4.934140625
-4.765223542,-4.780276697,-5.006276268,-4.931162615
-4.765222263,-4.780276697,-5.006276061,-4.934138699
-4.76522107,-4.780276697,-5.006275976,-4.93116125
-4.76521995,-4.780276697,-5.006276006,-4.934137945
-4.765218891,-4.780276697,-5.006276127,-4.931161101
-4.765217887,-4.780276697,-5.006276309,-4.934138332
-4.765216934,-4.780276697,-5.006276517,-4.931161851
-4.765216033,-4.780276697,-5.006276721,-4.934139324
-4.765215186,-4.780276697,-5.006276893,-4.931162868
-4.765214396,-4.780276697,-5.006277016,-4.934140266
-4.765213667,-4.780276697,-5.006277082,-4.931163588
-4.765213005,-4.780276697,-5.006277091,-4.934140722
-4.765212412,-4.780276697,-5.006277052,-4.93116375
-4.765211892,-4.780276697,-5.006276976,-4.93414061
-4.765211447,-4.780276697,-5.006276881,-4.931163429
-4.765211077,-4.780276697,-5.006276782,-4.934140136
-4.765210781,-4.780276697,-5.006276692,-4.931162906
-4.765210557,-4.780276697,-5.006276622,-4.934139619
-4.765210401,-4.780276697,-5.006276578,-4.931162477
-4.765210308,-4.780276697,-5.006276562,-4.934139307
-4.765210274,-4.780276697,-5.00627657,-4.931162308
-4.765210292,-4.780276697,-5.006276599,-4.93413928
-4.765210356,-4.780276697,-5.006276641,-4.931162399
-4.765210461,-4.780276697,-5.006276688,-4.934139464
-4.7652106,-4.780276697,-5.006276733,-4.931162626
-4.765210768,-4.780276697,-5.006276771,-4.934139707
-4.76521096,-4.780276697,-5.006276798,-4.93116284
-4.76521117,-4.780276697,-5.006276812,-4.934139874
-4.765211395,-4.780276697,-5.006276813,-4.931162942
-4.765211632,-4.780276697,-5.006276803,-4.934139908
-4.765211875,-4.780276697,-5.006276786,-4.931162915
-4.765212124,-4.780276697,-5.006276764,-4.93413983
-4.765212375,-4.780276697,-5.006276742,-4.931162808
-4.765212627,-4.780276697,-5.006276722,-4.934139709
-4.765212876,-4.780276697,-5.006276706,-4.931162695
-4.765213122,-4.780276697,-5.006276697,-4.934139614
-4.765213362,-4.780276697,-5.006276694,-4.931162628
-4.765213597,-4.780276697,-5.006276696,-4.93413958
-4.765213823,-4.780276697,-5.006276703,-4.931162626
-4.76521404,-4.780276697,-5.006276712,-4.934139604
-4.765214248,-4.780276697,-5.006276723,-4.931162668
-4.765214445,-4.780276697,-5.006276733,-4.934139657
-4.765214631,-4.780276697,-5.006276742,-4.931162721
-4.765214806,-4.780276697,-5.006276747,-4.934139706
-4.765214969,-4.780276697,-5.00627675,-4.931162757
-4.76521512,-4.780276697,-5.00627675,-4.934139727
-4.765215259,-4.780276697,-5.006276748,-4.931162764
-4.765215386,-4.780276697,-5.006276744,-4.93413972
-4.765215503,-4.780276697,-5.006276739,-4.931162746
-4.765215609,-4.780276697,-5.006276734,-4.934139696
-4.765215705,-4.780276697,-5.00627673,-4.93116272
-4.765215791,-4.780276697,-5.006276726,-4.934139671
-4.765215869,-4.780276697,-5.006276724,-4.9311627
-4.765215938,-4.780276697,-5.006276723,-4.934139657
-4.765216001,-4.780276697,-5.006276724,-4.931162694
-4.765216057,-4.780276697,-5.006276726,-4.934139657
-4.765216107,-4.780276697,-5.006276728,-4.931162699
-4.765216152,-4.780276697,-5.00627673,-4.934139667
-4.765216192,-4.780276697,-5.006276733,-4.931162711
-4.765216227,-4.780276697,-5.006276735,-4.934139679
-4.765216259,-4.780276697,-5.006276736,-4.931162721
-4.765216288,-4.780276697,-5.006276736,-4.934139686
-4.765216313,-4.780276697,-5.006276736,-4.931162725
-4.765216336,-4.780276697,-5.006276736,-4.934139688
-4.765216356,-4.780276697,-5.006276735,-4.931162724
-4.765216374,-4.780276697,-5.006276734,-4.934139684
-4.76521639,-4.780276697,-5.006276733,-4.931162719
-4.765216404,-4.780276697,-5.006276732,-4.934139678
-4.765216416,-4.780276697,-5.006276731,-4.931162713
-4.765216426,-4.780276697,-5.00627673,-4.934139674
-4.765216435,-4.780276697,-5.00627673,-4.93116271
-4.765216443,-4.780276697,-5.00627673,-4.934139672
-4.76521645,-4.780276697,-5.006276731,-4.931162711
-4.765216455,-4.780276697,-5.006276731,-4.934139674
-4.765216459,-4.780276697,-5.006276732,-4.931162713
-4.765216462,-4.780276697,-5.006276732,-4.934139676
-4.765216465,-4.780276697,-5.006276733,-4.931162715
-4.765216466,-4.780276697,-5.006276733,-4.934139678
-4.765216467,-4.780276697,-5.006276733,-4.931162717
-4.765216468,-4.780276697,-5.006276733,-4.934139679
-4.765216467,-4.780276697,-5.006276733,-4.931162717
-4.765216466,-4.780276697,-5.006276733,-4.934139679
-4.765216465,-4.780276697,-5.006276733,-4.931162716
-4.765216463,-4.780276697,-5.006276732,-4.934139678
-4.765216461,-4.780276697,-5.006276732,-4.931162715
-4.765216458,-4.780276697,-5.006276732,-4.934139677
-4.765216455,-4.780276697,-5.006276732,-4.931162714
-4.765216452,-4.780276697,-5.006276732,-4.934139676
-4.765216448,-4.780276697,-5.006276732,-4.931162714
-4.765216445,-4.780276697,-5.006276732,-4.934139676
-4.765216441,-4.780276697,-5.006276732,-4.931162714
-4.765216437,-4.780276697,-5.006276732,-4.934139676
-4.765216433,-4.780276697,-5.006276732,-4.931162715
-4.765216428,-4.780276697,-5.006276732,-4.934139677
-4.765216424,-4.780276697,-5.006276732,-4.931162715
-4.76521642,-4.780276697,-5.006276732,-4.934139677
-4.765216416,-4.780276697,-5.006276732,-4.931162715
-4.765216412,-4.780276697,-5.006276732,-4.934139677
-4.765216408,-4.780276697,-5.006276732,-4.931162715
-4.765216404,-4.780276697,-5.006276732,-4.934139677
-4.765216401,-4.780276697,-5.006276732,-4.931162715
-4.765216397,-4.780276697,-5.006276732,-4.934139677
-4.765216394,-4.780276697,-5.006276732,-4.931162715
-4.765216391,-4.780276697,-5.006276732,-4.934139677
-4.765216388,-4.780276697,-5.006276732,-4.931162715
-4.765216385,-4.780276697,-5.006276732,-4.934139677
-4.765216382,-4.780276697,-5.006276732,-4.931162715
-4.76521638,-4.780276697,-5.006276732,-4.934139677
-4.765216378,-4.780276697,-5.006276732,-4.931162715
-4.765216376,-4.780276697,-5.006276732,-4.934139677
-4.765216374,-4.780276697,-5.006276732,-4.931162715
-4.765216372,-4.780276697,-5.006276732,-4.934139677
-4.76521637,-4.780276697,-5.006276732,-4.931162715
-4.765216369,-4.780276697,-5.006276732,-4.934139677
-4.765216368,-4.780276697,-5.006276732,-4.931162715
-4.765216367,-4.780276697,-5.006276732,-4.934139677
-4.765216366,-4.780276697,-5.006276732,-4.931162715
-4.765216365,-4.780276697,-5.006276732,-4.934139677
-4.765216364,-4.780276697,-5.006276732,-4.931162715
-4.765216363,-4.780276697,-5.006276732,-4.934139677
-4.765216363,-4.780276697,-5.006276732,-4.931162715
-4.765216362,-4.780276697,-5.006276732,-4.934139677
-4.765216362,-4.780276697,-5.006276732,-4.931162715
-4.765216361,-4.780276697,-5.006276732,-4.934139677
-4.765216361,-4.780276697,-5.006276732,-4.931162715
