"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 1.000015044219873e+00, 2.666989594183269e-02, -1.226894721492563e-02, 4.672625305042095e-05, 2.353215361315060e-05, -1.610183340162074e-07, 3.633867323329382e-02, -1.420541127397891e+00, 1.351284897207626e+00
1, 9.796669247881876e-01, 3.017629686461265e-02, -3.245735361369046e-03, 2.650620895042506e-05, 4.730510784289039e-05, -7.746133458476427e-08, 1.213132015220268e-01, 6.930813885670226e-01, -7.036079283736074e-01
2, 9.593012682388907e-01, 3.356865748526817e-02, -3.696235361845986e-03, 2.416453050060826e-05, 3.160862397123866e-05, -6.883582916383676e-08, 2.489605719515947e-02, 1.700215431690353e-01, -1.718098570856607e-01
3, 9.389240937610565e-01, 3.685067175120948e-02, -4.040334267918626e-03, 2.443083949384057e-05, 2.425041277258459e-05, -5.287161140943425e-08, 1.136686524801236e-02, 7.791340258635036e-02, -7.873232929705162e-02
4, 9.185362927966563e-01, 4.002517347893636e-02, -3.805337784320848e-03, 1.995584743009265e-05, 2.120018005342232e-05, -5.468569741856656e-08, 3.456657065408335e-03, 2.605814423135626e-02, -2.628114561618331e-02
5, 8.981366998630971e-01, 4.309420034267342e-02, -3.330766394367051e-03, 1.734920549356570e-05, 1.622191311696504e-05, -5.164231400132894e-08, 4.854230973228767e-03, 3.235024563759518e-02, -3.271233815419048e-02
6, 8.777261729027004e-01, 4.605971195883681e-02, -3.187351725456292e-03, 1.613029333628736e-05, 1.528625340720248e-05, -4.889091349834281e-08, 4.889968301380101e-03, 3.554235231967245e-02, -3.587669749625195e-02
7, 8.573055742463662e-01, 4.892317054042428e-02, -3.113897241050160e-03, 1.591749280317152e-05, 1.127799916028155e-05, -4.407215979963093e-08, 4.887171671884859e-03, 3.411323534990145e-02, -3.446102599475496e-02
8, 8.368760320457076e-01, 5.168601827812902e-02, -3.316909232707524e-03, 1.685310367426212e-05, 1.111282923903851e-05, -3.871922605047662e-08, 1.014969920932667e-03, 8.836094038357081e-03, -8.892815106736321e-03
9, 8.164361055720626e-01, 5.434893408507391e-02, -3.339267704226563e-03, 1.604191650414378e-05, 9.408738893377616e-06, -3.740415858847988e-08, 1.842591765585506e-03, 1.514074436348977e-02, -1.525217289799685e-02
10, 7.959878508590067e-01, 5.691310548158061e-02, -3.255840087441584e-03, 1.542595363926773e-05, 7.888905358324742e-06, -3.488913520082552e-08, 1.851113177887502e-03, 1.533014184215007e-02, -1.544146131293519e-02
11, 7.755307053367915e-01, 5.937908452403624e-02, -3.150597998405846e-03, 1.437088109593162e-05, 7.086166692826803e-06, -3.293932228133722e-08, 1.653776904789946e-03, 1.451095771193838e-02, -1.460477011478280e-02
12, 7.550656652341158e-01, 6.174637455051509e-02, -3.086251502084784e-03, 1.403507226570503e-05, 5.998607507646416e-06, -3.099054187133359e-08, 2.530022728279639e-03, 2.343190031071037e-02, -2.356777249763618e-02
13, 7.345927108383778e-01, 6.401512193522541e-02, -2.992201577151500e-03, 1.358546940321031e-05, 5.658024207839351e-06, -2.869732539000612e-08, 1.068578278971194e-03, 1.108838637173985e-02, -1.113896991617441e-02
14, 7.141116393693807e-01, 6.618482873592400e-02, -3.031767245281133e-03, 1.336935332766369e-05, 5.466219153865119e-06, -2.739255154943437e-08, -4.248565291139518e-05, 2.946197481464337e-03, -2.926177206373323e-03
15, 6.936244969471849e-01, 6.825435334550098e-02, -2.794614213026327e-03, 1.236860426422678e-05, 4.611317938100025e-06, -2.659312124967781e-08, 1.197977887468530e-04, 3.986058217295941e-03, -3.978597203375589e-03
16, 6.731291517953719e-01, 7.022266723031517e-02, -2.641596369591862e-03, 1.162222850566182e-05, 4.004738984136447e-06, -2.484255448441969e-08, -3.741929673837979e-04, -1.457465434836582e-03, 1.485972906243498e-03
17, 6.526286776806557e-01, 7.208775236892685e-02, -2.547999902875643e-03, 1.119313673930862e-05, 3.637278105572534e-06, -2.346832232218276e-08, 4.778148645834782e-05, 2.223390056985458e-03, -2.218959733040430e-03
18, 6.321217416664916e-01, 7.384799528425071e-02, -2.486280014463078e-03, 1.093535576237312e-05, 3.004710234876446e-06, -2.255786413053809e-08, 8.041317433705525e-05, -4.234713069529782e-05, 3.553260325415522e-05
19, 6.116089929496697e-01, 7.550126961785678e-02, -2.436246373568911e-03, 1.052893219146263e-05, 3.096773556490473e-06, -2.198784011323691e-08, -2.411330600860710e-04, -2.680163881517054e-03, 2.690795720743603e-03
20, 5.910904508438799e-01, 7.704388747720564e-02, -2.464252157839936e-03, 1.095029606052773e-05, 3.220696959012225e-06, -2.098453814495315e-08, 1.175055910901975e-03, 5.147156157164305e-03, -5.218591556739921e-03
21, 5.705679962430434e-01, 7.847370615824263e-02, -2.498536188214159e-03, 1.118969420442010e-05, 4.107818456200153e-06, -2.051844266531757e-08, -1.571167865326071e-03, -8.323667159584430e-02, 8.315619846158230e-02
22, 5.500414833868208e-01, 7.978701460938548e-02, -2.622196824190929e-03, 1.022264853338252e-05, 1.524996443985217e-06, -1.601628364920578e-08, -3.362975073668994e-02, -3.115191950658081e-01, 3.129894289559287e-01
23, 5.295112561460135e-01, 8.097984501648198e-02, -1.905523947256594e-03, 6.418725652902110e-06, -7.024671173914609e-06, -2.867947720220688e-09, -9.566092233982708e-03, -2.021008958141450e-01, 2.023212340872051e-01
