JST,LAX-FRIEDRICH
0.1971544723,0.1394043006
0.2377811434,0.1879515794
0.2652186626,0.2134632963
0.3030513705,0.237500074
0.3450588336,0.2617712032
0.3852026339,0.2843442673
0.4219407424,0.303931766
0.4559824085,0.3203411376
0.4875787191,0.3339362567
0.5170190801,0.3452115794
0.5443040689,0.3546193138
0.5691949938,0.3624694115
0.5912021259,0.3689758832
0.6099075328,0.3743206881
0.6252487097,0.3786490654
0.6374324369,0.3820874981
0.6465298162,0.3848371329
0.6529883354,0.3870014307
0.6574345468,0.3886829494
0.6604775952,0.3899815015
0.6626105038,0.3909692019
0.6643107977,0.3917227133
0.6659765949,0.3923008584
0.6679301033,0.3927514266
0.6704007927,0.3931130336
0.6734028561,0.3934083109
0.6768796671,0.3936507378
0.6807248277,0.3938564302
0.6848110075,0.3940378324
0.6889903454,0.3942007328
0.6930961899,0.3943473269
0.6969520858,0.3944796606
0.7004035296,0.3945985273
0.7033380819,0.3947059904
0.7056879103,0.3948032471
0.7074126031,0.3948906163
0.7085514762,0.3949683356
0.7091501468,0.3950368143
0.7093296832,0.3950966415
0.7091680991,0.3951488254
0.7087369628,0.3951935624
0.7081439881,0.3952313097
0.7074907402,0.3952627312
0.7068541745,0.3952887295
0.7062957322,0.3953101439
0.7058620744,0.3953276576
0.7055730175,0.3953419686
0.705415056,0.3953536657
0.7053589533,0.3953630881
0.7053752567,0.3953706085
0.7054324113,0.3953766598
0.7054958282,0.3953815459
0.7055337597,0.3953855068
0.70552365,0.3953887499
0.7054507795,0.3953914329
0.7052999845,0.3953936567
0.7050730304,0.3953955084
0.7047898926,0.3953970653
0.7044634419,0.3953983796
0.7041085956,0.3953994977
0.703747828,0.3954004539
0.7033967943,0.3954012733
0.7030692439,0.3954019759
0.7027737607,0.3954025785
0.7025158546,0.3954030962
0.7022990546,0.3954035403
0.7021231425,0.3954039158
0.7019822052,0.3954042326
0.7018669755,0.3954044991
0.7017685851,0.3954047225
0.7016811332,0.3954049092
0.7015984966,0.395405065
0.7015104563,0.3954051947
0.7014109207,0.3954053023
0.7013018446,0.3954053912
0.7011842625,0.3954054645
0.7010570174,0.3954055252
0.700922257,0.3954055754
0.7007836048,0.3954056169
0.7006456721,0.3954056515
0.7005121492,0.3954056804
0.7003858874,0.3954057046
0.7002694823,0.3954057249
0.7001648823,0.3954057418
0.7000730818,0.3954057561
0.6999940596,0.3954057681
0.6999268417,0.3954057784
0.6998698314,0.3954057871
0.6998212144,0.3954057945
0.6997789445,0.3954058007
0.6997417618,0.395405806
0.6997082367,0.3954058105
0.6996759185,0.3954058143
0.6996424847,0.3954058175
0.6996078271,0.3954058202
0.699573107,0.3954058224
0.6995380105,0.3954058243
0.69950306,0.3954058259
0.6994684134,0.3954058272
0.6994345167,0.3954058283
0.6994024822,0.3954058292
0.6993730609,0.39540583
0.6993465637,0.3954058306
0.6993230549,0.3954058311
0.6993024824,0.3954058316
0.6992847032,0.3954058319
0.6992694628,0.3954058322
0.6992563976,0.3954058325
0.6992450748,0.3954058327
0.6992350487,0.3954058329
0.6992259062,0.395405833
0.699217294,0.3954058331
0.6992089321,0.3954058332
0.6992006224,0.3954058333
0.6991919799,0.3954058334
0.69918297,0.3954058335
0.6991742327,0.3954058335
0.6991660714,0.3954058336
0.6991581712,0.3954058336
0.6991505311,0.3954058336
0.6991434273,0.3954058337
0.6991370254,0.3954058337
0.6991313708,0.3954058337
0.6991264532,0.3954058337
0.6991222396,0.3954058337
0.6991186769,0.3954058338
0.6991156875,0.3954058338
0.6991131736,0.3954058338
0.6991110289,0.3954058338
0.6991091498,0.3954058338
0.6991074441,0.3954058338
0.6991058348,0.3954058338
0.6991042631,0.3954058338
0.6991026902,0.3954058338
0.6991010995,0.3954058338
0.6990994941,0.3954058338
0.6990978915,0.3954058338
0.6990963199,0.3954058338
0.6990948149,0.3954058338
0.699093412,0.3954058338
0.6990921378,0.3954058338
0.6990910067,0.3954058338
0.6990900237,0.3954058338
0.6990891871,0.3954058338
0.6990884903,0.3954058338
0.6990879197,0.3954058338
0.699087456,0.3954058338
0.6990870763,0.3954058338
0.6990867576,0.3954058338
0.6990864789,0.3954058338
0.6990862224,0.3954058338
0.6990859735,0.3954058338
0.6990857222,0.3954058338
0.6990854539,0.3954058338
0.6990851695,0.3954058338
0.6990848837,0.3954058338
0.6990846128,0.3954058338
0.6990843565,0.3954058338
0.6990841089,0.3954058338
0.6990838791,0.3954058338
0.6990836747,0.3954058338
0.699083499,0.3954058338
0.6990833532,0.3954058338
0.6990832371,0.3954058338
0.6990831484,0.3954058338
0.6990830835,0.3954058338
0.6990830374,0.3954058338
0.699083005,0.3954058338
0.6990829814,0.3954058338
0.6990829623,0.3954058338
0.6990829443,0.3954058338
0.6990829244,0.3954058338
0.6990829002,0.3954058338
0.6990828715,0.3954058338
0.6990828399,0.3954058338
0.6990828072,0.3954058338
0.6990827747,0.3954058338
0.6990827429,0.3954058338
0.6990827133,0.3954058338
0.6990826867,0.3954058338
0.6990826644,0.3954058338
0.6990826471,0.3954058338
0.6990826353,0.3954058338
0.6990826288,0.2884244033
0.6990826269,0.2621539549
0.6990826283,0.2563488887
0.6990826324,0.2509225536
0.6990826381,0.2421352997
0.6990826445,0.2318689133
0.6990826507,0.2224331202
0.6990826561,0.2148925587
0.6990826602,0.2092905647
0.6990826631,0.2051794171
0.6990826647,0.202112988
