"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.257210000000000e-03, 5.599010612520296e-06, 2.076765022191510e-02, -1.145141336140449e+04, -1.102684673266465e+04, 8.477456768395463e+02, 1.747840883101225e+03
1, 9.798550000000000e-01, 5.416750000000000e-03, -9.736982885354696e-05, 2.022967352399097e-02, -1.273471132058324e+04, -8.754189323264562e+03, 1.481303956276115e+03, 4.962015821685275e+03
2, 9.596080000000000e-01, 9.461560000000001e-03, -1.970381945346657e-04, 1.969144982382323e-02, -1.529473716931051e+04, -5.274175179917631e+03, 4.392532616523792e+03, 1.332625355199903e+04
3, 9.393450000000000e-01, 1.339430000000000e-02, -2.931991186885621e-04, 1.915373327370845e-02, -2.020439018878206e+04, -2.798776566877884e+03, 7.467898199327630e+03, 2.293541801705606e+04
4, 9.190670000000000e-01, 1.721730000000000e-02, -3.857942405811497e-04, 1.861715624075157e-02, -3.267183185663480e+04, -2.165146902530133e+03, 1.073271683180926e+04, 3.730177836586619e+04
5, 8.987730000000000e-01, 2.093270000000000e-02, -4.748842502893310e-04, 1.808191615694590e-02, -4.032393673996592e+04, -1.325570012883223e+03, 1.277815287104400e+04, 4.662614471048524e+04
6, 8.784640000000000e-01, 2.454230000000000e-02, -5.605484547740996e-04, 1.754829770385181e-02, -4.752309237586144e+04, -1.268846631646268e+03, 1.416251047591727e+04, 5.423801306545173e+04
7, 8.581410000000000e-01, 2.804760000000000e-02, -6.428792290445306e-04, 1.701640418739592e-02, -5.557187451019824e+04, 6.654566775107332e+01, 1.520062026938767e+04, 6.340243864548521e+04
8, 8.378050000000000e-01, 3.144970000000000e-02, -7.217489568328196e-04, 1.648663890103055e-02, -8.273213683491541e+04, 2.966278373628726e+03, 1.658321996149021e+04, 9.189249755241555e+04
9, 8.174540000000000e-01, 3.474970000000000e-02, -7.966657393804814e-04, 1.595870530088381e-02, -9.505370070500165e+04, 2.752260726934749e+03, 2.388429504871415e+04, 1.088478033380626e+05
10, 7.970910000000000e-01, 3.794800000000000e-02, -8.684209971520593e-04, 1.543336255015019e-02, -1.031935532606992e+05, 3.625501534359668e+03, 2.152991130918939e+04, 1.151714321836628e+05
11, 7.767150000000000e-01, 4.104500000000000e-02, -9.366248161484034e-04, 1.491080174005421e-02, -1.251702828599868e+05, 4.171633566114323e+03, 2.408302417263866e+04, 1.380191999613682e+05
12, 7.563270000000000e-01, 4.404060000000000e-02, -1.001272609672547e-03, 1.439071379625213e-02, -1.423267395448566e+05, 5.736532699411633e+03, 2.483045315182416e+04, 1.561695815534511e+05
13, 7.359270000000000e-01, 4.693450000000000e-02, -1.062370874648729e-03, 1.387354177958383e-02, -1.568451767189154e+05, 5.969897305560543e+03, 2.649704943655543e+04, 1.712224367452135e+05
14, 7.155150000000000e-01, 4.972610000000000e-02, -1.120101868188586e-03, 1.335942164103440e-02, -1.697930953123506e+05, 6.403697104649415e+03, 2.772767608555651e+04, 1.847176378759255e+05
15, 6.950930000000000e-01, 5.241420000000000e-02, -1.174422392547551e-03, 1.284843477384967e-02, -1.814772487124662e+05, 8.323449206505480e+03, 2.810896170910359e+04, 1.979514077848000e+05
16, 6.746590000000000e-01, 5.499760000000000e-02, -1.225455058582321e-03, 1.234078444257212e-02, -2.157637767200371e+05, 1.356380495206650e+04, 2.715595794124705e+04, 2.356712199705396e+05
17, 6.542150000000000e-01, 5.747460000000000e-02, -1.272180091851775e-03, 1.183617198413113e-02, -2.315886386629384e+05, 1.197684758814862e+04, 3.498511319261272e+04, 2.534166108863588e+05
18, 6.337610000000000e-01, 5.984290000000000e-02, -1.315870912465313e-03, 1.133530272283900e-02, -2.378440711799079e+05, 1.189878194291694e+04, 3.064128606004945e+04, 2.571517962830204e+05
19, 6.132970000000000e-01, 6.210030000000000e-02, -1.355917419896284e-03, 1.083824987182386e-02, -2.594710936412924e+05, 1.115871575896195e+04, 3.166836981898476e+04, 2.779425054287054e+05
20, 5.928230000000000e-01, 6.424370000000000e-02, -1.392323033015096e-03, 1.034443738539490e-02, -2.689561353533368e+05, 1.152687828661660e+04, 3.377787906381794e+04, 2.885039018743939e+05
21, 5.723410000000000e-01, 6.627000000000000e-02, -1.425217124519528e-03, 9.854811843023566e-03, -3.001055744345951e+05, 1.371805933948095e+04, 2.950340226398868e+04, 3.193228399218702e+05
22, 5.518500000000000e-01, 6.817540000000000e-02, -1.453784401152184e-03, 9.369039725564571e-03, -3.261887622552154e+05, 1.418186916297513e+04, 3.163669714991532e+04, 3.462018040944321e+05
23, 5.313510000000000e-01, 6.995570000000000e-02, -1.478555190637237e-03, 8.887577786029820e-03, -3.451952771811671e+05, 1.508540331717895e+04, 3.255492649972173e+04, 3.661167323381443e+05
24, 5.108440000000000e-01, 7.160630000000000e-02, -1.499363322538910e-03, 8.410515889452082e-03, -3.660614000969326e+05, 1.697931372370588e+04, 3.056615400161198e+04, 3.878883183675751e+05
25, 4.903300000000000e-01, 7.312210000000000e-02, -1.516050200203097e-03, 7.938552858255135e-03, -3.815502327399782e+05, 2.745533104038695e+04, 3.011679790593440e+04, 4.134170258561225e+05
26, 4.698100000000000e-01, 7.449720000000000e-02, -1.528830421306230e-03, 7.471180560492945e-03, -3.932522835844095e+05, 4.189561049197434e+04, 3.241732037846696e+04, 4.399513840882792e+05
27, 4.492840000000000e-01, 7.572540000000000e-02, -1.537584723132687e-03, 7.008131802452356e-03, -4.462519899219057e+05, 4.823807600515916e+04, 2.925195471534429e+04, 4.979388845222145e+05
28, 4.287520000000000e-01, 7.679970000000000e-02, -1.540729091082406e-03, 6.549162487379456e-03, -4.800532767418595e+05, 4.801903445693903e+04, 3.276889435034916e+04, 5.321236393946599e+05
29, 4.082160000000000e-01, 7.771220000000000e-02, -1.539421638640766e-03, 6.096071695113029e-03, -5.330039587437967e+05, 4.873438429848633e+04, 2.208373083677691e+04, 5.834126022261310e+05
