"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,           0,      -3.168306375,      -5.332784052,      -5.374171236,                 0,      -8.064904376
          0,           0,           1,      -2.780393796,      -5.001057775,      -5.191720848,                 0,      -7.944961742
          0,           0,           2,      -2.527438861,      -4.881495538,      -5.141196693,                 0,      -7.817919585
          0,           0,           3,       -2.29813492,      -4.819065058,      -5.096141365,                 0,      -7.653395496
          0,           0,           4,      -2.107452881,      -4.763044814,      -5.057035265,                 0,      -7.486185864
          0,           0,           5,      -1.970028729,      -4.711112916,      -5.026833239,                 0,      -7.356319256
          0,           0,           6,      -1.874042353,      -4.666917066,       -5.00588541,                 0,      -7.263259916
          0,           0,           7,      -1.810310761,      -4.634470565,      -4.993922346,                 0,      -7.200746062
          0,           0,           8,      -1.772238372,      -4.615074075,      -4.989447542,                 0,      -7.163067677
          0,           0,           9,      -1.755108782,       -4.60798456,      -4.990874983,                 0,      -7.145833176
          0,           0,          10,       -1.75940325,      -4.615373813,      -4.995585972,                 0,      -7.149711674
          0,           0,          11,      -1.764774233,      -4.622199697,      -5.006627683,                 0,      -7.154361011
          0,           0,          12,      -1.792483588,      -4.642437233,      -5.017035207,                 0,      -7.181514911
          0,           0,          13,      -1.818827928,      -4.659510489,      -5.029213079,                 0,       -7.20695115
          0,           0,          14,      -1.860665603,      -4.681647149,      -5.037932237,                 0,      -7.248071287
          0,           0,          15,      -1.908851155,      -4.706215199,      -5.046069456,                 0,      -7.295137075
          0,           0,          16,      -1.959716722,      -4.732325547,      -5.054800195,                 0,      -7.344726135
          0,           0,          17,      -1.994248082,      -4.753260335,      -5.065724088,                 0,      -7.377159712
          0,           0,          18,      -2.022682286,      -4.768126993,      -5.071543941,                 0,      -7.404292622
          0,           0,          19,      -2.043669584,      -4.776253826,      -5.073716428,                 0,      -7.424817854
          0,           0,          20,      -2.057233017,      -4.779434233,       -5.07364331,                 0,      -7.438330588
          0,           0,          21,      -2.063395341,      -4.779558152,      -5.072211529,                 0,      -7.444572602
          0,           0,          22,      -2.062589366,      -4.777813498,      -5.069975394,                 0,       -7.44393322
          0,           0,          23,      -2.056124326,      -4.774844264,      -5.067374712,                 0,      -7.437751626
          0,           0,          24,      -2.046043984,       -4.77112981,       -5.06477384,                 0,      -7.428058193
          0,           0,          25,       -2.03458328,      -4.767196209,      -5.062451378,                 0,      -7.417021255
          0,           0,          26,      -2.023625998,       -4.76358792,      -5.060603303,                 0,      -7.406445494
          0,           0,          27,      -2.014445717,      -4.760744538,      -5.059347553,                 0,      -7.397547539
          0,           0,          28,      -2.007725798,       -4.75892259,       -5.05872661,                 0,      -7.390986622
          0,           0,          29,      -2.003703886,      -4.758194672,      -5.058715006,                 0,      -7.387002746
          0,           0,          30,      -2.002318471,      -4.758492888,      -5.059233531,                 0,      -7.385551588
          0,           0,          31,      -2.003312565,      -4.759658982,      -5.060166559,                 0,      -7.386398643
          0,           0,          32,      -2.006297776,      -4.761483487,      -5.061378778,                 0,      -7.389178212
          0,           0,          33,      -2.010796704,      -4.763732991,      -5.062729754,                 0,      -7.393434229
          0,           0,          34,       -2.01627853,      -4.766170703,      -5.064086116,                 0,      -7.398655917
          0,           0,          35,      -2.022195198,      -4.768574377,      -5.065331464,                 0,      -7.404314208
          0,           0,          36,      -2.028019642,      -4.770752509,      -5.066374002,                 0,      -7.409899709
          0,           0,          37,      -2.033284218,      -4.772557533,      -5.067151709,                 0,      -7.414960267
          0,           0,          38,      -2.037615896,      -4.773894159,      -5.067634631,                 0,      -7.419134932
          0,           0,          39,       -2.04076384,       -4.77472174,      -5.067824004,                 0,      -7.422180286
          0,           0,          40,      -2.042614789,      -4.775050768,      -5.067748268,                 0,      -7.423984951
          0,           0,          41,      -2.043192759,      -4.774934639,      -5.067456671,                 0,      -7.424569137
          0,           0,          42,      -2.042642335,      -4.774458428,      -5.067011486,                 0,      -7.424068653
          0,           0,          43,      -2.041198442,       -4.77372638,      -5.066480015,                 0,      -7.422706163
          0,           0,          44,      -2.039148372,      -4.772849534,      -5.065927305,                 0,      -7.420755137
          0,           0,          45,       -2.03679297,      -4.771934537,      -5.065410243,                 0,      -7.418502966
          0,           0,          46,      -2.034412905,      -4.771074475,      -5.064973387,                 0,      -7.416218775
          0,           0,          47,      -2.032243685,      -4.770342277,       -5.06464664,                 0,      -7.414129412
          0,           0,          48,      -2.030460571,      -4.769786978,      -5.064444679,                 0,      -7.412404742
          0,           0,          49,      -2.029172672,       -4.76943281,        -5.0643679,                 0,      -7.411151626
