JST,LAX-FRIEDRICH
-0.3505471492,-0.3505471492
-0.5803964832,-0.6106822439
-0.7179023888,-0.8425516884
-0.7252153544,-0.9537428318
-0.7578566279,-1.043073963
-0.7913710646,-1.142714255
-0.8263871642,-1.225408311
-0.8661125656,-1.273459386
-0.9024153987,-1.308842827
-0.9248307415,-1.35609567
-0.9367817976,-1.422366809
-0.9529097177,-1.508047031
-0.982599043,-1.608488151
-1.024400997,-1.715128605
-1.070284924,-1.816850059
-1.110469111,-1.907223172
-1.142872675,-1.987370454
-1.169723784,-2.06464359
-1.197545445,-2.147974527
-1.230858874,-2.237249677
-1.270517377,-2.330892449
-1.3137815,-2.423023754
-1.358218935,-2.51026578
-1.403433181,-2.593500444
-1.449945789,-2.67527664
-1.49802663,-2.759169031
-1.546785457,-2.848483735
-1.592385618,-2.944487814
-1.631296551,-3.045312696
-1.660742171,-3.147961427
-1.680483873,-3.24932376
-1.693070751,-3.346312443
-1.701928125,-3.436406624
-1.710818414,-3.518637981
-1.723158595,-3.59595786
-1.739529689,-3.671686587
-1.762909497,-3.747849104
-1.795311055,-3.825927822
-1.836451777,-3.907006754
-1.885455867,-3.991523139
-1.941876233,-4.07953877
-2.000643298,-4.170656729
-2.060831288,-4.264220281
-2.121615377,-4.359285623
-2.180333415,-4.45369799
-2.235135545,-4.546021294
-2.285776727,-4.634139171
-2.331736419,-4.717053637
-2.373266442,-4.795773861
-2.411428766,-4.875250024
-2.447940192,-4.95402784
-2.484705781,-5.033874649
-2.522885573,-5.116988228
-2.562693571,-5.203339025
-2.602708569,-5.292962095
-2.640316619,-5.385535871
-2.672159635,-5.481112697
-2.698161324,-5.577698026
-2.71845429,-5.673528097
-2.73313692,-5.766660394
-2.746585686,-5.856696453
-2.760592871,-5.943447622
-2.777212543,-6.026990412
-2.797627742,-6.108212047
-2.822132384,-6.188396328
-2.850598511,-6.268176169
-2.882473364,-6.35030993
-2.917447771,-6.433712052
-2.955229478,-6.518379801
-2.994965055,-6.604021887
-3.035317285,-6.689799352
-3.074812931,-6.774338719
-3.112074505,-6.856459028
-3.14469677,-6.935758746
-3.17079478,-7.012654594
-3.190222472,-7.088634564
-3.202462382,-7.163836534
-3.210299499,-7.239406882
-3.216408408,-7.316052247
-3.222995323,-7.394063944
-3.231363794,-7.473372558
-3.242266793,-7.553141682
-3.256330373,-7.63477716
-3.273938698,-7.716429395
-3.295120343,-7.798198723
-3.319650363,-7.878727227
-3.347158447,-7.958433912
-3.377122914,-8.037196616
-3.408864381,-8.11498473
-3.441739516,-8.192077806
-3.474825583,-8.268944468
-3.507736501,-8.34601819
-3.53914561,-8.423562073
-3.568227815,-8.501661131
-3.59371928,-8.580218592
-3.616953963,-8.658754582
-3.638103099,-8.737230133
-3.658079167,-8.815406872
-3.678120509,-8.89311986
-3.698983988,-8.970405991
-3.721826011,-9.047383596
-3.747174079,-9.124164007
-3.775135238,-9.200784353
-3.805720535,-9.277322801
-3.838914549,-9.354104043
-3.874608429,-9.431968684
-3.912518352,-9.510757389
-3.95215404,-9.590210126
-3.992836569,-9.670049611
-4.033721985,-9.750021851
-4.073835609,-9.829918067
-4.112133162,-9.909488108
-4.147624635,-9.988584806
-4.179585475,-10.06709671
-4.207762688,-10.14504779
-4.231545183,-10.22250941
-4.252791757,-10.29961209
-4.273340181,-10.37645381
-4.293407389,-10.45305899
-4.3143771,-10.52950849
-4.337459305,-10.60570685
-4.363121059,-10.6820552
-4.391438383,-10.75832182
-4.422462106,-10.83457698
-4.456314295,-10.91092842
-4.493067786,-10.98721067
-4.532588433,-11.06367528
-4.574460222,-11.14014057
-4.618003622,-11.21455598
-4.662340151,-11.28939409
-4.706465719,-11.3635843
-4.749333389,-11.44085215
-4.789973918,-11.51745583
-4.827667722,-11.59561028
-4.862118882,-11.67361853
-4.893524966,-11.75098294
-4.92250323,-11.82984042
-4.949968991,-11.90750118
-4.977001561,-11.98506303
-5.004648439,-12.06243108
-5.033752144,-12.13952499
-5.064905797,-12.21837166
-5.09849246,-12.29166754
-5.134721228,-12.37483922
-5.173639101,-12.44419827
-5.215132891,-12.52488929
-5.258928369,-12.60265817
-5.304576075,-12.67260268
-5.351423802,-12.75116124
-5.39860041,-12.82932974
-5.445035624,-12.90035635
-5.489548961,-12.96447255
-5.531046263,-13.03519069
-5.568805342,-13.10004717
-5.601900743,-13.1460423
-5.631902837,-13.21168592
-5.659645481,-13.24773656
-5.686714347,-13.29925886
-5.713719515,-13.41080412
-5.742439199,-13.38301734
-5.773605121,-13.43734002
-5.807411049,-13.45850295
-5.84396498,-13.46961313
-5.883492661,-13.48888699
-5.926250985,-13.42047965
-5.972314285,-13.47228516
-6.021436007,-13.48303045
-6.073014653,-13.5017261
-6.126128619,-13.53372004
-6.179596798,-13.54689425
-6.232038877,-13.56196178
-6.281993627,-13.54224889
-6.327715482,-13.55036235
-6.36887856,-13.55831613
-6.406026109,-13.5986659
-6.439782792,-13.59398855
-6.471754809,-13.61633579
-6.502858206,-13.55659575
-6.534990018,-13.60989039
-6.569411821,-13.54635813
-6.606488231,-13.55060718
-6.64620638,-13.42590669
-6.688769148,-13.51107957
-6.734094585,-1.212667671
-6.783187711,-1.605207838
-6.835962075,-1.655010604
-6.892002528,-1.754943092
-6.94967263,-1.828892017
-7.008095797,-1.875838812
-7.06578997,-1.938294193
-7.120467045,-2.013414933
-7.170219709,-2.083005471
-7.215206336,-2.148694201
-7.255732792,-2.221524388
-7.293091206,-2.310290861
-7.329724747,-2.413992005
-7.366706485,-2.526750521
-7.404342936,-2.640532521
-7.44255567,-2.748363416
-7.481443461,-2.847603548
-7.520989586,-2.940565298
-7.560983572,-3.031903563
-7.600806518,-3.125197951
-7.639304731,-3.223405544
-7.674584496,-3.325492908
-7.706429796,-3.430955231
-7.734179056,-3.536323823
-7.758044575,-3.63758162
-7.779532441,-3.73177104
-7.800634408,-3.817922363
-7.822988338,-3.895447545
-7.847083669,-3.968949786
-7.873507656,-4.040960163
-7.902881327,-4.113790747
-7.934925806,-4.187504391
-7.969711842,-4.26344985
-8.006150826,-4.341610252
-8.042483563,-4.421515588
-8.076725748,-4.502324115
-8.107209038,-4.58306846
-8.132755431,-4.662851325
-8.15287846,-4.740939531
-8.168073138,-4.816818835
-8.179498893,-4.890441732
-8.189161893,-4.962404686
-8.198645037,-5.033650359
-8.209194819,-5.105462499
-8.221766298,-5.177908701
-8.23714109,-5.251703329
-8.255899445,-5.327210296
-8.278303474,-5.404586009
-8.304265597,-5.483840833
-8.333450395,-5.564860093
-8.365422144,-5.647408508
-8.39961387,-5.731134697
-8.435212335,-5.815535392
-8.471059698,-5.899551582
-8.506669038,-5.984225949
-8.540459665,-6.069796875
-8.571491296,-6.153476722
-8.598432394,-6.237776195
-8.621841891,-6.321068186
-8.643121697,-6.403349503
-8.661925087,-6.485031505
-8.679790403,-6.566380689
-8.69804345,-6.647499179
-8.717540278,-6.7285712
-8.73925311,-6.809741825
-8.763362715,-6.890070443
-8.789913152,-6.970395314
-8.818985328,-7.05045823
-8.850610316,-7.130113866
-8.884663433,-7.209283871
-8.920797736,-7.287892207
-8.958434205,-7.365853945
-8.996810358,-7.443131306
-9.035047811,-7.51991395
-9.072230973,-7.593945297
-9.107494341,-7.668089948
-9.140158792,-7.742497754
-9.16987568,-7.817236483
-9.196725464,-7.892311789
-9.221192262,-7.96777921
-9.244061025,-8.043563327
-9.266295191,-8.119561406
-9.288878682,-8.195730305
-9.312643454,-8.272098887
-9.338189401,-8.348722955
-9.365905271,-8.425634466
-9.395997703,-8.502823124
-9.428520295,-8.580248332
-9.463377253,-8.65826464
-9.500336808,-8.736617057
-9.539026029,-8.814961028
-9.578925299,-8.893507614
-9.619371755,-8.972412818
-9.659576718,-9.051619034
-9.6986809,-9.130826555
-9.73587605,-9.209826402
-9.770548177,-9.288712081
-9.802440347,-9.367668001
-9.831710477,-9.446832496
-9.858888853,-9.526232514
-9.884784956,-9.605813765
-9.910322027,-9.682887821
-9.93641174,-9.762530535
-9.963806229,-9.838027034
-9.993056419,-9.917094945
-10.02451781,-9.993169093
-10.0584039,-10.0706717
-10.0947397,-10.14763737
-10.1334295,-10.22439945
-10.17422893,-10.301134
-10.21674614,-10.37772437
-10.26043594,-10.45419685
-10.30456197,-10.53052208
-10.34831113,-10.60683324
-10.39073999,-10.68333683
-10.43100993,-10.75991816
-10.46852145,-10.83654504
-10.50306783,-10.91355929
-10.53492493,-10.99021835
-10.56471454,-11.06722784
-10.59338422,-11.14429032
-10.62194447,-11.22173984
-10.6513081,-11.29655537
-10.68229891,-11.37519064
-10.71543411,-11.4507869
-10.7510493,-11.52790239
-10.78936961,-11.60412171
-10.83038322,-11.68125771
-10.87405131,-11.75893288
-10.92002571,-11.8375627
-10.96785811,-11.91534219
-11.01697508,-11.99302835
-11.06648739,-12.07075482
-11.11543777,-12.14819067
-11.16258933,-12.22451981
-11.20691741,-12.30306266
-11.2477195,-12.37832884
-11.2841274,-12.45630231
-11.31770593,-12.53242921
-11.34914417,-12.60885598
-11.38008358,-12.6826003
-11.41127687,-12.76101852
-11.44444552,-12.83565585
-11.48042166,-12.90016217
-11.51879794,-12.97103324
-11.55987439,-13.04055178
-11.60371761,-13.10997451
-11.65124961,-13.15657164
-11.70202044,-13.2208502
-11.75579696,-13.2699575
-11.8120943,-13.2850308
-11.87023238,-13.41468534
-11.92821152,-13.41384819
-11.9848385,-13.43765676
-12.03821536,-13.47221021
-1.151208232,-13.49165075
-1.434580701,-13.48242865
-1.349962408,-13.49496701
-1.31268471,-13.46659531
-1.293184186,-13.53460576
-1.292349775,-13.45681422
-1.30804843,-13.50211995
-1.32594078,-13.43038048
-1.338336179,-13.4586448
-1.347971831,-13.52953545
-1.360437067,-13.52354801
-1.375101258,-13.5035244
-1.389419399,-13.50489764
-1.406169636,-13.48146146
-1.428048022,-13.5825308
-1.455954376,-13.52095057
-1.487323262,-13.5204534
-1.520654993,-13.48432908
-1.554303065,-13.46476175
-1.588767501,-13.53804032
-1.623797571,-13.54778173
-1.661146468,-13.48502215
-1.700649997,-13.50476579
-1.740944729,-13.51787981
-1.781003617,-1.629519736
-1.820520643,-2.023890725
-1.859098458,-2.073432859
-1.896915628,-2.174180077
-1.934300666,-2.248843077
-1.97132539,-2.296036572
-2.007835726,-2.359315547
-2.044104811,-2.434818024
-2.080318504,-2.50528877
-2.116439,-2.572172631
-2.152125478,-2.646562478
-2.187508252,-2.737209862
-2.222402463,-2.842978117
-2.256824632,-2.957564163
-2.290839889,-3.072265023
-2.324413919,-3.179651037
-2.357451038,-3.277392739
-2.38976022,-3.368673902
-2.421318171,-3.458839847
-2.45216678,-3.552101801
-2.482749765,-3.650003969
-2.513695588,-3.752826713
-2.545242503,-3.857912922
-2.57775218,-3.961527119
-2.611313483,-4.060489932
-2.6455715,-4.151948172
-2.680194374,-4.235535948
-2.714649255,-4.31153336
-2.748496792,-4.384972484
-2.781479549,-4.458146088
-2.813731234,-4.532533052
-2.845673082,-4.607811398
-2.877708591,-4.685033481
-2.910203035,-4.763728312
-2.943367227,-4.843362434
-2.976993655,-4.923304346
-3.010800365,-5.002945167
-3.044464211,-5.081786855
-3.07767868,-5.159389384
-3.110317422,-5.235428578
-3.142388428,-5.309937021
-3.1741457,-5.383894035
-3.205954719,-5.456804807
-3.238130917,-5.529495024
-3.270782905,-5.602595701
-3.303740006,-5.677205767
-3.33660549,-5.75252084
-3.369711534,-5.829328581
-3.401397147,-5.907645955
-3.43082854,-5.987221552
-3.458153227,-6.067815147
-3.483768056,-6.149249102
-3.508255955,-6.231350399
-3.532268242,-6.313891096
-3.556445819,-6.396505671
-3.58121285,-6.478690682
-3.606766608,-6.560836703
-3.633051635,-6.64289243
-3.659824489,-6.724665613
-3.686848136,-6.806080412
-3.71392604,-6.887187797
-3.740958972,-6.967989228
-3.768010063,-7.048496952
-3.795269275,-7.129518218
-3.822968252,-7.210235044
-3.850866569,-7.290988524
-3.880073861,-7.371878214
-3.91006665,-7.452831174
-3.940170676,-7.533703254
-3.971109477,-7.614356697
