JST,LAX-FRIEDRICH
5.135418527,5.135418527
4.908552271,4.879801599
4.757805361,4.637119817
4.754469215,4.508925683
4.732591815,4.418800211
4.700437307,4.32705114
4.657182312,4.251228774
4.608037089,4.204636897
4.569478152,4.168221717
4.554132049,4.119437889
4.552393224,4.050952734
4.543332493,3.961465804
4.515415845,3.855546468
4.469931363,3.743817392
4.41671068,3.64188303
4.370041107,3.561977725
4.336189963,3.498904345
4.312563179,3.438999365
4.289590517,3.370266092
4.26026847,3.291122915
4.22275565,3.201833977
4.179653059,3.106221389
4.133776858,3.007897976
4.086162848,2.90863243
4.037010896,2.809814377
3.986593573,2.711608471
3.936059607,2.61335463
3.889384129,2.515166926
3.850105333,2.419228828
3.820654021,2.327063911
3.800905281,2.239037504
3.788300211,2.154299769
3.779725777,2.071969644
3.771631217,1.991259279
3.760627535,1.909993608
3.74599309,1.826572144
3.72473431,1.741114019
3.694649369,1.654303361
3.655653662,1.566818854
3.608328303,1.479292296
3.552880318,1.392096026
3.49425447,1.305493081
3.433236302,1.219281479
3.370766282,1.132949962
3.309942186,1.04670623
3.253183529,0.9601413011
3.201055497,0.8740847404
3.154160605,0.7892070629
3.112191053,0.7054318332
3.07381178,0.620129196
3.037159329,0.5364165667
3.000346727,0.453733955
2.962072592,0.3703550976
2.921795463,0.2862614413
2.880653998,0.2010592646
2.841335438,0.1144798965
2.807684395,0.02577345646
2.780941772,-0.06402810131
2.761340687,-0.1543720232
2.748337344,-0.2445223724
2.73686975,-0.3346162276
2.724428949,-0.424528309
2.70870246,-0.5136525169
2.688640353,-0.601608465
2.664181009,-0.6883385797
2.635682193,-0.7736772577
2.603950866,-0.8591587972
2.569557445,-0.9436203645
2.532882446,-1.027307139
2.494506131,-1.110654331
2.455239893,-1.193739579
2.416000438,-1.276049768
2.378028586,-1.356975477
2.343867878,-1.436224054
2.315819008,-1.513863047
2.294864481,-1.590597548
2.281906703,-1.666108489
2.274355391,-1.741111149
2.269369826,-1.816035589
2.264268988,-1.891103794
