JST,LAX-FRIEDRICH
2.046003134,2.046003134
1.88908422,1.846590191
1.760225025,1.652398515
1.710528695,1.520344119
1.68407416,1.394456708
1.661810648,1.268638362
1.612845943,1.160414836
1.528070191,1.100900245
1.44522325,1.080711087
1.421138523,1.05898946
1.443912449,1.01281178
1.455965704,0.9350963793
1.43378255,0.8268038441
1.378369049,0.6947104026
1.302980844,0.55626879
1.230451889,0.4462920998
1.182415004,0.3807592804
1.153161765,0.3384468413
1.124754395,0.2937979159
1.086011312,0.2362511036
1.036293896,0.163422623
0.9809065741,0.07813320625
0.9272464962,-0.0161340026
0.8796186881,-0.1161881894
0.8368191021,-0.2188842459
0.7958645928,-0.3219816369
0.7525861406,-0.4248331384
0.7062149919,-0.5269558293
0.6576221206,-0.6262805029
0.6097453086,-0.7223385955
0.5666616123,-0.8143389892
0.530815827,-0.9027754808
0.5013466617,-0.9880356371
0.4758975032,-1.071326634
0.4507210346,-1.153548974
0.4242784008,-1.236397412
0.3969609758,-1.320667717
0.3662668954,-1.406217187
0.3368991125,-1.492431644
0.3088090547,-1.578662406
0.2804865706,-1.66414874
0.2552261658,-1.74913412
0.2284941827,-1.833099807
0.1958379556,-1.915996217
0.1551098505,-1.997604457
0.1069172748,-2.078424422
0.05404107747,-2.158411727
-0.0001490427853,-2.236937275
-0.05229890586,-2.313587035
-0.1009960195,-2.391640546
-0.1474261912,-2.468322964
-0.1936781489,-2.543325906
-0.2411319167,-2.617991716
-0.2903167929,-2.692537039
-0.3397000819,-2.767439371
-0.3865704932,-2.842955585
-0.4277593306,-2.919913037
-0.4619272611,-2.997923332
-0.49173467,-3.076651606
-0.5182168347,-3.156244901
-0.5477173807,-3.236065514
-0.5803280623,-3.316398095
-0.6161105186,-3.397195638
-0.6521047387,-3.478210408
-0.6853766552,-3.559060129
-0.71346468,-3.639033722
-0.7355632687,-3.719310782
-0.7530994907,-3.799182663
-0.7694829866,-3.878337278
-0.7885303462,-3.956785483
-0.8126100618,-4.034737865
-0.8418826171,-4.112267982
-0.8763209977,-4.189412672
-0.9147754101,-4.266196958
-0.9528688073,-4.342616136
-0.9875409586,-4.419066867
-1.017240944,-4.494880013
-1.041744878,-4.570362853
-1.061836597,-4.64579916
-1.079638579,-4.721343162
-1.097051537,-4.797014905
-1.114959912,-4.872414785
-1.133318345,-4.948869281
-1.151487582,-5.025700195
-1.168797942,-5.103670394
-1.184974912,-5.181601796
-1.200444828,-5.25978296
-1.21624098,-5.338422303
-1.233497867,-5.417514127
-1.253047918,-5.496837313
-1.275111922,-5.576078656
-1.300627555,-5.654967617
-1.328021116,-5.733352975
-1.356628231,-5.811205707
-1.384745273,-5.888543446
-1.413160087,-5.965239586
-1.441515732,-6.041382765
-1.469900222,-6.117271755
-1.498586529,-6.19286283
-1.527103823,-6.268188342
-1.556004534,-6.343371061
-1.585337617,-6.418510597
-1.61484924,-6.493604039
-1.644324726,-6.568625416
-1.67362104,-6.643678643
-1.702667818,-6.719196377
-1.731526116,-6.794949622
-1.76042358,-6.870793176
-1.789712282,-6.946654613
-1.819769716,-7.022577971
-1.850877206,-7.098708912
-1.88310125,-7.1751783
-1.916215768,-7.25203296
-1.949727387,-7.329260917
-1.983018661,-7.406777194
-2.014765782,-7.484449194
-2.045165691,-7.562194646
-2.074969424,-7.639906609
-2.104441768,-7.71749388
-2.133738169,-7.794894304
-2.162385197,-7.871945819
-2.190446888,-7.949062089
-2.218465222,-8.026086908
-2.246849124,-8.102836761
-2.275732687,-8.179426644
-2.305150011,-8.255947437
-2.335226877,-8.332745345
-2.366227982,-8.409621909
-2.398482306,-8.485057751
-2.432268391,-8.561125541
-2.467706604,-8.636668995
-2.504677517,-8.714164558
-2.542800472,-8.790908634
-2.581505568,-8.867500045
-2.620173071,-8.944427033
-2.658262479,-9.020914061
-2.695393568,-9.09780403
-2.731419633,-9.175392691
-2.766482966,-9.252860219
-2.800933478,-9.330445129
-2.835123228,-9.408534802
-2.869255088,-9.484384455
-2.903355971,-9.560847134
-2.937326946,-9.637552899
-2.971047639,-9.716505014
-3.004512984,-9.791905212
-3.037930463,-9.865392987
-3.071716051,-9.940154308
-3.106391533,-10.01281374
-3.142425026,-10.094018
-3.180059377,-10.16642779
-3.219183631,-10.23030964
-3.259325702,-10.30593129
-3.299794323,-10.38001227
-3.339728498,-10.44183008
-3.378369074,-10.50226056
-3.415614884,-10.52492093
-3.451979537,-10.61536497
-3.488251854,-10.67589411
-3.524589648,-10.6760051
-3.560541316,-10.74905833
-3.596244208,-10.7921508
-3.631990781,-10.82104333
-3.667832185,-10.85491158
-3.703667546,-10.81236473
-3.739519706,-10.88209136
-3.775688152,-10.85480183
-3.812697822,-10.84879487
-3.851128622,-10.90449884
-3.891411157,-10.89002674
-3.933628372,-10.95464758
-3.977402715,-10.93028812
-4.02198482,-10.93073451
-4.066745196,-10.94312933
-4.110305495,-10.94344931
-4.15214311,-10.97235747
-4.192786483,-10.90622988
-4.232863638,-10.8873157
-4.272242804,-10.93252476
-4.312158646,-10.8558021
-4.352818654,-10.84784488
-4.393732697,-10.79333276
-4.434399915,-10.86912852
-4.474362941,1.242736384
-4.513142581,1.000760316
-4.551617108,1.031913413
-4.590823236,0.9379408644
-4.631101391,0.7772574534
-4.672941248,0.6113337819
-4.716885307,0.4960751892
-4.764022163,0.4372136704
-4.812792503,0.4001749136
-4.860967673,0.3555493438
-4.907286906,0.2932233149
-4.950750167,0.212179259
-4.991824071,0.1170406757
-5.031065833,0.01502531566
-5.070155385,-0.08476626015
-5.110714617,-0.1739827906
-5.153362843,-0.2494571019
-5.197354681,-0.3146355018
-5.241396535,-0.3759131423
-5.284004103,-0.4383962426
-5.324049406,-0.5065622365
-5.36168245,-0.5791690713
-5.397511222,-0.6560607224
-5.432774566,-0.7368131825
-5.468586819,-0.8208168311
-5.505162077,-0.9072682916
-5.541850725,-0.9953415831
-5.577456648,-1.083480027
-5.611205572,-1.172712729
-5.641065586,-1.262703377
-5.666964062,-1.353211298
-5.690187648,-1.443329779
-5.713034216,-1.533431967
-5.737601663,-1.623351736
-5.765111311,-1.71278501
-5.795479222,-1.801282369
-5.828404765,-1.888368322
-5.862452508,-1.973664
-5.895980663,-2.056947925
-5.927522587,-2.138144917
-5.956110296,-2.217372221
-5.982015691,-2.294986803
-6.006056426,-2.371514637
-6.029334688,-2.447470563
-6.052534774,-2.522675863
-6.075756036,-2.597524148
-6.098726398,-2.672320538
-6.121072076,-2.747236717
-6.142575012,-2.822309375
-6.163396836,-2.897491261
-6.184192515,-2.972712081
-6.205900713,-3.047911813
-6.229323124,-3.123006146
-6.254635228,-3.197461159
-6.283412553,-3.272657893
-6.313630853,-3.349191257
-6.344801552,-3.424459597
-6.374953399,-3.500644349
-6.404584101,-3.576794893
-6.433742114,-3.653156023
-6.462157622,-3.730083593
-6.490038027,-3.807556563
-6.517447484,-3.885294124
-6.544430733,-3.963100876
-6.571534705,-4.040936052
-6.598400006,-4.118321738
-6.624798328,-4.195962843
-6.650783884,-4.273819636
-6.676529167,-4.351797287
-6.702301907,-4.42982123
-6.728481875,-4.507856347
-6.755503963,-4.585892528
-6.783760153,-4.663932602
-6.813494511,-4.742046911
-6.844738232,-4.818907986
-6.877248933,-4.896181355
-6.910559952,-4.973929661
-6.944056004,-5.051822402
-6.977169778,-5.129517502
-7.009473285,-5.206970011
-7.040758441,-5.284277066
-7.071107669,-5.361551301
-7.100815331,-5.438845341
-7.130207808,-5.516133383
-7.159504058,-5.593336142
-7.188782744,-5.670367104
-7.217998904,-5.747176926
-7.247066086,-5.823772307
-7.276004479,-5.900381557
-7.304960126,-5.977086714
-7.334221638,-6.053707961
-7.364204238,-6.130263183
-7.3952868,-6.206945296
-7.427709341,-6.28392112
-7.461481298,-6.36108552
-7.496347641,-6.438237159
-7.531813613,-6.515286012
-7.567358857,-6.592227932
-7.602496038,-6.669093768
-7.636850662,-6.745919015
-7.6703721,-6.822738785
-7.703136757,-6.898167929
-7.735426851,-6.975285117
-7.767563711,-7.050661436
-7.799665026,-7.128327431
-7.831789453,-7.20478147
-7.863899401,-7.282146182
-7.895874214,-7.359334282
-7.927876589,-7.436570439
-7.959943564,-7.514007927
-7.992527936,-7.591661299
-8.025960198,-7.669415389
-8.060559847,-7.747178844
-8.096579344,-7.824830714
-8.133812953,-7.90240977
-8.172025868,-7.979874503
-8.210718793,-8.057221697
-8.249374784,-8.134695599
-8.287387802,-8.211884893
-8.324557842,-8.289285146
-8.360950624,-8.366501297
-8.396566306,-8.443798055
-8.431960029,-8.519818223
-8.467222946,-8.597589698
-8.502636038,-8.673685625
-8.537867538,-8.750357909
-8.573292326,-8.826556124
-8.60838613,-8.902854534
-8.643650368,-8.980236563
-8.678862517,-9.057254776
-8.714631348,-9.134978439
-8.75142676,-9.211785828
-8.789709899,-9.289056236
-8.829595502,-9.366875853
-8.870831664,-9.444436975
-8.913070008,-9.523193245
-8.955484259,-9.600369411
-8.997636237,-9.676541856
