"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000085599010613e+00, 2.202486022191510e-02, 1.345385582399993e+00, 2.226879552527775e+02, -3.725745791134450e+01, 3.003513700274942e+05, 1.125623422904130e+05, 2.906363592469119e+02, 4.903516249145914e-01, 2.816608142847096e-01
1, 9.797576301711465e-01, 2.564642352399096e-02, 1.331849364694492e+00, 2.549936997284298e+02, -3.749898428264133e+01, 3.000875667304907e+05, 1.100597303134410e+05, 2.870628079236373e+02, 5.689441891704754e-01, 2.189335511066552e-01
2, 9.594109618054654e-01, 2.915300982382323e-02, 1.299546537881153e+00, 2.648423793707954e+02, -3.961750932338584e+01, 2.937554927812124e+05, 1.064658808490144e+05, 2.845916851310935e+02, 6.084541074732207e-01, 1.288547281601809e-01
3, 9.390518008813115e-01, 3.254803327370845e-02, 1.281357878445887e+00, 2.718092799016475e+02, -3.913128439807389e+01, 2.904083405837904e+05, 1.043927695046084e+05, 2.830111643603190e+02, 6.345771962015357e-01, 7.689277716875821e-02
4, 9.186812057594188e-01, 3.583445624075157e-02, 1.265619467478297e+00, 2.764559061978054e+02, -3.835031368511216e+01, 2.873578816404169e+05, 1.026331943103763e+05, 2.817009370859808e+02, 6.544935230332539e-01, 3.278952132814979e-02
5, 8.982981157497107e-01, 3.901461615694590e-02, 1.251913336792166e+00, 2.804196347093417e+02, -3.748340115787019e+01, 2.846933812893846e+05, 1.010904966623011e+05, 2.805043860545494e+02, 6.721213699166126e-01, -5.877760002480027e-03
6, 8.779034515452260e-01, 4.209059770385181e-02, 1.239439590483321e+00, 2.837483600632270e+02, -3.650497416265700e+01, 2.822605170493991e+05, 9.969731144452460e+04, 2.794226934173024e+02, 6.878276493397232e-01, -4.079755444739167e-02
7, 8.574981207709556e-01, 4.506400418739592e-02, 1.228035672717213e+00, 2.867223251056442e+02, -3.545156993129604e+01, 2.800196281961915e+05, 9.841435275413841e+04, 2.783883456344282e+02, 7.023561446194719e-01, -7.295455207983964e-02
8, 8.370832510431672e-01, 4.793633890103055e-02, 1.217021735187089e+00, 2.893010007231629e+02, -3.433739917609419e+01, 2.778661959585740e+05, 9.719863775779693e+04, 2.774376748100873e+02, 7.158868472002130e-01, -1.034261054915218e-01
9, 8.166573342606195e-01, 5.070840530088381e-02, 1.206507665014302e+00, 2.915920370196819e+02, -3.317510395016625e+01, 2.758008264505438e+05, 9.604333822072498e+04, 2.765290447856700e+02, 7.286277787230924e-01, -1.323833624607291e-01
10, 7.962225790028480e-01, 5.338136255015019e-02, 1.196551007919152e+00, 2.936964067119627e+02, -3.199080503750621e+01, 2.738379139377329e+05, 9.494640331676678e+04, 2.756454912269260e+02, 7.407829004352356e-01, -1.598777263664877e-01
11, 7.757783751838516e-01, 5.595580174005420e-02, 1.186934158388260e+00, 2.955758084002167e+02, -3.076252515856303e+01, 2.719394246199075e+05, 9.389518176454458e+04, 2.748022414465547e+02, 7.523317291163854e-01, -1.862262980074123e-01
12, 7.553257273903274e-01, 5.843131379625213e-02, 1.177683173595252e+00, 2.972821492721537e+02, -2.949636381814399e+01, 2.701117548274660e+05, 9.288838251412497e+04, 2.739911420888607e+02, 7.633736391206718e-01, -2.114614371858596e-01
13, 7.348646291253512e-01, 6.080804177958382e-02, 1.168558416424672e+00, 2.987753924937638e+02, -2.819667975615380e+01, 2.683051708810492e+05, 9.190789878362270e+04, 2.732159200934398e+02, 7.739352573824450e-01, -2.360369852815852e-01
14, 7.143948981318115e-01, 6.308552164103440e-02, 1.159566816436551e+00, 3.001232928690498e+02, -2.687293835744639e+01, 2.665177941650146e+05, 9.094676166900533e+04, 2.724551700756350e+02, 7.842024226090843e-01, -2.601276159081296e-01
15, 6.939185776074525e-01, 6.526263477384968e-02, 1.150726049940455e+00, 3.013304471191053e+02, -2.549758794082351e+01, 2.647557142091824e+05, 9.000794395802378e+04, 2.717142958475117e+02, 7.941487135411391e-01, -2.836588169791837e-01
16, 6.734335449414177e-01, 6.733838444257212e-02, 1.142370934954799e+00, 3.024350004887286e+02, -2.406002690988675e+01, 2.630892365008163e+05, 8.912082129620768e+04, 2.710039540088446e+02, 8.036090925400639e-01, -3.058942962268625e-01
17, 6.529428199081482e-01, 6.931077198413113e-02, 1.134560398880869e+00, 3.033848935093859e+02, -2.259216667864145e+01, 2.615285771249463e+05, 8.829624838878366e+04, 2.703449259217583e+02, 8.123549408296576e-01, -3.265619835269370e-01
18, 6.324451290875347e-01, 7.117820272283899e-02, 1.127497403839497e+00, 3.043153264198036e+02, -2.110445768884378e+01, 2.601115279336026e+05, 8.753845945877538e+04, 2.697037227359759e+02, 8.206244472312126e-01, -3.455557492738577e-01
19, 6.119410825801037e-01, 7.293854987182385e-02, 1.121268040023460e+00, 3.050075030916507e+02, -1.952243155252401e+01, 2.588615059663200e+05, 8.688298376517284e+04, 2.691713768182755e+02, 8.275842472307481e-01, -3.619850626143823e-01
20, 5.914306769669849e-01, 7.458813738539490e-02, 1.116327776776517e+00, 3.054446752389989e+02, -1.784225752847865e+01, 2.578719008811412e+05, 8.637684125609751e+04, 2.687875688872061e+02, 8.327482038979184e-01, -3.746713818138863e-01
21, 5.709157828754805e-01, 7.612481184302355e-02, 1.112186174220967e+00, 3.057017301130592e+02, -1.608991073435305e+01, 2.570550107267746e+05, 8.597007154892794e+04, 2.685179904941796e+02, 8.367046812367800e-01, -3.848669497681951e-01
22, 5.503962155988478e-01, 7.754443972556457e-02, 1.104977699507951e+00, 3.061459641961537e+02, -1.458369799914301e+01, 2.555879997791164e+05, 8.523249738059027e+04, 2.679509448313469e+02, 8.440678445673319e-01, -4.033540382167325e-01
23, 5.298724448093628e-01, 7.884327778602981e-02, 1.098189249444192e+00, 3.067157354685381e+02, -1.304525861382391e+01, 2.542357979696837e+05, 8.453066161173049e+04, 2.673872363042958e+02, 8.515668975432182e-01, -4.209453537647003e-01
