"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.847628348,      0.4002570706,     -0.2543111787,      0.6712183013,       3.636444027,      0.1903959252,      0.2977639381,    0.001967964892,      0.3066322201,     -0.1484213044,     -0.1801875018,      0.1798881296,    0.001967964892,      0.3042272703,       1.563919699
          0,           0,           1,      -1.780551943,      0.8237945791,      0.6738111847,      0.8960067922,       3.695346655,      0.1139044482,      0.3209374417,    0.008093621368,       0.317349164,     -0.1213189339,    -0.09851883611,      0.1026345055,    0.008093621368,      0.3247171432,       2.817602357
          0,           0,           2,      -1.728799257,      0.8693840836,      0.7766725287,      0.9036084483,       3.738797546,     0.01465192898,      0.3079413563,     0.01132821624,      0.2856356573,    -0.07655376183,    0.002877097899,    0.003896005074,     0.01132821624,      0.3082651117,       21.01712045
          0,           0,           3,      -1.728923688,      0.8033161121,      0.8599929632,      0.9074326016,       3.751244361,    -0.02470219204,       0.295456178,      0.0103091085,       0.262529124,     -0.0509008563,     0.04096803937,    -0.03499841604,      0.0103091085,         0.2944141,      -11.96072711
          0,           0,           4,      -1.729462195,      0.7599416775,      0.9132271328,      0.9743245275,       3.748829057,    -0.02775700588,      0.2835961211,    0.007748994125,      0.2490288972,    -0.03903830577,      0.0402357266,    -0.03763745895,    0.007748994125,      0.2824546564,      -10.21710059
          0,           0,           5,      -1.730396044,      0.7350927688,      0.9349837614,      0.9985498211,       3.742978649,    -0.01924976645,      0.2741319042,    0.006033747099,      0.2432966641,    -0.03502313412,     0.02735190099,     -0.0288051055,    0.006033747099,      0.2732931033,      -14.24079118
          0,           0,           6,      -1.764886153,      0.7187794221,       0.925501322,      0.9723298532,       3.709336771,   -0.009491507219,      0.2692882038,    0.005624106729,      0.2430199627,    -0.03606874244,     0.01469147291,    -0.01888374803,    0.005624106729,      0.2687929118,      -28.37149017
          0,           0,           7,      -1.824778973,      0.7086156754,      0.8925068383,      0.9178679081,       3.653279578,    -0.00136219181,      0.2692945688,    0.005946515038,      0.2456918579,    -0.03999769175,     0.00616656486,    -0.01075960692,    0.005946515038,       0.269082982,      -197.6921068
          0,           0,           8,       -1.86008318,       0.684588193,      0.8497420525,      0.8626197944,       3.620745485,    0.004525612758,      0.2733114505,     0.00643320496,       0.250021617,    -0.04475778066,    0.002078075166,   -0.005015576188,     0.00643320496,      0.2733028981,       60.39214248
          0,           0,           9,      -1.883507833,       0.640876644,      0.7948901499,      0.8164802414,       3.599255865,    0.008123348697,      0.2800486405,    0.006829681121,       0.255444499,    -0.04881429571,    0.001284745064,   -0.001655156434,    0.006829681121,      0.2801615432,        34.4745315
          0,           0,          10,      -1.934721325,      0.5888869476,      0.7230577948,      0.7642111083,       3.549456239,    0.009602060438,      0.2878344173,    0.007086347865,      0.2611146445,    -0.05138053866,    0.002295768257,  -0.0004490651764,    0.007086347865,      0.2879941835,       29.97631802
          0,           0,          11,      -2.014354483,      0.5328318189,      0.6373567409,      0.6926214983,       3.467859924,    0.009306320116,       0.294994403,    0.007221841315,      0.2659583365,    -0.05234848763,    0.003917480409,  -0.0009945052372,    0.007221841315,      0.2951394862,       31.69828668
          0,           0,          12,      -2.092682161,      0.4689199124,      0.5503150333,      0.6078635688,       3.385073608,    0.007740946205,      0.3004162068,    0.007266683707,      0.2693170042,    -0.05207807263,    0.005477478339,   -0.002748143788,    0.007266683707,      0.3005033564,       38.80871909
          0,           0,          13,      -2.148080635,      0.4026932835,      0.4783499657,      0.5279329393,       3.330463245,    0.005530741254,       0.303777031,    0.007251352855,      0.2712426627,     -0.0511355381,    0.006726706347,   -0.005074293417,    0.007251352855,      0.3037849984,       54.92519304
          0,           0,          14,      -2.198038243,      0.3472629081,      0.4196197864,      0.4598465524,       3.286593268,    0.003344511783,      0.3053854004,    0.007203585853,      0.2722507287,    -0.05006556764,    0.007618384301,   -0.007315322377,    0.007203585853,      0.3053160896,       91.30941082
          0,           0,          15,      -2.265545552,      0.3036173051,      0.3540696424,      0.3928181669,       3.224321842,    0.001762317351,      0.3058292595,    0.007146572073,      0.2728726498,    -0.04924463227,     0.00814330861,   -0.008912043438,    0.007146572073,      0.3057044606,       173.5381311
          0,           0,          16,      -2.349867445,      0.2586071223,      0.2723860345,      0.3177679293,       3.141852114,     0.00112317423,      0.3056881239,     0.00709806423,      0.2733919436,     -0.0488397745,    0.008285365484,   -0.009545871647,     0.00709806423,      0.3055411051,       272.1644742
          0,           0,          17,      -2.431452921,        0.20218667,      0.1879373652,      0.2375048404,       3.058740707,    0.001437793311,      0.3054024678,    0.007069737392,      0.2738543859,    -0.04885135274,    0.008060470552,   -0.009221474973,    0.007069737392,      0.3052666032,       212.4105499
