JST,LAX-FRIEDRICH,ROE,AUSM
-1.847628348,-1.847628348,-1.847628348,-1.847628348
-1.780552014,-1.827295062,-1.840685124,-1.83039492
-1.728799299,-1.809037537,-1.979964967,-1.900715164
-1.728923692,-1.908039125,-2.158045603,-2.0370065
-1.729462271,-2.011119753,-2.288573813,-2.163458028
-1.73039616,-2.073429336,-2.411250284,-2.259000002
-1.76488624,-2.120721582,-2.577978939,-2.37013605
-1.824779009,-2.16012304,-2.726139904,-2.511630662
-1.860083296,-2.194902468,-2.806199111,-2.631550671
-1.883507829,-2.244513028,-2.900430168,-2.727236265
-1.93472131,-2.322271286,-3.037785817,-2.844611137
-2.01435443,-2.426351425,-3.181402653,-2.992661122
-2.092682053,-2.544484663,-3.296874741,-3.146525616
-2.14808059,-2.659822876,-3.40252507,-3.285580451
-2.198038311,-2.75634478,-3.524615446,-3.421427934
-2.265545754,-2.827398085,-3.665233673,-3.571698234
-2.349867707,-2.884452519,-3.815030178,-3.730759174
-2.43145305,-2.948918744,-3.96996059,-3.872665356
-2.496403295,-3.036568634,-4.135020156,-3.983681451
-2.55478506,-3.151493503,-4.314579248,-4.079516054
-2.622378088,-3.282487217,-4.503959557,-4.176191964
-2.700649782,-3.399567173,-4.69240148,-4.274688209
-2.77823479,-3.478304953,-4.877445212,-4.369687774
-2.84566671,-3.536664239,-5.071383042,-4.458882402
-2.90682324,-3.607728583,-5.287916622,-4.543820535
-2.971617082,-3.708399656,-5.526971815,-4.626118049
-3.043676823,-3.839905393,-5.768279067,-4.705864257
-3.117409188,-3.986411029,-5.990364467,-4.782767192
-3.184519681,-4.108565617,-6.205228493,-4.857093623
-3.244765523,-4.178252924,-6.429615213,-4.929373389
-3.307178778,-4.224680839,-6.63002254,-4.999865383
-3.378698721,-4.28703413,-6.771072657,-5.068553394
-3.455071748,-4.382194164,-6.908103087,-5.135453569
-3.523976261,-4.513517542,-7.096684154,-5.200757654
-3.581156603,-4.674082553,-7.341741796,-5.26474069
-3.637765621,-4.834289753,-7.573763268,-5.327635162
-3.70529357,-4.94128674,-7.708700632,-5.38959754
-3.781654315,-4.992459989,-7.832934473,-5.45074054
-3.852772219,-5.040530633,-8.016092112,-5.511158573
-3.909991297,-5.117597465,-8.236107512,-5.570933413
-3.962985078,-5.232192566,-8.402763588,-5.630130619
-4.025337951,-5.382200813,-8.514886541,-5.688802544
-4.097352519,-5.550008413,-8.662149478,-5.746992072
-4.165860538,-5.687113766,-8.868321638,-5.80473947
-4.221123403,-5.756051209,-9.074609428,-5.862082847
