JST,LAX-FRIEDRICH,ROE,AUSM
3.636444027,3.636444027,3.636444027,3.636444027
3.695346575,3.65710206,3.628051028,3.627805533
3.738797527,3.665077385,3.473266265,3.529828391
3.751244385,3.555562919,3.295972608,3.391802652
3.748829005,3.456924818,3.166646069,3.272769261
3.742978574,3.405517303,3.039466465,3.177919694
3.709336729,3.358626153,2.865432646,3.061800971
3.653279601,3.313857183,2.696989234,2.90739371
3.620745404,3.276522135,2.598869577,2.772276268
3.599255858,3.227365627,2.495960708,2.674053421
3.549456231,3.148974898,2.348357315,2.561553698
3.467859999,3.040336582,2.193330938,2.418630346
3.38507371,2.914683871,2.073207367,2.268009728
3.330463262,2.796564864,1.965166055,2.130599989
3.286593252,2.709969366,1.835198176,1.996763116
3.224321804,2.654535558,1.681345746,1.850261707
3.141852064,2.605944137,1.519536237,1.697033185
3.058740699,2.540657295,1.360254907,1.561040784
2.989450969,2.446704705,1.197361003,1.452935441
2.925979841,2.323888583,1.022329667,1.357307613
2.857225661,2.188609437,0.8394536995,1.25995037
2.786059911,2.077255987,0.6612788156,1.160848537
2.720123856,2.009532933,0.4877038415,1.065859195
2.657325481,1.955685961,0.3004496522,0.9776610674
2.590189792,1.881049584,0.08197476769,0.8946649357
2.517933468,1.770814727,-0.1683060879,0.8148211667
2.446226908,1.624747723,-0.4222306469,0.7375331891
2.378261212,1.463172137,-0.6414449038,0.6627782352
2.311620698,1.341868102,-0.8401784577,0.5902292867
2.243923655,1.291608917,-1.045244285,0.5194230123
2.175535242,1.260126855,-1.221547911,0.4501600567
2.106842614,1.202367535,-1.342615973,0.3824817767
2.037379931,1.104784715,-1.470143747,0.3163973098
1.968502746,0.9658750185,-1.653577264,0.2517567093
1.903230723,0.793760117,-1.895679509,0.1883294249
1.841621115,0.625776049,-2.132219545,0.1259140533
1.779359197,0.5291207874,-2.274936842,0.06437165925
1.713108601,0.4935468132,-2.398860952,0.00360029782
1.644733759,0.4515768703,-2.576446631,-0.05648500126
1.57873037,0.372871541,-2.787555335,-0.1159586033
1.515723695,0.2511571345,-2.949607637,-0.1748807511
1.451654412,0.08867097543,-3.063429618,-0.2333006479
1.384316108,-0.09432101478,-3.210969863,-0.2912581533
1.317555498,-0.2325329541,-3.416196273,-0.3487913047
1.256650577,-0.2827452824,-3.627213642,-0.4059361851
1.200044362,-0.309978498,-3.758126888,-0.4627244413
1.139924589,-0.3666681614,-3.861634387,-0.5191860013
1.071330397,-0.4659366485,-4.013541383,-0.5753471745
0.9980678607,-0.6088576419,-4.218696316,-0.6312311021
0.9297365331,-0.788101577,-4.426507597,-0.6868608249
0.8708443013,-0.965552722,-4.579965673,-0.7422550098
0.815311178,-1.064188633,-4.72021894,-0.7974314186
0.7553602879,-1.093344232,-4.89661882,-0.8524077425
0.6908822208,-1.1292891,-5.084954622,-0.9071984106
0.6282593226,-1.203538494,-5.217153524,-0.9618173505
0.5708763233,-1.321629754,-5.314805931,-1.016276922
0.5133406045,-1.482084113,-5.44516512,-1.070590511
0.4481094544,-1.670093126,-5.62738058,-1.12476996
0.3751955007,-1.828087848,-5.840352577,-1.178823397
0.3043897549,-1.894221185,-6.034647478,-1.232760971
0.2457618554,-1.921510924,-6.194006524,-1.286591544
0.1964419639,-1.973060671,-6.352884941,-1.340323063
0.1445001265,-2.066688658,-6.514821267,-1.39396261
0.08339429486,-2.204341038,-6.64168227,-1.447518255
0.01731675301,-2.379847143,-6.739221249,-1.500995079
-0.04490341041,-2.559525775,-6.852381958,-1.554399076
-0.1013350532,-2.666954779,-6.997797661,-1.60773563
-0.1594013902,-2.698789407,-7.167107126,-1.66100951
-0.2254193586,-2.731450908,-7.293311961,-1.714225715
-0.2958515004,-2.800610476,-7.390422936,-1.767388157
-0.3597061153,-2.912806186,-7.436096834,-1.820501107
-0.412064358,-3.066682727,-7.482739936,-1.87356745
-0.4617052814,-3.249456989,-7.494304966,-1.926590485
-0.5199547832,-3.411751639,-7.514303459,-1.979572373
-0.5883927748,-3.490567255,-7.510398846,-2.032518533
-0.6575698959,-3.523375802,-7.520622449,-2.085430573
-0.7170290194,-3.574338365,-7.478842509,-2.138309177
-0.7686012918,-3.665213553,-7.507505284,-2.191157911
-0.823456555,-3.799202366,-7.52660753,-2.243978257
-0.8879320215,-3.970393619,-7.529765554,-2.296772606
-0.9574024489,-4.146377698,-7.519272015,-2.349542843
-1.021949982,-4.254078698,-7.509593722,-2.402289811
-1.078953646,-4.28754592,-7.5078616,-2.455015119
-1.136504445,-4.319860628,-7.501747216,-2.50772043
-1.20200049,-4.387359917,-7.513202392,-2.560406746
-1.272318535,-4.497238987,-7.53250762,-2.613076786
-1.335800397,-4.648586344,-7.541617541,-2.66572915
-1.386289214,-4.82969852,-7.521662564,-2.718365491
-1.432206104,-4.993949076,-7.534301497,-2.770987436
-1.485761543,-5.076847056,-7.515084628,-2.823595281
-1.550522396,-5.110202925,-7.533220022,-2.876190603
-1.620138621,-5.159350019,-7.533786407,-2.928773707
-1.685841561,-5.247804014,-7.525370426,-2.981344369
-1.746463038,-5.379218491,-7.517690604,-3.033904224
-1.808170977,-5.548518446,-7.520845793,-3.086454055
-1.874014399,-5.724640712,-7.502472149,-3.138993267
-1.937943829,-5.834709324,-7.485417768,-3.191522445
-1.991250596,-5.868404343,-7.50327068,-3.244043335
-2.035144538,-5.898773258,-7.523142274,-3.296554752
-2.080611248,-5.96384564,-7.54389107,-3.349058575
-2.136442995,-6.070996914,-7.539943586,-3.401555585
-2.202596631,-6.219520931,-7.519685125,-3.454041977
-2.271985675,-6.398852969,-7.524498784,-3.506524013
-2.337651897,-6.56272228,-7.520018878,-3.558997933
-2.399365923,-6.649237335,-7.527075435,-3.611466039
-2.46118293,-6.683455409,-7.515566224,-3.663924319
-2.523674261,-6.728187635,-7.5388471,-3.716380093
-2.581982809,-6.81503214,-7.532038345,-3.768828334
-2.632563423,-6.941423014,-7.518876117,-3.821266346
-2.679577466,-7.105388909,-7.536641934,-3.873705791
-2.731251783,-7.269772715,-7.518773172,-3.926132718
-2.792086925,-7.366381726,-7.505977389,-3.978562016
-2.859846065,-7.392109301,-7.483547745,-4.030987519
-2.928182128,-7.412273091,-7.485207223,-4.083396563
-2.992609456,-7.462508665,-7.49921018,-4.135803279
-3.054030713,-7.541510786,-7.533313322,-4.18820506
-3.115355746,-7.64230829,-7.521163859,-4.240602024
-3.176407518,-7.729661581,-7.519407195,-4.292985905
-3.234114403,-7.79427091,-7.543075887,-4.345393033
-3.28749592,-7.818584084,-7.533895609,-4.39777242
-3.340435403,-7.811102462,-7.543780254,-4.450138438
-3.398259053,-7.830480228,-7.527842836,-4.502514531
-3.462875786,-7.831397675,-7.53923925,-4.554911421
-3.531426861,-7.815740938,-7.541594885,-4.607257082
-3.599022133,-7.830801918,-7.52791867,-4.659601305
-3.663233939,-7.841720275,-7.509022468,-4.711986473
-3.725530997,-7.859932254,-7.503259676,-4.764305855
-3.788027933,-7.873841658,-7.529487055,-4.816649391
-3.850297907,-7.848746674,-7.519563128,-4.86905378
-3.910290172,-7.853216992,-7.531803697,-4.921313801
-3.967889662,-7.859493861,-7.497467877,-4.973658718
-4.026239189,-7.868795395,-7.531426452,-5.026034888
-4.088966586,-7.878998918,-7.522004056,-5.078254642
-4.156818467,-7.873103758,-7.513799314,-5.130647669
-4.227004927,-7.826160335,-7.521261194,-5.182952097
-4.295706377,-7.84492456,-7.532369712,-5.235244075
-4.361476963,-7.842143492,-7.510436246,-5.287513631
-4.425806433,-7.848533896,-7.496914518,-5.339821798
-4.490336217,-7.868804395,-7.538106283,-5.392111507
-4.554617037,-7.867719445,-7.499138205,-5.444357759
-4.61713529,-7.880094143,-7.50536748,-5.496924012
-4.678116128,-7.900970009,-7.523638996,-5.549052501
-4.740343662,-7.877799631,-7.543120181,-5.601355978
-4.806696649,-7.896348411,-7.548435274,-5.653478083
-4.877386491,-7.86593373,-7.557626284,-5.705584384
-4.949661513,-7.905389163,-7.519055439,-5.758091558
-5.019967107,-7.908001099,1.636420361,-5.810182506
-5.087079917,-7.905085456,1.499542267,-5.862655768
-5.15260497,-7.898706955,1.330395596,-5.91458315
-5.218225213,-7.908457746,0.9780499098,-5.966673239
-5.283710673,-7.915438348,0.735733091,-6.019470315
-5.347818121,-7.913164545,0.5415389416,-6.071200939
-5.410901232,-7.893004201,0.2915714524,-6.123223402
-5.475685129,-7.910328938,0.01564680607,-6.175296369
-5.544698707,-7.900825503,-0.2428726108,-6.227586611
-5.61791165,-7.909086751,-0.4817504764,-6.280614878
-5.692036752,-7.932344848,-0.6747395744,-6.332188539
-5.763103355,-7.894119049,-0.8012806356,-6.384097227
-5.829850706,-7.891359622,-0.9125984535,-6.435675234
-5.894642603,-7.884929397,-1.050186273,-6.489048926
-5.959788705,-7.914835934,-1.221214697,-6.538740174
-6.025112783,-7.901010909,-1.413960564,-6.593026134
-6.089620067,-7.913022714,-1.604096406,-6.643788162
-6.154213086,-7.896276252,-1.76948973,-6.698508926
-6.220414668,-7.901309115,-1.907386298,-6.748380617
-6.291070289,-7.913036949,-2.024120083,-6.798616674
-6.365637139,-7.918323144,-2.127763968,-6.848361163
-6.440364908,-7.915907526,-2.234238772,-6.903653139
-6.510774218,-7.942584338,-2.360315817,-6.955444882
-6.574795625,-7.908429171,-2.513886647,-7.007679291
-6.637419041,-7.90507555,-2.691700922,-7.053729124
-6.70165024,-7.880535029,-2.880292292,-7.10162482
-6.765413199,-7.923163837,-3.061856249,-7.15345303
-6.831889422,-7.91562609,-3.225440334,-7.201061771
-6.898042232,1.59955603,-3.36923329,-7.244259602
-6.963787373,1.594412373,-3.496247548,-7.297721435
-7.035797282,1.611682016,-3.617026111,-7.344137948
-7.10887735,1.438945016,-3.746826074,1.726672593
-7.183899847,1.256816802,-3.895892157,1.634459901
-7.249743177,1.260947956,-4.064895689,1.521543568
-7.308049958,1.234180879,-4.245563369,1.327887482
-7.360061406,1.112673098,-4.42458458,1.183432384
-7.42741701,0.9352347507,-4.590812702,1.066651915
-7.479474842,0.7830859842,-4.740149421,0.9187610562
-7.537783329,0.6835446476,-4.874653723,0.7585046836
-7.587188072,0.5817067528,-5.002001623,0.6161729184
-7.64138567,0.4726083155,-5.133442518,0.4894799515
-7.693083049,0.3946663341,-5.277661322,0.3671145764
-7.725907895,0.3445549945,-5.436973216,0.2456281618
-7.761220516,0.2829032861,-5.607235349,0.125718137
-7.777190677,0.1899254394,-5.779949676,0.007946241271
-7.801125355,0.06601549505,-5.945652996,-0.1075973203
-7.829266413,-0.07835174241,-6.099756833,-0.2207496192
-7.80542637,-0.227224088,-6.241715223,-0.3312567011
-7.828126145,-0.3666530996,-6.375137416,-0.4389814566
-7.857854811,-0.494089044,-6.511420222,-0.5439637839
-7.833763139,-0.6160237072,-6.651420774,-0.6463348015
-7.840406708,-0.7367283127,-6.798858526,-0.7462182145
-7.833308833,-0.8532532075,-6.954919158,-0.8437082736
-7.842378002,-0.959623029,-7.100086673,-0.9388715562
-7.878246113,-1.054595811,-7.225424951,-1.031729709
-7.878819852,-1.143986828,-7.316139313,-1.122242045
-7.904231604,-1.235612617,-7.401296095,-1.210333099
-7.86787934,-1.334397735,-7.450154331,-1.295955849
-7.883845251,-1.441252407,-7.477157799,-1.379138547
-7.863208755,-1.553996058,-7.486735334,-1.459984209
-7.861004507,-1.668967521,-7.490673124,-1.538639173
-7.880909406,-1.783017059,-7.517183805,-1.615263247
-7.882523314,-1.895097351,-7.498152412,-1.690013881
-7.876560324,-2.006207251,-7.495531988,-1.763042089
-7.839723167,-2.117687411,-7.478820444,-1.83448971
-7.883102888,-2.229388186,-7.529170442,-1.904487372
-7.867333881,-2.339198202,-7.530680981,-1.973153989
-7.825439835,-2.444492805,-7.507377007,-2.040597264
-7.882230767,-2.544645767,-7.514887524,-2.106914983
-7.886066248,-2.642261824,-7.5207364,-2.17219565
-7.823459685,-2.741780894,-7.549161077,-2.236518733
-7.85192551,-2.846936037,-7.543269657,-2.299956484
-7.846016689,-2.958967658,-7.515206378,-2.362573082
-7.891872162,-3.075990144,-7.524040284,-2.42442856
-7.87647998,-3.193549224,-7.531901121,-2.485576682
-7.843345238,-3.306844262,-7.526667858,-2.546067248
-7.892442431,-3.414047188,-7.519381259,-2.605946571
-7.896894452,-3.517684874,-7.510579552,-2.66525792
-7.885856275,-3.622294289,-7.528780229,-2.724041408
-7.837310627,-3.730727077,-7.530755941,-2.782333599
-7.90928707,-3.841896401,-7.534280017,-2.840170172
-7.881823567,-3.950902722,-7.531397644,-2.897584468
