JST,LAX-FRIEDRICH,ROE,AUSM
-0.2543111787,-0.2543111787,-0.2543111787,-0.2487867601
0.6738111772,0.5053249162,0.5599179799,0.5765190469
0.7766725282,0.6111797756,0.4803182457,0.4447304945
0.8599929629,0.6120219493,0.336661785,0.3158014536
0.9132271341,0.5676839899,0.1958509345,0.1823685621
0.9349837282,0.5021017162,0.05327703064,0.06886539086
0.9255012646,0.4306261628,-0.1509917213,-0.08044098958
0.8925067801,0.3585294197,-0.3506448843,-0.2864360907
0.8497420239,0.2846943688,-0.4411677041,-0.4344746689
0.7948901399,0.2127056537,-0.5443713407,-0.5095964283
0.7230577658,0.1461309114,-0.7237582362,-0.6301071453
0.6373567568,0.0765212739,-0.9385477148,-0.8205051997
0.5503151495,-0.009544744313,-1.09220306,-1.033613111
0.4783500669,-0.11595636,-1.200345644,-1.182543763
0.4196199417,-0.2314477515,-1.342657355,-1.294535315
0.3540698047,-0.3356565721,-1.529393413,-1.448820271
0.2723862537,-0.4202307239,-1.7187946,-1.655794059
0.187937576,-0.4981125799,-1.870323177,-1.851771231
0.1186295487,-0.584881319,-2.010252736,-1.957986064
0.05791154734,-0.6858847765,-2.172648551,-2.037777478
-0.01303048711,-0.7971921498,-2.347177126,-2.156632399
-0.0961357016,-0.9100901756,-2.50105692,-2.314110046
-0.1747553751,-1.017174215,-2.639768699,-2.474796973
-0.2386024033,-1.118000177,-2.803691121,-2.597102083
-0.3003904739,-1.218477672,-3.019245739,-2.683620753
-0.3743631253,-1.324861205,-3.284354128,-2.760198012
-0.4566261996,-1.438712752,-3.540285599,-2.833513998
-0.5306093178,-1.554909114,-3.711539754,-2.901121327
-0.5910422117,-1.663305087,-3.86004771,-2.965037638
-0.652652828,-1.756302456,-4.03850809,-3.029387358
-0.729519894,-1.836863172,-4.205698824,-3.094948746
-0.8207759556,-1.91561973,-4.324385794,-3.159372379
-0.9122980556,-2.002000712,-4.449962914,-3.220664987
-0.991596582,-2.100149138,-4.632581407,-3.278911924
-1.06358933,-2.209128563,-4.873782389,-3.335364172
-1.141621007,-2.324110518,-5.097864561,-3.391065169
-1.228626215,-2.438402167,-5.217344104,-3.446427474
-1.312894259,-2.547155923,-5.325593679,-3.501549869
-1.382793673,-2.650721495,-5.489779187,-3.556456377
-1.445460758,-2.753841366,-5.691840316,-3.611187535
-1.518237888,-2.861487108,-5.866181894,-3.665739898
-1.607199314,-2.975343102,-5.999753945,-3.720106439
-1.69738461,-3.092445317,-6.155434999,-3.774260148
-1.763676935,-3.206135034,-6.358272117,-3.828237458
-1.806412295,-3.310230351,-6.55710907,-3.88206809
-1.851629386,-3.404433417,-6.67686392,-3.93577394
-1.915541191,-3.494798087,-6.774057544,-3.98938361
-1.993202414,-3.588700281,-6.915923631,-4.042900453
-2.06691388,-3.690409049,-7.105718121,-4.096330264
-2.127415625,-3.799716228,-7.305549591,-4.149690856
-2.185010832,-3.912424676,-7.473188555,-4.202969423
-2.24987314,-4.022468622,-7.628484034,-4.25618124
-2.313974134,-4.125930425,-7.80631687,-4.309337552
-2.359483709,-4.224270985,-7.9861832,-4.362430883
-2.387233647,-4.323084289,-8.114709472,-4.415476441
-2.417968074,-4.427898392,-8.213667188,-4.468470763
-2.466677791,-4.540991277,-8.33943156,-4.521433474
-2.533086764,-4.660105393,-8.508542168,-4.57436142
-2.605939439,-4.778711227,-8.703918651,-4.627242568
-2.673664243,-4.889026569,-8.893109735,-4.680099944
-2.735307661,-4.987851572,-9.061771151,-4.732925519
-2.796439053,-5.0794857,-9.228650331,-4.785724829
-2.856266996,-5.171702411,-9.392196071,-4.838497341
-2.906687941,-5.270187973,-9.525491817,-4.891254801
-2.94561216,-5.376243114,-9.632695204,-4.943982852
-2.983431205,-5.487052983,-9.751406328,-4.996695893
-3.032165271,-5.597479311,-9.900780238,-5.049389537
-3.09576572,-5.703379756,-10.07485873,-5.102066646
-3.169639192,-5.804793673,-10.25780812,-5.154731389
-3.245698325,-5.905826689,-10.4182221,-5.207380203
-3.319717673,-6.01135481,-10.53692588,-5.260019011
-3.39364837,-6.123789792,-10.6619184,-5.312641246
-3.469492008,-6.241500859,-10.71253253,-5.365253694
-3.543716728,-6.358952331,-10.78161802,-5.417850855
-3.610705813,-6.469362978,-10.80348659,-5.470453542
-3.671544064,-6.569715275,-10.80910589,-5.523038431
-3.73462365,-6.663420416,-10.79859389,-5.575609302
-3.806999319,-6.75713195,-10.81204077,-5.628182235
-3.888337354,-6.855802943,-10.85150544,-5.680741394
-3.972003833,-6.960341404,-10.87935679,-5.73329831
-4.051997379,-7.067857206,-10.8634831,-5.785849902
-4.129430331,-7.173711777,-10.8642087,-5.838391299
-4.20991243,-7.27498631,-10.84878725,-5.890930223
-4.295623528,-7.372998403,-10.83821447,-5.943464525
-4.382028129,-7.472401632,-10.84975425,-5.995992438
-4.462237372,-7.577845731,-10.84559107,-6.048525658
-4.534163979,-7.691226653,-10.85029648,-6.101041531
-4.600570729,-7.810412853,-10.86364712,-6.153560138
-4.662372827,-7.929226917,-10.87659662,-6.206075589
-4.71638097,-8.04034413,-10.85223231,-6.258585587
-4.760927943,-8.140361736,-10.8968717,-6.311098788
-4.800704846,-8.232990501,-10.83779153,-6.363606592
-4.84367997,-8.325394098,-10.86854671,-6.416104823
-4.895394335,-8.422934153,-10.86721494,-6.46861302
-4.956466334,-8.526819879,-10.89366095,-6.521110712
-5.022666617,-8.63416873,-10.87498904,-6.573607866
-5.086596157,-8.740102353,-10.88505198,-6.626104009
-5.14163012,-8.841366055,-10.86654175,-6.678600481
-5.186208877,-8.93933619,-10.84695165,-6.731090182
-5.223725488,-9.038354975,-10.86288296,-6.783585659
-5.258646967,-9.142917066,-10.85947935,-6.836077357
-5.294196969,-9.25537284,-10.84090815,-6.88855844
-5.332824172,-9.373372463,-10.85475709,-6.94106051
-5.376898488,-9.491605054,-10.85836408,-6.993545736
-5.428042854,-9.602079514,-10.86206942,-7.046025972
-5.485737561,-9.70167084,-10.87676441,-7.098523495
-5.546694025,-9.794263614,-10.87500306,-7.150992256
-5.606188185,-9.885566288,-10.85634476,-7.203509004
-5.661064681,-9.981377665,-10.82498027,-7.25593491
-5.711633516,-10.08677374,-10.84130278,-7.308458776
-5.760306029,-10.19197677,-10.82371317,-7.360966008
-5.809106527,-10.29214797,-10.82069493,-7.413419244
-5.859015113,-10.3936675,-10.83075913,-7.465921159
-5.910912499,-10.48046347,-10.86157947,-7.5183494
-5.966108145,-10.56401196,-10.86388225,-7.570887624
-6.025564134,-10.65318467,-10.88219687,-7.623310345
-6.088748092,-10.75189405,-10.8627519,-7.675862649
-6.153494054,-10.84326327,-10.82717657,-7.728294063
-6.217306532,-10.91612134,-10.88017796,-7.780833932
-6.27905894,-10.98129191,-10.85384131,-7.833242251
-6.339359782,-10.9982598,-10.88411925,-7.885749846
-6.399396276,-11.02931914,-10.89362675,-7.938267989
-6.459855912,-11.07102988,-10.90716139,-7.990779752
-6.52102099,-11.13845996,-10.8982874,-8.043157725
-6.583433518,-11.0941828,-10.84311317,-8.09555403
-6.647976994,-11.12814973,-10.84682953,-8.148302967
-6.71519649,-11.14347979,-10.84997726,-8.200449494
-6.784638725,-11.20493447,-10.8744877,-8.253304248
-6.855014369,-11.13773165,-10.8398542,-8.305663293
-6.9250552,-11.13790022,-10.84840204,-8.357914539
-6.994316796,-11.15019971,-10.85958722,-8.41067681
-7.063172115,-11.12969867,-10.86624037,-8.462972101
-7.13220987,-11.16370991,-10.88879196,-8.515310827
-7.201804231,-11.16656857,-10.85442732,-8.568020933
-7.272126622,-11.16331849,-10.85456104,-8.620755115
-7.343390144,-11.15105154,-10.8586235,-8.672382912
-7.415924465,-11.14621225,-10.90635211,-8.725646964
-7.489980086,-11.12558671,-10.86501364,-8.778150022
-7.565465915,-11.16590771,-10.83282655,-8.830127623
-7.641831057,-11.19402939,-10.86672142,-8.883786335
-7.718212825,-11.15040691,-10.84774935,-8.935349108
-7.793945538,-11.17932477,-10.84321722,-8.98712082
-7.869154844,-11.19806412,-10.85360459,-9.04087106
-7.944643756,-11.18818946,-10.89078056,-9.092454173
-8.021096567,-11.15011309,-10.86822834,-9.144948085
-8.098253301,-11.1647633,-10.82193093,-9.198632078
-8.175139638,-11.18756801,-1.70541355,-9.248378205
-8.250939443,-11.18639789,-1.511020323,-9.305515857
-8.325972763,-11.20648136,-1.569184401,-9.353076176
-8.401158112,-11.25119008,-1.773356115,-9.407072578
-8.476595476,-11.24798997,-2.060361387,-9.461153335
-8.550906912,-11.19152247,-2.41061965,-9.509601
-8.622920972,-11.1954964,-2.766361908,-9.563780041
-8.693731459,-11.18057284,-3.074395547,-9.617254836
-8.766116012,-11.19589348,-3.30790301,-9.673717966
-8.841195153,-11.15963559,-3.498521948,-9.72183622
-8.916701101,-11.213032,-3.63917694,-9.768964687
-8.987999236,-11.20680975,-3.727770489,-9.822374358
-9.053723475,-11.17753831,-3.817858708,-9.878304607
-9.115723679,-11.22231371,-3.939015334,-9.92837919
-9.177322763,-11.17899111,-4.091365604,-9.974692532
-9.238542239,-11.17597189,-4.263056709,-10.03293
-9.297087512,-11.18446717,-4.437486918,-10.08531638
-9.355838605,-11.19106968,-4.601058834,-10.13323757
-9.417224771,-11.17214914,-4.748664451,-10.17487444
-9.483016904,-11.21270267,-4.879728464,-10.22323951
-9.556492407,-11.26308571,-4.997839461,-10.26355466
-9.631268458,-11.24564012,-5.11516061,-10.32529665
-9.699245239,-11.26551639,-5.246511376,-10.38050668
-9.762914022,-11.2519871,-5.399994828,-10.42117201
-9.824724457,-11.19142897,-5.573825259,-10.43788532
-9.885994682,-11.17223618,-5.757410818,-10.50926967
-9.946764661,-11.18313645,-5.936665393,-10.49939564
-10.00704427,-11.21179653,-6.102231631,-10.56769217
-10.06885271,-1.773090684,-6.251273493,-10.59641762
-10.13127116,-1.470354036,-6.385089204,-10.61509317
-10.20167479,-1.324766732,-6.511650774,-10.67734535
-10.28203979,-1.314891625,-6.643826685,-1.570097812
-10.36052134,-1.376546334,-6.791051262,-1.39525243
-10.4295589,-1.486333846,-6.954573896,-1.508390289
-10.493574,-1.627111726,-7.128085205,-1.674170949
-10.55272453,-1.776593638,-7.301573516,-1.913333421
-10.62254169,-1.90791501,-7.466789859,-2.194351436
-10.66848648,-2.006843035,-7.619906705,-2.483539361
-10.73620592,-2.083353268,-7.761016581,-2.764992071
-10.76464037,-2.156228425,-7.894848304,-2.993978183
-10.81715922,-2.238168256,-8.030019989,-3.154247753
-10.83746035,-2.334262442,-8.174315031,-3.277236632
-10.90190239,-2.444483306,-8.330589348,-3.38810838
-10.91383387,-2.565700298,-8.496065836,-3.49977822
-10.90306663,-2.693131274,-8.664164103,-3.618717932
-10.92267557,-2.821679715,-8.828749758,-3.747269022
-10.98083382,-2.947150295,-8.984979762,-3.881381845
-10.93850147,-3.066963708,-9.132745947,-4.013596224
-10.9394672,-3.180213713,-9.272246227,-4.137408959
-10.93944962,-3.287357919,-9.409959326,-4.250824052
-10.94908829,-3.389809093,-9.5554524,-4.355558793
-10.98427724,-3.48944829,-9.705463706,-4.454008476
-10.92747216,-3.588116925,-9.862644535,-4.548267919
-10.94632944,-3.687254722,-10.02264944,-4.640208377
-10.96158587,-3.787760303,-10.18062724,-4.731057278
