JST,LAX-FRIEDRICH,ROE,AUSM
0.2977639443,0.1808100665,0.2256969838,0.22456772
0.320937453,0.2244051001,0.2819087648,0.2583377236
0.3079413446,0.2306034222,0.2913859363,0.2871846368
0.2954561696,0.2351063484,0.2940615572,0.298110491
0.2835960918,0.2424575536,0.2922383812,0.2992934054
0.2741318699,0.2496923978,0.2884618854,0.2967946589
0.2692881945,0.2545571062,0.2863172513,0.2951802348
0.2692945803,0.2568072268,0.287006045,0.295879653
0.273311464,0.2573046635,0.2900649703,0.2986434422
0.2800486608,0.2570207067,0.2945649631,0.3026965393
0.2878344463,0.2565744337,0.2994995857,0.3071166354
0.2949944283,0.2562162008,0.3039624174,0.3110591118
0.3004162374,0.2559861971,0.3073782394,0.3140070749
0.303777074,0.2558597882,0.3096197324,0.3158695802
0.3053854502,0.2558178174,0.3109048042,0.3168655266
0.3058293001,0.2558573697,0.3115791079,0.317314744
0.3056881529,0.2559784321,0.3119438525,0.3174844642
0.3054024926,0.2561714998,0.3121976263,0.3175446782
0.3052687066,0.2564147475,0.3124593514,0.3175962584
0.3054699797,0.2566788833,0.312805374,0.3177087948
0.3060826862,0.2569345955,0.3132809577,0.317931315
0.3070585211,0.2571586476,0.3138887142,0.3182786959
0.3082293853,0.2573369859,0.3145783787,0.3187177955
0.3093547484,0.2574649749,0.3152575681,0.3191733534
0.3102020771,0.2575456914,0.3158243415,0.3195558183
0.3106263238,0.2575873088,0.3162062538,0.3197972451
0.3106144719,0.2576003981,0.3163867069,0.3198769545
0.3102785411,0.25759566,0.3164072208,0.3198256162
0.3098047533,0.2575823404,0.3163468181,0.319708275
0.3093833375,0.2575673722,0.3162896701,0.3195963023
0.3091472684,0.2575551519,0.3162955104,0.3195413916
0.3091395729,0.2575477837,0.3163839157,0.3195615266
0.3093167918,0.257545598,0.3165361004,0.3196420954
0.3095805764,0.2575477702,0.3167102887,0.3197486582
0.3098219319,0.2575529056,0.3168621865,0.3198440605
0.3099603933,0.2575595052,0.3169618609,0.3199025433
0.3099653898,0.2575662781,0.3170016027,0.3199163731
0.3098562072,0.2575723021,0.3169939742,0.3198943954
0.3096852771,0.2575770608,0.3169630483,0.3198550354
0.3095139737,0.2575803952,0.3169336014,0.3198176388
0.3093906669,0.2575824096,0.316922589,0.3197956375
0.309337881,0.2575833649,0.3169353683,0.3197934852
0.3093507614,0.2575835824,0.3169668455,0.319807472
0.3094048083,0.2575833717,0.3170059483,0.3198291439
0.3094682846,0.2575829854,0.3170410485,0.3198494668
0.3095141718,0.2575825999,0.3170642139,0.3198621053
0.309527842,0.2575823163,0.3170731073,0.3198649146
0.3095089084,0.2575821725,0.3170704647,0.3198596
0.3094680065,0.257582162,0.3170619446,0.3198501432
0.3094207221,0.2575822529,0.3170535024,0.3198408588
0.3093813321,0.2575824041,0.3170493166,0.3198348453
0.3093584464,0.2575825766,0.3170508437,0.3198332567
