JST,LAX-FRIEDRICH,ROE,AUSM
0.4002570706,0.4002570706,0.4002570706,0.3690011411
0.8237945391,0.768289809,0.8266008138,0.8389743738
0.8693840528,0.8639431691,0.8258164944,0.8109086678
0.803316108,0.8014130983,0.7202178611,0.6979216467
0.7599416547,0.6656489196,0.6443292865,0.6293477201
0.7350925579,0.5033734128,0.6073543114,0.5819195835
0.7187791882,0.3507885554,0.5962370516,0.5603801358
0.7086154822,0.2363395621,0.5695617945,0.5401918329
0.6845879827,0.185154728,0.500603373,0.4804583511
0.6408764379,0.1788470064,0.4103336493,0.3905884747
0.5888867856,0.1658770984,0.3399730626,0.3156365464
0.53283173,0.1175165648,0.2769390188,0.2535826433
0.4689198157,0.02687700281,0.1784038166,0.1582232991
0.4026932035,-0.1038439752,0.04188556746,0.0200247962
0.3472627858,-0.2637031056,-0.07260184906,-0.1018813148
0.3036171269,-0.4212751972,-0.1223249354,-0.1523278904
0.2586068687,-0.5295532043,-0.1666511945,-0.191006266
0.2021863291,-0.5898685686,-0.2429308894,-0.2623224996
0.134988819,-0.6479859805,-0.3301378776,-0.3491418649
0.06450993404,-0.7301070364,-0.3916055014,-0.4157846214
-0.002432233389,-0.837986328,-0.4383471469,-0.4682684133
-0.06490355966,-0.9573540292,-0.5095174488,-0.5431890559
-0.1262399922,-1.064032457,-0.62150534,-0.6575692804
-0.1893885845,-1.14628178,-0.7559362372,-0.7924022693
-0.2546547784,-1.220684859,-0.8598115655,-0.8933566389
-0.3202632416,-1.311260938,-0.9145213245,-0.9454740362
-0.3844619003,-1.431963697,-0.9664101011,-0.9974105334
-0.4475694816,-1.584722539,-1.039674946,-1.071946827
-0.5118123597,-1.750222774,-1.117271282,-1.151698766
-0.5790010131,-1.871946307,-1.175246078,-1.213582205
-0.6489727438,-1.919323091,-1.223990704,-1.266999723
-0.720473142,-1.946567168,-1.292369169,-1.33774066
-0.7929639087,-1.998624666,-1.393554009,-1.434324734
-0.866593967,-2.088044205,-1.51476253,-1.537895743
-0.9403037037,-2.215594468,-1.616786904,-1.613328963
-1.011132285,-2.375329433,-1.678091794,-1.65602999
-1.076918743,-2.544372825,-1.730663732,-1.695071414
-1.139415991,-2.673657471,-1.802362654,-1.744763905
-1.202964593,-2.742910665,-1.884133246,-1.795104812
-1.270263166,-2.797363632,-1.945741747,-1.831857425
-1.340576444,-2.875938649,-1.984090355,-1.85721024
-1.411853722,-2.991374704,-2.031045698,-1.883022986
-1.483670644,-3.142554549,-2.109459056,-1.912933102
-1.556906866,-3.309528485,-2.21628573,-1.940302014
-1.630520194,-3.437353389,-2.321058173,-1.958470784
-1.700336491,-3.491999246,-2.392190373,-1.968842793
-1.763010596,-3.523524031,-2.446269134,-1.97697131
-1.82050831,-3.577976148,-2.515045675,-1.985408374
-1.877861202,-3.669062718,-2.596324175,-1.993017615
-1.937190338,-3.797791669,-2.657949755,-1.998339949
-1.995999898,-3.957450318,-2.690431996,-2.001581087
-2.051383972,-4.122290841,-2.727968294,-2.003742438
-2.104647415,-4.24074077,-2.798691414,-2.005230738
-2.160001011,-4.298725413,-2.904103581,-2.005788211
-2.219486951,-4.345138194,-3.017539704,-2.00521615
-2.280770225,-4.416023031,-3.100168944,-2.003723877
-2.339921016,-4.522180546,-3.156788813,-2.001667814
-2.395779858,-4.663832028,-3.221553971,-1.99923072
-2.450235281,-4.831648638,-3.29791693,-1.996402328
-2.504367293,-4.993968543,-3.356488982,-1.99314204
-2.556440426,-5.10269382,-3.387111719,-1.989475197
-2.604649523,-5.162598654,-3.422570961,-1.985469746
-2.650660317,-5.223073118,-3.491587616,-1.981185662
-2.698675034,-5.312438828,-3.597921793,-1.976665938
-2.751429289,-5.437333679,-3.718117327,-1.971954594
-2.808117652,-5.591038182,-3.810500622,-1.967102949
-2.865876202,-5.743903062,-3.871012122,-1.962158957
-2.922823811,-5.844246458,-3.934409402,-1.957156183
-2.979204015,-5.889172299,-4.008965078,-1.952114509
-3.035543832,-5.929129116,-4.067860643,-1.947047325
-3.090825804,-5.995009111,-4.099507391,-1.941966775
-3.143459574,-6.094822165,-4.134744106,-1.936884664
-3.193782678,-6.227568907,-4.202607919,-1.931812151
-3.244438384,-6.384602069,-4.307902277,-1.926758799
-3.297950261,-6.541657665,-4.428730631,-1.921733368
-3.354532467,-6.662096406,-4.524039497,-1.916742422
-3.412351231,-6.741209698,-4.587283002,-1.911789861
-3.469641057,-6.814458893,-4.652974757,-1.906878287
-3.526287368,-6.910285821,-4.732471099,-1.902007713
-3.583189886,-7.038179425,-4.799865222,-1.897176488
-3.640568301,-7.191922732,-4.837598501,-1.892382499
-3.697508685,-7.339081792,-4.873070423,-1.887623231
-3.753171917,-7.427990283,-4.936849701,-1.882896539
-3.807931274,-7.46446953,-5.033908026,-1.878199724
-3.862896855,-7.500682313,-5.14209305,-1.87352983
-3.918525635,-7.564420613,-5.226236203,-1.868884793
-3.974122325,-7.662313474,-5.286369768,-1.864262332
-4.028778881,-7.793277627,-5.354567985,-1.859659721
-4.082556642,-7.949934705,-5.442351455,-1.855074468
-4.136480016,-8.110923144,-5.526554618,-1.850504175
-4.191460653,-8.239995343,-5.579831497,-1.845947291
-4.247488847,-8.325686005,-5.617506747,-1.841401764
-4.303860955,-8.400261477,-5.670301913,-1.836866036
-4.359960925,-8.494594608,-5.744375673,-1.83233966
-4.415632848,-8.620356533,-5.821428311,-1.827821561
-4.470852831,-8.772450912,-5.882047841,-1.823310829
-4.525347308,-8.918569545,-5.93427984,-1.818807552
-4.578802958,-9.007804388,-6.000110699,-1.814311597
-4.631446208,-9.042912915,-6.086814507,-1.809822753
-4.684212255,-9.076627603,-6.179007719,-1.805340777
-4.738202163,-9.13760928,-6.250935017,-1.800866232
-4.793958081,-9.232481053,-6.299271925,-1.796399716
-4.851206456,-9.360630674,-6.343499873,-1.791941458
-4.909185008,-9.512988312,-6.393689402,-1.787491941
-4.967162081,-9.672108137,-6.444434214,-1.783051766
-5.024695614,-9.803823532,-6.490775087,-1.77862112
-5.08155904,-9.888200055,-6.539289176,-1.77420042
-5.13764388,-9.964307741,-6.600640107,-1.76979025
-5.193072283,-10.05503559,-6.677984051,-1.765390823
-5.248352684,-10.1757358,-6.762889437,-1.761002903
-5.304261823,-10.31814043,-6.840005153,-1.756626574
-5.36143554,-10.43840233,-6.900989827,-1.752261888
-5.419997101,-10.50879103,-6.951257876,-1.747909288
-5.479532457,-10.54314905,-6.998645524,-1.743568628
-5.539406663,-10.57313876,-7.045228671,-1.739239403
-5.599133509,-10.62146917,-7.091488722,-1.734921956
-5.658509789,-10.67555354,-7.141299756,-1.730616679
-5.717513468,-10.7671903,-7.200049275,-1.726323032
-5.776201718,-10.80064195,-7.269687287,-1.722040548
-5.834758543,-10.88186096,-7.346233997,-1.717769
-5.893566703,-10.89819455,-7.421670339,-1.713508325
-5.953101556,-10.89048616,-7.489577171,-1.709258109
-6.013658743,-10.92595655,-7.549524718,-1.705017592
-6.075156732,-10.93120223,-7.604626128,-1.700786512
-6.137203608,-10.9292997,-7.657153691,-1.696564696
-6.199379042,-10.97465754,-7.708511828,-1.692351587
-6.261473163,-10.95198554,-7.761393318,-1.688146611
-6.323491146,-10.94941917,-7.81935251,-1.683949509
-6.385507669,-10.93440329,-7.88449252,-1.679759846
-6.447581498,-10.95244294,-7.955568345,-1.675577285
-6.509821176,-10.96781641,-8.028682256,-1.671401146
-6.572453383,-10.9684326,-8.099694182,-1.667230985
-6.635738533,-10.96242572,-8.166680466,-1.663066762
-6.699768664,-10.96904802,-8.229772789,-1.658907887
-6.76437022,-10.96152195,-8.289578264,-1.654753773
-6.829217106,-10.99149325,-8.346530817,-1.650604587
-6.89406478,-10.94362603,-8.402753398,-1.646460001
-6.958876964,-10.95228031,-8.460858773,-1.642319227
-7.02374997,-10.95425873,-8.523569973,-1.638182361
-7.088758232,-10.9437617,-8.591283627,-1.634049202
-7.153926934,-10.96097848,-8.662066286,-1.629919703
-7.219313855,-10.99111916,-8.734159146,-1.6257933
-7.285078532,-11.00446687,-8.805697971,-1.621669981
-7.351367091,-10.93113667,-8.874625683,-1.617549511
-7.418153063,-10.9662871,-8.940615976,-1.613431609
-7.485217701,-11.03826789,-9.002887229,-1.60931662
-7.552264043,-11.00816832,-9.062289157,-1.605203876
-7.619130834,-11.0015181,-9.120455539,-1.60109358
-7.685891685,-11.03020055,-9.182508029,-1.596985487
-7.752668671,-11.02602209,-9.246650394,-1.592879463
-7.819545346,-11.02984275,-9.31575551,-1.588775751
-7.886558693,-10.97647215,-9.387616653,-1.584674302
-7.95382817,-10.98191617,-9.461476625,-1.580574712
-8.0214222,-10.97953193,-9.533513638,-1.576477129
-8.08950444,-10.97922965,-9.604151374,-1.572381433
-8.157861382,-10.97884607,-9.668859826,-1.568287358
-8.226211761,-11.00637061,-9.730979476,-1.564195214
-8.294277008,-10.99549192,-9.793176017,-1.560105005
-8.361791641,-10.96869807,-9.851555013,-1.556016223
-8.429051655,-11.00820805,-9.910906405,-1.551929261
-8.49614783,-10.96708857,-9.972445443,-1.547843926
-8.563180409,-10.9575181,-10.04119141,-1.543760115
-8.630482634,-10.96759801,-10.10480511,-1.539677735
-8.69815239,-10.93443987,-10.18719346,-1.535596752
-8.766449401,-10.95417234,-10.24614535,-1.531517343
-8.835026269,-11.00031154,-10.2969552,-1.527439552
-8.904109764,-11.0129478,-10.33623048,-1.523363129
-8.973154137,-11.02214854,-10.38156231,-1.51928771
-9.041592454,-11.03117633,-10.406408,-1.515213475
-9.109352766,-10.96559427,-10.47362531,-1.511140867
-9.176678753,-10.9714595,-10.50598922,-1.507069687
-9.243725175,-10.89668098,-10.52758455,-1.502999661
-9.310989698,-10.98056601,-10.5497101,-1.498930829
-9.378785981,-10.99809485,-10.55392943,-1.494863119
-9.447874039,-1.585762357,-10.54339488,-1.490796315
-9.518328114,-1.349199336,-10.57878331,-1.48673062
-9.588824116,-1.209077741,-10.63281916,-1.482666142
-9.659185865,-1.257292504,-10.60600426,-1.478602652
-9.730464723,-1.404847496,-10.57623777,-1.474540258
-9.80079388,-1.568934557,-10.61508397,-1.470478766
-9.872303837,-1.660561854,-10.62891136,-1.466418344
-9.939078792,-1.718232195,-10.60944024,-1.462358903
-10.00584666,-1.79932896,-10.63699619,-1.458300338
-10.07526153,-1.907008852,-10.61397707,-1.454242799
-10.14457011,-2.027035263,-10.63348818,-1.45018615
-10.21364877,-2.145616138,-10.62263291,-1.446130498
-10.28391288,-2.251356157,-10.63071041,-1.442075674
-10.34883698,-2.337743722,-10.63178665,-1.438021563
-10.41415917,-2.410172873,-10.62810121,-1.433968458
-10.4759613,-2.482383213,-10.62857278,-1.429916496
-10.52484795,-2.56550967,-10.59298388,-1.425865339
-10.595337,-2.664102971,-10.63569657,-1.421814846
-10.64704933,-2.777759679,-10.64535615,-1.417765298
-10.68223012,-2.90322956,-10.63045387,-1.413716722
-10.70652952,-3.035783426,-10.64889079,-1.409669044
-10.74237149,-3.17023099,-10.62747456,-1.405622355
-10.74049945,-3.301853939,-10.63458621,-1.401576479
-10.78995771,-3.427128467,-10.59367874,-1.397531193
-10.78839929,-3.544130366,-10.64725137,-1.393486695
-10.81469497,-3.652757458,-10.6248829,-1.389443431
-10.84702022,-3.754728225,-10.62152288,-1.385400864
-10.84777805,-3.85304521,-10.61571374,-1.381359102
-10.86242897,-3.950988541,-10.62554976,-1.37731849
-10.85654723,-4.051188422,-10.61494603,-1.373278718
-10.85876839,-4.15517267,-10.6395583,-1.369239717
-10.84159941,-4.263359895,-10.58826139,-1.365201576
-10.83986303,-4.375295552,-10.62041274,-1.361164534
-10.87599272,-4.489975395,-10.61855446,-1.357128476
-10.86758647,-4.606167813,-10.63340386,-1.35309318
-10.85846538,-4.722660996,-10.62136257,-1.349058712
-10.84020495,-4.838374723,-10.6362855,-1.345025301
-10.83814992,-4.952349089,-10.60009242,-1.340992699
-10.85960181,-5.063735401,-10.6521125,-1.336961014
-10.78886415,-5.171944284,-10.62306974,-1.332930422
-10.88077673,-5.276959012,-10.64521557,-1.328900723
-10.85328939,-5.379590149,-10.65487767,-1.324872084
-10.7802596,-5.481392666,-10.61664463,-1.320844539
-10.85292003,-5.584208858,-10.61876779,-1.316818042
-10.84812746,-5.689574571,-10.65174369,-1.312791935
-10.8368881,-5.798257756,-10.6199133,-1.308766905
-10.85741251,-5.910063651,-1.724241196,-1.304743187
-10.84373118,-6.023931444,-1.875774539,-1.30072071
-10.87078531,-6.138315484,-1.87033409,-1.296699078
-10.87425922,-6.251747633,-1.920438336,-1.292678136
-10.85306609,-6.363306982,-1.977349002,-1.288658539
-10.8422212,-6.472690449,-1.980410603,-1.284640282
-10.88385131,-6.579849149,-2.015961653,-1.280622838
-10.84710466,-6.684564929,-2.100550422,-1.276606206
-10.83905296,-6.786387462,-2.216516734,-1.272590684
-10.82390518,-6.885081055,-2.333629471,-1.268576285
-10.78362156,-6.981212454,-2.429058259,-1.264563188
-10.8133836,-7.076322936,-2.516381152,-1.260551219
-10.81909924,-7.172491666,-2.618728725,-1.256540127
-10.84086698,-7.271590805,-2.740561101,-1.252530324
-10.85518759,-7.374700356,-2.874321372,-1.248521668
-10.83651605,-7.481850352,-3.011717227,-1.244514055
-10.85648697,-7.592065872,-3.144099789,-1.240507757
-10.83093558,-7.70373646,-3.261910091,-1.236502644
-10.78818463,-7.815173173,-3.364426426,-1.232498392
-10.84688251,-7.925086147,-3.461534008,-1.228495148
-10.88485588,-8.032880884,-3.561462404,-1.224493433
-10.83306317,-8.138291362,-3.665754612,-1.220493255
-10.84761255,-8.240976155,-3.774051198,-1.2164942
-1.674576342,-8.340814178,-3.887092333,-1.212496389
-1.777334869,-8.437779349,-4.002571614,-1.208499608
-1.912759746,-8.532405379,-4.110056601,-1.204504011
-1.958860151,-8.626502166,-4.196913907,-1.200510042
-1.977723165,-8.72209546,-4.263412657,-1.196517178
-1.986883352,-8.820664675,-4.321552781,-1.192525675
-2.009334547,-8.923420366,-4.380155072,-1.188535865
-2.036613804,-9.030654977,-4.440701231,-1.184547297
-2.062278281,-9.141444252,-4.502729353,-1.180559405
