JST,LAX-FRIEDRICH,ROE,AUSM
3.837646007,3.837646007,3.837646007,3.837646007
3.95018496,3.91723389,3.857828678,3.873620947
4.086022112,3.984551155,3.831982308,3.855484348
4.177377701,3.934333683,3.740728929,3.839276686
4.216304115,3.846514421,3.592623262,3.753465346
4.217937841,3.762320339,3.44499818,3.622734856
4.212152916,3.695052582,3.341076202,3.508604591
4.207790434,3.650564505,3.24114484,3.422897296
4.198408766,3.628109603,3.107507804,3.327647914
4.182988693,3.61131483,2.939783339,3.201074914
4.167195426,3.583734516,2.76492131,3.047561707
4.15222165,3.539338405,2.62426915,2.889114398
4.131301297,3.478210787,2.521653567,2.754690806
4.098560412,3.400706283,2.419358613,2.649813313
4.055092151,3.305381565,2.290363901,2.550588796
4.009270873,3.190406238,2.127247853,2.434947105
3.971096026,3.05756129,1.935730555,2.294421997
3.943300388,2.919959697,1.739442384,2.131598102
3.919155149,2.808949798,1.579352954,1.961253619
3.889610349,2.74986897,1.466711821,1.810667307
3.849710065,2.72393889,1.365518264,1.697254189
3.800446821,2.697801818,1.245512289,1.604975315
3.747647872,2.654665079,1.097117687,1.507462699
3.698945457,2.589795965,0.9236275675,1.390383594
3.658903567,2.502620783,0.7421638553,1.25041184
3.625820494,2.393554239,0.5856724847,1.092140669
3.593998897,2.263502332,0.4737230642,0.930167263
3.558162342,2.115327391,0.3834920788,0.7888228878
3.516089426,1.958574983,0.2838122617,0.6825405302
3.468677014,1.817240344,0.1597108256,0.5971585602
3.419154916,1.722401151,0.007750772852,0.5090853287
3.371408505,1.674186272,-0.1677716373,0.4046049541
3.328116889,1.641961067,-0.3505710118,0.279715216
3.289239826,1.602343629,-0.5092793525,0.13702616
3.252435795,1.546438833,-0.6246993029,-0.01360455497
3.214751798,1.47208645,-0.7185612195,-0.1540854484
3.173921205,1.379136252,-0.8217473773,-0.267730125
3.12905396,1.267819653,-0.9491860577,-0.3570897603
3.080737804,1.138548504,-1.102954872,-0.4400940609
3.030923912,0.9927943411,-1.274211007,-0.5316407407
2.982312825,0.835901727,-1.438766376,-0.6374847654
2.937284517,0.6829557164,-1.567014667,-0.7559704505
2.896665699,0.561120531,-1.661039155,-0.879345895
2.85918281,0.4873675696,-1.75142837,-0.9955213273
2.822167199,0.4448058321,-1.860973424,-1.094621093
2.782971582,0.4065213462,-1.998058739,-1.177083718
2.740055157,0.3577362975,-2.162012403,-1.251893169
2.693546362,0.2934361926,-2.341982834,-1.327672711
2.645282732,0.212538917,-2.510876592,-1.407999583
2.5981461,0.1151201735,-2.639167458,-1.491764075
2.554775778,0.001540581279,-2.734740809,-1.575201196
2.516046986,-0.1274904795,-2.830706813,-1.654359732
2.48050216,-0.2699827883,-2.948251613,-1.727323747
2.445273241,-0.4202816208,-3.093427171,-1.794886758
2.407629913,-0.5651212425,-3.261627368,-1.859342708
2.366162032,-0.683752666,-3.43422764,-1.92278225
2.321250216,-0.7638529728,-3.579049546,-1.986206532
2.274901349,-0.8167458213,-3.682848831,-2.049586254
2.230019015,-0.8631037383,-3.771456153,-2.112383758
2.189113935,-0.9163835567,-3.873597412,-2.174091735
2.152823617,-0.9822306152,-4.00207843,-2.234535737
2.119511723,-1.062407186,-4.158704137,-2.293883191
2.086257614,-1.157208884,-4.335811462,-2.352469797
2.050466351,-1.26638296,-4.510428399,-2.410605735
2.010976572,-1.389184601,-4.649610565,-2.468470855
1.968433236,-1.523712119,-4.749720647,-2.526112734
1.925021638,-1.665260709,-4.842194563,-2.583503857
1.883537139,-1.803802666,-4.952783015,-2.64060559
1.845993188,-1.923849019,-5.090843514,-2.697407492
1.812394096,-2.013653193,-5.254663653,-2.753933203
1.780806604,-2.077438465,-5.430334387,-2.810225783
1.748486871,-2.13051971,-5.58781279,-2.866329743
1.713293029,-2.186067683,-5.703014005,-2.922278224
1.674497228,-2.251102028,-5.792914565,-2.978090728
1.633000793,-2.328538428,-5.889359308,-3.033777433
1.590987917,-2.419380114,-6.010230915,-3.089344964
1.551056323,-2.523818859,-6.159174073,-3.144800684
1.514950726,-2.64151982,-6.331475243,-3.200154182
1.482516725,-2.771243793,-6.507895458,-3.255415748
1.451835648,-2.909630636,-6.654810628,-3.310595266
1.420260398,-3.04895465,-6.757563267,-3.36570117
1.385768296,-3.175546683,-6.84272487,-3.4207396
1.347715721,-3.275063883,-6.938436314,-3.47571541
1.307048673,-3.345519056,-7.05461486,-3.530632193
1.265957196,-3.399534193,-7.173609288,-3.585493651
1.226970802,-3.451772113,-7.287327867,-3.640302514
1.191662832,-3.511273614,-7.359218077,-3.695061999
1.159730773,-3.582146824,-7.404031349,-3.74977554
1.12921818,-3.665942868,-7.434554366,-3.804445867
1.097533291,-3.763138338,-7.43905401,-3.859075268
1.062737917,-3.873701837,-7.45770949,-3.913666283
1.024281774,-3.997049734,-7.449474718,-3.968221432
0.9831930533,-4.131349064,-7.459834032,-4.022741216
0.9417081509,-4.271843319,-7.480558191,-4.077228858
0.9024065263,-4.40841692,-7.46403843,-4.131684959
0.8668951496,-4.525746175,-7.464066152,-4.186111524
0.8348875897,-4.61276478,-7.511219548,-4.240509412
0.8043376153,-4.674286573,-7.483195325,-4.294879781
0.7726088088,-4.725529439,-7.467608763,-4.349224549
0.7377011605,-4.779360022,-7.46969245,-4.403543803
0.6990169085,-4.842507286,-7.472769935,-4.457838158
0.6575761244,-4.917880481,-7.483836641,-4.512108395
