JST,LAX-FRIEDRICH,ROE,AUSM
-0.06508323388,-0.06508323388,-0.06508323388,-0.0754920609
0.8536273643,0.6587857725,0.7317023983,0.7543993046
1.057324912,0.8098985224,0.7771966304,0.7195274983
1.175649402,0.8555035197,0.7094369516,0.720684056
1.233029472,0.8508258636,0.5655047587,0.6181249026
1.254801105,0.8147082362,0.4170904592,0.475797804
1.262344709,0.7590835112,0.3121781227,0.3708802161
1.260017361,0.6920638259,0.2093494848,0.2903738902
1.246058199,0.6185366772,0.07364423474,0.1944529434
1.215860576,0.5449447723,-0.09370980913,0.06272583996
1.169053621,0.4794178675,-0.2648712544,-0.0997769558
1.112916041,0.4229906835,-0.4006010146,-0.2666338781
1.056123442,0.3667759597,-0.5016042692,-0.399075319
1.000563429,0.3006338733,-0.6053914982,-0.4927231391
0.9417249359,0.219626735,-0.7371312853,-0.5833659995
0.8767361068,0.1241972299,-0.9036283807,-0.6975404525
0.8098448732,0.01865600929,-1.099083997,-0.8435642809
0.7507168651,-0.09001038385,-1.298722751,-1.0178217
0.7056552479,-0.1938525591,-1.458526268,-1.201055986
0.6697857733,-0.2871955462,-1.567946987,-1.353710488
0.6327107748,-0.3697056867,-1.667036339,-1.454040408
0.5877683441,-0.4459453839,-1.787101149,-1.532820742
0.5351284098,-0.5219477184,-1.937223446,-1.624789419
0.4802025971,-0.6024341179,-2.112969277,-1.743946055
0.4297950141,-0.6900335626,-2.293980849,-1.892300313
0.3871095621,-0.7855782337,-2.442976248,-2.063980518
0.350117264,-0.8885598121,-2.544313305,-2.239189168
0.313967361,-0.9974482684,-2.628579751,-2.381304005
0.275266085,-1.109919748,-2.72752363,-2.473350229
0.2336467833,-1.223165759,-2.854451442,-2.544575596
0.19168533,-1.334439505,-3.012246527,-2.626990138
0.1523516324,-1.441799887,-3.196820305,-2.734221085
0.1166033426,-1.544704501,-3.390479049,-2.869414988
0.08237664835,-1.644036073,-3.554697988,-3.029969389
0.04569565032,-1.741538482,-3.665439457,-3.203998853
0.003229594993,-1.839063529,-3.752615371,-3.362366555
-0.04632972908,-1.938016833,-3.853102791,-3.473589186
-0.1010661267,-2.039099666,-3.98201295,-3.547607216
-0.1558290001,-2.142248944,-4.140221241,-3.619863446
-0.203817747,-2.246676092,-4.316245222,-3.711828219
-0.240897124,-2.35098438,-4.479634133,-3.830303413
-0.2694135061,-2.453426601,-4.597305764,-3.974787179
-0.2964807248,-2.552357956,-4.680489541,-4.137614186
-0.3294593242,-2.646805612,-4.766402631,-4.297890365
-0.3727966168,-2.736888321,-4.876905392,-4.42432606
-0.4272212387,-2.82382456,-5.01881249,-4.509293113
-0.4893686503,-2.909510309,-5.190958046,-4.580173184
-0.5514985618,-2.995952381,-5.381422659,-4.66287014
-0.6034169975,-3.08482163,-5.557267565,-4.768098274
-0.6395933341,-3.177210512,-5.68165845,-4.897065996
-0.6644385061,-3.273534806,-5.768873312,-5.044106062
-0.6883173638,-3.373494902,-5.860449544,-5.193985788
-0.72018601,-3.476065181,-5.978476458,-5.322716923
-0.7643847858,-3.579552727,-6.127824969,-5.417414049
-0.8202736651,-3.681840809,-6.302184221,-5.492630487
-0.8818902375,-3.780912126,-6.478230774,-5.570633876
-0.9379653967,-3.875562588,-6.616917122,-5.663501641
-0.9771562269,-3.965941209,-6.709215537,-5.773443924
-0.9980085777,-4.053539718,-6.790916076,-5.895823443
-1.010592077,-4.140646835,-6.892154671,-6.020119589
-1.027182578,-4.229658434,-7.024069869,-6.132997269
-1.055706894,-4.322589369,-7.187587301,-6.22730896
-1.099188321,-4.420853115,-7.374182601,-6.308373924
-1.15654544,-4.52518918,-7.55633603,-6.387351062
-1.222236745,-4.635593038,-7.693026207,-6.472249957
-1.285694411,-4.751152326,-7.784184042,-6.56542094
-1.334588389,-4.869775571,-7.870959944,-6.664669356
-1.364200414,-4.987973654,-7.981042424,-6.765112013
-1.38217847,-5.101152604,-8.1226522,-6.861628269
-1.40091055,-5.204992063,-8.292804847,-6.951511165
-1.429316338,-5.297623098,-8.474405173,-7.035829303
-1.47088623,-5.380830219,-8.630084428,-7.117802998
-1.524332503,-5.458978702,-8.734714186,-7.200432355
-1.583606153,-5.536841049,-8.816072562,-7.284845969
-1.638306422,-5.618151402,-8.91001967,-7.370531293
-1.678300491,-5.705258372,-9.032854616,-7.455821511
-1.701954264,-5.799311838,-9.187748631,-7.539186727
-1.717664853,-5.900489623,-9.369622519,-7.62010858
-1.736283044,-6.008060072,-9.554948307,-7.698755092
-1.765024556,-6.12026471,-9.703011771,-7.77642311
-1.806417245,-6.23413581,-9.800054547,-7.853817742
-1.858715577,-6.345582445,-9.884326457,-7.931667383
-1.915838341,-6.450254199,-9.983135656,-8.00987301
-1.967994383,-6.545304717,-10.11659999,-8.088115437
-2.006281422,-6.630971192,-10.26973201,-8.165543469
-2.029827695,-6.710426985,-10.4272752,-8.242137036
-2.046530249,-6.788085067,-10.56293814,-8.317420679
-2.066270229,-6.867922041,-10.65159133,-8.391466073
-2.095643943,-6.952761996,-10.68500275,-8.464006776
-2.136909418,-7.044277964,-10.70873959,-8.535727402
-2.188317805,-7.143165661,-10.77070101,-8.606071166
-2.244098075,-7.249312915,-10.84388564,-8.67519282
-2.295269684,-7.361713379,-10.83910709,-8.742722927
-2.333840261,-7.478218639,-10.83539768,-8.809822916
-2.359024042,-7.595303041,-10.85616063,-8.875263561
-2.377950147,-7.708238806,-10.84722818,-8.939688016
-2.399646269,-7.812309683,-10.85462826,-9.003853748
-2.430259064,-7.905109307,-10.90438207,-9.067122719
-2.471856498,-7.987934985,-10.87025327,-9.130127123
-2.522515927,-8.06508381,-10.81246906,-9.191903209
-2.576397394,-8.141479189,-10.83206812,-9.252564809
-2.624923784,-8.221053084,-10.86818143,-9.314906599
-2.661157896,-8.306351969,-10.88379048,-9.373530264
-2.685304389,-8.39869056,-10.86890241,-9.434001758
-2.704502515,-8.498316342,-10.84912048,-9.491383785
-2.727210493,-8.604626849,-10.85583646,-9.551584189
-2.759008734,-8.716289345,-10.87043282,-9.609797281
-2.801598581,-8.830422871,-10.86089566,-9.663332906
-2.852838896,-8.943046731,-10.84819528,-9.724429025
-2.906773481,-9.049219808,-10.86684391,-9.777577764
-2.954904062,-9.146094977,-10.86883093,-9.833891259
-2.990695603,-9.233430051,-10.85158212,-9.891230543
-3.014809433,-9.313146868,-10.85948065,-9.94238529
-3.034506777,-9.389658889,-10.89112343,-9.998944642
-3.058074532,-9.467847886,-10.87268009,-10.05383941
-3.090855537,-9.550651886,-10.83745927,-10.10686462
-3.134333453,-9.638606335,-10.80538687,-10.15830376
-3.186132385,-9.733457485,-10.84224113,-10.20227311
-3.240032267,-9.836125386,-10.86010599,-10.26281382
-3.287410911,-9.945844222,-10.88968763,-10.30899533
-3.322024315,-10.05915348,-10.8993562,-10.35786897
-3.345132022,-10.17562857,-10.85806922,-10.4020188
-3.364383963,-10.2813593,-10.86605608,-10.44689173
-3.388077356,-10.37859141,-10.83711598,-10.49119289
-3.421402904,-10.46808861,-10.83447516,-10.52621052
-3.465692017,-10.54521219,-10.88855137,-10.56198608
-3.518429689,-10.61602722,-10.85499338,-10.59459243
-3.573216054,-10.67567577,-10.82155056,-10.62544491
-3.62119767,-10.73097521,-10.85864568,-10.62414287
-3.655993021,-10.78916096,-10.88733672,-10.67370691
-3.678978511,-10.84623737,-10.8736657,-10.69633125
-3.698055438,-10.87104025,-10.85297643,-10.73249073
-3.72168753,-10.9450214,-10.83717721,-10.72093483
-3.755118789,-10.98042808,-10.85530349,-10.72847774
-3.799683179,-11.00813803,-10.85360379,-10.7150343
-3.852854166,-11.04681807,-10.88791389,-10.70497384
-3.908193786,-11.07118969,-10.84536061,-10.74232342
-3.956746442,-11.06822376,-10.87149568,-10.77030903
-3.991987285,-11.09424942,-10.83274869,-10.75858507
-4.015229383,-11.07642411,-10.85629896,-10.77161081
-4.034432112,-11.09005078,-10.83225793,-10.7907527
-4.058144587,-11.04418224,-10.82859513,-10.76708239
-4.091653964,-11.06219576,-10.8547604,-10.75233346
-4.136294108,-11.07043249,-10.85651455,-10.77035006
-4.189513129,-11.09863835,-10.873768,-10.76166223
-4.244845277,-11.10767698,-10.84695682,-10.75622214
-4.293345253,-11.095005,-10.87054028,-10.75736649
-4.32856253,-11.10776468,-10.85144207,-10.74944975
-4.351888318,-11.07197534,-10.83515992,-10.7842728
