JST,LAX-FRIEDRICH,ROE,AUSM
0.202498115,0.1151245337,0.1565607376,0.155720494
0.2378128892,0.1504835623,0.1906210065,0.179188842
0.2613099473,0.1637593778,0.2069854764,0.2186562111
0.2876616052,0.1755331246,0.2209168972,0.2404273307
0.3118547863,0.1882048359,0.2316987884,0.2578794166
0.3326543718,0.1998991126,0.2397177272,0.2709359541
0.3503254464,0.2092801033,0.2456999747,0.2809784095
0.3648584882,0.2161971335,0.2501737088,0.2883506862
0.3762135947,0.2211549117,0.253556709,0.293657634
0.3845465313,0.2247682389,0.2561078581,0.2973820573
0.3901456747,0.2274984097,0.2579796445,0.2999213364
0.3933263925,0.2296178419,0.2592802019,0.3015606939
0.3943357652,0.2312714109,0.2601157502,0.3025239563
0.3933925613,0.2325434687,0.2605985518,0.3029938703
0.3907885632,0.2334975127,0.2608384131,0.3031272835
0.3869011325,0.2341906336,0.260930453,0.3030542094
0.3821751197,0.2346751332,0.2609474969,0.3028770262
0.3770988695,0.2349968833,0.2609382942,0.3026691594
0.3722017869,0.2351944737,0.2609303867,0.3024775293
0.3679850043,0.2352996365,0.2609353214,0.3023266942
0.3648335476,0.2353382268,0.2609543665,0.3022245623
0.3629816242,0.2353311542,0.2609834701,0.3021680209
0.3625046568,0.2352950773,0.2610169015,0.3021479902
0.3633173394,0.2352429202,0.2610494858,0.3021532731
0.3651980968,0.235184324,0.2610776511,0.3021731922
0.3678295242,0.235126105,0.2610996288,0.302199056
0.3708505286,0.2350727271,0.2611151611,0.3022247263
0.373898506,0.2350267739,0.2611250032,0.3022465474
0.3766503615,0.2349893937,0.2611304191,0.3022629151
0.3788574518,0.2349606979,0.2611327794,0.302273695
0.380368414,0.2349401006,0.2611333002,0.3022796472
0.3811271575,0.234926595,0.2611329155,0.3022819437
0.3811656892,0.2349189683,0.2611322504,0.3022818194
0.3805905146,0.2349159605,0.261131659,0.302280356
0.3795594166,0.2349163736,0.2611312916,0.3022783796
0.378255379,0.2349191411,0.2611311672,0.3022764399
0.3768626044,0.2349233636,0.261131235,0.3022748418
0.3755472081,0.2349283215,0.2611314206,0.3022737023
0.3744400345,0.2349334694,0.2611316535,0.3022730121
0.3736279533,0.2349384199,0.2611318811,0.3022726921
0.3731508564,0.2349429209,0.2611320721,0.3022726362
0.3730048086,0.2349468302,0.2611322137,0.3022727402
0.3731493331,0.2349500903,0.2611323065,0.3022729182
0.3735175475,0.2349527059,0.2611323586,0.3022731091
0.3740282147,0.2349547225,0.2611323815,0.3022732756
0.3745973913,0.2349562111,0.2611323859,0.3022734005
0.3751484706,0.2349572543,0.2611323809,0.3022734808
0.3756193518,0.2349579372,0.2611323727,0.3022735222
0.3759671127,0.2349583405,0.2611323651,0.3022735344
0.3761699043,0.2349585365,0.2611323597,0.3022735277
0.3762260386,0.2349585866,0.2611323569,0.3022735113
0.3761508107,0.2349585413,0.2611323563,0.302273492
0.3759723172,0.2349584396,0.2611323572,0.3022734741
0.3757262583,0.2349583109,0.2611323588,0.3022734601
0.3754503703,0.2349581757,0.2611323607,0.3022734505
0.3751798598,0.2349580476,0.2611323623,0.302273445
0.3749438648,0.2349579347,0.2611323636,0.3022734428
0.3747629979,0.2349578407,0.2611323644,0.3022734429
0.3746483869,0.2349577666,0.2611323649,0.3022734441
0.3746017942,0.2349577112,0.2611323651,0.3022734459
0.3746168837,0.2349576724,0.2611323652,0.3022734477
0.3746812712,0.2349576474,0.2611323651,0.3022734491
0.374778906,0.2349576333,0.261132365,0.3022734501
0.3748925211,0.2349576273,0.2611323649,0.3022734507
0.3750058212,0.2349576271,0.2611323649,0.3022734509
0.3751052342,0.2349576306,0.2611323648,0.3022734509
0.3751810648,0.2349576363,0.2611323648,0.3022734507
0.3752280189,0.2349576429,0.2611323648,0.3022734505
0.375245129,0.2349576495,0.2611323648,0.3022734503
0.3752351409,0.2349576557,0.2611323649,0.3022734501
0.3752035843,0.2349576611,0.2611323649,0.30227345
0.3751576829,0.2349576655,0.2611323649,0.3022734499
0.3751051922,0.234957669,0.2611323649,0.3022734498
0.3750534087,0.2349576716,0.2611323649,0.3022734498
0.3750083908,0.2349576735,0.2611323649,0.3022734498
0.3749744288,0.2349576747,0.2611323649,0.3022734498
0.3749538181,0.2349576754,0.2611323649,0.3022734498
0.3749469014,0.2349576757,0.2611323649,0.3022734498
0.3749523346,0.2349576758,0.2611323649,0.3022734498
0.3749675198,0.2349576757,0.2611323649,0.3022734498
0.3749891123,0.2349576755,0.2611323649,0.3022734498
0.3750135368,0.2349576752,0.2611323649,0.3022734498
0.3750374461,0.234957675,0.2611323649,0.3022734498
0.3750580852,0.2349576747,0.2611323649,0.3022734498
0.3750735285,0.2349576745,0.2611323649,0.3022734498
0.3750827745,0.2349576744,0.2611323649,0.3022734498
0.3750857177,0.2349576742,0.2611323649,0.3022734498
0.3750830203,0.2349576741,0.2611323649,0.3022734498
0.3750759116,0.2349576741,0.2611323649,0.3022734498
0.3750659475,0.234957674,0.2611323649,0.3022734498
0.3750547746,0.234957674,0.2611323649,0.3022734498
0.3750439221,0.234957674,0.2611323649,0.3022734498
0.3750346397,0.234957674,0.2611323649,0.3022734498
0.3750277931,0.234957674,0.2611323649,0.3022734498
0.375023821,0.234957674,0.2611323649,0.3022734498
0.3750227497,0.234957674,0.2611323649,0.3022734498
0.3750242548,0.2349576741,0.2611323649,0.3022734498
0.3750277555,0.2349576741,0.2611323649,0.3022734498
0.3750325244,0.2349576741,0.2611323649,0.3022734498
0.3750377969,0.2349576741,0.2611323649,0.3022734498
0.3750428685,0.2349576741,0.2611323649,0.3022734498
0.3750471684,0.2349576741,0.2611323649,0.3022734498
0.3750503068,0.2349576741,0.2611323649,0.3022734498
0.3750520926,0.2349576741,0.2611323649,0.3022734498
0.3750525249,0.2349576741,0.2611323649,0.3022734498
0.3750517634,0.2349576741,0.2611323649,0.3022734498
0.3750500847,0.2349576741,0.2611323649,0.3022734498
0.3750478311,0.2349576741,0.2611323649,0.3022734498
0.3750453593,0.2349576741,0.2611323649,0.3022734498
0.3750429963,0.2349576741,0.2611323649,0.3022734498
0.3750410052,0.2349576741,0.2611323649,0.3022734498
0.3750395643,0.2349576741,0.2611323649,0.3022734498
0.3750387588,0.2349576741,0.2611323649,0.3022734498
0.3750385855,0.2349576741,0.2611323649,0.3022734498
0.3750389672,0.2349576741,0.2611323649,0.3022734498
0.375039773,0.2349576741,0.2611323649,0.3022734498
0.3750408424,0.2349576741,0.2611323649,0.3022734498
0.3750420089,0.2349576741,0.2611323649,0.3022734498
0.3750431202,0.2349576741,0.2611323649,0.3022734498
0.3750440546,0.2349576741,0.2611323649,0.3022734498
0.3750447298,0.2349576741,0.2611323649,0.3022734498
0.3750451071,0.2349576741,0.2611323649,0.3022734498
0.3750451888,0.2349576741,0.2611323649,0.3022734498
0.3750450114,0.2349576741,0.2611323649,0.3022734498
0.3750446365,0.2349576741,0.2611323649,0.3022734498
0.3750441389,0.2349576741,0.2611323649,0.3022734498
0.3750435962,0.2349576741,0.2611323649,0.3022734498
0.3750430792,0.2349576741,0.2611323649,0.3022734498
0.3750426445,0.2349576741,0.2611323649,0.3022734498
0.3750423299,0.2349576741,0.2611323649,0.3022734498
0.3750421534,0.2349576741,0.2611323649,0.3022734498
0.3750421139,0.2349576741,0.2611323649,0.3022734498
0.3750421942,0.2349576741,0.2611323649,0.3022734498
0.375042366,0.2349576741,0.2611323649,0.3022734498
0.3750425944,0.2349576741,0.2611323649,0.3022734498
0.3750428437,0.2349576741,0.2611323649,0.3022734498
0.3750430812,0.2349576741,0.2611323649,0.3022734498
0.3750432809,0.2349576741,0.2611323649,0.3022734498
0.3750434251,0.2349576741,0.2611323649,0.3022734498
0.3750435058,0.2349576741,0.2611323649,0.3022734498
0.3750435235,0.2349576741,0.2611323649,0.3022734498
0.3750434863,0.2349576741,0.2611323649,0.3022734498
0.3750434071,0.2349576741,0.2611323649,0.3022734498
0.3750433021,0.2349576741,0.2611323649,0.3022734498
0.3750431878,0.2349576741,0.2611323649,0.3022734498
0.3750430791,0.2349576741,0.2611323649,0.3022734498
0.375042988,0.2349576741,0.2611323649,0.3022734498
0.3750429225,0.2349576741,0.2611323649,0.3022734498
0.3750428862,0.2349576741,0.2611323649,0.3022734498
0.3750428788,0.2349576741,0.2611323649,0.3022734498
0.3750428966,0.2349576741,0.2611323649,0.3022734498
0.3750429335,0.2349576741,0.2611323649,0.3022734498
0.3750429821,0.2349576741,0.2611323649,0.3022734498
0.3750430347,0.2349576741,0.2611323649,0.3022734498
0.3750430846,0.2349576741,0.2611323649,0.3022734498
0.3750431261,0.2349576741,0.2523409504,0.3022734498
0.3750431558,0.2349576741,0.2522786254,0.3022734498
0.375043172,0.2349576741,0.2524629978,0.3022734498
0.3750431748,0.2349576741,0.2523615304,0.3022734498
0.3750431661,0.2349576741,0.2521881156,0.3022734498
0.3750431488,0.2349576741,0.2520519648,0.3022734498
0.3750431262,0.2349576741,0.2519650384,0.3022734498
0.3750431019,0.2349576741,0.2519119859,0.3022734498
0.3750430789,0.2349576741,0.2518783684,0.3022734498
0.3750430599,0.2349576741,0.251855378,0.3022734498
0.3750430464,0.2349576741,0.251838321,0.3022734498
0.3750430391,0.2349576741,0.251824817,0.3022734498
0.3750430381,0.2349576741,0.2518136948,0.3022734498
0.3750430423,0.2349576741,0.2518044049,0.3022734498
0.3750430504,0.2349576741,0.2517967009,0.3022734498
0.375043061,0.2349576741,0.2517904555,0.3022734498
0.3750430723,0.2349576741,0.2517855578,0.3022734498
0.3750430829,0.2349576741,0.2517818665,0.3022734498
0.3750430917,0.2349576741,0.2517792026,0.3022734498
0.3750430979,0.2349576741,0.2517773645,0.3022734498
0.3750431011,0.2349576741,0.251776151,0.3022734498
0.3750431015,0.2349576741,0.2517753808,0.3022734498
0.3750430995,0.2283367071,0.2517749058,0.3022734498
0.3750430957,0.2268346916,0.2517746145,0.2909278295
0.3750430907,0.2269507976,0.2517744302,0.2906463564
0.3750430855,0.2272588415,0.2517743048,0.2900835538
0.3750430806,0.2273708038,0.2517742109,0.2898841666
0.3750430765,0.227308379,0.2517741349,0.2896128098
0.3750430737,0.2271825736,0.251774071,0.2894136788
0.3750430722,0.2270713341,0.2517740174,0.2892759396
0.3750430721,0.2270020491,0.2517739737,0.2891921803
0.375043073,0.22697092,0.2517739395,0.2891426441
0.3750430748,0.2269638457,0.2517739139,0.2891136319
0.3750430771,0.2269680368,0.2517738957,0.289095915
0.3750430796,0.2269755045,0.2517738834,0.2890842394
0.3750430818,0.226982473,0.2517738756,0.2890757104
0.3750430837,0.2269877271,0.2517738708,0.2890688651
0.375043085,0.2269912474,0.251773868,0.2890630279
0.3750430857,0.226993413,0.2517738663,0.289057949
0.3750430857,0.2269946361,0.2517738653,0.289053577
0.3750430853,0.2269952386,0.2517738647,0.2890499282
0.3750430844,0.2269954355,0.2517738641,0.2890470121
0.3750430834,0.2269953587,0.2517738637,0.2890448002
0.3750430822,0.2269950873,0.2517738633,0.2890432204
0.3750430812,0.2269946733,0.2517738629,0.2890421689
0.3750430803,0.2269941574,0.2517738626,0.2890415276
0.3750430797,0.2269935774,0.2517738623,0.2890411805
0.3750430794,0.2269929692,0.2517738621,0.2890410259
0.3750430794,0.226992366,0.251773862,0.2890409837
0.3750430796,0.2269917956,0.2517738619,0.2890409959
0.37504308,0.2269912788,0.2517738618,0.2890410258
0.3750430805,0.2269908285,0.2517738618,0.2890410527
0.375043081,0.2269904505,0.2517738618,0.2890410682
0.3750430815,0.2269901443,0.2517738618,0.2890410709
0.3750430819,0.2269899046,0.2517738618,0.2890410637
0.3750430822,0.2269897237,0.2517738618,0.2890410504
0.3750430823,0.226989592,0.2517738617,0.2890410351
0.3750430823,0.2269895,0.2517738617,0.2890410205
0.3750430822,0.2269894386,0.2517738617,0.2890410084
0.3750430821,0.2269893999,0.2517738617,0.2890409996
0.3750430818,0.2269893773,0.2517738617,0.2890409939
0.3750430816,0.2269893655,0.2517738617,0.289040991
0.3750430814,0.2269893606,0.2517738617,0.28904099
0.3750430812,0.2269893597,0.2517738617,0.2890409902
0.375043081,0.2269893608,0.2517738617,0.2890409912
0.375043081,0.2269893627,0.2517738617,0.2890409923
0.375043081,0.2269893645,0.2517738617,0.2890409933
0.375043081,0.2269893659,0.2517738617,0.2890409941
0.3750430811,0.2269893668,0.2517738617,0.2890409947
0.3750430812,0.2269893671,0.2517738617,0.289040995
0.3750430813,0.226989367,0.2517738617,0.2890409951
0.3750430814,0.2269893664,0.2517738617,0.289040995
0.3750430815,0.2269893657,0.2517738617,0.2890409949
0.3750430816,0.2269893648,0.2517738617,0.2890409948
0.3750430816,0.2269893639,0.2517738617,0.2890409947
0.3750430816,0.226989363,0.2517738617,0.2890409946
0.3750430816,0.2269893622,0.2517738617,0.2890409945
0.3750430815,0.2269893615,0.2517738617,0.2890409945
0.3750430815,0.226989361,0.2517738617,0.2890409945
0.3750430814,0.2269893605,0.2517738617,0.2890409945
0.3750430814,0.2269893602,0.2517738617,0.2890409945
0.3750430814,0.2269893599,0.2517738617,0.2890409945
0.3750430813,0.2269893597,0.2517738617,0.2890409945
0.3750430813,0.2269893596,0.2517738617,0.2890409945
0.3750430813,0.2269893596,0.2517738617,0.2890409945
0.3750430813,0.2269893595,0.2517738617,0.2890409945
0.3750430813,0.2269893595,0.2517738617,0.2890409946
0.3750430814,0.2269893595,0.2517738617,0.2890409946
0.3750430814,0.2269893596,0.2517738617,0.2890409946
0.3750430814,0.2269893596,0.2517738617,0.2890409946
0.3750430814,0.2269893596,0.2517738617,0.2890409946
0.3750430814,0.2269893596,0.2517738617,0.2890409946
0.3750430815,0.2269893596,0.2517738617,0.2890409946
0.3750430815,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
0.3750430814,0.2269893597,0.2517738617,0.2890409946
