JST,LAX-FRIEDRICH,ROE,AUSM
0.7039884745,0.7039884745,0.7039884745,0.6941052558
1.03055862,1.016346668,0.7863464655,0.8016260038
1.13345133,1.136457919,0.7305759598,0.7290411534
1.154189942,1.11679921,0.6334466713,0.7177028565
1.173033035,1.03543105,0.5215856249,0.6692358443
1.16754357,0.9235359894,0.3695263659,0.5385172153
1.124769864,0.793191229,0.2003222716,0.3766682152
1.056123173,0.6525462771,0.05117120696,0.2573925039
0.9896796565,0.533327098,-0.08319685991,0.1714087827
0.960349206,0.4841581691,-0.2262697379,0.06566236634
0.9737788367,0.4856536143,-0.3832279025,-0.07458673898
0.9947688448,0.4841824579,-0.5405867602,-0.2378492153
0.9917472878,0.4579607859,-0.6780569902,-0.3958041062
0.9530688179,0.4040468398,-0.7911678107,-0.5204206845
0.8803666953,0.3232770216,-0.8969941018,-0.6189158534
0.7897636678,0.2159917639,-1.013734543,-0.7205971512
0.718482424,0.08196409106,-1.150135746,-0.8442673807
0.6960671856,-0.07688444549,-1.307436448,-0.9945244154
0.6990586874,-0.2469217161,-1.481372213,-1.164697582
0.6899568304,-0.3848212924,-1.661289389,-1.33373994
0.6518765236,-0.44583605,-1.830494579,-1.471343962
0.5821002453,-0.4602374738,-1.976472892,-1.571276133
0.4871443982,-0.4777142342,-2.104256334,-1.659810128
0.3886426347,-0.5170631717,-2.230214799,-1.761210993
0.3254919836,-0.5813539681,-2.366693253,-1.885323867
0.313668953,-0.6700044816,-2.516229647,-2.032514366
0.3219281519,-0.7822830259,-2.670813009,-2.195127727
0.3193301043,-0.9178062608,-2.81371911,-2.354040604
0.2944620344,-1.07538651,-2.93226551,-2.483471301
0.2466116667,-1.248450217,-3.033229036,-2.577633862
0.1810383848,-1.413291248,-3.135121162,-2.658460034
0.1092568747,-1.525624874,-3.252190001,-2.748227223
0.04843680403,-1.573421618,-3.390758774,-2.85729092
0.0110931475,-1.597562317,-3.550797645,-2.987557091
-0.007708090189,-1.630547779,-3.725053651,-3.134844305
-0.02403572198,-1.682952231,-3.895999093,-3.287197289
-0.05099525424,-1.756516206,-4.041827723,-3.424673031
-0.0949371019,-1.850954003,-4.15944731,-3.532747056
-0.1570610928,-1.965931475,-4.26878989,-3.61921888
-0.233888179,-2.101249034,-4.389322651,-3.703902995
-0.3152746857,-2.255707864,-4.528595336,-3.800618291
-0.3836031615,-2.423081507,-4.68258912,-3.914033405
-0.4239795256,-2.582561851,-4.835707492,-4.041901802
-0.440638569,-2.695981084,-4.9671466,-4.175633318
-0.4515252893,-2.749169313,-5.072166667,-4.301358355
-0.4713526453,-2.775012651,-5.168484029,-4.407601116
-0.5068558919,-2.8048023,-5.275737873,-4.495858231
-0.5589818345,-2.850461856,-5.40411226,-4.578092976
-0.6240185952,-2.914498232,-5.555613961,-4.665279316
-0.6929301994,-2.996735334,-5.724829032,-4.762162086
-0.7518721774,-3.096579779,-5.896083772,-4.867783737
-0.7898706508,-3.21352207,-6.046022156,-4.97706829
-0.8094115596,-3.346846834,-6.165369258,-5.083008695
-0.8236383813,-3.494399367,-6.271466813,-5.180353576
-0.8449277527,-3.649455865,-6.386242309,-5.268898495
-0.8801049346,-3.79551232,-6.520360874,-5.352829083
-0.9310545736,-3.907785684,-6.67310246,-5.436997114
-0.9953779064,-3.976339588,-6.832572451,-5.524098802
-1.065310573,-4.019651036,-6.9772551,-5.614093324
-1.127071423,-4.060808975,-7.093211851,-5.704978738
-1.16733201,-4.112040431,-7.191822724,-5.794168379
-1.185872069,-4.177607572,-7.295071958,-5.879937325
-1.195864236,-4.258503667,-7.416936229,-5.962213377
-1.211252648,-4.354701742,-7.561797748,-6.04225421
-1.239983999,-4.465891259,-7.726140879,-6.121633121
-1.284448948,-4.591442981,-7.896725879,-6.201367169
-1.342539698,-4.729679662,-8.050638994,-6.281621001
-1.407047565,-4.876037285,-8.173818093,-6.361889148
-1.465430472,-5.019929613,-8.279315772,-6.441433044
-1.505342696,-5.143792154,-8.389881862,-6.519676457
-1.525549992,-5.233648565,-8.518726034,-6.59640609
-1.537297881,-5.294605384,-8.668177649,-6.671737826
-1.55372185,-5.344601561,-8.829708765,-6.745910059
-1.582984669,-5.398178532,-8.98357633,-6.819109009
-1.628049378,-5.462549701,-9.110355915,-6.891355458
-1.687418515,-5.540508078,-9.213535804,-6.962577674
-1.754360353,-5.632990848,-9.314032403,-7.032664477
-1.815931673,-5.740276333,-9.428980454,-7.10156347
-1.85789304,-5.862277837,-9.566876195,-7.169301801
-1.877335245,-5.998114704,-9.722978543,-7.235965586
-1.885981955,-6.144574134,-9.879162544,-7.301688846
-1.898317242,-6.292779467,-10.02555834,-7.366539135
-1.923293053,-6.424871668,-10.12883547,-7.430600336
-1.963986112,-6.521318306,-10.20527265,-7.49388118
-2.018753815,-6.58173324,-10.27404644,-7.55641557
-2.080848097,-6.625368553,-10.35170347,-7.618186519
-2.13801733,-6.670319348,-10.39243109,-7.679213067
-2.177456948,-6.725685999,-10.45239567,-7.739574913
-2.19687849,-6.794794653,-10.47012023,-7.799281307
-2.206984378,-6.878603875,-10.46925568,-7.858398544
-2.221091791,-6.977331687,-10.47488729,-7.916968705
-2.247675349,-7.090963311,-10.5035895,-7.975086669
-2.289870317,-7.219203159,-10.49323204,-8.032717185
-2.346317781,-7.360601654,-10.51809497,-8.089979502
-2.410562935,-7.510429922,-10.47306562,-8.146880585
-2.470354015,-7.656572529,-10.47488213,-8.203479194
-2.512111064,-7.778213877,-10.51446167,-8.25980178
-2.532563392,-7.860034666,-10.50259667,-8.315861773
-2.542385397,-7.911053196,-10.50015893,-8.371739283
-2.55552828,-7.95288889,-10.48315857,-8.427453842
-2.580948327,-8.000590657,-10.48503534,-8.482927953
-2.621939873,-8.060517342,-10.49377218,-8.538250082
-2.677126807,-8.134985165,-10.49299049,-8.593414032
-2.74004786,-8.224369371,-10.46292689,-8.648516601
-2.798620199,-8.328957673,-10.48440305,-8.703454007
-2.839748685,-8.448619368,-10.49282611,-8.75831541
-2.860450985,-8.582700791,-10.49973507,-8.81305402
-2.871074834,-8.729187445,-10.49481376,-8.867649454
-2.885118359,-8.880655659,-10.49874811,-8.922254989
-2.911323757,-9.021271816,-10.51794522,-8.976732517
-2.952938028,-9.126966073,-10.50807627,-9.031169309
-3.00859083,-9.191809574,-10.52148178,-9.08544418
-3.071851124,-9.23422715,-10.52695966,-9.139750146
-3.130694673,-9.273876201,-10.50638507,-9.193788603
-3.17210455,-9.323861213,-10.46486603,-9.248051593
-3.193148265,-9.388598441,-10.50978393,-9.302164153
-3.204154796,-9.467299817,-10.50306895,-9.356127004
-3.21857061,-9.559682959,-10.49812346,-9.40984416
-3.245090434,-9.667176245,-10.52692578,-9.463450315
-3.286911484,-9.790943981,-10.49203373,-9.517409802
-3.342589308,-9.923738856,-10.49748865,-9.570763938
-3.405600435,-10.06828847,-10.4798409,-9.624370991
-3.463934214,-10.20006292,-10.49411488,-9.677050087
-3.504867062,-10.31799258,-10.45272695,-9.729257149
-3.525836312,-10.400855,-10.4687686,-9.782455898
-3.537196363,-10.45272711,-10.51234189,-9.833915026
-3.552171183,-10.47373894,-10.52679168,-9.886336363
-3.579265937,-10.51132159,-10.51470677,-9.937307521
-3.621573173,-10.53629601,-10.49122274,-9.985882583
-3.677578634,-10.56899116,-10.485861,-10.03354424
-3.740703826,-10.6235589,-10.48814049,-10.08244228
-3.798931583,-10.62183531,-10.48893431,-10.13235413
-3.839678804,-10.65948882,-10.49036975,-10.16742866
-3.860614746,-10.73978591,-10.51599168,-10.21254281
-3.872171742,-10.74274844,-10.51851954,-10.25390834
-3.887490202,-10.73212244,-10.51001351,-10.29081206
-3.914972433,-10.76976092,-10.44615625,-10.31258712
-3.95763203,-10.78806081,-10.48454796,-10.33930849
