"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000000000000000e+00, -1.017433573914477e-33, -1.661650000000000e-17, 1.301542356466515e+00, 2.361220962853066e+02, 1.898031121547392e+00, -2.175584245834406e+01, 3.064448733718384e+05, 1.139373448723608e+05, 3.040964714301992e+02, 5.204272156774699e-01, 3.161248660921714e-01
1, 3.355180000000000e-01, 4.849484022358998e-18, 7.920070000000000e-02, 8.044770618915023e-01, 3.062243424808439e+02, -2.114146454320749e+00, 9.883256640981547e-02, 2.022501499524509e+05, 5.758607584066451e+04, 2.486608486601832e+02, 1.202459589734214e+00, -1.096303794640643e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.553286175052320e+00, 2.587064168951823e+01, -1.724691433349446e+00, -3.563426800612127e+01, 3.585303245974814e+05, 1.431620708673115e+05, 3.201695954682708e+02, 7.898201672672819e-02, 1.048634378417686e+00
3, 3.374140000000000e-01, -2.462058828296351e-18, -4.020980000000000e-02, 1.139397509133724e+00, 2.927469378033072e+02, -5.127456101478590e-01, 9.534732546642488e+00, 2.736218583600089e+05, 9.438956637753164e+04, 2.877745062594252e+02, 7.548481713577327e-01, -1.738346871562806e-01
4, 1.000012887451703e+00, 1.999921203678241e+00, 4.259476438164710e-02, 1.221998079373076e+00, 2.587272315139309e+02, 7.100841001340076e+00, 3.327684897817105e+01, 2.898830153171471e+05, 1.048079265888351e+05, 2.979388919829443e+02, 6.162676949769327e-01, 8.729857236279773e-02
5, 3.353618986804103e-01, 1.997794609982520e+00, 1.203527376801491e-01, 1.035868836506424e+00, 3.148684885554965e+02, -2.102663376544097e+01, 3.157473764851525e+00, 2.527160901519008e+05, 8.185731157252943e+04, 2.745088190886913e+02, 9.159504941975468e-01, -4.879521183047307e-01
6, 1.432731369277462e-05, 1.999952156042127e+00, 4.045728221535683e-02, 1.464222975534098e+00, 6.078982558319390e+01, 1.046675415369362e+02, -1.547442717437726e+01, 3.392575698952615e+05, 1.336691635411410e+05, 3.171229007696895e+02, 2.331129327990582e-01, 8.106973343801863e-01
7, 3.375125149599728e-01, 2.001035287161358e+00, 9.904764642238648e-04, 1.146762773644459e+00, 3.097531411435396e+02, 1.501726904504686e+01, 1.220258626913617e+01, 2.765640526460789e+05, 9.382677963399237e+04, 2.842214274922572e+02, 7.996450336586952e-01, -1.879407781124265e-01
8, 9.997638872798086e-01, 1.999974475816480e+00, 4.259568452835083e-02, 1.233252145055719e+00, 2.653896697955052e+02, 7.389322826058719e+00, 4.847688392451918e+01, 2.929556708072477e+05, 1.053702009378088e+05, 2.968038437183365e+02, 6.327396327951671e-01, 1.013918202937130e-01
9, 3.355286627185232e-01, 2.079115479233222e+00, 4.333108663558961e-02, 1.129267235966632e+00, 3.139537522156421e+02, 9.523993690379656e+00, 3.662209744711829e+01, 2.731788528160578e+05, 9.156114631063369e+04, 2.816554022249904e+02, 8.311501645514142e-01, -2.447282381929294e-01
10, 1.000000000000000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.217535755192762e+00, 3.111081982064038e+02, -1.548645162983046e-01, 3.379921601570907e+00, 2.922499370767660e+05, 1.009990440479450e+05, 2.881636068868647e+02, 7.498486713068172e-01, -8.169993981147252e-03
11, 0.000000000000000e+00, 1.000000000000000e+01, 0.000000000000000e+00, 1.221615768843269e+00, 3.120584738179143e+02, 2.645819852761301e-02, 1.095733165976309e+01, 2.932463662389381e+05, 1.013359897923287e+05, 2.881593235374394e+02, 7.500502392689494e-01, 2.754560443310289e-04
12, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e+01, 1.220591240906194e+00, 3.119755053740836e+02, 6.133805659366326e-03, 1.063698129807200e+01, 2.929731004130071e+05, 1.012229021977386e+05, 2.880793497483392e+02, 7.505579870057014e-01, -2.559052610344939e-03
13, -1.000000000000000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.221632087345912e+00, 3.120039490868337e+02, -3.511446910286109e-03, 1.089712933850265e+01, 2.932348665216343e+05, 1.013373893610981e+05, 2.881594540838354e+02, 7.499040959958138e-01, 3.105358406964095e-04
14, 0.000000000000000e+00, 0.000000000000000e+00, -1.000000000000000e+01, 1.222554222310194e+00, 3.121970683930064e+02, -1.788559753459766e-03, 1.058110353803830e+01, 2.935072052097151e+05, 1.014397505535594e+05, 2.882329554493143e+02, 7.496800331592010e-01, 2.876190252096017e-03
