"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
0, 1.000000000000000e+00, -1.017433573914477e-33, -1.661650000000000e-17, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.492387226308891e+06, 4.093183814904700e+06, -6.959229812043754e+05, 7.656403169225508e+05, -5.023235170948089e+04, -7.356342255250951e+05, 3.502341251838605e+06
1, 3.355180000000000e-01, 4.849484022358998e-18, 7.920070000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.031276860214323e+07, -1.931517689736695e+07, -2.649232532228907e+05, -1.029438541767062e+07, 9.672705094805745e+04, 3.485238973124715e+06, 1.085764612817094e+07
2, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.806077261804912e+06, 3.462478147227631e+06, 1.107299994419477e+06, 1.003967457152065e+06, -7.588544633276850e+05, -2.394808874661553e+06, 5.227514532119158e+06
3, 3.374140000000000e-01, -2.462058828296351e-18, -4.020980000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.488501020822600e+06, 1.779727416517314e+07, 3.091286311580475e+05, 9.633890400584247e+06, -5.239485537116507e+04, 3.067065445479722e+06, 9.816538615875311e+06
4, 1.000000000000000e+00, 2.000000000000000e+00, -1.661650000000000e-17, 1.288745195104912e-05, -7.879632261470482e-05, 4.259476506436144e-02, 3.114889584827804e+03, -3.801044537534310e+03, -9.913630713498574e+02, 1.374803615878548e+03, 9.919626986521904e+03, 2.013526632452425e+04, 3.941136859825040e+04
5, 3.355180000000000e-01, 2.000000000000000e+00, 7.920070000000000e-02, -1.561013179136855e-04, -2.205390039429882e-03, 4.115203637125618e-02, 5.557280495298117e+04, -1.694908740269542e+03, -2.532182825236716e+04, 1.668264930788682e+04, 6.815862504714408e+03, 1.029327738833839e+04, 7.032561780844210e+04
6, 0.000000000000000e+00, 2.000000000000000e+00, 0.000000000000000e+00, 1.432731375870452e-05, -4.784395729083915e-05, 4.045728209524137e-02, -3.632498543929106e+04, -1.876238948021685e+04, 1.913993209912197e+03, -1.736082226081489e+04, -4.384303336691109e+01, 7.693163786158829e+03, 2.288175058983737e+04
7, 3.374140000000000e-01, 2.000000000000000e+00, -4.020980000000000e-02, 9.851496201946155e-05, 1.035287156096042e-03, 4.120027480890714e-02, -1.007961710240213e+04, 1.000164778542541e+04, 2.628528232613049e+04, 7.376724291106601e+03, 1.326455285737828e+04, 5.853849406244744e+03, 5.532478274581032e+04
8, 9.997509999999999e-01, 2.000053280200000e+00, 3.262363572646351e-21, 1.288727978596138e-05, -7.880438372198650e-05, 4.259568395386637e-02, 5.136695627036039e+03, 3.668179237165621e+03, 4.242336199358382e+03, 2.992085221680577e+02, 7.646108207753605e+03, 1.539848401515811e+04, 3.097055027170533e+04
9, 3.355180000000000e-01, 2.079200700000000e+00, 4.849484022358998e-18, 1.066271861832613e-05, -8.522076430693762e-05, 4.333108841986927e-02, 2.253065973316720e+04, 9.214674369234926e+03, 5.376635549768036e+03, 1.448618266551234e+04, 2.352878254661323e+04, -2.252288303170978e+03, 4.356217166642898e+04
