"Time_Iter","Outer_Iter","Inner_Iter",     "rms[U]"     ,     "rms[R]"     ,     "rms[E]"     ,   "rms[DispX]"   ,   "rms[DispY]"   ,   "rms[DispZ]"   
          0,           0,           0,      -2.055120441,       3.202276831,      0.7097529941,                 0,                 0,                 0
          0,           0,           1,      -2.454470535,       3.937840622,      0.5556928022,                 0,                 0,                 0
          0,           0,           2,       -2.33537781,       3.555946308,      0.3167274895,                 0,                 0,                 0
          0,           0,           3,      -2.489869232,       3.718761492,      0.3574009745,                 0,                 0,                 0
          0,           0,           4,      -2.366161731,       3.679446226,      0.4123314596,                 0,                 0,                 0
          0,           0,           5,      -1.448929529,       3.598613339,       1.194391803,                 0,                 0,                 0
          0,           0,           6,      -2.270731702,       4.064786167,      0.9840681281,                 0,                 0,                 0
          0,           0,           7,        -2.5218766,       3.685899276,      0.3503338726,                 0,                 0,                 0
          0,           0,           8,      -1.447206619,       3.388730793,       1.035616344,                 0,                 0,                 0
          0,           0,           9,      -2.168460964,       4.034023122,      0.9923264074,                 0,                 0,                 0
          0,           0,          10,      -2.121302263,       3.579187214,      0.5133870062,                 0,                 0,                 0
          0,           0,          11,      -2.063273492,       3.768303669,      0.6431874585,                 0,                 0,                 0
          0,           0,          12,      -2.546766551,       3.723760467,      0.3074762934,                 0,                 0,                 0
          0,           0,          13,      -1.888484526,       3.339411556,      0.6520819224,                 0,                 0,                 0
          0,           0,          14,      -2.689890495,       4.033710085,      0.5292159001,                 0,                 0,                 0
          0,           0,          15,      -2.455593154,       3.500111219,       0.182196885,                 0,                 0,                 0
          0,           0,          16,       -2.63700117,        3.57078517,      0.1123566721,                 0,                 0,                 0
          0,           0,          17,      -3.462849576,       3.394797097,       -0.74178232,                 0,                 0,                 0
          0,           0,          18,      -2.786349108,       3.232662517,     -0.2372647153,                 0,                 0,                 0
          0,           0,          19,      -3.149567882,       3.647594953,     -0.3896160077,                 0,                 0,                 0
          0,           0,          20,      -2.281245765,        3.17158231,      0.2626566505,                 0,                 0,                 0
          0,           0,          21,      -2.691721218,       3.662000034,      0.2644602075,                 0,                 0,                 0
          0,           0,          22,      -1.864855871,       3.347376711,      0.6083807782,                 0,                 0,                 0
          0,           0,          23,       -1.87521617,       3.871777086,      0.8340582548,                 0,                 0,                 0
          0,           0,          24,      -2.725617425,       3.966222431,       0.530567608,                 0,                 0,                 0
          0,           0,          25,      -3.390896719,       3.373781206,     -0.8071568106,                 0,                 0,                 0
          0,           0,          26,      -2.602151366,       3.230301762,     -0.1030233073,                 0,                 0,                 0
          0,           0,          27,      -2.259214084,       3.339113589,      0.2763708972,                 0,                 0,                 0
          0,           0,          28,      -2.017157674,       3.641982143,      0.5457446329,                 0,                 0,                 0
          0,           0,          29,      -2.303021853,        3.76956034,      0.6175296652,                 0,                 0,                 0
          0,           0,          30,      -2.563355054,       3.393523523,      0.1066319961,                 0,                 0,                 0
          0,           0,          31,      -3.544770569,       3.489245041,     -0.7278300301,                 0,                 0,                 0
          0,           0,          32,      -1.379958349,       3.179706474,       1.106890953,                 0,                 0,                 0
          0,           0,          33,      -2.410579162,       4.203943008,       1.074628453,                 0,                 0,                 0
          0,           0,          34,      -1.822895456,       3.440090819,      0.6646456241,                 0,                 0,                 0
          0,           0,          35,      -2.439467584,       3.883087516,      0.6380420675,                 0,                 0,                 0
          0,           0,          36,      -2.405149346,       3.277585966,      0.1032534417,                 0,                 0,                 0
          0,           0,          37,      -2.398599579,       3.457775748,      0.2363966031,                 0,                 0,                 0
          0,           0,          38,      -2.016796018,       3.537701442,      0.4942480465,                 0,                 0,                 0
          0,           0,          39,      -2.798893172,       3.748263721,      0.3407571308,                 0,                 0,                 0
          0,           0,          40,      -1.454107102,       3.264838844,        0.98180875,                 0,                 0,                 0
          0,           0,          41,      -2.911739407,       4.121863677,      0.5058037204,                 0,                 0,                 0
          0,           0,          42,      -2.306180602,       3.771874393,      0.7525115687,                 0,                 0,                 0
          0,           0,          43,      -2.428368712,       3.186511487,      0.1527176619,                 0,                 0,                 0
          0,           0,          44,       -2.11679233,       3.464138488,      0.4344875779,                 0,                 0,                 0
          0,           0,          45,      -2.482605495,        3.59691491,      0.2938594336,                 0,                 0,                 0
          0,           0,          46,      -2.449809366,        3.17400257,       0.032924688,                 0,                 0,                 0
          0,           0,          47,      -2.619625345,       3.399842533,    0.007680966958,                 0,                 0,                 0
          0,           0,          48,      -2.417292419,       3.478189318,     0.08651486526,                 0,                 0,                 0
          0,           0,          49,      -3.238986278,       3.420472607,     -0.5611767906,                 0,                 0,                 0
          0,           1,           0,      -2.519838429,       3.183111559,     0.02941400217,                 0,                 0,                 0
          0,           1,           1,      -2.772859883,       3.522845292,     -0.1361341948,                 0,                 0,                 0
          0,           1,           2,      -3.144983823,       3.124186082,     -0.6520011124,                 0,                 0,                 0
          0,           1,           3,      -1.789243004,       3.348465173,      0.6294823925,                 0,                 0,                 0
          0,           1,           4,      -2.675543411,        4.08285635,      0.6120376618,                 0,                 0,                 0
          0,           1,           5,      -2.287525251,       3.331164956,       0.225965483,                 0,                 0,                 0
          0,           1,           6,      -2.435545668,       3.780942374,      0.3365938785,                 0,                 0,                 0
          0,           1,           7,      -3.101702932,       3.758554158,     -0.1848266581,                 0,                 0,                 0
          0,           1,           8,      -1.826047378,       3.133462014,      0.6312983007,                 0,                 0,                 0
          0,           1,           9,      -2.653608515,       3.992387622,      0.5010825298,                 0,                 0,                 0
          0,           1,          10,      -2.795922629,       3.460811839,    -0.03986522929,                 0,                 0,                 0
          0,           1,          11,      -3.563765534,       3.364019345,     -0.9963292193,                 0,                 0,                 0
          0,           1,          12,      -3.002443767,       3.184118175,     -0.4829234332,                 0,                 0,                 0
          0,           1,          13,      -2.552936905,       3.220131538,     -0.1714374085,                 0,                 0,                 0
          0,           1,          14,      -1.306676788,       3.546076284,       1.162646582,                 0,                 0,                 0
          0,           1,          15,      -2.319034437,       4.139541918,       1.033031686,                 0,                 0,                 0
          0,           1,          16,      -1.738018707,        3.54933837,      0.6771254495,                 0,                 0,                 0
          0,           1,          17,      -2.544925425,       3.829787152,      0.5609621273,                 0,                 0,                 0
          0,           1,          18,      -1.903651609,       3.357491072,      0.5291549649,                 0,                 0,                 0
          0,           1,          19,      -2.492711695,       3.835425847,      0.4050821127,                 0,                 0,                 0
          0,           1,          20,      -2.973083506,       3.440714851,     -0.3517340795,                 0,                 0,                 0
          0,           1,          21,      -3.091063624,       3.107358819,     -0.6952495852,                 0,                 0,                 0
          0,           1,          22,      -1.677001389,       2.942930854,      0.6657539059,                 0,                 0,                 0
          0,           1,          23,      -2.694941642,       3.851727524,      0.3926343483,                 0,                 0,                 0
          0,           1,          24,      -2.720321726,       3.516306093,      0.1585612474,                 0,                 0,                 0
          0,           1,          25,      -3.095795754,       3.566002015,     -0.3704383033,                 0,                 0,                 0
          0,           1,          26,      -2.460243229,       3.315042422,     0.09720035332,                 0,                 0,                 0
          0,           1,          27,      -2.312062783,       3.295258522,        0.13129194,                 0,                 0,                 0
          0,           1,          28,      -3.409772352,       3.487661681,     -0.6929004909,                 0,                 0,                 0
          0,           1,          29,      -3.322568029,       3.277654333,      -0.763430542,                 0,                 0,                 0
          0,           1,          30,      -1.824084248,       3.350264755,      0.5887112568,                 0,                 0,                 0
          0,           1,          31,      -2.588820514,       3.997935344,      0.5041734627,                 0,                 0,                 0
          0,           1,          32,      -3.130677556,        3.38542568,     -0.4794339252,                 0,                 0,                 0
          0,           1,          33,      -2.469271469,       3.106463926,     -0.1660679677,                 0,                 0,                 0
          0,           1,          34,      -2.104545863,       3.402530407,      0.4098169711,                 0,                 0,                 0
          0,           1,          35,      -2.490800039,       3.547955942,      0.1795395929,                 0,                 0,                 0
          0,           1,          36,      -3.109056475,       3.462759774,     -0.4154849499,                 0,                 0,                 0
          0,           1,          37,      -3.522067527,       3.238496053,     -0.9351859226,                 0,                 0,                 0
          0,           1,          38,      -1.508669497,        2.98362579,      0.8243452012,                 0,                 0,                 0
          0,           1,          39,      -2.408646071,       3.835819116,      0.6533655998,                 0,                 0,                 0
          0,           1,          40,      -2.484105874,       3.712892161,      0.3180931887,                 0,                 0,                 0
          0,           1,          41,      -1.013744572,       3.426663813,       1.306148585,                 0,                 0,                 0
          0,           1,          42,      -2.434507559,       4.126926914,       1.026290027,                 0,                 0,                 0
          0,           1,          43,      -2.173122074,       3.809597755,       0.808809982,                 0,                 0,                 0
          0,           1,          44,      -2.738655193,       3.553299729,     -0.1780708898,                 0,                 0,                 0
          0,           1,          45,      -2.527328385,       3.410750965,     -0.1382336063,                 0,                 0,                 0
          0,           1,          46,      -3.215201879,       3.551309521,     -0.3991310079,                 0,                 0,                 0
          0,           1,          47,      -2.054351918,       3.174930073,      0.2535663849,                 0,                 0,                 0
          0,           1,          48,      -2.654285047,       3.662038934,      0.2126568446,                 0,                 0,                 0
          0,           1,          49,      -3.048750781,       3.106231734,     -0.6708302892,                 0,                 0,                 0
          0,           2,           0,      -3.754259046,       3.082669813,      -1.468845899,                 0,                 0,                 0
          0,           2,           1,      -2.924677841,        2.92037803,     -0.5870880409,                 0,                 0,                 0
          0,           2,           2,      -1.980625866,       3.344102938,      0.3055473046,                 0,                 0,                 0
          0,           2,           3,      -2.823543102,       3.871466258,      0.2579665696,                 0,                 0,                 0
          0,           2,           4,      -1.693586759,       2.943784876,      0.5232882249,                 0,                 0,                 0
          0,           2,           5,      -2.833215483,       3.817653885,      0.1268650345,                 0,                 0,                 0
          0,           2,           6,      -2.452612849,       3.428186041,      0.2765187986,                 0,                 0,                 0
          0,           2,           7,      -3.311052744,       2.969094135,      -1.125486762,                 0,                 0,                 0
          0,           2,           8,      -1.570494505,       3.044453528,      0.6478540679,                 0,                 0,                 0
          0,           2,           9,      -2.324473692,       3.638248475,      0.6041600693,                 0,                 0,                 0
          0,           2,          10,      -3.869493141,        3.13315734,      -1.534903948,                 0,                 0,                 0
          0,           2,          11,      -2.581174864,       2.958952085,     -0.3112128622,                 0,                 0,                 0
          0,           2,          12,      -2.580390125,       3.270438347,     -0.1399480924,                 0,                 0,                 0
          0,           2,          13,       -2.69764098,       3.391223368,      -0.257130401,                 0,                 0,                 0
          0,           2,          14,      -3.254426231,       3.177623491,     -0.8164323279,                 0,                 0,                 0
          0,           2,          15,      -3.498523881,       2.972271315,      -1.132647528,                 0,                 0,                 0
          0,           2,          16,      -3.679785608,       3.040412982,      -1.269999627,                 0,                 0,                 0
          0,           2,          17,       -3.85916236,       2.936372165,      -1.546246656,                 0,                 0,                 0
          0,           2,          18,      -1.809764769,       2.851173621,      0.3947773505,                 0,                 0,                 0
          0,           2,          19,      -2.406172272,       3.742987825,      0.3978364597,                 0,                 0,                 0
          0,           2,          20,      -3.031065881,       3.310545846,     -0.4474318441,                 0,                 0,                 0
          0,           2,          21,      -2.116021333,       3.248128128,      0.1193253541,                 0,                 0,                 0
          0,           2,          22,      -2.895245058,       3.773652154,     0.06145999167,                 0,                 0,                 0
          0,           2,          23,      -2.411329396,       3.042672094,     -0.1447892294,                 0,                 0,                 0
          0,           2,          24,      -3.501083718,       3.382347775,      -1.006302257,                 0,                 0,                 0
          0,           2,          25,      -3.188947006,       3.336614626,     -0.6875229386,                 0,                 0,                 0
          0,           2,          26,      -3.264046069,       3.049736326,     -0.7943630741,                 0,                 0,                 0
          0,           2,          27,      -2.585109883,       2.987982923,     -0.3002562798,                 0,                 0,                 0
          0,           2,          28,      -3.330244181,       3.220123296,     -0.7697783644,                 0,                 0,                 0
          0,           2,          29,      -3.196770039,       3.261120802,       -0.87079981,                 0,                 0,                 0
          0,           2,          30,      -1.925795859,       2.825999602,      0.2598384406,                 0,                 0,                 0
          0,           2,          31,      -2.753761121,       3.747477109,       0.145351903,                 0,                 0,                 0
          0,           2,          32,       -3.29696033,       3.386209134,     -0.6167667597,                 0,                 0,                 0
          0,           2,          33,      -2.668023891,       3.112505328,     -0.3695698467,                 0,                 0,                 0
          0,           2,          34,      -2.885466819,       3.198828594,     -0.5441030884,                 0,                 0,                 0
          0,           2,          35,      -2.170539479,       2.987780816,      0.0173668502,                 0,                 0,                 0
          0,           2,          36,      -2.636714989,        3.55168809,      0.0154691313,                 0,                 0,                 0
          0,           2,          37,      -2.567131627,       3.007855431,      -0.283913482,                 0,                 0,                 0
          0,           2,          38,      -2.729122118,       3.322367659,     -0.2702193725,                 0,                 0,                 0
          0,           2,          39,      -2.943040803,       3.225780785,     -0.5793512614,                 0,                 0,                 0
          0,           2,          40,      -3.624514619,       3.080914786,      -1.228023403,                 0,                 0,                 0
          0,           2,          41,      -2.362550687,       3.028178249,     -0.1768035891,                 0,                 0,                 0
          0,           2,          42,      -3.191367455,       3.359974581,     -0.5079126152,                 0,                 0,                 0
          0,           2,          43,      -2.506101045,       3.161640522,     -0.1218852501,                 0,                 0,                 0
          0,           2,          44,      -3.257457122,        3.41172269,     -0.6749994434,                 0,                 0,                 0
          0,           2,          45,       -2.66092613,       3.018325102,     -0.3837785326,                 0,                 0,                 0
          0,           2,          46,      -2.801869661,        3.25352947,     -0.4382681502,                 0,                 0,                 0
          0,           2,          47,      -3.521430647,       2.899109138,      -1.413955304,                 0,                 0,                 0
          0,           2,          48,       -2.24606836,       3.024629344,    -0.03919753292,                 0,                 0,                 0
