JST,LAX-FRIEDRICH,ROE,AUSM
-1.671537089,-1.671537089,-1.671537089,-1.671537089
-1.54985769,-1.600746939,-1.511278388,-1.550360521
-1.401695669,-1.523532284,-1.387829551,-1.408912303
-1.321118484,-1.564341875,-1.327584642,-1.319978204
-1.28803432,-1.650213877,-1.325487703,-1.308718891
-1.285160854,-1.741464804,-1.348018723,-1.328318766
-1.286284381,-1.81589275,-1.357315645,-1.339711492
-1.286690294,-1.860045938,-1.357612508,-1.339893203
-1.294867222,-1.878786954,-1.36975805,-1.348817346
-1.312185969,-1.894563069,-1.400089818,-1.374502096
-1.332758975,-1.923936897,-1.442299969,-1.412944284
-1.353132956,-1.970774938,-1.48521745,-1.454875341
-1.376444716,-2.033191588,-1.52342475,-1.494106468
-1.406279642,-2.10978013,-1.561325258,-1.533116529
-1.442264091,-2.201521947,-1.60506195,-1.57762816
-1.480529672,-2.310028244,-1.656293624,-1.6296324
-1.517309953,-2.433674284,-1.71319982,-1.686871633
-1.551797434,-2.561962208,-1.772597084,-1.745611812
-1.585949524,-2.671812929,-1.830665339,-1.802708237
-1.622281348,-2.742836854,-1.88445186,-1.856654127
-1.661999838,-2.783790346,-1.934571146,-1.908377559
-1.704246148,-2.81988625,-1.985368335,-1.960935363
-1.747105178,-2.867821645,-2.041363926,-2.01736617
-1.789136858,-2.933942873,-2.103599584,-2.078241754
-1.830148314,-3.019757611,-2.16863061,-2.140957569
-1.870848286,-3.125029189,-2.230748231,-2.2015612
-1.911864539,-3.248488768,-2.286620189,-2.258087117
-1.953320097,-3.386777899,-2.338278275,-2.312258493
-1.99485028,-3.531318395,-2.391008579,-2.367685033
-2.036257402,-3.664444114,-2.44907837,-2.426787774
-2.077765597,-3.76491185,-2.513424099,-2.489270058
-2.120012676,-3.829304847,-2.58169539,-2.552703939
-2.163392189,-3.876222287,-2.649744123,-2.614514316
-2.207722158,-3.924852061,-2.714019902,-2.673926199
-2.252139851,-3.985078592,-2.773641958,-2.732248521
-2.295513694,-4.060446085,-2.830482538,-2.791400032
-2.337356611,-4.151792071,-2.887351018,-2.852244865
-2.37826667,-4.258906966,-2.946044217,-2.913981658
-2.419665357,-4.380842078,-3.006411789,-2.974702648
-2.462892486,-4.515209542,-3.066493429,-3.032599815
-2.508439971,-4.656304926,-3.123550107,-3.087005096
-2.555545822,-4.79250427,-3.175634108,-3.138556396
-2.602411839,-4.907392997,-3.222712925,-3.188499643
-2.647098716,-4.991360245,-3.266411052,-3.237785177
-2.688672701,-5.052125506,-3.308725167,-3.28656167
-2.727779486,-5.105853124,-3.350935754,-3.334257295
-2.766290327,-5.16459084,-3.393369383,-3.380119161
-2.806216321,-5.234212353,-3.435771149,-3.423851957
-2.848682651,-5.316919149,-3.477728583,-3.465894693
-2.893486559,-5.413238201,-3.51879937,-3.507112434
-2.939185688,-5.522874808,-3.558433287,-3.548172796
-2.98376863,-5.644750976,-3.596068424,-3.589110366
-3.025683573,-5.776344074,-3.631588653,-3.629416839
-3.064686168,-5.912293426,-3.665795786,-3.668589725
-3.101949729,-6.042955521,-3.700314826,-3.706697523
-3.139326038,-6.156038729,-3.736803648,-3.744464715
-3.178362734,-6.244526714,-3.775953568,-3.782780572
-3.219652813,-6.313384169,-3.816908949,-3.822043316
-3.262625543,-6.374526941,-3.857549605,-3.861857738
-3.305746829,-6.43814415,-3.895741632,-3.901325655
-3.347276208,-6.510030487,-3.930909945,-3.939758156
-3.386169721,-6.592782573,-3.964614884,-3.977280308
-3.422681441,-6.687271836,-3.999540102,-4.014822053
-3.458117434,-6.793415721,-4.037802655,-4.053493156
-3.494034392,-6.910300782,-4.079767195,-4.093834238
-3.531451154,-7.035749166,-4.123822047,-4.13544371
-3.570448522,-7.165374371,-4.167169659,-4.17718914
-3.610246745,-7.291637901,-4.207458206,-4.217898413
-3.649615052,-7.404836081,-4.244354862,-4.25711949
-3.687561078,-7.49819682,-4.279746832,-4.295407147
-3.72380531,-7.573440067,-4.316396636,-4.333922189
-3.75893565,-7.63918189,-4.356255492,-4.373673218
-3.793999599,-7.704575378,-4.399479637,-4.414919442
-3.829947911,-7.775802696,-4.444385875,-4.457043074
-3.867170788,-7.856142192,-4.48830062,-4.498920448
-3.905358825,-7.947035951,-4.529093713,-4.539603045
-3.943654601,-8.048856275,-4.56655895,-4.578911771
-3.981059866,-8.161161875,-4.602518711,-4.617539025
-4.016997832,-8.282462152,-4.639574219,-4.656593529
-4.051595207,-8.409496733,-4.679578552,-4.696927219
-4.085678984,-8.536248655,-4.722740461,-4.738654553
-4.120259072,-8.653916096,-4.767565879,-4.781084377
-4.15604002,-8.754187399,-4.811597521,-4.823079571
-4.193081444,-8.835169997,-4.852778273,-4.863683103
-4.230796673,-8.903053855,-4.890741542,-4.902666288
-4.26824027,-8.96706024,-4.927028708,-4.940634903
-4.304595146,-9.03451591,-4.964050509,-4.978624281
-4.339607318,-9.109741123,-5.003674339,-5.017481771
-4.373693239,-9.194855969,-5.04630579,-5.057414697
-4.407802606,-9.290697155,-5.090728856,-5.097913903
-4.442875197,-9.397287622,-5.134697014,-5.138064353
-4.479394884,-9.51385204,-5.17615166,-5.177089304
-4.517158205,-9.638344654,-5.214495471,-5.214824898
-4.55538605,-9.766554627,-5.250981312,-5.251817016
-4.593034497,-9.891245437,-5.287878183,-5.288976036
-4.629323473,-10.00306418,-5.327124579,-5.327033014
