JST,LAX-FRIEDRICH,ROE,AUSM
3.837646007,3.837646007,3.837646007,3.837646007
3.95018496,3.91723389,3.984444959,3.951938235
4.086022112,3.984551155,4.080671067,4.058125315
4.177377701,3.934333683,4.138791395,4.145581843
4.216304115,3.846514421,4.138718558,4.1527712
4.217937841,3.762320339,4.112191227,4.124047398
4.212152916,3.695052582,4.102717377,4.110595405
4.207790434,3.650564505,4.10439688,4.114011384
4.198408766,3.628109603,4.093340075,4.107186354
4.182988693,3.61131483,4.062762695,4.081318862
4.167195426,3.583734516,4.020648591,4.04277408
4.15222165,3.539338405,3.980355828,4.003153383
4.131301297,3.478210787,3.946079855,3.967537477
4.098560412,3.400706283,3.909664225,3.929758475
4.055092151,3.305381565,3.863541864,3.882756015
4.009270873,3.190406238,3.807851783,3.826685869
3.971096026,3.05756129,3.747639363,3.767024293
3.943300388,2.919959697,3.688320744,3.708922663
3.919155149,2.808949798,3.63326708,3.654186535
3.889610349,2.74986897,3.582643032,3.60197897
3.849710065,2.72393889,3.533066158,3.550047806
3.800446821,2.697801818,3.479568611,3.495485651
3.747647872,2.654665079,3.41926226,3.436405724
3.698945457,2.589795965,3.35400201,3.37397221
3.658903567,2.502620783,3.289984004,3.312449109
3.625820494,2.393554239,3.233153218,3.255895295
3.593998897,2.263502332,3.183388611,3.203984278
3.558162342,2.115327391,3.134535954,3.152040867
3.516089426,1.958574983,3.080046401,3.095279724
3.468677014,1.817240344,3.017339321,3.032452628
3.419154916,1.722401151,2.948629839,2.966556678
3.371408505,1.674186272,2.879360314,2.902687744
3.328116889,1.641961067,2.814746626,2.84396384
3.289239826,1.602343629,2.756075894,2.788840874
3.252435795,1.546438833,2.700256775,2.732795663
3.214751798,1.47208645,2.64295566,2.672225825
3.173921205,1.379136252,2.581772009,2.606906797
3.12905396,1.267819653,2.517414724,2.540137105
3.080737804,1.138548504,2.453206229,2.476880765
3.030923912,0.9927943411,2.393329892,2.420523118
2.982312825,0.835901727,2.340309982,2.370534684
2.937284517,0.6829557164,2.293404484,2.323344971
2.896665699,0.561120531,2.249459066,2.275219954
2.85918281,0.4873675696,2.205284151,2.224393329
2.822167199,0.4448058321,2.159450676,2.17160646
2.782971582,0.4065213462,2.112636242,2.119466892
2.740055157,0.3577362975,2.066757007,2.070914487
2.693546362,0.2934361926,2.023497908,2.027343578
2.645282732,0.212538917,1.983204576,1.987693468
2.5981461,0.1151201735,1.944958622,1.949344514
2.554775778,0.001540581279,1.907573716,1.909920408
2.516046986,-0.1274904795,1.87043121,1.868550942
2.48050216,-0.2699827883,1.833486503,1.826016636
2.445273241,-0.4202816208,1.796693542,1.783960995
2.407629913,-0.5651212425,1.759587261,1.743700676
2.366162032,-0.683752666,1.721519003,1.70541006
2.321250216,-0.7638529728,1.682341215,1.668241722
2.274901349,-0.8167458213,1.642866473,1.631120659
2.230019015,-0.8631037383,1.604534738,1.593432465
2.189113935,-0.9163835567,1.568327396,1.555134331
2.152823617,-0.9822306152,1.533762137,1.516408075
2.119511723,-1.062407186,1.498961327,1.477294175
2.086257614,-1.157208884,1.461815663,1.437649135
2.050466351,-1.26638296,1.421322563,1.397413622
2.010976572,-1.389184601,1.378280597,1.356874309
1.968433236,-1.523712119,1.334996389,1.316610999
1.925021638,-1.665260709,1.293987526,1.277103632
1.883537139,-1.803802666,1.25628649,1.238302765
1.845993188,-1.923849019,1.220663755,1.199558681
1.812394096,-2.013653193,1.184506394,1.160018003
1.780806604,-2.077438465,1.145523966,1.119209658
1.748486871,-2.13051971,1.103031461,1.077416474
1.713293029,-2.186067683,1.058300034,1.035586686
1.674497228,-2.251102028,1.013938518,0.9947869677
1.633000793,-2.328538428,0.9724271789,0.9555006086
1.590987917,-2.419380114,0.9345040859,0.917260854
1.551056323,-2.523818859,0.898661255,0.8789128679
1.514950726,-2.64151982,0.8622074803,0.8393091957
1.482516725,-2.771243793,0.8229253716,0.7979709805
1.451835648,-2.909630636,0.780204265,0.7553661798
1.420260398,-3.04895465,0.7352955494,0.7126903463
1.385768296,-3.175546683,0.6907076172,0.6712269594
1.347715721,-3.275063883,0.6488459504,0.6316047113
1.307048673,-3.345519056,0.610509349,0.5934329367
1.265957196,-3.399534193,0.5743664628,0.5555867006
1.226970802,-3.451772113,0.537879643,0.5169187941
1.191662832,-3.511273614,0.4988475052,0.4769193431
1.159730773,-3.582146824,0.4565238681,0.43598145
1.12921818,-3.665942868,0.4119379102,0.3951798493
1.097533291,-3.763138338,0.3674102757,0.3556580309
1.062737917,-3.873701837,0.325331875,0.3179332452
1.024281774,-3.997049734,0.2866980188,0.2815608003
0.9831930533,-4.131349064,0.250440605,0.2453990208
0.9417081509,-4.271843319,0.2141501425,0.2082718486
0.9024065263,-4.40841692,0.1755461143,0.1695997803
0.8668951496,-4.525746175,0.1336602959,0.1296901502
0.8348875897,-4.61276478,0.08927461545,0.08959052497
0.8043376153,-4.674286573,0.04456548224,0.05056118276
0.7726088088,-4.725529439,0.001988820137,0.01340122107
0.7377011605,-4.779360022,-0.03719921182,-0.02197341141
0.6990169085,-4.842507286,-0.07378433354,-0.05640501922
0.6575761244,-4.917880481,-0.1100606612,-0.09092587675
0.6156758475,-5.006477709,-0.1483995249,-0.1261445286
0.5759760739,-5.108459002,-0.1899807806,-0.1619363182
0.5401581984,-5.223790282,-0.2342449196,-0.1975593465
0.5079225935,-5.351410578,-0.2791456808,-0.2321186346
0.4771655983,-5.488914984,-0.3221819143,-0.2651286915
0.4451719437,-5.629908217,-0.361880835,-0.2968260816
0.4099035708,-5.761826941,-0.3987787429,-0.32802588
0.3707725031,-5.869266138,-0.4350539212,-0.3596405542
0.3288273551,-5.945601347,-0.4731450177,-0.3921822726
0.2864252623,-6.000686613,-0.5144189461,-0.4255144392
0.2462992674,-6.051454728,-0.5585295515,-0.4589395155
0.2101631639,-6.107257151,-0.6035756199,-0.4915639838
0.1777014685,-6.173686551,-0.6470438777,-0.522757096
0.1467542275,-6.253747255,-0.6872697286,-0.5524450982
0.1145491872,-6.346284841,-0.7245306183,-0.5810652398
0.07901735422,-6.452020053,-0.7608523373,-0.6092390036
0.03956666409,-6.569626959,-0.7987055178,-0.6373995659
-0.002726288308,-6.700749331,-0.8396293182,-0.6655946894
-0.04546295477,-6.837226081,-0.8834997201,-0.6935409743
-0.08586923162,-6.973427719,-0.9285891635,-0.7208652268
-0.1222146304,-7.0955712,-0.9724088237,-0.7473762811
-0.1548429557,-7.183556493,-1.013124623,-0.7732044052
