JST,LAX-FRIEDRICH,ROE,AUSM
-0.06508323388,-0.06508323388,-0.06508323388,-0.0754920609
0.8536273643,0.6587857725,0.8390727688,0.852801681
1.057324912,0.8098985224,1.024864492,1.01651748
1.175649402,0.8555035197,1.1128694,1.104166961
1.233029472,0.8508258636,1.135585875,1.116872375
1.254801105,0.8147082362,1.116743679,1.094672936
1.262344709,0.7590835112,1.087199852,1.070327003
1.260017361,0.6920638259,1.058081119,1.04817022
1.246058199,0.6185366772,1.020384466,1.015876694
1.215860576,0.5449447723,0.9653691115,0.9643903097
1.169053621,0.4794178675,0.8976971614,0.8975557707
1.112916041,0.4229906835,0.8357652483,0.8343426458
1.056123442,0.3667759597,0.7928913367,0.7903373199
1.000563429,0.3006338733,0.7602535746,0.7576139123
0.9417249359,0.219626735,0.7215816082,0.7192910794
0.8767361068,0.1241972299,0.6690243933,0.667270752
0.8098448732,0.01865600929,0.6034818142,0.6027083896
0.7507168651,-0.09001038385,0.5320941305,0.5328767882
0.7056552479,-0.1938525591,0.4664318624,0.4686511093
0.6697857733,-0.2871955462,0.4157880474,0.4181627982
0.6327107748,-0.3697056867,0.37760967,0.3788466317
0.5877683441,-0.4459453839,0.3392639644,0.3392656501
0.5351284098,-0.5219477184,0.2890354227,0.2885882952
0.4802025971,-0.6024341179,0.2226010019,0.2225312593
0.4297950141,-0.6900335626,0.1450387698,0.1454371167
0.3871095621,-0.7855782337,0.07132499819,0.07082233947
0.350117264,-0.8885598121,0.01830789304,0.01452793339
0.313967361,-0.9974482684,-0.01322692153,-0.02143963053
0.275266085,-1.109919748,-0.0396333328,-0.05156525861
0.2336467833,-1.223165759,-0.07713637734,-0.09154294883
0.19168533,-1.334439505,-0.133805507,-0.1495755101
0.1523516324,-1.441799887,-0.2106683835,-0.226551256
0.1166033426,-1.544704501,-0.3022639212,-0.31625375
0.08237664835,-1.644036073,-0.3947877242,-0.4039901031
0.04569565032,-1.741538482,-0.468614154,-0.4712519961
0.003229594993,-1.839063529,-0.5145678276,-0.5126173968
-0.04632972908,-1.938016833,-0.544948056,-0.54221449
-0.1010661267,-2.039099666,-0.57870896,-0.5776978374
-0.1558290001,-2.142248944,-0.6275061722,-0.6291412772
-0.203817747,-2.246676092,-0.694661922,-0.6990076537
-0.240897124,-2.35098438,-0.775996216,-0.7827986139
-0.2694135061,-2.453426601,-0.8576183049,-0.8669386468
-0.2964807248,-2.552357956,-0.9174587408,-0.9305599848
-0.3294593242,-2.646805612,-0.9440331478,-0.962954827
