"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000000000000000e+00, -1.017433573914477e-33, -1.661650000000000e-17, 1.301542356466515e+00, 2.361220962853066e+02, 1.898031121547392e+00, -2.175584245834406e+01, 3.064448733718384e+05, 1.139373448723608e+05, 3.040964714301992e+02, 5.204272156774699e-01, 3.161248660921714e-01
1, 3.355180000000000e-01, 4.849484022358998e-18, 7.920070000000000e-02, 8.044770618915023e-01, 3.062243424808439e+02, -2.114146454320749e+00, 9.883256640981547e-02, 2.022501499524509e+05, 5.758607584066451e+04, 2.486608486601832e+02, 1.202459589734214e+00, -1.096303794640643e+00
2, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.553286175052320e+00, 2.587064168951823e+01, -1.724691433349446e+00, -3.563426800612127e+01, 3.585303245974814e+05, 1.431620708673115e+05, 3.201695954682708e+02, 7.898201672672819e-02, 1.048634378417686e+00
3, 3.374140000000000e-01, -2.462058828296351e-18, -4.020980000000000e-02, 1.139397509133724e+00, 2.927469378033072e+02, -5.127456101478590e-01, 9.534732546642488e+00, 2.736218583600089e+05, 9.438956637753164e+04, 2.877745062594252e+02, 7.548481713577327e-01, -1.738346871562806e-01
4, 1.000012887451703e+00, 1.999921203678241e+00, 4.259476438164710e-02, 1.221998079373076e+00, 2.587272315139309e+02, 7.100841001340076e+00, 3.327684897817105e+01, 2.898830153171471e+05, 1.048079265888351e+05, 2.979388919829443e+02, 6.162676949769327e-01, 8.729857236279773e-02
5, 3.353618986804103e-01, 1.997794609982520e+00, 1.203527376801491e-01, 1.035868836506424e+00, 3.148684885554965e+02, -2.102663376544097e+01, 3.157473764851525e+00, 2.527160901519008e+05, 8.185731157252943e+04, 2.745088190886913e+02, 9.159504941975468e-01, -4.879521183047307e-01
6, 1.432731369277462e-05, 1.999952156042127e+00, 4.045728221535683e-02, 1.464222975534098e+00, 6.078982558319390e+01, 1.046675415369362e+02, -1.547442717437726e+01, 3.392575698952615e+05, 1.336691635411410e+05, 3.171229007696895e+02, 2.331129327990582e-01, 8.106973343801863e-01
7, 3.375125149599728e-01, 2.001035287161358e+00, 9.904764642238648e-04, 1.146762773644459e+00, 3.097531411435396e+02, 1.501726904504686e+01, 1.220258626913617e+01, 2.765640526460789e+05, 9.382677963399237e+04, 2.842214274922572e+02, 7.996450336586952e-01, -1.879407781124265e-01
8, 9.997638872798086e-01, 1.999974475816480e+00, 4.259568452835083e-02, 1.233252145055719e+00, 2.653896697955052e+02, 7.389322826058719e+00, 4.847688392451918e+01, 2.929556708072477e+05, 1.053702009378088e+05, 2.968038437183365e+02, 6.327396327951671e-01, 1.013918202937130e-01
9, 3.355286627185232e-01, 2.079115479233222e+00, 4.333108663558961e-02, 1.129267235966632e+00, 3.139537522156421e+02, 9.523993690379656e+00, 3.662209744711829e+01, 2.731788528160578e+05, 9.156114631063369e+04, 2.816554022249904e+02, 8.311501645514142e-01, -2.447282381929294e-01
15, 9.887290598579714e-01, 1.463094318579655e-19, 2.389493266979847e-03, 1.264316281104342e+00, 2.407123119296005e+02, -1.567065102307379e+00, -5.519721180666120e+01, 2.985762889597081e+05, 1.097823593574233e+05, 3.016340891410913e+02, 5.602435533292073e-01, 2.119813263446206e-01
16, 9.738468758650528e-01, 3.358340105304465e-19, 5.484766749448981e-03, 1.283760605413713e+00, 2.610169719498259e+02, 3.356926116435874e+00, -5.088885681569349e+01, 3.040415994639824e+05, 1.105973260524034e+05, 2.992706830059785e+02, 5.965212852197815e-01, 2.324082366398457e-01
17, 9.568406552970964e-01, 5.474160860553183e-19, 8.940278389813389e-03, 1.254958530738723e+00, 2.680222143973951e+02, -5.570723816320371e-02, -5.385267914230687e+01, 2.980333750039219e+05, 1.073028334810601e+05, 2.970198041504227e+02, 6.296231490097557e-01, 1.498327097653888e-01
18, 9.380351356236991e-01, 7.752970410293918e-19, 1.266197972286276e-02, 1.234050885959127e+00, 2.749201902985096e+02, -3.949345865962745e-01, -5.435182986607439e+01, 2.937938274776821e+05, 1.047894677790201e+05, 2.949770028787516e+02, 6.586327604838244e-01, 8.683590750229542e-02
19, 9.175667024134667e-01, 1.016247754008835e-18, 1.659713345168936e-02, 1.220131148645785e+00, 2.809731045878131e+02, -2.669789376192410e-01, -5.348245884525161e+01, 2.910691608687002e+05, 1.030182320459775e+05, 2.932993971286446e+02, 6.818190545580392e-01, 4.244038354601439e-02
