BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
0.1971544723,0.1967914935,-0.05972193064,0.1967272594
0.2377811434,0.2368589211,0.01386276423,0.2368314391
0.2652186626,0.2638785808,-0.06801817566,0.2641329091
0.3030513705,0.3016911388,-0.3068585221,0.3021584559
0.3450588336,0.343685599,-0.3582639041,0.3442115503
0.3852026339,0.3837426023,-0.7398377404,0.3842337865
0.4219407424,0.4203309008,-1.054661465,0.4207158885
0.4559824085,0.4540726876,-1.526453091,0.4543199927
0.4875787191,0.4855916842,-1.675411968,0.4856898315
0.5170190801,0.5150992355,-1.990710898,0.5150415976
0.5443040689,0.5424356613,-1.455860908,0.5421148772
0.5691949938,0.5673113118,-1.487223007,0.5666283551
0.5912021259,0.5891910011,-0.4230367999,0.5884048081
0.6099075328,0.6079053966,-1.048418014,0.6071236148
0.6252487097,0.6233786579,-0.1757519681,0.6225495847
0.6374324369,0.6355992293,-0.9869391779,0.6346719104
0.6465298162,0.6447749783,-1.151714892,0.6437604666
0.6529883354,0.6513153537,-1.753360331,0.6502530688
0.6574345468,0.6558169278,-0.931357192,0.6547403966
0.6604775952,0.6589050566,-1.574386955,0.657827725
0.6626105038,0.6610905482,-1.546251075,0.659990017
0.6643107977,0.6628426597,-1.117359424,0.6616847484
0.6659765949,0.6645428288,-0.2119544818,0.6633146978
0.6679301033,0.6665075822,-0.6060729417,0.6652228592
0.6704007927,0.6689771917,-0.778999591,0.6676856527
0.6734028561,0.6719916244,-0.358622289,0.6707357813
0.6768796671,0.6755009696,0.2373821384,0.674277868
0.6807248277,0.6794029039,0.2373821384,0.6782060718
0.6848110075,0.6835701403,0.2373821384,0.6824156914
0.6889903454,0.6878348071,0.2373821384,0.6867113264
0.6930961899,0.6920122135,0.2373821384,0.6909295564
0.6969520858,0.6959368871,0.2373821384,0.6949576732
0.7004035296,0.6994743996,0.2373821384,0.6986275486
0.7033380819,0.7025152601,0.2373821384,0.7017967829
0.7056879103,0.7049807598,0.2373821384,0.7043778445
0.7074126031,0.7068042342,0.2373821384,0.7063164187
0.7085514762,0.7080091132,0.2373821384,0.7076282567
0.7091501468,0.7086676413,0.2373821384,0.7083944509
0.7093296832,0.7088816061,0.2373821384,0.7086794544
0.7091680991,0.7087661851,0.2373821384,0.7086177082
0.7087369628,0.7084006881,0.2373821384,0.7082702679
0.7081439881,0.7078439651,0.2373821384,0.7077177292
0.7074907402,0.7071979297,0.2373821384,0.7070709105
0.7068541745,0.7065731631,0.2373821384,0.7064291669
