"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,      "CD[0]"     ,      "CL[0]"     ,     "CSF[0]"     ,     "CMx[0]"     ,     "CMy[0]"     ,     "CMz[0]"     ,     "CFx[0]"     ,     "CFy[0]"     ,     "CFz[0]"     ,     "CEff[0]"    ,   "avg[bgs][0]"  ,    "rms[U][1]"   ,    "rms[R][1]"   ,    "rms[E][1]"   ,  "rms[DispX][1]" ,  "rms[DispY][1]" ,  "rms[DispZ][1]" ,   "avg[bgs][1]"  
          0,           0,           0,       -12.0115096,      -9.678817838,      -9.791649484,      -6.519031647,     0.03985521532,       0.699082731,                 0,                 0,                 0,      0.1115093351,     0.01543330114,      0.7000477956,                 0,       17.54055838,       1.686942373,      -3.319369077,       3.521458157,      -1.754304266,                 0,                 0,                 0,      -1.566789544
          0,           1,           0,      -11.64288147,      -9.498565356,      -9.523343968,       -6.14093152,     0.01195425913,      0.3479718709,                 0,                 0,                 0,     0.08070145147,   -0.000197066241,      0.3481770935,                 0,       29.10861033,        1.29052326,      -3.851854443,       2.881693345,      -3.171830604,                 0,                 0,                 0,      -1.842858432
          0,           2,           0,      -11.66384463,       -9.49968219,      -9.554277907,      -6.167980939,     0.01817809824,      0.4727874845,                 0,                 0,                 0,     0.08646378695,    0.001666979374,      0.4731338816,                 0,       26.00863294,      0.8887291182,      -4.424326106,       2.286525033,      -4.476220654,                 0,                 0,                 0,      -2.207467714
          0,           3,           0,       -11.5833442,      -9.443624321,      -9.466486312,       -6.08862703,     0.01608370844,      0.4395473584,                 0,                 0,                 0,     0.08491500599,   0.0007339290932,      0.4398409114,                 0,       27.32873206,      0.3479529763,      -4.560840177,       2.145198773,      -4.766775736,                 0,                 0,                 0,      -2.589969715
          0,           4,           0,      -11.60762003,      -9.475254844,      -9.488395404,      -6.113607939,     0.01660240832,      0.4482108476,                 0,                 0,                 0,     0.08525027305,   0.0009499615825,      0.4485172254,                 0,        26.9967368,      -0.223760054,      -4.284465587,       2.406478816,       -4.23272114,                 0,                 0,                 0,      -2.998467202
          0,           5,           0,      -11.73428808,      -9.579046746,      -9.564355779,      -6.244314222,     0.01647584265,      0.4461344331,                 0,                 0,                 0,     0.08517487021,   0.0008959388301,      0.4464376587,                 0,       27.07809505,     -0.8432459477,      -4.489836102,       2.111093784,      -4.749930876,                 0,                 0,                 0,      -3.439129323
          0,           6,           0,      -11.51281699,      -9.308940815,      -9.433264227,      -6.014010362,     0.01650319346,      0.4465848672,                 0,                 0,                 0,     0.08519064448,   0.0009075530598,      0.4468887729,                 0,       27.06051215,       -1.50707153,      -5.317155996,       1.236670284,      -6.449758967,                 0,                 0,                 0,      -3.911902658
          0,           7,           0,      -11.59322258,      -9.445172312,      -9.479401279,       -6.09841951,     0.01649786148,      0.4464971384,                 0,                 0,                 0,       0.085187606,   0.0009052860215,      0.4468009115,                 0,       27.06394031,      -2.217364666,      -5.942543987,      0.6400577274,      -7.674779889,                 0,                 0,                 0,      -4.372605086
          0,           8,           0,      -11.75320257,      -9.623397739,      -9.614509762,      -6.260189283,     0.01649894866,      0.4465150271,                 0,                 0,                 0,     0.08518822765,   0.0009057482289,      0.4468188272,                 0,        27.0632412,      -2.908141974,      -6.677115573,     -0.1083358038,      -9.156224784,                 0,                 0,                 0,      -4.840004119
          0,           9,           0,       -11.7770835,      -9.522207732,      -9.679275728,       -6.27792983,      0.0164987324,      0.4465114714,                 0,                 0,                 0,     0.08518810464,   0.0009056561974,      0.4468152662,                 0,       27.06338042,      -3.609357971,        -7.3553895,      -0.779093464,      -10.50626445,                 0,                 0,                 0,      -5.304306157
