"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.257210000000000e-03, -6.634545781321138e-05, 2.543162126627090e-02, -1.056698719252938e+04, -1.075948580724267e+04, 1.359528284214593e+03, 2.725862127655108e+03
1, 9.798550000000000e-01, 5.416750000000000e-03, -1.886943337054294e-04, 2.478311879258373e-02, -1.327820371154679e+04, -8.175790770958420e+03, 1.602237545396960e+03, 6.025220197121627e+03
2, 9.596080000000000e-01, 9.461560000000001e-03, -3.069776622833650e-04, 2.413453113848153e-02, -1.671963455008994e+04, -4.475045149468699e+03, 5.143110320348789e+03, 1.599175739745070e+04
3, 9.393450000000000e-01, 1.339430000000000e-02, -4.210416897443396e-04, 2.348676409325242e-02, -2.221018526953455e+04, -2.367978663843658e+03, 8.153940086197512e+03, 2.568384937465796e+04
4, 9.190670000000000e-01, 1.721730000000000e-02, -5.308916160100779e-04, 2.284041883125524e-02, -3.592923463524714e+04, -2.108713893317071e+03, 1.135457069517505e+04, 4.073736277598532e+04
5, 8.987730000000000e-01, 2.093270000000000e-02, -6.366198394387142e-04, 2.219560384032008e-02, -4.373184397941401e+04, -1.392338679822578e+03, 1.331075776544063e+04, 5.001338618985005e+04
6, 8.784640000000000e-01, 2.454230000000000e-02, -7.383322062652836e-04, 2.155257580722847e-02, -5.095159265682605e+04, -1.512355319132283e+03, 1.456464696239731e+04, 5.738252306312342e+04
7, 8.581410000000000e-01, 2.804760000000000e-02, -8.361398400209713e-04, 2.091140910512179e-02, -5.906765185831019e+04, -2.092084299808041e+02, 1.547457061768390e+04, 6.649936620760076e+04
8, 8.378050000000000e-01, 3.144970000000000e-02, -9.299195770469570e-04, 2.027249741302972e-02, -8.728593283770580e+04, 2.800358495912157e+03, 1.665904491686787e+04, 9.605016916390295e+04
9, 8.174540000000000e-01, 3.474970000000000e-02, -1.019157372793641e-03, 1.963550284206627e-02, -9.984396632874108e+04, 2.549147303373242e+03, 2.422261914018892e+04, 1.132752878227271e+05
10, 7.970910000000000e-01, 3.794800000000000e-02, -1.104704490436076e-03, 1.900120624546559e-02, -1.077080762199324e+05, 3.328917661631784e+03, 2.160516022862805e+04, 1.191484192269175e+05
11, 7.767150000000000e-01, 4.104500000000000e-02, -1.186154006638901e-03, 1.836979065440493e-02, -1.301285405515219e+05, 3.833418441879869e+03, 2.407181225674822e+04, 1.423503250387803e+05
12, 7.563270000000000e-01, 4.404060000000000e-02, -1.263502571899031e-03, 1.774091926501246e-02, -1.474187473111887e+05, 5.396336006676634e+03, 2.469107643881397e+04, 1.605959112564063e+05
13, 7.359270000000000e-01, 4.693450000000000e-02, -1.336761461013024e-03, 1.711503988018894e-02, -1.619689800368620e+05, 5.541839754224082e+03, 2.628920718564229e+04, 1.755686885662709e+05
14, 7.155150000000000e-01, 4.972610000000000e-02, -1.406119432186826e-03, 1.649227941178599e-02, -1.748694053884365e+05, 5.846899386815292e+03, 2.743112285280505e+04, 1.888603950421698e+05
15, 6.950930000000000e-01, 5.241420000000000e-02, -1.471528190612970e-03, 1.587272322618901e-02, -1.864388150749393e+05, 7.614828432769044e+03, 2.769216210718503e+04, 2.018024775053548e+05
16, 6.746590000000000e-01, 5.499760000000000e-02, -1.533112467422215e-03, 1.525655881822004e-02, -2.210935579898716e+05, 1.275902079803871e+04, 2.642334598514428e+04, 2.397494555947070e+05
17, 6.542150000000000e-01, 5.747460000000000e-02, -1.589815991105307e-03, 1.464349598085407e-02, -2.369822149802016e+05, 1.099480716325506e+04, 3.433157206284747e+04, 2.573076580134418e+05
18, 6.337610000000000e-01, 5.984290000000000e-02, -1.642942457534005e-03, 1.403423552309131e-02, -2.427470006140813e+05, 1.073250984810950e+04, 2.984092510994954e+04, 2.604108013693410e+05
