"Time_Iter","Outer_Iter","Inner_Iter",     "rms[U]"     ,     "rms[R]"     ,     "rms[E]"     ,   "rms[DispX]"   ,   "rms[DispY]"   ,   "rms[DispZ]"   
          0,           0,           0,      -0.614918812,       3.731790337,        2.44477684,                 0,                 0,                 0
          0,           0,           1,      -1.802348828,       5.189283083,       1.591194457,                 0,                 0,                 0
          0,           0,           2,       -1.95543393,       4.756561443,      0.7686901975,                 0,                 0,                 0
          0,           0,           3,      -2.356947412,       4.350529898,    -0.05806238118,                 0,                 0,                 0
          0,           0,           4,      -2.846154276,       3.941396226,      -0.903887714,                 0,                 0,                 0
          0,           0,           5,      -3.319369077,       3.521458157,      -1.754304266,                 0,                 0,                 0
          0,           1,           0,      -1.046995709,       3.495137243,       1.606915565,                 0,                 0,                 0
          0,           1,           1,      -2.060597218,       4.581593729,      0.2661755306,                 0,                 0,                 0
          0,           1,           2,      -2.495186271,       4.164308201,     -0.5881468325,                 0,                 0,                 0
          0,           1,           3,       -2.95978329,       3.742652508,       -1.44795298,                 0,                 0,                 0
          0,           1,           4,       -3.41007998,       3.313516524,      -2.309832806,                 0,                 0,                 0
          0,           1,           5,      -3.851854443,       2.881693345,      -3.171830604,                 0,                 0,                 0
          0,           2,           0,       -1.58722447,       3.060048468,      0.5495786159,                 0,                 0,                 0
          0,           2,           1,      -2.608687552,       4.012306113,       -0.95973721,                 0,                 0,                 0
          0,           2,           2,      -3.093635398,       3.592270259,      -1.850245609,                 0,                 0,                 0
          0,           2,           3,      -3.543636811,       3.158839811,      -2.728087805,                 0,                 0,                 0
          0,           2,           4,      -3.985324872,       2.722785734,      -3.603053804,                 0,                 0,                 0
          0,           2,           5,      -4.424326106,       2.286525033,      -4.476220654,                 0,                 0,                 0
          0,           3,           0,      -2.162060725,       2.521972778,     -0.5992137514,                 0,                 0,                 0
          0,           3,           1,      -3.179291588,       3.434884306,      -2.118019566,                 0,                 0,                 0
          0,           3,           2,      -3.671321597,       3.015857223,       -3.01160953,                 0,                 0,                 0
          0,           3,           3,       -4.11982077,       2.581639908,      -3.890828504,                 0,                 0,                 0
          0,           3,           4,      -4.560840177,       2.145198773,      -4.766775736,                 0,                 0,                 0
          0,           4,           0,      -2.768240924,       2.030232119,      -1.804102554,                 0,                 0,                 0
          0,           4,           1,      -3.791463493,       2.825637274,      -3.337442928,                 0,                 0,                 0
          0,           4,           2,      -4.284465587,       2.406478816,       -4.23272114,                 0,                 0,                 0
          0,           5,           0,      -3.412743353,       2.002596059,      -3.086961966,                 0,                 0,                 0
          0,           5,           1,      -4.489836102,       2.111093784,      -4.749930876,                 0,                 0,                 0
          0,           6,           0,      -4.113207861,       1.705318139,      -4.467193687,                 0,                 0,                 0
          0,           6,           1,      -5.317155996,       1.236670284,      -6.449758967,                 0,                 0,                 0
          0,           7,           0,      -4.808726324,      0.8433842139,      -5.870707074,                 0,                 0,                 0
          0,           7,           1,      -5.942543987,      0.6400577274,      -7.674779889,                 0,                 0,                 0
          0,           8,           0,      -5.507494637,      0.2403000684,      -7.261921396,                 0,                 0,                 0
          0,           8,           1,      -6.677115573,     -0.1083358038,      -9.156224784,                 0,                 0,                 0
          0,           9,           0,      -6.205182052,     -0.5052100705,      -8.660601032,                 0,                 0,                 0
          0,           9,           1,        -7.3553895,      -0.779093464,      -10.50626445,                 0,                 0,                 0
          0,          10,           0,      -6.907490491,       -1.17737172,      -10.06216886,                 0,                 0,                 0
          0,          10,           1,       -8.06959743,      -1.497128426,      -11.93729093,                 0,                 0,                 0
          0,          11,           0,      -7.609824328,      -1.894678123,      -11.46859801,                 0,                 0,                 0
          0,          11,           1,       -8.76552568,      -2.191648728,      -13.32884785,                 0,                 0,                 0
          0,          12,           0,      -8.304021673,      -2.589446085,      -12.85959592,                 0,                 0,                 0
          0,          12,           1,       -9.46005091,      -2.887585057,      -14.72047943,                 0,                 0,                 0
          0,          13,           0,      -8.984066436,      -3.285316268,      -14.22565313,                 0,                 0,                 0
          0,          13,           1,      -10.13474359,      -3.562891931,      -16.07317727,                 0,                 0,                 0
          0,          14,           0,      -9.670086164,      -3.960378327,      -15.58313079,                 0,                 0,                 0
          0,          14,           1,      -10.82594552,      -4.242726723,      -17.43396875,                 0,                 0,                 0
          0,          15,           0,      -10.48179519,      -4.641370383,      -17.15854103,                 0,                 0,                 0
          0,          15,           1,      -11.69242867,      -5.103574065,      -19.13724845,                 0,                 0,                 0
          0,          16,           0,      -11.46329551,      -5.481098389,      -19.04304771,                 0,                 0,                 0
          0,          16,           1,      -12.74185581,      -5.862623146,       -20.9019884,                 0,                 0,                 0
          0,          17,           0,      -13.10421562,      -5.943662671,       -21.0848041,                 0,                 0,                 0
          0,          17,           1,       -14.1900197,      -5.997832013,      -21.33948616,                 0,                 0,                 0
