BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
-0.3505471492,-0.3505471492,-0.3505471492,-0.3505471492
-0.5803964832,-0.580369356,1.25231889,-0.5803638435
-0.7179023888,-0.7177580839,1.492010675,-0.7173310578
-0.7252153544,-0.7252820096,1.694365774,-0.7246831416
-0.7578566279,-0.7578381289,1.866736768,-0.7574137924
-0.7913710646,-0.7906901817,3.118057148,-0.7906636416
-0.8263871642,-0.8255683503,3.182714496,-0.8254659841
-0.8661125656,-0.8654698785,7.989771654,-0.864890436
-0.9024153987,-0.9019388662,7.989771639,-0.9011197811
-0.9248307415,-0.9246243158,7.989771637,-0.923955261
-0.9367817976,-0.9365458665,7.989771638,-0.9361112352
-0.9529097177,-0.9525070585,7.989772013,-0.9522381226
-0.982599043,-0.981982046,5.472312765,-0.9817813231
-1.024400997,-1.023911903,4.296575325,-1.023584472
-1.070284924,-1.06982982,4.996322,-1.069200632
-1.110469111,-1.11019405,4.295782037,-1.10944193
-1.142872675,-1.141904661,4.811013426,-1.141340716
-1.169723784,-1.168404031,4.811038991,-1.168175746
-1.197545445,-1.196248713,3.961072601,-1.19636023
-1.230858874,-1.229486357,3.70787766,-1.229692468
-1.270517377,-1.268912903,4.12459992,-1.268778411
-1.3137815,-1.311996976,3.293388099,-1.311048563
-1.358218935,-1.356308049,5.213086924,-1.354309814
-1.403433181,-1.401463745,3.505509525,-1.398782703
-1.449945789,-1.447811844,2.440894541,-1.445014211
-1.49802663,-1.495291715,2.928112905,-1.492675149
-1.546785457,-1.543374611,3.756406859,-1.541057047
-1.592385618,-1.588573659,2.378480568,-1.586462928
-1.631296551,-1.627261714,2.378480568,-1.624998356
-1.660742171,-1.656576161,2.378480568,-1.653916943
-1.680483873,-1.676255715,2.378480568,-1.673222847
-1.693070751,-1.688351287,2.378480568,-1.684533245
-1.701928125,-1.696537021,2.378480568,-1.692049127
-1.710818414,-1.704586138,2.378480568,-1.699346578
-1.723158595,-1.715582797,2.378480568,-1.709448216
-1.739529689,-1.731654441,2.378480568,-1.725003288
-1.762909497,-1.753833566,2.378480568,-1.746149116
-1.795311055,-1.784626004,2.378480568,-1.775510737
-1.836451777,-1.824641838,2.378480568,-1.814313535
-1.885455867,-1.873192121,2.378480568,-1.862368031
-1.941876233,-1.929714447,2.378480568,-1.91777493
-2.000643298,-1.989615959,2.378480568,-1.97749367
-2.060831288,-2.049992018,2.378480568,-2.037941487
-2.121615377,-2.110809712,2.378480568,-2.098186814
-2.180333415,-2.170333846,2.378480568,-2.157180378
-2.235135545,-2.225342993,2.378480568,-2.212074733
-2.285776727,-2.275642334,2.378480568,-2.262407825
-2.331736419,-2.321545891,2.378480568,-2.308219505
-2.373266442,-2.36361541,2.378480568,-2.349370043
-2.411428766,-2.402789083,2.378480568,-2.386655253
-2.447940192,-2.440243357,2.378480568,-2.421762007
-2.484705781,-2.477292892,2.378480568,-2.456607231
-2.522885573,-2.514982867,2.378480568,-2.492516676
-2.562693571,-2.553807469,2.378480568,-2.530369853
-2.602708569,-2.592983147,2.378480568,-2.569492933
-2.640316619,-2.630716973,2.378480568,-2.607634226
-2.672159635,-2.66446299,2.378480568,-2.642804841
-2.698161324,-2.692438596,2.378480568,-2.672582184
-2.71845429,-2.714270976,2.378480568,-2.695839445
-2.73313692,-2.731339602,2.378480568,-2.713735757
-2.746585686,-2.746042537,2.378480568,-2.729036072
-2.760592871,-2.760916262,2.378480568,-2.743824459
-2.777212543,-2.778055494,2.378480568,-2.760675282
-2.797627742,-2.798555517,2.378480568,-2.780841866
-2.822132384,-2.822893654,2.378480568,-2.804802982
-2.850598511,-2.851253435,2.378480568,-2.83263821
-2.882473364,-2.88345897,2.378480568,-2.864530455
-2.917447771,-2.919082535,2.378480568,-2.900073325
-2.955229478,-2.957503045,2.378480568,-2.938597804
-2.994965055,-2.997841292,2.378480568,-2.979263286
-3.035317285,-3.038973071,2.378480568,-3.021190741
-3.074812931,-3.079497,2.378480568,-3.062976828
-3.112074505,-3.117489446,2.378480568,-3.102989061
-3.14469677,-3.150850614,2.378480568,-3.139064034
-3.17079478,-3.177707448,2.378480568,-3.169026936
-3.190222472,-3.197201461,2.378480568,-3.191477825
-3.202462382,-3.210053188,2.378480568,-3.206601846
-3.210299499,-3.218202845,2.378480568,-3.215516819
-3.216408408,-3.224037819,2.378480568,-3.222035563
-3.222995323,-3.229753061,2.378480568,-3.227277417
-3.231363794,-3.237062359,2.378480568,-3.233522973
-3.242266793,-3.247124972,2.378480568,-3.242346694
-3.256330373,-3.260570756,2.378480568,-3.254587962
-3.273938698,-3.277609669,2.378480568,-3.270554326
-3.295120343,-3.298176082,2.378480568,-3.290234394
-3.319650363,-3.322074174,2.378480568,-3.313478056
-3.347158447,-3.348995657,2.378480568,-3.340022564
-3.377122914,-3.378465871,2.378480568,-3.369446807
-3.408864381,-3.409802398,2.378480568,-3.401075885
-3.441739516,-3.442389734,2.378480568,-3.434310649
-3.474825583,-3.475366808,2.378480568,-3.468265291
-3.507736501,-3.508283712,2.378480568,-3.501903533
-3.53914561,-3.53964774,2.378480568,-3.534057103
-3.568227815,-3.568507133,2.378480568,-3.563621303
-3.59371928,-3.593559013,2.378480568,-3.589863533
-3.616953963,-3.615758882,2.378480568,-3.612676323
-3.638103099,-3.635826437,2.378480568,-3.63261993
-3.658079167,-3.654628962,2.378480568,-3.650752047
-3.678120509,-3.673336475,2.378480568,-3.668349342
-3.698983988,-3.693445184,2.378480568,-3.686634669
-3.721826011,-3.715459058,2.378480568,-3.707077852
-3.747174079,-3.740000467,2.378480568,-3.729748099
-3.775135238,-3.767251419,2.378480568,-3.755296088
-3.805720535,-3.797181992,2.378480568,-3.78395733
-3.838914549,-3.829699686,2.378480568,-3.815271801
-3.874608429,-3.864703958,2.378480568,-3.849444829
-3.912518352,-3.90201771,2.378480568,-3.886223129
