BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
5.135418527,5.135418527,5.135418527,5.135418527
4.908552271,4.908601789,6.713573155,4.908637922
4.757805361,4.7579367,6.968147226,4.758396596
4.754469215,4.754339766,7.148479906,4.75502117
4.732591815,4.732278076,7.337550121,4.732942671
4.700437307,4.70089198,8.648217044,4.701195682
4.657182312,4.658399201,8.738128547,4.6585358
4.608037089,4.609368238,13.77654118,4.609881353
4.569478152,4.570190765,13.77654117,4.571126158
4.554132049,4.553965869,13.77654117,4.55496185
4.552393224,4.552189626,13.77654118,4.553010517
4.543332493,4.543653377,13.77654136,4.544148081
4.515415845,4.516205451,11.03272435,4.516633806
4.469931363,4.470726568,10.01100391,4.471312583
4.41671068,4.417525789,10.56726424,4.41839277
4.370041107,4.370621519,10.0109181,4.371488662
4.336189963,4.337215197,10.57995258,4.337749039
4.312563179,4.313680885,10.58002911,4.313874783
4.289590517,4.290478451,9.513927007,4.290493741
4.26026847,4.261191712,9.451165161,4.261305945
4.22275565,4.22404583,9.696516209,4.224577997
4.179653059,4.181385986,8.728999391,4.182594396
4.133776858,4.135921692,10.92187315,4.137941272
4.086162848,4.08854343,9.179841119,4.091062419
4.037010896,4.039525896,8.109599208,4.04215456
3.986593573,3.989475133,8.613357081,3.991985035
3.936059607,3.939270186,9.332651356,3.941499254
3.889384129,3.892712579,8.099250764,3.894676372
3.850105333,3.85358042,8.099250764,3.855596412
3.820654021,3.824397252,8.099250764,3.826753519
3.800905281,3.804990381,8.099250764,3.807788157
3.788300211,3.793170745,8.099250764,3.796933409
3.779725777,3.785413138,8.099250764,3.790009479
3.771631217,3.778182693,8.099250764,3.783635896
3.760627535,3.768461215,8.099250764,3.774842581
3.74599309,3.754012353,8.099250764,3.760866112
3.72473431,3.733742517,8.099250764,3.741470431
3.694649369,3.705116308,8.099250764,3.714124691
3.655653662,3.667232658,8.099250764,3.677415919
3.608328303,3.620508174,8.099250764,3.631229164
3.552880318,3.565140798,8.099250764,3.577090986
3.49425447,3.50560558,8.099250764,3.517878545
3.433236302,3.4446317,8.099250764,3.456972709
3.370766282,3.382344609,8.099250764,3.395296343
3.309942186,3.320727824,8.099250764,3.334067933
3.253183529,3.263387727,8.099250764,3.276664448
3.201055497,3.210979339,8.099250764,3.224236944
3.154160605,3.16367832,8.099250764,3.177189526
3.112191053,3.121188744,8.099250764,3.135637325
3.07381178,3.08238908,8.099250764,3.098520869
3.037159329,3.045583397,8.099250764,3.063865221
3.000346727,3.008917926,8.099250764,3.029395726
2.962072592,2.971003495,8.099250764,2.993510631
2.921795463,2.931214381,8.099250764,2.955094159
2.880653998,2.890376848,8.099250764,2.914748017
2.841335438,2.850594967,8.099250764,2.874751606
2.807684395,2.815102664,8.099250764,2.837633952
2.780941772,2.786487423,8.099250764,2.806692471
2.761340687,2.765456945,8.099250764,2.783617262
2.748337344,2.750214366,8.099250764,2.767159481
2.73686975,2.737554535,8.099250764,2.753904983
2.724428949,2.724282311,8.099250764,2.740966164
2.70870246,2.708022835,8.099250764,2.725315782
2.688640353,2.687735344,8.099250764,2.705613283
2.664181009,2.663165531,8.099250764,2.681491272
2.635682193,2.634497739,8.099250764,2.65315797
2.603950866,2.602315132,8.099250764,2.620954257
2.569557445,2.567327378,8.099250764,2.585736101
2.532882446,2.530158724,8.099250764,2.548287377
2.494506131,2.491370667,8.099250764,2.509211173
2.455239893,2.451535769,8.099250764,2.468825981
2.416000438,2.411477374,8.099250764,2.427880148
2.378028586,2.372764913,8.099250764,2.387496487
2.343867878,2.337589799,8.099250764,2.349770147
2.315819008,2.30842815,8.099250764,2.317331881
2.294864481,2.287050755,8.099250764,2.292504847
2.281906703,2.273460375,8.099250764,2.276061902
2.274355391,2.265822151,8.099250764,2.267208298
2.269369826,2.261298748,8.099250764,2.262000567
