BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
2.046003134,2.046003134,2.046003134,2.046003134
1.88908422,1.889422935,3.821828197,1.889635701
1.760225025,1.760845306,4.14753728,1.761404758
1.710528695,1.710548871,4.322724418,1.711678541
1.68407416,1.683995062,4.461373035,1.685688078
1.661810648,1.663117043,5.052645193,1.664735358
1.612845943,1.615948259,5.611159668,1.617034145
1.528070191,1.532793744,10.69318831,1.533396675
1.44522325,1.448522051,10.6931883,1.449062385
1.421138523,1.422970936,10.6931883,1.42413536
1.443912449,1.445321753,10.6931883,1.446994679
1.455965704,1.457562798,10.6931886,1.458821051
1.43378255,1.43568601,8.042793609,1.436911215
1.378369049,1.380574644,7.108196307,1.382182268
1.302980844,1.305749456,7.556855721,1.307941753
1.230451889,1.234193555,7.108064804,1.236803331
1.182415004,1.185513449,7.61098257,1.187973647
1.153161765,1.156282757,7.611087968,1.158165504
1.124754395,1.128521294,6.514623027,1.129906769
1.086011312,1.090460917,6.502086877,1.091742492
1.036293896,1.041158692,6.707437255,1.042744742
0.9809065741,0.9859244352,5.853777756,0.9876428798
0.9272464962,0.9322245319,7.814046218,0.9346840545
0.8796186881,0.8845044247,6.111257078,0.8875078385
0.8368191021,0.8419324759,5.107683587,0.8449385237
0.7958645928,0.8013927158,5.5083995,0.803880845
0.7525861406,0.7586915857,6.337169704,0.7604449769
0.7062149919,0.7129190856,5.05888766,0.7141952374
0.6576221206,0.66488524,5.05888766,0.666113719
0.6097453086,0.6174366266,5.05888766,0.6190252801
0.5666616123,0.5744040644,5.05888766,0.5762044653
0.530815827,0.5385738524,5.05888766,0.5407585169
0.5013466617,0.5095372833,5.05888766,0.5127204501
0.4758975032,0.4846063487,5.05888766,0.4892868475
0.4507210346,0.4610742544,5.05888766,0.4672489351
0.4242784008,0.4355724192,5.05888766,0.4432641224
0.3969609758,0.4086402171,5.05888766,0.416752348
0.3662668954,0.3796180194,5.05888766,0.3887187272
0.3368991125,0.3495034888,5.05888766,0.3579614645
0.3088090547,0.3207941519,5.05888766,0.3297318967
0.2804865706,0.2908139625,5.05888766,0.3007053712
0.2552261658,0.2631940834,5.05888766,0.2734757344
0.2284941827,0.2362183062,5.05888766,0.2474144541
0.1958379556,0.2043250318,5.05888766,0.2176820229
0.1551098505,0.1648830765,5.05888766,0.1802991225
0.1069172748,0.1178361728,5.05888766,0.1345999543
0.05404107747,0.06585785359,5.05888766,0.08307238863
-0.0001490427853,0.01193958919,5.05888766,0.02894930761
-0.05229890586,-0.04086968766,5.05888766,-0.02450812967
-0.1009960195,-0.09093408893,5.05888766,-0.07504198261
-0.1474261912,-0.1385592992,5.05888766,-0.1224155626
-0.1936781489,-0.1853886337,5.05888766,-0.1681254443
-0.2411319167,-0.2329708965,5.05888766,-0.2141362178
-0.2903167929,-0.2818219087,5.05888766,-0.2615612712
-0.3397000819,-0.3306548266,5.05888766,-0.3097331992
-0.3865704932,-0.3769992737,5.05888766,-0.3564954533
-0.4277593306,-0.4175872243,5.05888766,-0.3983543406
-0.4619272611,-0.4515468301,5.05888766,-0.4337047812
-0.49173467,-0.4809295634,5.05888766,-0.4637514565
-0.5182168347,-0.5091957371,5.05888766,-0.4915374589
-0.5477173807,-0.539410222,5.05888766,-0.5209476686
-0.5803280623,-0.5728311091,5.05888766,-0.5523679716
-0.6161105186,-0.6097117234,5.05888766,-0.5875893734
-0.6521047387,-0.6475946531,5.05888766,-0.6251546904
