BCGSTAB,FGMRES,CONJUGATE_GRADIENT,SMOOTHER
2.119025148,2.119025148,2.119025148,2.119025148
1.859295756,1.859203311,3.761790653,1.859283344
1.789804773,1.789809871,4.170274199,1.789985594
1.705298415,1.705128022,4.29331898,1.706124923
1.61703482,1.616157242,4.473574868,1.617944097
1.586669533,1.586152388,5.966488539,1.587474005
1.561676563,1.561656945,6.021135734,1.562149537
1.511234238,1.511906998,10.96569525,1.512011831
1.455084598,1.454525174,10.96569525,1.455259817
1.422579533,1.421922818,10.96569525,1.423452388
1.416780598,1.416750789,10.96569525,1.418138251
1.410846452,1.411534967,10.96569547,1.41234483
1.383268549,1.383979506,8.29168582,1.384577867
1.327623932,1.328134032,7.133348041,1.328855853
1.250836615,1.250802673,7.830121539,1.251951033
1.17238213,1.172519676,7.133228213,1.174111244
1.122242275,1.121825048,7.723854382,1.123342437
1.105501819,1.105532458,7.723911904,1.106464766
1.099788653,1.100885063,6.779265892,1.101305451
1.084802274,1.086732971,6.579495537,1.08700426
1.052492631,1.054893186,6.951556179,1.055344361
1.002574019,1.005016783,5.928824332,1.005774297
0.9389348098,0.9410398175,8.157652947,0.9426567622
0.8699724452,0.871543054,6.420352464,0.8740989849
0.8052700429,0.8064196781,5.205477068,0.8094492739
0.7538171419,0.7552010686,5.821047864,0.7582839847
0.717730301,0.7198032979,6.517461487,0.7223133008
0.691639457,0.6944529584,5.120621352,0.6960242604
0.6683912257,0.6717642366,5.120621352,0.6725040978
0.6444207791,0.6483825947,5.120621352,0.6490297067
0.6190852018,0.6235819292,5.120621352,0.6250494185
0.591843324,0.5968991585,5.120621352,0.6000570136
0.5619080273,0.5674803824,5.120621352,0.5724134627
0.5288316162,0.5348889041,5.120621352,0.541332248
0.4932849751,0.4996108374,5.120621352,0.5067510293
0.4562851806,0.4631354236,5.120621352,0.4705160512
0.4180276447,0.4254596036,5.120621352,0.4330269561
0.3788242402,0.3866453882,5.120621352,0.3943769797
0.3383790909,0.3469415878,5.120621352,0.3558339071
0.2979776597,0.3065310828,5.120621352,0.3159937
0.2562723125,0.2649747829,5.120621352,0.2751016629
0.213094027,0.2221789968,5.120621352,0.2329670429
0.1680929662,0.1769659181,5.120621352,0.1887999989
0.1224227834,0.1307149301,5.120621352,0.1433626051
0.07852852214,0.08591396568,5.120621352,0.09877741512
0.03819229552,0.04502774023,5.120621352,0.05809971879
0.002486004189,0.008969414932,5.120621352,0.02188620352
-0.0297222737,-0.02286197609,5.120621352,-0.01029630985
-0.0608539347,-0.05301148751,5.120621352,-0.04021236193
-0.09328785555,-0.08492939619,5.120621352,-0.07072472714
-0.1300964315,-0.1217759523,5.120621352,-0.1050380021
-0.1734491405,-0.1654751271,5.120621352,-0.1457870293
-0.2234101054,-0.2158122376,5.120621352,-0.1930961424
-0.2768636125,-0.2695585334,5.120621352,-0.2450693953
-0.3271925225,-0.3202991373,5.120621352,-0.2962377649
-0.3668739268,-0.3607130841,5.120621352,-0.3387009528
-0.3927654355,-0.3877914641,5.120621352,-0.3687153113
-0.4092886821,-0.4047472161,5.120621352,-0.387996363
-0.4229306712,-0.418369905,5.120621352,-0.4020992432
-0.4392105134,-0.4346672557,5.120621352,-0.4170775071
-0.4619014854,-0.4571002134,5.120621352,-0.4374806253
-0.490980305,-0.4865725756,5.120621352,-0.4644820351
-0.525254247,-0.5217777372,5.120621352,-0.4980735455
-0.5623003248,-0.5599834223,5.120621352,-0.5359224362
-0.5986918215,-0.5972020081,5.120621352,-0.5741604877
-0.6315070593,-0.6306781588,5.120621352,-0.6089170453
-0.6604720635,-0.6600121879,5.120621352,-0.6394131243
-0.6876780331,-0.6869513217,5.120621352,-0.6669325238
-0.7158738484,-0.7142751569,5.120621352,-0.6940283773
-0.7473380627,-0.7447912536,5.120621352,-0.7234694138
-0.7830833786,-0.7800807073,5.120621352,-0.7575675942
-0.8225245229,-0.8200783545,5.120621352,-0.7960740969
-0.8641884142,-0.8629441894,5.120621352,-0.8382553663
-0.905008451,-0.9049409215,5.120621352,-0.8811731438
-0.9401005241,-0.941315674,5.120621352,-0.9201988302
-0.9671765133,-0.9688614094,5.120621352,-0.9513192853
-0.9862524154,-0.9878035303,5.120621352,-0.9733377741
-1.000382157,-1.001455896,5.120621352,-0.9878918769
-1.013234865,-1.014048375,5.120621352,-1.00067448
-1.028180165,-1.0285581,5.120621352,-1.014221617
-1.046961396,-1.046604492,5.120621352,-1.030805927
-1.069506393,-1.068479343,5.120621352,-1.051282152
-1.094782914,-1.093485235,5.120621352,-1.075440117
-1.121585353,-1.12038732,5.120621352,-1.102276151
-1.149015655,-1.147974423,5.120621352,-1.130409124
-1.176759492,-1.175629609,5.120621352,-1.158784303
-1.205057805,-1.203464158,5.120621352,-1.187034216
-1.234558418,-1.232192295,5.120621352,-1.215648331
-1.265900494,-1.262688229,5.120621352,-1.245602088
-1.299388234,-1.295474447,5.120621352,-1.277689253
-1.334662726,-1.330542951,5.120621352,-1.312200505
-1.371471458,-1.367451116,5.120621352,-1.34873484
-1.408439843,-1.404557916,5.120621352,-1.385995814
-1.443375455,-1.439620931,5.120621352,-1.421964408
-1.473483722,-1.469990891,5.120621352,-1.4544268
-1.499307859,-1.495605976,5.120621352,-1.481918031
-1.522094842,-1.517418715,5.120621352,-1.504515316
-1.543240545,-1.537254826,5.120621352,-1.523971842
-1.564307426,-1.557163266,5.120621352,-1.542792979
-1.58699368,-1.578381689,5.120621352,-1.563238403
-1.612686441,-1.603186723,5.120621352,-1.587117572
-1.641636202,-1.631960896,5.120621352,-1.614646019
-1.673287293,-1.663814371,5.120621352,-1.645464776
-1.706623472,-1.697310633,5.120621352,-1.678406098
-1.740665258,-1.731153288,5.120621352,-1.71176332
-1.774864471,-1.764745804,5.120621352,-1.745172101
-1.809257597,-1.798325782,5.120621352,-1.778587384
-1.844285301,-1.832619877,5.120621352,-1.812513958
-1.880445405,-1.868335504,5.120621352,-1.847492549
-1.91803281,-1.905867667,5.120621352,-1.884055002
-1.956903002,-1.945089894,5.120621352,-1.922487308
-1.996273025,-1.985155841,5.120621352,-1.963203869
