"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000013654542187e+00, 2.668883126627090e-02, 1.331747004468065e+00, 2.039209546223458e+02, -5.232284829687398e+01, 2.960639034181819e+05, 1.117694268253085e+05, 2.915445231981811e+02, 4.611800566941813e-01, 2.617866118453288e-01
1, 9.796663056662946e-01, 3.019986879258373e-02, 1.330081678211127e+00, 2.453168881660259e+02, -4.012255510162508e+01, 2.975818110459108e+05, 1.097415363568237e+05, 2.866132851392347e+02, 5.498840107789992e-01, 2.109581093513788e-01
2, 9.593010223377166e-01, 3.359609113848153e-02, 1.294664324992271e+00, 2.505213075737896e+02, -4.116010904795678e+01, 2.903101379075171e+05, 1.061670216862860e+05, 2.848630011317475e+02, 5.787501956706140e-01, 1.213639075590903e-01
3, 9.389239583102557e-01, 3.688106409325242e-02, 1.280113267035919e+00, 2.569869029833639e+02, -4.073314700581548e+01, 2.875703404022169e+05, 1.044507194098300e+05, 2.834435829239418e+02, 6.013884382835126e-01, 7.834527519459325e-02
4, 9.185361083839899e-01, 4.005771883125524e-02, 1.265657871680149e+00, 2.621185802561811e+02, -4.003689773888717e+01, 2.847889545223208e+05, 1.028052960248664e+05, 2.821647486512758e+02, 6.212635235073695e-01, 3.710320224934219e-02
5, 8.981363801605613e-01, 4.312830384032007e-02, 1.252357192364884e+00, 2.660259450622741e+02, -3.931683453971098e+01, 2.821926994460914e+05, 1.013283591154535e+05, 2.810647540075291e+02, 6.380025548614288e-01, 8.419528118340614e-05
6, 8.777256677937347e-01, 4.609487580722847e-02, 1.240805475997190e+00, 2.697840217512668e+02, -3.845039194067341e+01, 2.799667206531316e+05, 1.000167457570905e+05, 2.800093997191501e+02, 6.537785334464757e-01, -3.279102352018622e-02
7, 8.573048601599791e-01, 4.895900910512178e-02, 1.229299824740699e+00, 2.728762089736638e+02, -3.756441983837593e+01, 2.777171445251777e+05, 9.874283733034202e+04, 2.790303056449936e+02, 6.681846584003700e-01, -6.472117884777120e-02
8, 8.368750804229531e-01, 5.172219741302971e-02, 1.218801432666027e+00, 2.758265695421210e+02, -3.664164197511185e+01, 2.756783713756537e+05, 9.756658724674860e+04, 2.780812777766601e+02, 6.819518034198462e-01, -9.420355535507278e-02
9, 8.164348426272063e-01, 5.438520284206627e-02, 1.208130771870756e+00, 2.780201285154905e+02, -3.559521670924440e+01, 2.735591148404614e+05, 9.641806522563007e+04, 2.772350005052512e+02, 6.940754005576023e-01, -1.229909357989479e-01
10, 7.959862955095639e-01, 5.694920624546559e-02, 1.199298389742730e+00, 2.807831767733351e+02, -3.449192065214270e+01, 2.718702177117453e+05, 9.540213654667273e+04, 2.763340756914120e+02, 7.068327918145535e-01, -1.484549015281431e-01
11, 7.755288459933611e-01, 5.941479065440493e-02, 1.189808349693160e+00, 2.826523447023120e+02, -3.338851103303909e+01, 2.699878371168521e+05, 9.437829636084367e+04, 2.755489201555941e+02, 7.178324065036580e-01, -1.741171669451220e-01
12, 7.550634974281010e-01, 6.178151926501246e-02, 1.180714994135675e+00, 2.843413128384938e+02, -3.220574385712141e+01, 2.681801238591039e+05, 9.340126912146983e+04, 2.747965595939312e+02, 7.282743999132146e-01, -1.986060790658422e-01
13, 7.345902385389870e-01, 6.404953988018894e-02, 1.172455510729705e+00, 2.861145109851580e+02, -3.102981361770722e+01, 2.665574101031359e+05, 9.249460488878156e+04, 2.740460972166322e+02, 7.385988834269269e-01, -2.213313622744588e-01
14, 7.141088805678132e-01, 6.621837941178599e-02, 1.164862774469855e+00, 2.875115019278000e+02, -2.976560580245272e+01, 2.650511842186445e+05, 9.167563292840950e+04, 2.733900739574217e+02, 7.475528328652379e-01, -2.418586634167879e-01
15, 6.936214718093869e-01, 6.828692322618901e-02, 1.157236797474037e+00, 2.884541564306426e+02, -2.843983110463912e+01, 2.635080832883134e+05, 9.088336589687523e+04, 2.728134390991729e+02, 7.553706535105643e-01, -2.617166130516628e-01
16, 6.731258875325778e-01, 7.025415881822003e-02, 1.151960639564205e+00, 2.901849281280810e+02, -2.708429112774614e+01, 2.625163248721888e+05, 9.025935050171561e+04, 2.721812197441720e+02, 7.638874319423780e-01, -2.773573828871425e-01
17, 6.526251840088947e-01, 7.211809598085407e-02, 1.145691309772888e+00, 2.910528714371391e+02, -2.570447491391983e+01, 2.612564165138556e+05, 8.959933861137554e+04, 2.716694335093930e+02, 7.707415199668083e-01, -2.939003947191637e-01
18, 6.321180575424660e-01, 7.387713552309132e-02, 1.140099122141549e+00, 2.927937840265835e+02, -2.430419263790069e+01, 2.602039639238986e+05, 8.893923661620784e+04, 2.709906947790614e+02, 7.797778787820925e-01, -3.104456650032694e-01
19, 6.116051471971239e-01, 7.552915379425185e-02, 1.133408912340943e+00, 2.936342311581446e+02, -2.289806871953293e+01, 2.588581286492374e+05, 8.823626343191331e+04, 2.704357346173140e+02, 7.871224534946013e-01, -3.280654895482273e-01
20, 5.910864751802450e-01, 7.707045435919402e-02, 1.130117418326838e+00, 2.941049186340898e+02, -2.128480644024360e+01, 2.581959414982340e+05, 8.789046296485097e+04, 2.701604528766130e+02, 7.907514160930282e-01, -3.367328806995945e-01
21, 5.705639271095905e-01, 7.849896928006080e-02, 1.118800856759048e+00, 2.953559478994574e+02, -1.919862340924469e+01, 2.559150795268296e+05, 8.670574292711975e+04, 2.692146352947692e+02, 8.031505054752970e-01, -3.664275542178578e-01
22, 5.500373623174012e-01, 7.981070018241213e-02, 1.055764062799164e+00, 2.976958464695011e+02, -1.637703206842515e+01, 2.429683279681318e+05, 8.034814763920035e+04, 2.643702527049927e+02, 8.651542892722545e-01, -5.257788865356162e-01
23, 5.295071993561763e-01, 8.100192396058574e-02, 8.861385312887705e-01, 2.989065269150760e+02, -1.710512068877121e+01, 2.082868269817306e+05, 6.308365092849891e+04, 2.472969676328525e+02, 1.070217643973402e+00, -9.585086260132880e-01
24, 5.089736258567574e-01, 8.206733205196169e-02, 7.842826164722664e-01, 2.954499476533178e+02, -1.479534899105755e+01, 1.874957291089963e+05, 5.268246515907513e+04, 2.333442436513377e+02, 1.229969742902089e+00, -1.219211412991823e+00
25, 4.884380728844511e-01, 8.300178839155604e-02, 7.669608331107512e-01, 2.946920975783879e+02, -1.246666992951823e+01, 1.839716062612392e+05, 5.090199503087720e+04, 2.305500444607433e+02, 1.261649568596948e+00, -1.263838394457509e+00
26, 4.679016257666732e-01, 8.379992881623688e-02, 7.721090559829141e-01, 2.941517780881547e+02, -1.043242784436590e+01, 1.849222045218755e+05, 5.152798348439014e+04, 2.318291766873307e+02, 1.247152408813505e+00, -1.248148170471033e+00
27, 4.473644249917144e-01, 8.445639926376752e-02, 7.811184829747027e-01, 2.950075540768084e+02, -8.460772404707674e+00, 1.867934680688009e+05, 5.241576627486746e+04, 2.331034048405495e+02, 1.232702366642952e+00, -1.225896145284693e+00
28, 4.268281319822248e-01, 8.496354279846829e-02, 7.870779673204030e-01, 2.959107784701013e+02, -6.285456599202209e+00, 1.880674959992621e+05, 5.296676512759733e+04, 2.337702744182694e+02, 1.225135473653950e+00, -1.212085514486142e+00
29, 4.062934861820479e-01, 8.531556594032805e-02, 7.923148394191228e-01, 2.964326085787568e+02, -3.904332230201591e+00, 1.891592852041317e+05, 5.347871113423744e+04, 2.344697034741365e+02, 1.217195291534699e+00, -1.199253732257432e+00
30, 3.856624051260356e-01, 8.549009211198852e-02, 7.994262707900310e-01, 2.968315073912555e+02, -9.980759958050339e-01, 1.906136395215438e+05, 5.420216222288533e+04, 2.355275898184125e+02, 1.205177238845810e+00, -1.181120634816984e+00
31, 3.649680798426455e-01, 8.543663284695176e-02, 8.095055386728280e-01, 2.979055929488275e+02, 2.485334685532615e+00, 1.927360018184778e+05, 5.516646695581931e+04, 2.367330747268656e+02, 1.191467647295179e+00, -1.156950608730967e+00
32, 3.442780976448676e-01, 8.514139763384894e-02, 8.197490821574640e-01, 2.986623808806218e+02, 6.035401593002301e+00, 1.948649285457724e+05, 5.617451823392360e+04, 2.380466146650790e+02, 1.176508353347791e+00, -1.131684087831819e+00
33, 3.235948761153700e-01, 8.459407542872148e-02, 8.302691958897216e-01, 2.994385314322462e+02, 9.814714512422743e+00, 1.970592619182979e+05, 5.720185894391156e+04, 2.393287153256992e+02, 1.161882728964128e+00, -1.105934082764348e+00
34, 3.029219818666669e-01, 8.378254557243363e-02, 8.406293856833187e-01, 3.000521169572782e+02, 1.370780537089373e+01, 1.992132091350380e+05, 5.822061007606397e+04, 2.405890053617733e+02, 1.147479016561456e+00, -1.080399373042076e+00
35, 2.822638483882952e-01, 8.269282107521621e-02, 8.504670965814768e-01, 3.001230070171279e+02, 1.783456117469196e+01, 2.012167942896715e+05, 5.922971876161520e+04, 2.419277835933804e+02, 1.132145187127521e+00, -1.055106348523581e+00
36, 2.616219936608059e-01, 8.130929956564099e-02, 8.638706454489580e-01, 3.012032017687039e+02, 2.245712393715599e+01, 2.040513468504999e+05, 6.049985553332100e+04, 2.432815717714089e+02, 1.116600445520749e+00, -1.023270728665600e+00
37, 2.410017525238063e-01, 7.961393488014402e-02, 8.782469299431498e-01, 3.011083600016347e+02, 2.719265471337262e+01, 2.069780533687408e+05, 6.197573499238850e+04, 2.451368707030716e+02, 1.095225186856253e+00, -9.862782263920260e-01
38, 2.204087933663521e-01, 7.758556348982495e-02, 8.933569843372380e-01, 3.004261586384840e+02, 3.215598932005958e+01, 2.100132698859941e+05, 6.356781520648941e+04, 2.471814299450277e+02, 1.071559151496002e+00, -9.463731849755335e-01
39, 1.998490777785583e-01, 7.519966402128701e-02, 9.096893836449464e-01, 3.000173238856475e+02, 3.749101194874461e+01, 2.133435639974656e+05, 6.523914320677876e+04, 2.491258047312984e+02, 1.048929578037902e+00, -9.044818201552285e-01
40, 1.793268793048075e-01, 7.242578866588036e-02, 9.233699460283225e-01, 2.975491582025955e+02, 4.291504400469875e+01, 2.159626778380375e+05, 6.680955799711977e+04, 2.513428039817163e+02, 1.022959082486892e+00, -8.651198164731334e-01
41, 1.588539974048491e-01, 6.922676126728583e-02, 9.412489539452582e-01, 2.966150329248071e+02, 4.931601251204589e+01, 2.196133432883398e+05, 6.863415063234259e+04, 2.533024259511393e+02, 9.998341094758854e-01, -8.193869168164966e-01
42, 1.384367712765819e-01, 6.555428958753361e-02, 9.596156520987632e-01, 2.933000554947067e+02, 5.592794692415133e+01, 2.231807513713410e+05, 7.069134939265151e+04, 2.559013287479604e+02, 9.688840785133153e-01, -7.678238102562880e-01
43, 1.180863490322400e-01, 6.134256960674805e-02, 9.856497312998937e-01, 2.900901539785684e+02, 6.411436706370574e+01, 2.283959692902146e+05, 7.344879028071978e+04, 2.588604081511414e+02, 9.331932155210645e-01, -6.987093323127034e-01
44, 9.782253371964893e-02, 5.650605950626159e-02, 1.011388465634141e+00, 2.844154983535897e+02, 7.344762428959007e+01, 2.334214229156011e+05, 7.630554498721664e+04, 2.620847156146816e+02, 8.936571576976649e-01, -6.271055815281391e-01
45, 7.766980925304336e-02, 5.090869078574702e-02, 1.028339451551749e+00, 2.754008100643142e+02, 8.298289864038540e+01, 2.364345716675334e+05, 7.848346715729980e+04, 2.651216996348105e+02, 8.556867258469968e-01, -5.725165767598417e-01
46, 5.766858942883585e-02, 4.432451830378183e-02, 1.051288217816087e+00, 2.652577940348369e+02, 9.607660186616016e+01, 2.407769421359133e+05, 8.116889485216435e+04, 2.682078149158797e+02, 8.162366601527767e-01, -5.052070891878959e-01
47, 3.790390000000000e-02, 3.630690000000000e-02, 1.084491772229203e+00, 2.456983780663941e+02, 1.149151606861430e+02, 2.469159235621838e+05, 8.519813607834527e+04, 2.729024435432693e+02, 7.541671118457943e-01, -4.042152945636595e-01
48, 1.815790000000000e-02, 2.570150000000000e-02, 1.356570054449939e+00, 1.747868833680471e+02, 1.574742540843249e+02, 3.025680480775316e+05, 1.128671400496433e+05, 2.890206588674925e+02, 5.081412019510151e-01, 2.893004841317516e-01
49, 0.000000000000000e+00, 0.000000000000000e+00, 1.664021500497989e+00, 4.708429364046959e+01, -2.891920506244640e+00, 3.641831243405602e+05, 1.454057899815069e+05, 3.035472893530136e+02, 8.105118246455140e-02, 1.104872565027841e+00
50, 2.265850000000000e-02, -2.172400000000000e-02, 1.315020713587764e+00, 2.064634553540499e+02, -1.232336850188636e+02, 2.939313837010277e+05, 1.087797338810407e+05, 2.873551536685587e+02, 5.372928605411859e-01, 1.868508016349274e-01
51, 4.372870000000000e-02, -2.856010000000000e-02, 1.062633435923958e+00, 2.630960058135342e+02, -6.899417173824115e+01, 2.423886381916934e+05, 8.303161258400769e+04, 2.714335881936448e+02, 7.738892288394680e-01, -4.585185947401329e-01
52, 6.476061271216567e-02, -3.274646716282337e-02, 1.038173472868855e+00, 2.719994425887572e+02, -4.669284173854857e+01, 2.375730821636707e+05, 8.035655624086778e+04, 2.688778215708045e+02, 8.075417770435369e-01, -5.255681273070161e-01
53, 8.553649483517393e-02, -3.556063934454597e-02, 1.047787507029597e+00, 2.783528807305253e+02, -3.155462473401684e+01, 2.398951376690610e+05, 8.097867804192180e+04, 2.684732739784665e+02, 8.127977990681303e-01, -5.099748198735817e-01
54, 1.061526436999839e-01, -3.746736294430422e-02, 1.057421724182734e+00, 2.819267696094186e+02, -2.179748879322743e+01, 2.421052576373145e+05, 8.171893467063876e+04, 2.684590567936293e+02, 8.129821870306922e-01, -4.914204963124001e-01
55, 1.266494883557550e-01, -3.872324497919886e-02, 1.062338432238684e+00, 2.819404690516450e+02, -1.358772301917032e+01, 2.430927140344227e+05, 8.223714738541999e+04, 2.689111043290928e+02, 8.071080909986225e-01, -4.784316408120658e-01
56, 1.470663028003125e-01, -3.948940325612237e-02, 1.072804531567801e+00, 2.833693708188994e+02, -7.607187667117628e+00, 2.453682596504171e+05, 8.316674267534984e+04, 2.692977252988539e+02, 8.020661345427830e-01, -4.551315971228875e-01
57, 1.674089160364285e-01, -3.986695066144359e-02, 1.082942463276767e+00, 2.824452397343355e+02, -2.643257722390134e+00, 2.474099899887271e+05, 8.422963974565499e+04, 2.701861931228167e+02, 7.904130386844114e-01, -4.284903819150543e-01
58, 1.876939414205180e-01, -3.992873957288464e-02, 1.098474943265361e+00, 2.844825135951458e+02, 9.530951045927407e-01, 2.508082129846586e+05, 8.558809083592713e+04, 2.706616819095876e+02, 7.841375459234454e-01, -3.944411885770148e-01
59, 2.079349712762992e-01, -3.973039778411545e-02, 1.106706025885487e+00, 2.830282463979373e+02, 4.390837056726720e+00, 2.524262510053777e+05, 8.649072603839588e+04, 2.714818877102321e+02, 7.732449816656394e-01, -3.718168918742000e-01
60, 2.281379865999681e-01, -3.931531757653403e-02, 1.117735444155227e+00, 2.822988502259633e+02, 7.094604124176920e+00, 2.546880571849984e+05, 8.760655587170193e+04, 2.722708682429991e+02, 7.626835548815128e-01, -3.438489318948834e-01
61, 2.483122172152321e-01, -3.871800307475933e-02, 1.127882103098837e+00, 2.807698865566297e+02, 9.430322291467910e+00, 2.567117188703026e+05, 8.869020001104416e+04, 2.731590043392980e+02, 7.506917914361562e-01, -3.166876972546981e-01
62, 2.684610974486182e-01, -3.796755493861258e-02, 1.138110851023227e+00, 2.798444181937933e+02, 1.129252738011745e+01, 2.587990618121559e+05, 8.973530494646273e+04, 2.738939070406714e+02, 7.406823275403142e-01, -2.904924368883662e-01
63, 2.885930075531593e-01, -3.708786785991390e-02, 1.146827598652086e+00, 2.787591121599053e+02, 1.286757210216863e+01, 2.605601692158567e+05, 9.064361023737481e+04, 2.745634043583604e+02, 7.314920096771391e-01, -2.677260210183371e-01
64, 3.087105851828279e-01, -3.609972769285390e-02, 1.153837337154760e+00, 2.770205634515003e+02, 1.428268340874144e+01, 2.619196903163446e+05, 9.143074702824089e+04, 2.752651761059886e+02, 7.217819675055501e-01, -2.479966594184919e-01
65, 3.288195547689985e-01, -3.502097917290564e-02, 1.162097302094764e+00, 2.767726695747946e+02, 1.545757738913462e+01, 2.636461987869950e+05, 9.223376120871703e+04, 2.757090478265610e+02, 7.155982005368139e-01, -2.278693355273226e-01
66, 3.489225889325627e-01, -3.386719497385012e-02, 1.169828792633066e+00, 2.763417662852276e+02, 1.630646100263753e+01, 2.652491591104582e+05, 9.299848628444526e+04, 2.761577054614655e+02, 7.093134703766102e-01, -2.087017172447231e-01
67, 3.690222577521770e-01, -3.265254062479362e-02, 1.176348186024117e+00, 2.753925589917614e+02, 1.692492398102209e+01, 2.665622617114258e+05, 9.368188058605164e+04, 2.766453057744563e+02, 7.024429596861732e-01, -1.915726318708441e-01
68, 3.891230723050993e-01, -3.138915504660632e-02, 1.181251336820178e+00, 2.742354900398649e+02, 1.745072336486834e+01, 2.675216882778899e+05, 9.422399022514753e+04, 2.770912240244074e+02, 6.961218341751443e-01, -1.779848067042473e-01
69, 4.092924522086834e-01, -3.008208866789133e-02, 1.184724625840528e+00, 2.732363966302249e+02, 1.825149669466884e+01, 2.681921520542890e+05, 9.461716861318046e+04, 2.774317262280603e+02, 6.912697999004398e-01, -1.681299013297814e-01
70, 4.295607203375216e-01, -2.869864850929946e-02, 1.189103530786113e+00, 2.729618724118047e+02, 1.927356542029763e+01, 2.691033022913403e+05, 9.504701736332638e+04, 2.776658162236548e+02, 6.879213942666533e-01, -1.573558636742181e-01
