X,"Points_X","Pressure_Coefficient"
0,0.601394,0.656739
1,0.601339,0.663288
2,0.601416,0.657734
3,0.604833,0.36398
4,0.61212,0.217315
5,0.617505,0.0967081
6,0.624395,-0.00644451
7,0.634555,-0.179466
8,0.64735,-0.228294
9,0.651879,-0.248562
10,0.675347,-0.316763
11,0.680477,-0.324629
12,0.690264,-0.325175
13,0.708219,-0.31952
14,0.71994,-0.312597
15,0.736214,-0.29755
16,0.758518,-0.275397
17,0.763985,-0.269781
18,0.795219,-0.253932
19,0.796366,-0.252887
20,0.797235,-0.252296
21,0.851426,-0.206932
22,0.851574,-0.206792
23,0.851837,-0.206598
24,0.896424,-0.170991
25,0.936774,-0.149137
26,0.938668,-0.148145
27,0.940519,-0.147138
28,0.981338,-0.12676
29,1.0182,-0.112252
30,1.02365,-0.110272
31,1.02634,-0.109153
32,1.04116,-0.101338
33,1.06803,-0.0881873
34,1.07828,-0.0834331
35,1.10502,-0.0724948
36,1.13226,-0.0617478
37,1.14064,-0.0586143
38,1.1491,-0.0547799
39,1.17524,-0.043406
40,1.1958,-0.0335746
41,1.20855,-0.027665
42,1.22343,-0.019478
43,1.2402,-0.0112057
44,1.25536,-0.00450156
45,1.27104,0.0019114
46,1.28859,0.00840046
47,1.30109,0.0134292
48,1.3131,0.0185143
49,1.33006,0.0262888
50,1.34959,0.0366013
51,1.35845,0.0413014
52,1.36586,0.0449681
53,1.38551,0.0544986
54,1.40596,0.0663071
55,1.4117,0.0692362
56,1.41928,0.0730372
57,1.43732,0.0813077
58,1.45229,0.0902626
59,1.46091,0.0952005
60,1.47203,0.102164
61,1.4836,0.110286
62,1.4921,0.116202
63,1.50394,0.125206
64,1.51421,0.134437
65,1.52314,0.143407
66,1.53354,0.155893
67,1.54287,0.168245
68,1.54988,0.181868
69,1.5612,0.194318
70,1.56947,0.223614
71,1.57716,0.238977
72,1.58611,0.291256
73,1.59167,0.311622
74,1.60108,0.26094
75,1.60132,0.260602
76,1.6011,0.261609
77,1.5915,0.304654
78,1.5868,0.254817
79,1.57928,0.193941
80,1.57132,0.180442
81,1.55771,0.125434
82,1.55676,0.120567
83,1.55556,0.117047
84,1.54034,0.0733739
85,1.53102,0.0621542
86,1.50989,0.0276822
87,1.50203,0.0116433
88,1.47931,-0.0240989
89,1.4785,-0.0251475
90,1.45692,-0.0596128
91,1.44764,-0.0721678
92,1.43398,-0.0897157
93,1.41773,-0.111099
94,1.41015,-0.121686
95,1.40435,-0.128333
96,1.38603,-0.147697
97,1.36844,-0.169359
98,1.36701,-0.171258
99,1.35466,-0.1851
100,1.34167,-0.199997
101,1.34066,-0.201054
102,1.33882,-0.203244
103,1.31051,-0.237476
104,1.28744,-0.262892
105,1.28125,-0.269629
106,1.27505,-0.276848
107,1.25414,-0.301631
108,1.23198,-0.327188
109,1.2204,-0.339814
110,1.20063,-0.363756
111,1.18301,-0.385072
112,1.16492,-0.410585
113,1.14817,-0.432471
114,1.13344,-0.449504
115,1.11218,-0.471411
116,1.08839,-0.503844
117,1.07548,-0.52196
118,1.06381,-0.540988
119,1.04045,-0.581351
120,1.01076,-0.638943
121,1.00774,-0.644492
122,1.00443,-0.650907
123,0.971542,-0.711633
124,0.939164,-0.767195
125,0.937,-0.770882
126,0.934943,-0.772828
127,0.890925,-0.803365
128,0.866641,-0.815136
129,0.849758,-0.828784
130,0.829273,-0.818685
131,0.816299,-0.815986
132,0.804323,-0.805594
133,0.780855,-0.783679
134,0.763973,-0.751727
135,0.759864,-0.742623
136,0.752952,-0.728584
137,0.736491,-0.693746
138,0.725495,-0.660248
139,0.710029,-0.616022
140,0.691382,-0.529539
141,0.682829,-0.497126
142,0.677685,-0.473379
143,0.654073,-0.396825
144,0.644449,-0.27034
145,0.635941,-0.141342
146,0.6285,-0.0790502
147,0.620426,-0.0239712
148,0.609754,0.332735
149,0.609476,0.341062
150,0.609403,0.343803
151,0.609261,0.341475
152,0.602778,0.399485
