X,"Points_X","Pressure_Coefficient"
0,0.390791,0.819682
1,0.39073,0.826943
2,0.392162,0.56236
3,1.39039,0.308818
4,1.3907,0.307481
5,1.38088,0.356438
6,1.39037,0.307641
7,1.38106,0.356565
8,0.390817,0.819286
9,0.394234,0.463858
10,0.726312,-0.973839
11,0.724227,-0.974633
12,0.68024,-0.980198
13,0.728505,-0.969431
14,0.760857,-0.912033
15,0.730038,-0.164501
16,0.728091,-0.165721
17,0.770759,-0.141218
18,0.7261,-0.167008
19,0.685849,-0.19485
20,0.655908,-0.967342
21,0.514885,-0.694822
22,0.499364,-0.644249
23,0.52582,-0.732021
24,0.542191,-0.772735
25,0.549189,-0.789575
26,0.398851,0.428646
27,0.39878,0.431963
28,0.39864,0.431367
29,0.480659,-0.551436
30,0.472169,-0.515884
31,0.467061,-0.489613
32,0.443418,-0.399639
33,0.60562,-0.909885
34,0.593585,-0.889023
35,0.618653,-0.929071
36,0.570183,-0.846699
37,0.553351,-0.802203
38,0.639073,-0.963026
39,0.425302,-0.142029
40,0.417845,-0.0671354
41,0.433839,-0.273412
42,0.409793,0.00751615
43,0.399126,0.418995
44,0.793765,-0.814747
45,1.07058,-0.283422
46,1.07681,-0.27611
47,1.06435,-0.291787
48,1.09985,-0.249275
49,1.12811,-0.212495
50,1.13,-0.2101
51,1.04347,-0.320426
52,1.13103,-0.208955
53,1.14435,-0.192199
54,1.15635,-0.17747
55,1.0213,-0.348486
56,1.22334,-0.0898623
57,1.23705,-0.0705606
58,1.24627,-0.0563968
59,1.2679,-0.0189366
60,1.26863,-0.0179091
61,1.2914,0.0214189
62,1.29921,0.0394112
63,1.32042,0.077953
64,1.3297,0.0901826
65,1.37612,0.297958
66,1.20702,-0.112385
67,0.901504,-0.497932
68,0.922768,-0.476271
69,0.877704,-0.537005
70,0.937493,-0.460817
71,0.954229,-0.438204
72,0.97233,-0.411591
73,0.864792,-0.55984
74,1.17538,-0.153926
75,1.19375,-0.130697
76,1.1995,-0.12332
77,0.853121,-0.591798
78,0.829766,-0.662649
79,1.34484,0.138065
80,1.34613,0.142203
81,0.989977,-0.388181
82,1.15774,-0.175555
83,0.797056,-0.804634
84,0.800064,-0.792837
85,1.34715,0.147786
86,1.36068,0.20779
87,1.36867,0.226564
88,1.00973,-0.362348
89,0.401579,0.269278
90,0.406918,0.116223
91,0.641378,-0.236482
92,0.641006,-0.23681
93,0.640796,-0.23702
94,0.497637,-0.368621
95,0.50945,-0.360396
96,0.479542,-0.369992
97,0.525633,-0.344516
98,0.547815,-0.318163
99,0.553406,-0.311382
100,0.46989,-0.367955
101,0.464829,-0.359357
102,0.584577,-0.29062
103,0.5867,-0.288514
104,0.585785,-0.289371
105,0.441276,-0.285755
106,0.436855,-0.262982
107,0.413731,-0.00472795
108,0.42396,-0.204152
109,1.37544,0.334124
110,0.807535,-0.125037
111,0.813072,-0.122768
112,1.11946,0.0339848
113,1.10258,0.0253666
114,1.13889,0.0452457
115,1.09049,0.0194309
116,1.0779,0.0134037
117,1.06044,0.00566601
118,1.14785,0.0504286
119,1.15533,0.0546307
120,1.1749,0.0654385
121,1.19526,0.0787133
122,1.20109,0.0820663
123,1.04484,-0.0018255
124,1.28139,0.136297
125,1.27299,0.129485
126,1.26155,0.120453
127,1.25029,0.112352
128,1.30367,0.157459
129,1.29332,0.146777
130,1.31252,0.167542
131,1.32283,0.181941
132,1.33225,0.19606
133,1.02961,-0.00933472
134,1.01275,-0.0189269
135,0.997959,-0.02795
136,0.985281,-0.0345007
137,0.964644,-0.0454515
138,0.938417,-0.059024
139,0.921758,-0.0673541
140,0.894434,-0.0806627
141,0.93005,-0.0634769
142,0.867603,-0.0938348
143,0.857454,-0.0993904
144,1.20879,0.0865192
145,1.22671,0.0962614
146,1.24158,0.106442
147,1.33932,0.211392
148,1.35057,0.226069
149,1.36656,0.277618
150,1.35878,0.258474
151,0.830839,-0.113209
152,0.815793,-0.121612
