X,"Points_X","Pressure_Coefficient"
0,-0.00074996,0.88366
1,-0.000322143,0.916937
2,0.000203387,0.906895
3,0.00426957,0.666473
4,0.00636826,0.570613
5,0.0167681,0.38232
6,0.0175935,0.368266
7,0.0201425,0.338924
8,0.0308715,0.210284
9,0.0346093,0.173087
10,0.0455997,0.0835799
11,0.0585473,0.0382677
12,0.0601238,0.03167
13,0.071801,-0.0349257
14,0.0744771,-0.0511956
15,0.0746388,-0.0516654
16,0.0748719,-0.0533578
17,0.0892449,-0.149756
18,0.10642,-0.225181
19,0.109872,-0.239066
20,0.114709,-0.255546
21,0.132169,-0.316165
22,0.150814,-0.356622
23,0.156364,-0.368062
24,0.160202,-0.373325
25,0.182747,-0.409857
26,0.206748,-0.487635
27,0.208245,-0.49225
28,0.209989,-0.49608
29,0.236439,-0.562258
30,0.263467,-0.584235
31,0.266222,-0.58564
32,0.268851,-0.587306
33,0.299714,-0.609719
34,0.320016,-0.624651
35,0.334359,-0.631013
36,0.348821,-0.635264
37,0.364839,-0.64281
38,0.37449,-0.645896
39,0.393914,-0.655566
40,0.410037,-0.683512
41,0.419225,-0.700384
42,0.434131,-0.708551
43,0.449582,-0.71227
44,0.461495,-0.710001
45,0.481116,-0.70213
46,0.507416,-0.697324
47,0.513679,-0.69642
48,0.518376,-0.696447
49,0.542729,-0.698978
50,0.565548,-0.711566
51,0.56826,-0.713427
52,0.571051,-0.715798
53,0.592685,-0.734384
54,0.615793,-0.742667
55,0.615879,-0.742696
56,0.615997,-0.742644
57,0.639794,-0.730307
58,0.65673,-0.720217
59,0.663177,-0.721166
60,0.670892,-0.723825
61,0.68554,-0.723832
62,0.700959,-0.726003
63,0.707949,-0.722298
64,0.714188,-0.709314
65,0.730199,-0.681611
66,0.748308,-0.619353
67,0.752283,-0.607337
68,0.756198,-0.595128
69,0.772376,-0.541972
70,0.785635,-0.505846
71,0.791769,-0.485007
72,0.799626,-0.461751
73,0.810152,-0.425292
74,0.819576,-0.386362
75,0.828675,-0.349931
76,0.838403,-0.314782
77,0.847403,-0.287715
78,0.857599,-0.262194
79,0.865489,-0.245233
80,0.87226,-0.225377
81,0.882458,-0.197908
82,0.89238,-0.158578
83,0.898239,-0.132565
84,0.903857,-0.108237
85,0.9144,-0.0559879
86,0.92315,-0.0261501
87,0.930207,-0.000396758
88,0.937868,0.0396865
89,0.944961,0.0748479
90,0.951629,0.109311
91,0.957691,0.143542
92,0.966691,0.228083
93,0.970182,0.259867
94,0.972332,0.272211
95,0.983497,0.318989
96,0.986746,0.371637
97,0.992567,0.463223
98,0.995044,0.475603
99,0.999057,0.515832
100,0.995682,0.551135
101,0.991978,0.561065
102,0.986685,0.406978
103,0.986327,0.403866
104,0.9777,0.393907
105,0.96687,0.351907
106,0.966117,0.348054
107,0.965647,0.347491
108,0.953663,0.316792
109,0.944576,0.302449
110,0.940072,0.294442
111,0.934836,0.290637
112,0.925725,0.286674
113,0.914579,0.272287
114,0.911392,0.268594
115,0.908592,0.266174
116,0.896867,0.257626
117,0.883769,0.238031
118,0.882337,0.2359
119,0.880935,0.236223
120,0.867445,0.237864
121,0.856485,0.251986
122,0.851728,0.254778
123,0.843789,0.240423
124,0.837353,0.225045
125,0.834176,0.22265
126,0.824612,0.209949
127,0.811048,0.192292
128,0.80623,0.187615
129,0.799961,0.184434
130,0.786919,0.184661
131,0.774531,0.182295
132,0.767519,0.18217
133,0.761872,0.177882
134,0.744428,0.160916
135,0.723121,0.138604
136,0.722979,0.138463
137,0.722833,0.138389
138,0.70095,0.126542
139,0.685707,0.121556
140,0.679842,0.121784
141,0.670339,0.105007
142,0.657989,0.0848617
143,0.65059,0.0722279
144,0.633918,0.0437073
145,0.609362,0.0171476
146,0.608493,0.0162497
147,0.607673,0.0151742
148,0.582005,-0.0205879
149,0.556032,-0.0515535
150,0.554235,-0.0535416
151,0.552206,-0.0560422
152,0.524431,-0.093257
153,0.499677,-0.130944
154,0.494559,-0.139059
155,0.488688,-0.148915
156,0.464441,-0.187313
157,0.442793,-0.221391
158,0.434013,-0.23533
159,0.424821,-0.246447
160,0.402969,-0.275885
161,0.381896,-0.306539
162,0.37016,-0.32281
163,0.357608,-0.345813
164,0.336782,-0.382831
165,0.319317,-0.40867
166,0.302345,-0.431882
167,0.26857,-0.464093
168,0.267865,-0.464935
169,0.266763,-0.46528
170,0.237857,-0.470646
171,0.214246,-0.475921
172,0.209693,-0.476806
173,0.204302,-0.477575
174,0.183157,-0.476013
175,0.168071,-0.439369
176,0.163755,-0.427273
177,0.159385,-0.414264
178,0.144116,-0.37319
179,0.125398,-0.329213
180,0.122808,-0.323846
181,0.120364,-0.318238
182,0.101492,-0.275566
183,0.0820385,-0.242016
184,0.0808241,-0.239897
185,0.0793518,-0.238917
186,0.0631281,-0.213804
187,0.0534642,-0.191505
188,0.0480458,-0.165218
189,0.0375972,-0.137657
190,0.0358748,-0.130734
191,0.0335222,-0.127622
192,0.0219739,-0.106404
193,0.0162501,-0.00400516
194,0.0102374,0.069429
195,0.00465292,0.182381
196,0.00236626,0.238465
197,0.00180878,0.341153
