X,"Points_X","Pressure_Coefficient"
0,2.02573e-05,1.01316
1,0.00045745,0.976478
2,0.000979179,0.912416
3,0.00503023,0.608855
4,0.00715254,0.462546
5,0.0172604,0.148283
6,0.0183846,0.114083
7,0.021984,0.0457478
8,0.0316924,-0.14494
9,0.0349821,-0.190215
10,0.0464372,-0.324562
11,0.0601224,-0.37785
12,0.0609439,-0.382475
13,0.0667449,-0.41939
14,0.0750033,-0.477306
15,0.0755236,-0.478589
16,0.0762759,-0.484546
17,0.0901344,-0.587057
18,0.106645,-0.672417
19,0.110784,-0.692435
20,0.116609,-0.714773
21,0.133112,-0.778409
22,0.150663,-0.803568
23,0.157297,-0.811629
24,0.161889,-0.813731
25,0.183707,-0.832117
26,0.208667,-0.893301
27,0.209221,-0.894652
28,0.209866,-0.896261
29,0.237408,-0.979864
30,0.263502,-1.03406
31,0.267078,-1.04067
32,0.270496,-1.04367
33,0.300707,-1.08026
34,0.321909,-1.10756
35,0.335417,-1.12164
36,0.349047,-1.13389
37,0.36584,-1.15631
38,0.375954,-1.1642
39,0.394891,-1.18243
40,0.411706,-1.17718
41,0.420295,-1.17809
42,0.434273,-1.09362
43,0.450658,-0.99239
44,0.463246,-0.841439
45,0.482181,-0.616988
46,0.50766,-0.431628
47,0.514774,-0.383532
48,0.520088,-0.380898
49,0.543829,-0.36894
50,0.566155,-0.365988
51,0.569358,-0.3661
52,0.572643,-0.365364
53,0.593786,-0.361755
54,0.616636,-0.335272
55,0.616978,-0.33486
56,0.61728,-0.334405
57,0.640887,-0.301748
58,0.658135,-0.286465
59,0.664275,-0.283101
60,0.671636,-0.283722
61,0.686664,-0.279667
62,0.702461,-0.278227
63,0.709081,-0.273505
64,0.714997,-0.264805
65,0.73132,-0.245532
66,0.749776,-0.210882
67,0.753395,-0.205433
68,0.756956,-0.201011
69,0.773464,-0.180032
70,0.787005,-0.162082
71,0.792838,-0.152181
72,0.800294,-0.139997
73,0.811211,-0.117844
74,0.820996,-0.0956281
75,0.829716,-0.0770173
76,0.839021,-0.059489
77,0.848423,-0.0468603
78,0.859138,-0.033997
79,0.8665,-0.0266565
80,0.872806,-0.0201437
81,0.883479,-0.00908496
82,0.893901,0.00765792
83,0.899254,0.0189881
84,0.904361,0.0320214
85,0.915378,0.0666059
86,0.9246,0.0830084
87,0.931075,0.0947413
88,0.938091,0.116537
89,0.945846,0.138752
90,0.95317,0.160024
91,0.958614,0.179286
92,0.966603,0.233319
93,0.971079,0.262788
94,0.973861,0.275282
95,0.984154,0.303841
96,0.988117,0.353389
97,0.993442,0.40891
98,0.996776,0.425724
99,0.999967,0.456954
100,0.997289,0.479608
101,0.992821,0.480523
102,0.987924,0.344981
103,0.986725,0.335156
104,0.978594,0.321131
105,0.96727,0.280351
106,0.967007,0.279635
107,0.966717,0.278475
108,0.954562,0.236173
109,0.944936,0.220921
110,0.940946,0.213587
111,0.936293,0.20875
112,0.926601,0.201978
113,0.914782,0.177301
114,0.912268,0.172632
115,0.910051,0.170166
116,0.897722,0.158867
117,0.884067,0.135905
118,0.883205,0.134447
119,0.882354,0.134471
120,0.868316,0.133751
121,0.856965,0.146348
122,0.852624,0.148173
123,0.845343,0.133713
124,0.838287,0.115216
125,0.834827,0.11185
126,0.825468,0.0948061
127,0.812163,0.077206
128,0.807064,0.0716637
129,0.800452,0.0690681
130,0.787748,0.0716711
131,0.775676,0.0705523
132,0.768361,0.0711028
133,0.762476,0.0662582
134,0.745258,0.0475902
135,0.723885,0.032846
136,0.723799,0.0327676
137,0.723706,0.0327588
138,0.701765,0.0294446
139,0.686664,0.0317318
140,0.680653,0.0356291
141,0.670929,0.0217571
142,0.65879,0.00621093
143,0.651503,-0.00269326
144,0.634685,-0.0236286
145,0.609983,-0.0369621
146,0.609254,-0.0372751
147,0.608566,-0.0377096
148,0.582757,-0.057051
149,0.556889,-0.0645423
150,0.55498,-0.0647423
151,0.552827,-0.0652522
152,0.525168,-0.0731752
153,0.500478,-0.0849993
154,0.495289,-0.0882416
155,0.489345,-0.0923637
156,0.465162,-0.108372
157,0.443541,-0.117926
158,0.434726,-0.122485
159,0.425514,-0.125139
160,0.403675,-0.134429
161,0.382571,-0.148
162,0.370862,-0.154122
163,0.358371,-0.166287
164,0.337465,-0.186626
165,0.319889,-0.204775
166,0.303013,-0.221726
167,0.269097,-0.249894
168,0.268535,-0.250589
169,0.267662,-0.251265
170,0.23854,-0.273334
171,0.21456,-0.309086
172,0.21037,-0.315804
173,0.205437,-0.326109
174,0.183834,-0.366764
175,0.168326,-0.370074
176,0.16445,-0.36955
177,0.16054,-0.37091
178,0.144808,-0.379986
179,0.125435,-0.387537
180,0.123501,-0.388591
181,0.121688,-0.389589
182,0.102189,-0.400744
183,0.0833847,-0.415206
184,0.0815393,-0.416423
185,0.079296,-0.419015
186,0.063789,-0.417228
187,0.0545554,-0.391102
188,0.0487391,-0.35421
189,0.0375397,-0.27718
190,0.0366785,-0.269994
191,0.035491,-0.254641
192,0.0227593,-0.0972119
193,0.0165617,0.139436
194,0.0110183,0.312286
195,0.00581218,0.522126
196,0.00310498,0.63248
197,0.00246043,0.705611
