X,"Points_X","Pressure_Coefficient"
0,1.25536,0.160602
1,1.25846,0.0824659
2,1.252,-0.0606351
3,1.24937,-0.0915666
4,1.24735,-0.0785405
5,1.24146,0.0136661
6,1.23585,-0.0385688
7,1.23282,-0.0408477
8,1.22472,-0.0547882
9,1.22413,-0.0585118
10,1.22202,-0.0652524
11,1.21576,-0.0880873
12,1.21414,-0.0901381
13,1.20627,-0.136619
14,1.20277,-0.147866
15,1.19665,-0.168117
16,1.19137,-0.187704
17,1.18729,-0.194433
18,1.18006,-0.211908
19,1.17788,-0.219162
20,1.16971,-0.295433
21,1.16906,-0.298843
22,1.16469,-0.30282
23,1.16017,-0.305506
24,1.15947,-0.309094
25,1.1514,-0.343614
26,1.14885,-0.352898
27,1.14226,-0.388615
28,1.1381,-0.410984
29,1.13308,-0.430392
30,1.12758,-0.479333
31,1.12406,-0.496957
32,1.11829,-0.495041
33,1.11472,-0.523614
34,1.11027,-0.570492
35,1.10511,-0.596634
36,1.10064,-0.614515
37,1.09549,-0.643265
38,1.09017,-0.685547
39,1.08606,-0.709782
40,1.07863,-0.760696
41,1.07598,-0.781629
42,1.06581,-0.903558
43,1.06491,-0.913542
44,1.05628,-0.975689
45,1.05407,-0.990534
46,1.0539,-0.99323
47,1.05358,-0.9976
48,1.04294,-1.11423
49,1.03433,-1.25568
50,1.03246,-1.31358
51,1.02581,-1.58043
52,1.02425,-1.69394
53,1.0192,-1.74881
54,1.01587,-0.807266
55,1.01065,0.319602
56,1.01372,0.250034
57,1.01895,0.216115
58,1.02215,0.182564
59,1.0256,0.128017
60,1.03364,-0.00430601
61,1.04047,-0.0593728
62,1.04573,-0.0558945
63,1.05444,-0.0488311
64,1.0564,-0.0596461
65,1.05876,-0.0591709
66,1.06754,-0.0681151
67,1.07317,-0.0742481
68,1.07998,-0.0921486
69,1.08581,-0.107152
70,1.09268,-0.099493
71,1.09929,-0.0835491
72,1.10551,-0.0831743
73,1.11189,-0.0847881
74,1.12032,-0.0805062
75,1.12307,-0.0787164
76,1.13438,-0.0876571
77,1.13621,-0.0857368
78,1.14614,-0.0771227
79,1.14927,-0.0741895
80,1.14991,-0.0733487
81,1.16289,-0.0611992
82,1.16432,-0.0588433
83,1.17535,-0.0347538
84,1.17751,-0.0335211
85,1.18756,-0.0410618
86,1.19012,-0.0378622
87,1.19963,-0.0120825
88,1.2016,-0.0115193
89,1.21139,0.0112404
90,1.21206,0.0166926
91,1.21799,0.00982405
92,1.2223,0.00677314
93,1.22281,0.0100073
94,1.2334,0.120545
95,1.2342,0.12152
96,1.23965,0.0138933
97,1.24286,-0.0458501
98,1.24346,-0.0262439
99,1.24974,0.359738
