X,"Points_X","Pressure_Coefficient"
0,1.34821,0.120867
1,1.35415,0.033246
2,1.34896,0.0437948
3,1.34543,0.0499647
4,1.3422,-0.0246345
5,1.33804,-0.0948216
6,1.33297,-0.103702
7,1.33036,-0.0975771
8,1.32876,-0.121216
9,1.32204,-0.177611
10,1.31844,-0.186113
11,1.31379,-0.217816
12,1.30815,-0.257366
13,1.30504,-0.278694
14,1.29684,-0.323905
15,1.29516,-0.334683
16,1.28564,-0.379517
17,1.2856,-0.379603
18,1.28537,-0.380732
19,1.27612,-0.426049
20,1.27435,-0.433568
21,1.26711,-0.477558
22,1.26424,-0.493613
23,1.25801,-0.529222
24,1.25406,-0.563908
25,1.24895,-0.581599
26,1.24363,-0.5785
27,1.23949,-0.594469
28,1.23302,-0.609515
29,1.22993,-0.613327
30,1.22267,-0.624253
31,1.22046,-0.622022
32,1.21351,-0.60463
33,1.21053,-0.602498
34,1.20551,-0.592765
35,1.20011,-0.579145
36,1.19593,-0.558093
37,1.18973,-0.524701
38,1.18556,-0.512111
39,1.17932,-0.508846
40,1.17402,-0.463188
41,1.16816,-0.397987
42,1.16161,-0.364249
43,1.15588,-0.36472
44,1.14952,-0.325785
45,1.14422,-0.284582
46,1.13667,-0.221322
47,1.134,-0.211528
48,1.12676,-0.209448
49,1.12072,-0.190559
50,1.11672,-0.207697
51,1.11184,-0.24408
52,1.10735,-0.188315
53,1.10395,-0.211366
54,1.09792,-0.116885
55,1.09327,-0.0101579
56,1.09735,-0.0947925
57,1.09892,-0.182704
58,1.10441,-0.112208
59,1.10762,-0.103801
60,1.11861,-0.228799
61,1.12024,-0.256574
62,1.12081,-0.248834
63,1.12292,-0.243036
64,1.13344,-0.219941
65,1.1365,-0.205228
66,1.14364,-0.182728
67,1.15073,-0.203914
68,1.15428,-0.180475
69,1.16277,-0.14333
70,1.16754,-0.144397
71,1.17578,-0.133729
72,1.18131,-0.133821
73,1.18933,-0.1071
74,1.19505,-0.0880846
75,1.20204,-0.0759627
76,1.21113,-0.0698696
77,1.21338,-0.0674898
78,1.22633,-0.0643176
79,1.22674,-0.0636243
80,1.22856,-0.0630936
81,1.24022,-0.0563625
82,1.24321,-0.0496896
83,1.25409,-0.0319984
84,1.25865,-0.0290835
85,1.26697,-0.0119176
86,1.2722,0.00251128
87,1.27924,0.00136092
88,1.2854,0.00597127
89,1.29142,0.0161662
90,1.29725,0.0175277
91,1.30345,0.0297014
92,1.30797,0.0495325
93,1.31509,0.0453538
94,1.31867,0.0371488
95,1.32663,0.0761026
96,1.33007,0.0723486
97,1.33603,0.0308469
98,1.34204,0.105003
99,1.34528,0.152315
