X,"Points_X","Pressure_Coefficient"
0,1.25341,0.240172
1,1.25805,0.237357
2,1.24958,0.161745
3,1.24896,0.156337
4,1.2484,0.151625
5,1.2412,0.119725
6,1.23328,0.0677371
7,1.23296,0.0665281
8,1.23181,0.0614591
9,1.22437,0.0312133
10,1.22255,0.0247854
11,1.21599,-0.00697293
12,1.21198,-0.0223854
13,1.20689,-0.0512882
14,1.2005,-0.0880347
15,1.1971,-0.108887
16,1.18908,-0.142865
17,1.18763,-0.143213
18,1.18118,-0.16078
19,1.17828,-0.167257
20,1.17762,-0.170885
21,1.16942,-0.214941
22,1.16733,-0.225801
23,1.16053,-0.269201
24,1.15695,-0.293846
25,1.15173,-0.32028
26,1.14634,-0.334595
27,1.14265,-0.348042
28,1.13553,-0.395482
29,1.13355,-0.406528
30,1.12512,-0.446265
31,1.12467,-0.447898
32,1.1161,-0.464233
33,1.11562,-0.468038
34,1.10836,-0.558157
35,1.10563,-0.583291
36,1.0982,-0.687423
37,1.09581,-0.718345
38,1.08759,-0.969394
39,1.0866,-0.996323
40,1.08002,-1.14139
41,1.07657,-1.21631
42,1.07595,-1.21803
43,1.06568,-1.2463
44,1.06326,-1.23166
45,1.05513,-1.15489
46,1.05265,-1.13724
47,1.04802,-1.12447
48,1.04186,-1.08399
49,1.03673,-1.08648
50,1.03114,-1.05356
51,1.02632,-1.00784
52,1.02294,-0.748654
53,1.01969,-0.468307
54,1.0148,0.0609226
55,1.01115,0.465438
56,1.01335,0.220148
57,1.02105,-0.0489711
58,1.02197,-0.0635148
59,1.02299,-0.0808374
60,1.03325,-0.268629
61,1.04164,-0.360843
62,1.04526,-0.363231
63,1.05556,-0.309235
64,1.05612,-0.308178
65,1.05682,-0.307339
66,1.06767,-0.294191
67,1.07225,-0.295524
68,1.08017,-0.318837
69,1.08471,-0.328406
70,1.09281,-0.298954
71,1.09816,-0.264922
72,1.10576,-0.242062
73,1.111,-0.232885
74,1.12074,-0.206971
75,1.12212,-0.204059
76,1.13477,-0.209724
77,1.13524,-0.208433
78,1.13752,-0.203165
79,1.14818,-0.176801
80,1.15058,-0.167772
81,1.16179,-0.132153
82,1.16497,-0.11567
83,1.17419,-0.0789407
84,1.17795,-0.0821073
85,1.18635,-0.0807399
86,1.19052,-0.0739366
87,1.19823,-0.0400425
88,1.20195,-0.0215203
89,1.20997,-0.0158226
90,1.21237,0.00105287
91,1.22126,0.0320513
92,1.22265,0.029965
93,1.23251,0.095099
94,1.23376,0.0971422
95,1.24144,0.0868583
96,1.24467,0.146174
97,1.24932,0.257214
