X,"Points_X","Pressure_Coefficient"
0,1.10543,0.658721
1,1.1056,0.243568
2,1.10584,-0.118106
3,1.10708,-0.432176
4,1.10766,-0.531019
5,1.10866,-0.592177
6,1.11032,-0.644222
7,1.11127,-0.674611
8,1.11422,-0.737367
9,1.11713,-0.770825
10,1.11902,-0.797174
11,1.12334,-0.840368
12,1.12395,-0.853557
13,1.12652,-0.914409
14,1.1288,-0.974022
15,1.12935,-0.979532
16,1.13385,-0.970095
17,1.13512,-0.94589
18,1.1383,-0.917039
19,1.14174,-0.877356
20,1.14425,-0.849368
21,1.1455,-0.830335
22,1.15153,-0.717308
23,1.15216,-0.710232
24,1.15671,-0.644689
25,1.15871,-0.615288
26,1.15902,-0.612599
27,1.16525,-0.538804
28,1.16644,-0.535209
29,1.1716,-0.515184
30,1.17474,-0.471694
31,1.1762,-0.449639
32,1.17732,-0.442408
33,1.18113,-0.396917
34,1.18337,-0.389061
35,1.18676,-0.373869
36,1.18999,-0.350924
37,1.19254,-0.365621
38,1.19654,-0.355237
39,1.19788,-0.33661
40,1.20278,-0.269617
41,1.20332,-0.265133
42,1.20687,-0.291949
43,1.20864,-0.305725
44,1.20892,-0.305337
45,1.2139,-0.253471
46,1.21507,-0.222387
47,1.21913,-0.162974
48,1.22134,-0.177024
49,1.22447,-0.224023
50,1.22757,-0.218627
51,1.23002,-0.186375
52,1.23439,-0.141335
53,1.23525,-0.125113
54,1.23929,-0.099621
55,1.24002,-0.0947005
56,1.24017,-0.0915228
57,1.24476,-0.111857
58,1.24551,-0.122654
59,1.24919,-0.100123
60,1.25077,-0.0689961
61,1.2537,0.0214616
62,1.25554,0.0416554
63,1.25834,0.0174911
64,1.26111,0.00418052
65,1.26217,0.028173
66,1.26384,0.0989759
67,1.26728,0.156872
68,1.26731,0.157087
69,1.26735,0.159562
70,1.27036,0.27384
71,1.27193,0.274305
72,1.27363,0.261873
73,1.27137,0.336029
74,1.27052,0.35621
75,1.26982,0.326094
76,1.26759,0.201811
77,1.26464,0.236438
78,1.2646,0.236271
79,1.26449,0.233764
80,1.26139,0.154843
81,1.26078,0.142303
82,1.25688,0.0896025
83,1.25646,0.0914868
84,1.25235,0.0777635
85,1.25108,0.0757929
86,1.24667,0.0508807
87,1.2461,0.0460592
88,1.24205,0.104045
89,1.24137,0.101784
90,1.23706,0.0271228
91,1.23651,0.0223758
92,1.23197,-0.00771295
93,1.23136,-0.00536519
94,1.22697,0.0395298
95,1.22575,0.0432533
96,1.22131,0.00789248
97,1.2198,-0.0165992
98,1.21578,-0.0337662
99,1.21416,-0.0256755
100,1.21046,-0.0398043
101,1.20868,-0.0423541
102,1.2047,-0.053073
103,1.20283,-0.0553909
104,1.19926,-0.0404475
105,1.19749,-0.0425667
106,1.19386,-0.0543213
107,1.1916,-0.0838712
108,1.18839,-0.11196
109,1.18578,-0.092733
110,1.18324,-0.0702167
111,1.1799,-0.118411
112,1.1787,-0.138521
113,1.17515,-0.161107
114,1.1725,-0.165266
115,1.16932,-0.145404
116,1.16638,-0.126398
117,1.16381,-0.115209
118,1.15942,-0.106614
119,1.15788,-0.127561
120,1.15461,-0.196255
121,1.15261,-0.241876
122,1.15174,-0.242644
123,1.14645,-0.232968
124,1.14514,-0.242173
125,1.14335,-0.253368
126,1.13936,-0.260469
127,1.13634,-0.224232
128,1.13463,-0.207819
129,1.13063,-0.244161
130,1.12956,-0.267805
131,1.12551,-0.348685
132,1.12484,-0.345657
133,1.12064,-0.238398
134,1.11974,-0.221922
135,1.11729,-0.181777
136,1.11497,-0.136725
137,1.11325,-0.0689598
138,1.11114,0.0323517
139,1.10957,0.223292
140,1.10785,0.459369
141,1.10673,0.574957
