X,"Points_X","Pressure_Coefficient"
0,1.11357,0.68111
1,1.11367,0.620532
2,1.11439,0.159045
3,1.11521,0.0116317
4,1.11636,-0.228026
5,1.11712,-0.327081
6,1.11866,-0.515412
7,1.12012,-0.594913
8,1.12181,-0.713799
9,1.12371,-0.802894
10,1.12513,-0.8683
11,1.12706,-0.925088
12,1.12893,-0.96482
13,1.13138,-0.997191
14,1.13301,-0.994085
15,1.13612,-1.01194
16,1.13724,-1.03914
17,1.14154,-1.12387
18,1.14185,-1.13087
19,1.14405,-1.16907
20,1.14656,-1.213
21,1.14685,-1.21666
22,1.15141,-1.14256
23,1.15259,-1.10376
24,1.15647,-0.976279
25,1.15848,-0.867919
26,1.16173,-0.725631
27,1.16507,-0.600031
28,1.16709,-0.544624
29,1.17105,-0.496116
30,1.17243,-0.485463
31,1.17642,-0.475326
32,1.17674,-0.47632
33,1.18009,-0.504715
34,1.18214,-0.483271
35,1.185,-0.440136
36,1.18805,-0.383786
37,1.19002,-0.340799
38,1.19365,-0.344187
39,1.1949,-0.348676
40,1.19882,-0.305326
41,1.19949,-0.31064
42,1.20261,-0.341484
43,1.20315,-0.346267
44,1.20327,-0.347242
45,1.20683,-0.288059
46,1.20779,-0.280075
47,1.2113,-0.252056
48,1.21293,-0.255737
49,1.21574,-0.261663
50,1.21798,-0.245534
51,1.22019,-0.244222
52,1.22326,-0.23408
53,1.22461,-0.216798
54,1.22718,-0.184792
55,1.22869,-0.173981
56,1.22954,-0.165284
57,1.23277,-0.190496
58,1.23462,-0.195974
59,1.23721,-0.177195
60,1.23907,-0.151784
61,1.24137,-0.108633
62,1.24332,-0.108984
63,1.24521,-0.140052
64,1.24752,-0.176224
65,1.24908,-0.15626
66,1.25162,-0.0724412
67,1.25286,-0.0588837
68,1.25556,-0.0794761
69,1.25665,-0.0845751
70,1.25914,-0.0623685
71,1.26004,-0.0452582
72,1.26236,-0.0293138
73,1.26421,-0.0217674
74,1.2652,0.00353632
75,1.26761,0.0572234
76,1.26784,0.0636719
77,1.26796,0.0705093
78,1.27037,0.160764
79,1.27235,0.224571
80,1.27286,0.24389
81,1.27234,0.246022
82,1.27029,0.237232
83,1.26854,0.179922
84,1.26758,0.136119
85,1.26619,0.117961
86,1.26488,0.0951383
87,1.26398,0.0983892
88,1.2614,0.107301
89,1.25996,0.0853093
90,1.25772,0.0377294
91,1.25626,0.0405994
92,1.25386,0.0534008
93,1.25254,0.0565548
94,1.24976,-0.00578397
95,1.24864,-0.0257458
96,1.24568,0.00504306
97,1.24477,0.00967849
98,1.24165,0.0244387
99,1.2412,0.0216706
100,1.23976,0.00497249
101,1.23642,-0.0405398
102,1.23549,-0.0458215
103,1.23166,-0.0426606
104,1.23077,-0.0370345
105,1.22742,-0.0732898
106,1.22591,-0.0947679
107,1.22308,-0.0608152
108,1.22111,-0.019707
109,1.21873,-0.00618189
110,1.21616,-0.0467091
111,1.21422,-0.0700266
112,1.21117,-0.128056
113,1.20966,-0.158309
114,1.20585,-0.111746
115,1.20489,-0.101227
116,1.20039,-0.0401465
117,1.20018,-0.0373969
118,1.20014,-0.0377345
119,1.19528,-0.110306
120,1.19454,-0.126407
121,1.19035,-0.210197
122,1.18881,-0.201122
123,1.18539,-0.154516
124,1.18305,-0.0995148
125,1.18044,-0.0703464
126,1.17695,-0.138881
127,1.1756,-0.161225
128,1.17301,-0.204431
129,1.1715,-0.227934
130,1.16919,-0.230859
131,1.1673,-0.230757
132,1.16655,-0.233857
133,1.16253,-0.213513
134,1.16036,-0.177979
135,1.15855,-0.165577
136,1.15512,-0.205393
137,1.1546,-0.214429
138,1.15281,-0.256967
139,1.15044,-0.312484
140,1.14973,-0.322127
141,1.1461,-0.322659
142,1.14428,-0.316166
143,1.14172,-0.294737
144,1.13895,-0.313938
145,1.13741,-0.339577
146,1.13387,-0.349673
147,1.13319,-0.352602
148,1.13001,-0.363612
149,1.12907,-0.36632
150,1.12893,-0.366172
151,1.12818,-0.357655
152,1.12561,-0.326263
153,1.12512,-0.320173
154,1.12209,-0.234655
155,1.12109,-0.220311
156,1.11801,-0.121479
157,1.11725,-0.0919671
158,1.11668,-0.00644564
159,1.11468,0.309998
160,1.11373,0.636275
