X,"Points_X","Pressure_Coefficient"
0,1.26631,0.257944
1,1.26407,0.221661
2,1.26113,0.177681
3,1.25722,0.166186
4,1.25629,0.16128
5,1.25571,0.155601
6,1.25038,0.0961218
7,1.24875,0.0852004
8,1.24465,0.0528062
9,1.24183,0.0527459
10,1.23913,0.0557235
11,1.23532,0.0371475
12,1.23356,0.0240546
13,1.22923,-0.0281438
14,1.22785,-0.0397102
15,1.22312,-0.0525689
16,1.22231,-0.0548657
17,1.21642,-0.071434
18,1.21624,-0.0723671
19,1.21525,-0.0774157
20,1.2105,-0.100961
21,1.20951,-0.106873
22,1.20486,-0.130159
23,1.20308,-0.139052
24,1.19938,-0.153876
25,1.19666,-0.167449
26,1.19383,-0.186643
27,1.18995,-0.198345
28,1.188,-0.204702
29,1.18435,-0.226657
30,1.17894,-0.250157
31,1.17856,-0.252255
32,1.17743,-0.257762
33,1.17354,-0.277774
34,1.17268,-0.282144
35,1.16818,-0.306772
36,1.16608,-0.32064
37,1.16228,-0.348894
38,1.1594,-0.380564
39,1.1564,-0.405298
40,1.15282,-0.419035
41,1.15074,-0.425923
42,1.14639,-0.437311
43,1.14522,-0.442557
44,1.13993,-0.485445
45,1.13959,-0.48835
46,1.13762,-0.505286
47,1.13398,-0.53719
48,1.13335,-0.541885
49,1.1286,-0.57112
50,1.1273,-0.585338
51,1.12309,-0.617696
52,1.12156,-0.639038
53,1.11706,-0.743412
54,1.11562,-0.787927
55,1.1111,-0.916181
56,1.10883,-0.972204
57,1.10493,-1.02714
58,1.10176,-1.06771
59,1.09879,-1.11264
60,1.09463,-1.1323
61,1.09255,-1.14901
62,1.08744,-1.13231
63,1.08616,-1.13071
64,1.08023,-1.05929
65,1.0795,-1.05295
66,1.07281,-0.558658
67,1.07254,-0.542742
68,1.06684,0.464839
69,1.06679,0.473866
70,1.06676,0.479403
71,1.06685,0.476109
72,1.07261,0.232577
73,1.07494,0.105887
74,1.08036,-0.176896
75,1.08233,-0.192865
76,1.08876,-0.268619
77,1.09135,-0.287339
78,1.09678,-0.332978
79,1.10347,-0.337525
80,1.10528,-0.344473
81,1.10977,-0.351636
82,1.11343,-0.351483
83,1.11529,-0.342212
84,1.12155,-0.335224
85,1.12527,-0.297382
86,1.13,-0.312337
87,1.13383,-0.345579
88,1.13895,-0.353728
89,1.14337,-0.333453
90,1.14927,-0.307994
91,1.15342,-0.270776
92,1.15954,-0.217277
93,1.16364,-0.195198
94,1.1692,-0.204565
95,1.17124,-0.224666
96,1.17287,-0.219821
97,1.1813,-0.182428
98,1.18282,-0.169017
99,1.18983,-0.133882
100,1.19176,-0.12439
101,1.19776,-0.113984
102,1.20024,-0.121058
103,1.20558,-0.121221
104,1.20871,-0.113254
105,1.21334,-0.0935599
106,1.2166,-0.0552932
107,1.22112,-0.0285025
108,1.22409,-0.0226936
109,1.22849,-0.0145461
110,1.23151,-0.0198967
111,1.23568,0.0217517
112,1.23897,0.0545908
113,1.24286,0.0576255
114,1.24668,0.0800909
115,1.2502,0.118659
116,1.25419,0.148909
117,1.25747,0.178916
118,1.26153,0.287281
119,1.26516,0.282275
