X,"Points_X","Pressure_Coefficient"
0,1.26616,0.256482
1,1.26127,0.18824
2,1.26109,0.185905
3,1.26086,0.185071
4,1.25629,0.157205
5,1.25333,0.124741
6,1.25061,0.0906584
7,1.24631,0.0634648
8,1.24504,0.0538125
9,1.23964,0.053544
10,1.23963,0.0535513
11,1.2396,0.0533956
12,1.23425,0.0329768
13,1.23337,0.0191671
14,1.22863,-0.0386972
15,1.22734,-0.0422564
16,1.22326,-0.0515706
17,1.22113,-0.0640942
18,1.21746,-0.074437
19,1.21442,-0.0806578
20,1.21132,-0.096033
21,1.20724,-0.120672
22,1.20557,-0.129136
23,1.20087,-0.153125
24,1.20014,-0.156113
25,1.19664,-0.173908
26,1.19476,-0.183119
27,1.19437,-0.184791
28,1.18926,-0.202407
29,1.18792,-0.210402
30,1.18411,-0.232922
31,1.1828,-0.239489
32,1.17909,-0.257663
33,1.17609,-0.268223
34,1.17384,-0.27986
35,1.17013,-0.298845
36,1.16868,-0.30689
37,1.1633,-0.342918
38,1.16287,-0.346167
39,1.15982,-0.380039
40,1.15712,-0.409854
41,1.15674,-0.412043
42,1.15159,-0.430128
43,1.15031,-0.436268
44,1.14604,-0.447345
45,1.14389,-0.46242
46,1.14047,-0.491156
47,1.13742,-0.517103
48,1.13486,-0.537982
49,1.13084,-0.566975
50,1.12933,-0.576105
51,1.12499,-0.628834
52,1.12385,-0.640222
53,1.11884,-0.746719
54,1.11751,-0.789001
55,1.11277,-0.9777
56,1.11189,-1.00747
57,1.1063,-1.12791
58,1.10583,-1.13365
59,1.10236,-1.15726
60,1.09975,-1.17391
61,1.09941,-1.17295
62,1.09344,-1.16965
63,1.09242,-1.16314
64,1.08708,-1.12862
65,1.08535,-1.08681
66,1.08052,-1.02065
67,1.07863,-0.894329
68,1.07336,-0.504927
69,1.07181,-0.246749
70,1.06754,0.469691
71,1.07242,0.234368
72,1.07292,0.208409
73,1.07318,0.194541
74,1.08062,-0.179679
75,1.08078,-0.180776
76,1.08882,-0.262045
77,1.08897,-0.263628
78,1.08898,-0.263663
79,1.09669,-0.327973
80,1.10225,-0.329367
81,1.10527,-0.340087
82,1.11246,-0.348228
83,1.11335,-0.34783
84,1.1138,-0.345528
85,1.12115,-0.33799
86,1.12554,-0.29378
87,1.12937,-0.306397
88,1.13389,-0.34598
89,1.13798,-0.352646
90,1.14333,-0.327747
91,1.14826,-0.306763
92,1.15357,-0.258519
93,1.15861,-0.213855
94,1.16395,-0.185495
95,1.16757,-0.191994
96,1.17083,-0.225473
97,1.17347,-0.217594
98,1.18047,-0.187329
99,1.18329,-0.162834
100,1.18896,-0.134828
101,1.19223,-0.118773
102,1.19683,-0.111032
103,1.20076,-0.122747
104,1.20466,-0.123381
105,1.2092,-0.112459
106,1.21235,-0.0995106
107,1.21708,-0.0434492
108,1.22007,-0.0255881
109,1.22465,-0.0173797
110,1.22741,-0.0124439
111,1.23212,-0.0207983
112,1.23454,0.00324422
113,1.23957,0.053186
114,1.24158,0.0546423
115,1.24734,0.0893819
116,1.24882,0.105725
117,1.25489,0.151506
118,1.25619,0.162688
119,1.26183,0.309963
120,1.2637,0.308603
