"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.76829e+06,194161,2818.99,5.47231e+06,785114,2.58715e+06,3.592e+06
0.00189736,1.14475e-06,2.72423e+06,184274,2055.95,5.37813e+06,772487,2.53552e+06,3.45564e+06
0.00379474,2.28949e-06,2.68017e+06,174387,1292.94,5.28395e+06,759860,2.4839e+06,3.31929e+06
0.0056921,3.43424e-06,2.63611e+06,164500,529.896,5.18978e+06,747233,2.43227e+06,3.18293e+06
0.00758946,4.57898e-06,2.59206e+06,154613,-233.144,5.0956e+06,734606,2.38065e+06,3.04658e+06
0.00948684,5.97472e-06,2.51897e+06,142811,65.5108,4.95054e+06,725805,2.29765e+06,2.93861e+06
0.0113842,7.72859e-06,2.41406e+06,128911,1528.02,4.74969e+06,721198,2.18027e+06,2.86176e+06
0.0132816,9.54339e-06,2.30916e+06,115011,2990.53,4.54885e+06,716591,2.06289e+06,2.78491e+06
0.0151789,1.139e-05,2.20425e+06,101110,4453.09,4.348e+06,711984,1.94551e+06,2.70805e+06
0.0170763,1.32552e-05,2.09935e+06,87210.3,5915.6,4.14716e+06,707376,1.82813e+06,2.6312e+06
0.0189737,1.51321e-05,1.99444e+06,73310.2,7378.11,3.94631e+06,702769,1.71075e+06,2.55435e+06
0.020871,1.70167e-05,1.88953e+06,59409.7,8840.67,3.74547e+06,698162,1.59336e+06,2.4775e+06
0.0227684,1.89069e-05,1.78463e+06,45509.6,10303.2,3.54462e+06,693555,1.47598e+06,2.40065e+06
0.0246658,2.06486e-05,1.72699e+06,45931,8749.01,3.45324e+06,680946,1.40968e+06,2.37285e+06
0.0265631,2.23533e-05,1.69194e+06,53197.9,5752.87,3.41418e+06,664511,1.36779e+06,2.3685e+06
0.0284605,2.4092e-05,1.65689e+06,60464.8,2756.77,3.37512e+06,648077,1.32589e+06,2.36415e+06
0.0303579,2.58579e-05,1.62184e+06,67731.6,-239.321,3.33606e+06,631643,1.284e+06,2.3598e+06
0.0322552,2.76457e-05,1.58679e+06,74998.6,-3235.47,3.297e+06,615209,1.24211e+06,2.35545e+06
0.0341526,2.94515e-05,1.55174e+06,82265.5,-6231.56,3.25794e+06,598775,1.20022e+06,2.3511e+06
0.03605,3.12721e-05,1.51669e+06,89532.3,-9227.66,3.21888e+06,582341,1.15833e+06,2.34675e+06
0.0379473,3.31052e-05,1.48165e+06,96799.3,-12223.8,3.17982e+06,565907,1.11644e+06,2.3424e+06
0.0398447,3.49486e-05,1.4466e+06,104066,-15219.9,3.14076e+06,549472,1.07454e+06,2.33804e+06
0.0417421,3.6801e-05,1.41155e+06,111333,-18216,3.1017e+06,533038,1.03265e+06,2.33369e+06
0.0436394,3.8661e-05,1.3765e+06,118600,-21212.1,3.06264e+06,516604,990761,2.32934e+06
0.0455368,4.05275e-05,1.34145e+06,125867,-24208.2,3.02358e+06,500170,948869,2.32499e+06
0.0474342,4.30349e-05,1.29679e+06,134986,-29591.9,2.97456e+06,486794,894185,2.32411e+06
0.0493315,4.72847e-05,1.22631e+06,149077,-41386.4,2.89879e+06,481630,805153,2.33254e+06
0.0512289,5.15786e-05,1.15583e+06,163168,-53180.9,2.82302e+06,476466,716120,2.34097e+06
0.0531263,5.59066e-05,1.08536e+06,177260,-64975.4,2.74725e+06,471303,627087,2.34941e+06
0.0550236,6.02613e-05,1.01488e+06,191351,-76770,2.67148e+06,466139,538055,2.35784e+06
0.056921,6.46373e-05,944403,205443,-88564.5,2.59571e+06,460975,449022,2.36627e+06
0.0588184,6.89831e-05,917666,212183,-94296.4,2.56031e+06,457718,420232,2.38142e+06
0.0607157,7.33567e-05,917926,214386,-96286.2,2.54983e+06,455639,428626,2.40072e+06
0.0626131,7.77871e-05,918186,216589,-98276,2.53935e+06,453560,437021,2.42001e+06
0.0645105,8.22652e-05,918446,218792,-100266,2.52887e+06,451481,445416,2.43931e+06
0.0664078,8.67836e-05,918706,220995,-102256,2.51839e+06,449403,453811,2.45861e+06
0.0683052,9.13363e-05,918966,223198,-104245,2.50792e+06,447323,462206,2.4779e+06
0.0702026,9.59184e-05,919226,225401,-106235,2.49744e+06,445244,470601,2.4972e+06
0.0720999,0.000101017,900489,223360,-101705,2.45373e+06,438828,467667,2.48126e+06
0.0739973,0.000106389,871387,219004,-93616.9,2.39189e+06,430044,458553,2.44608e+06
0.0758947,0.000111762,842285,214648,-85529,2.33006e+06,421260,449438,2.41091e+06
0.077792,0.000117137,813181,210292,-77440.7,2.26822e+06,412476,440323,2.37573e+06
0.0796894,0.000122512,784078,205936,-69352.8,2.20638e+06,403692,431209,2.34056e+06
0.0815868,0.000127887,754976,201580,-61264.9,2.14455e+06,394909,422094,2.30538e+06
0.0834841,0.000133264,725872,197224,-53176.5,2.08271e+06,386125,412979,2.27021e+06
0.0853815,0.000138641,696770,192868,-45088.6,2.02088e+06,377341,403864,2.23503e+06
0.0872789,0.000144019,667667,188512,-37000.7,1.95904e+06,368557,394750,2.19986e+06
0.0891762,0.000149397,638565,184156,-28912.9,1.8972e+06,359774,385636,2.16469e+06
0.0910736,0.000154775,609461,179800,-20824.5,1.83537e+06,350990,376520,2.12951e+06
0.092971,0.000159801,592364,170389,-17081.5,1.78296e+06,349550,379529,2.17595e+06
0.0948683,0.000164743,578697,159532,-14580.4,1.73326e+06,350209,386004,2.24571e+06
0.0967657,0.000169704,565030,148674,-12079.1,1.68355e+06,350869,392478,2.31547e+06
0.0986631,0.000174682,551364,137818,-9577.96,1.63385e+06,351528,398952,2.38523e+06
0.10056,0.000179674,537698,126961,-7076.82,1.58414e+06,352187,405426,2.45499e+06
0.102458,0.000184681,524031,116103,-4575.52,1.53443e+06,352847,411900,2.52475e+06
0.104355,0.000189701,510364,105247,-2074.37,1.48473e+06,353506,418374,2.59451e+06
0.106253,0.000194733,496698,94389.7,426.772,1.43502e+06,354165,424849,2.66427e+06
0.10815,0.000201352,482621,94899.1,-1460.4,1.39346e+06,359101,421172,2.66632e+06
0.110047,0.000208413,468430,98582.4,-4572.94,1.35418e+06,365230,414662,2.64946e+06
0.111945,0.000215476,454239,102266,-7685.48,1.31489e+06,371359,408152,2.63259e+06
0.113842,0.000222542,440048,105949,-10797.9,1.27561e+06,377488,401642,2.61573e+06
0.115739,0.000229608,425857,109632,-13910.4,1.23633e+06,383617,395132,2.59887e+06
0.117637,0.000236677,411666,113315,-17023,1.19704e+06,389746,388622,2.582e+06
0.119534,0.000243746,397474,116998,-20135.4,1.15776e+06,395875,382111,2.56514e+06
0.121431,0.000250817,383284,120682,-23247.9,1.11847e+06,402005,375601,2.54828e+06
0.123329,0.000257889,369093,124365,-26360.4,1.07919e+06,408134,369091,2.53142e+06
0.125226,0.000264937,365374,132860,-29783.4,1.06882e+06,411315,361886,2.4896e+06
0.127124,0.000271843,426894,171327,-35141.2,1.23856e+06,396135,350354,2.29233e+06
0.129021,0.000278772,488413,209794,-40498.9,1.40831e+06,380954,338823,2.09506e+06
0.130918,0.000285762,531560,236120,-45033.4,1.53201e+06,370564,326567,1.95534e+06
0.132816,0.000292863,530135,232991,-47571,1.54403e+06,371794,312558,1.9552e+06
0.134713,0.000299976,528711,229861,-50108.6,1.55604e+06,373023,298549,1.95506e+06
