"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.80222e+06,195168,2679.85,5.5399e+06,793469,2.61931e+06,3.63618e+06
0.00189736,1.15801e-06,2.75756e+06,185149,1907.78,5.44445e+06,780683,2.56702e+06,3.49789e+06
0.00379474,2.31601e-06,2.71289e+06,175129,1135.73,5.34899e+06,767897,2.51473e+06,3.3596e+06
0.0056921,3.47402e-06,2.66823e+06,165109,363.664,5.25354e+06,755111,2.46245e+06,3.22131e+06
0.00758946,4.63203e-06,2.62356e+06,155090,-408.405,5.15809e+06,742325,2.41016e+06,3.08302e+06
0.00948684,6.04397e-06,2.54948e+06,143124,-105.843,5.01107e+06,733421,2.32608e+06,2.97353e+06
0.0113842,7.81853e-06,2.44316e+06,129025,1374.76,4.80751e+06,728772,2.20716e+06,2.89562e+06
0.0132816,9.65493e-06,2.33684e+06,114926,2855.35,4.60396e+06,724123,2.08823e+06,2.81771e+06
0.0151789,1.15237e-05,2.23051e+06,100827,4336,4.4004e+06,719474,1.96931e+06,2.7398e+06
0.0170763,1.34112e-05,2.12419e+06,86727.8,5816.6,4.19684e+06,714825,1.85039e+06,2.66189e+06
0.0189737,1.53106e-05,2.01786e+06,72628.8,7297.2,3.99329e+06,710176,1.73146e+06,2.58398e+06
0.020871,1.72179e-05,1.91154e+06,58529.4,8777.85,3.78973e+06,705528,1.61254e+06,2.50607e+06
0.0227684,1.91308e-05,1.80521e+06,44430.4,10258.4,3.58617e+06,700879,1.49361e+06,2.42816e+06
0.0246658,2.08928e-05,1.74679e+06,44851.3,8675.19,3.49351e+06,688127,1.42647e+06,2.40001e+06
0.0265631,2.26172e-05,1.71127e+06,52212.7,5627.4,3.45385e+06,671501,1.38408e+06,2.39564e+06
0.0284605,2.43763e-05,1.67575e+06,59573.9,2579.65,3.41419e+06,654875,1.34169e+06,2.39127e+06
0.0303579,2.6163e-05,1.64022e+06,66935.2,-468.093,3.37453e+06,638250,1.2993e+06,2.3869e+06
0.0322552,2.7972e-05,1.6047e+06,74296.6,-3515.89,3.33488e+06,621624,1.2569e+06,2.38254e+06
0.0341526,2.97994e-05,1.56918e+06,81657.8,-6563.63,3.29522e+06,604999,1.21451e+06,2.37817e+06
0.03605,3.16418e-05,1.53366e+06,89019.1,-9611.38,3.25556e+06,588373,1.17212e+06,2.3738e+06
0.0379473,3.34969e-05,1.49814e+06,96380.5,-12659.2,3.2159e+06,571748,1.12973e+06,2.36943e+06
0.0398447,3.53626e-05,1.46261e+06,103742,-15706.9,3.17624e+06,555122,1.08734e+06,2.36506e+06
