"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,2.62935e+06,186463,1666.1,5.19706e+06,751073,2.45767e+06,3.41536e+06
0.00189736,1.09234e-06,2.5875e+06,177034,900.289,5.10769e+06,739120,2.40871e+06,3.28615e+06
0.00379474,2.18469e-06,2.54564e+06,167606,134.495,5.01833e+06,727167,2.35976e+06,3.15693e+06
0.0056921,3.27703e-06,2.50379e+06,158177,-631.319,4.92897e+06,715214,2.3108e+06,3.02771e+06
0.00758946,4.36938e-06,2.46193e+06,148749,-1397.13,4.8396e+06,703261,2.26184e+06,2.89849e+06
0.00948684,5.69936e-06,2.39251e+06,137478,-1152.52,4.7019e+06,694953,2.18308e+06,2.79621e+06
0.0113842,7.36856e-06,2.29287e+06,124188,199.735,4.51122e+06,690640,2.07166e+06,2.72346e+06
0.0132816,9.09561e-06,2.19322e+06,110898,1551.99,4.32053e+06,686327,1.96024e+06,2.6507e+06
0.0151789,1.0853e-05,2.09357e+06,97607.4,2904.3,4.12984e+06,682014,1.84881e+06,2.57795e+06
0.0170763,1.26279e-05,1.99393e+06,84317.4,4256.56,3.93915e+06,677701,1.73739e+06,2.5052e+06
0.0189737,1.4414e-05,1.89428e+06,71027.5,5608.82,3.74846e+06,673388,1.62597e+06,2.43245e+06
0.020871,1.62076e-05,1.79464e+06,57737.1,6961.12,3.55777e+06,669076,1.51454e+06,2.35969e+06
0.0227684,1.80063e-05,1.69499e+06,44447.2,8313.38,3.36708e+06,664763,1.40312e+06,2.28694e+06
0.0246658,1.96678e-05,1.64018e+06,44803,6789.36,3.28018e+06,652826,1.34013e+06,2.26066e+06
0.0265631,2.12958e-05,1.60679e+06,51681.5,3890.47,3.24289e+06,637245,1.30029e+06,2.25659e+06
0.0284605,2.29561e-05,1.5734e+06,58559.8,991.625,3.2056e+06,621663,1.26045e+06,2.25253e+06
0.0303579,2.46422e-05,1.54002e+06,65438.2,-1907.22,3.1683e+06,606082,1.22061e+06,2.24846e+06
0.0322552,2.63492e-05,1.50663e+06,72316.7,-4806.11,3.13101e+06,590501,1.18077e+06,2.24439e+06
0.0341526,2.80732e-05,1.47324e+06,79195,-7704.96,3.09372e+06,574920,1.14093e+06,2.24032e+06
0.03605,2.98112e-05,1.43986e+06,86073.4,-10603.8,3.05643e+06,559338,1.10109e+06,2.23626e+06
0.0379473,3.15611e-05,1.40647e+06,92951.9,-13502.7,3.01914e+06,543757,1.06125e+06,2.23219e+06
0.0398447,3.33208e-05,1.37308e+06,99830.2,-16401.5,2.98185e+06,528176,1.02141e+06,2.22812e+06
0.0417421,3.5089e-05,1.3397e+06,106709,-19300.4,2.94455e+06,512595,981568,2.22405e+06
0.0436394,3.68643e-05,1.30631e+06,113587,-22199.3,2.90726e+06,497013,941728,2.21999e+06
0.0455368,3.86459e-05,1.27292e+06,120465,-25098.1,2.86997e+06,481432,901888,2.21592e+06
0.0474342,4.10346e-05,1.23043e+06,129127,-30265.7,2.82319e+06,468744,849911,2.21506e+06
0.0493315,4.50738e-05,1.16347e+06,142577,-41525.1,2.75093e+06,463824,765345,2.22279e+06
