"PointID","x","y","Displacement_x","Displacement_y","Sxx","Syy","Sxy","Von_Mises_Stress"
0, 1.000080000000000e+00, 1.257210000000000e-03, -6.634545766569984e-05, 2.543162125555662e-02, -1.056698718344327e+04, -1.075948581407401e+04, 1.359528318606766e+03, 2.725862197391804e+03
1, 9.798550000000000e-01, 5.416750000000000e-03, -1.886943335190734e-04, 2.478311878209154e-02, -1.327820375963215e+04, -8.175790758674291e+03, 1.602237562739313e+03, 6.025220266691917e+03
2, 9.596080000000000e-01, 9.461560000000001e-03, -3.069776620531507e-04, 2.413453112822261e-02, -1.671963462743067e+04, -4.475045123798480e+03, 5.143110362321247e+03, 1.599175753031931e+04
3, 9.393450000000000e-01, 1.339430000000000e-02, -4.210416894666816e-04, 2.348676408324571e-02, -2.221018536009276e+04, -2.367978642754827e+03, 8.153940114707399e+03, 2.568384949711605e+04
4, 9.190670000000000e-01, 1.721730000000000e-02, -5.308916156850347e-04, 2.284041882151510e-02, -3.592923474923163e+04, -2.108713885187520e+03, 1.135457071537424e+04, 4.073736289988565e+04
5, 8.987730000000000e-01, 2.093270000000000e-02, -6.366198390670722e-04, 2.219560383085583e-02, -4.373184408084306e+04, -1.392338677270834e+03, 1.331075777932840e+04, 5.001338629266096e+04
6, 8.784640000000000e-01, 2.454230000000000e-02, -7.383322058487535e-04, 2.155257579804684e-02, -5.095159273659722e+04, -1.512355321384506e+03, 1.456464696642350e+04, 5.738252313399930e+04
7, 8.581410000000000e-01, 2.804760000000000e-02, -8.361398395612643e-04, 2.091140909622733e-02, -5.906765191414859e+04, -2.092084330453329e+02, 1.547457061480119e+04, 6.649936625162754e+04
8, 8.378050000000000e-01, 3.144970000000000e-02, -9.299195765462058e-04, 2.027249740442538e-02, -8.728593288186702e+04, 2.800358493356336e+03, 1.665904491125501e+04, 9.605016919903102e+04
9, 8.174540000000000e-01, 3.474970000000000e-02, -1.019157372253560e-03, 1.963550283375393e-02, -9.984396635420775e+04, 2.549147298844176e+03, 2.422261913487756e+04, 1.132752878371102e+05
10, 7.970910000000000e-01, 3.794800000000000e-02, -1.104704489858883e-03, 1.900120623744635e-02, -1.077080762206937e+05, 3.328917657358831e+03, 2.160516021660532e+04, 1.191484192149246e+05
11, 7.767150000000000e-01, 4.104500000000000e-02, -1.186154006026850e-03, 1.836979064667916e-02, -1.301285405297747e+05, 3.833418436721206e+03, 2.407181224209940e+04, 1.423503250035513e+05
12, 7.563270000000000e-01, 4.404060000000000e-02, -1.263502571254258e-03, 1.774091925757991e-02, -1.474187472635866e+05, 5.396336001320022e+03, 2.469107642187241e+04, 1.605959111955946e+05
13, 7.359270000000000e-01, 4.693450000000000e-02, -1.336761460337984e-03, 1.711503987304908e-02, -1.619689799662126e+05, 5.541839749114133e+03, 2.628920716716212e+04, 1.755686884829199e+05
14, 7.155150000000000e-01, 4.972610000000000e-02, -1.406119431483907e-03, 1.649227940493757e-02, -1.748694052979958e+05, 5.846899379972214e+03, 2.743112283275839e+04, 1.888603949374344e+05
15, 6.950930000000000e-01, 5.241420000000000e-02, -1.471528189884471e-03, 1.587272321963042e-02, -1.864388149630726e+05, 7.614828424080759e+03, 2.769216208514726e+04, 2.018024773773324e+05
16, 6.746590000000000e-01, 5.499760000000000e-02, -1.533112466670557e-03, 1.525655881194930e-02, -2.210935578436119e+05, 1.275902078406061e+04, 2.642334596287472e+04, 2.397494554285928e+05
17, 6.542150000000000e-01, 5.747460000000000e-02, -1.589815990333464e-03, 1.464349597486915e-02, -2.369822148093560e+05, 1.099480714961989e+04, 3.433157203614766e+04, 2.573076578214010e+05
18, 6.337610000000000e-01, 5.984290000000000e-02, -1.642942456744159e-03, 1.403423551738941e-02, -2.427470004216919e+05, 1.073250983500940e+04, 2.984092508491283e+04, 2.604108011578450e+05
19, 6.132970000000000e-01, 6.210030000000000e-02, -1.691852802071044e-03, 1.342885378882987e-02, -2.644505869423097e+05, 9.931019590107688e+03, 3.087343138958614e+04, 2.812435618220979e+05
20, 5.928230000000000e-01, 6.424370000000000e-02, -1.736524818937083e-03, 1.282675435404916e-02, -2.738445297635669e+05, 1.045793764618338e+04, 3.297562008262082e+04, 2.918517758291107e+05
21, 5.723410000000000e-01, 6.627000000000000e-02, -1.777072889581535e-03, 1.222896927518952e-02, -3.047588930857390e+05, 1.442387764928497e+04, 2.763921949003386e+04, 3.239341707047281e+05
22, 5.518500000000000e-01, 6.817540000000000e-02, -1.812637681763783e-03, 1.163530017781164e-02, -3.292125958320724e+05, 2.177774202654666e+04, 2.808533701112377e+04, 3.554565541528545e+05
23, 5.313510000000000e-01, 6.995570000000000e-02, -1.843800642984859e-03, 1.104622395625247e-02, -3.453936984379605e+05, 3.548562116701750e+04, 2.986078568231829e+04, 3.855330364430684e+05
24, 5.108440000000000e-01, 7.160630000000000e-02, -1.870374142402882e-03, 1.046103204788959e-02, -3.686981485034868e+05, 4.413851463714139e+04, 3.445410007729087e+04, 4.185480264935343e+05
25, 4.903300000000000e-01, 7.312210000000000e-02, -1.891927114711187e-03, 9.879688387739134e-03, -3.959686515867561e+05, 4.482647791993898e+04, 3.986545242726192e+04, 4.479479471833142e+05
26, 4.698100000000000e-01, 7.449720000000000e-02, -1.908374232493346e-03, 9.302728812669541e-03, -4.233579494917192e+05, 4.836575075537842e+04, 4.119990968838460e+04, 4.788663483772250e+05
27, 4.492840000000000e-01, 7.572540000000000e-02, -1.919575007458273e-03, 8.730999260443968e-03, -4.942771990655164e+05, 5.341106117316604e+04, 3.503093289248764e+04, 5.521513338212149e+05
28, 4.287520000000000e-01, 7.679970000000000e-02, -1.923868016957635e-03, 8.163842795383501e-03, -5.392016336476916e+05, 5.377858371400062e+04, 3.837351365910182e+04, 5.979261195034893e+05
29, 4.082160000000000e-01, 7.771220000000000e-02, -1.922513817146057e-03, 7.603365937475854e-03, -6.087015696381177e+05, 5.435161379207129e+04, 2.610474917879573e+04, 6.651055222862453e+05
30, 3.875760000000000e-01, 7.844390000000000e-02, -1.913594873173025e-03, 7.046192109364310e-03, -6.596295746319237e+05, 5.612827279322942e+04, 3.436808523453146e+04, 7.190507334544905e+05
31, 3.668650000000000e-01, 7.894160000000000e-02, -1.896920156580274e-03, 6.495032844550066e-03, -7.356108336586981e+05, 5.660527190030088e+04, 1.689927383987500e+04, 7.929367564518166e+05
32, 3.461490000000000e-01, 7.918989999999999e-02, -1.870902354378960e-03, 5.951497631663505e-03, -8.058975679842912e+05, 5.517404132636511e+04, 2.071182695000428e+04, 8.620674193259312e+05
33, 3.254310000000000e-01, 7.917720000000000e-02, -1.836123883900040e-03, 5.416875426746012e-03, -8.746717901933929e+05, 5.246168728059549e+04, 7.782012833869613e+03, 9.272641069015864e+05
34, 3.047140000000000e-01, 7.889030000000000e-02, -1.792018132629396e-03, 4.892245570661400e-03, -9.579475090055664e+05, 5.134096104357702e+04, -5.841533796968619e+03, 1.009356086741713e+06
35, 2.840020000000000e-01, 7.831420000000000e-02, -1.738151611030475e-03, 4.378621073640290e-03, -1.056661430886742e+06, 4.802446437991804e+04, -2.370940388625214e+04, 1.105703156607445e+06
36, 2.632960000000000e-01, 7.743220000000001e-02, -1.674006338552145e-03, 3.877099564254429e-03, -1.165017964404483e+06, 4.529798976307314e+04, -4.248469397347682e+04, 1.213294896470187e+06
37, 2.426010000000000e-01, 7.622460000000000e-02, -1.599247475587317e-03, 3.389334878939439e-03, -1.291992041750265e+06, 4.469674827436268e+04, -6.803694578059568e+04, 1.343597047236302e+06
38, 2.219220000000000e-01, 7.466879999999999e-02, -1.513206633080331e-03, 2.916763488794767e-03, -1.440023687061361e+06, 4.185481009871711e+04, -9.965888054016352e+04, 1.495222876439324e+06
39, 2.012640000000000e-01, 7.273780000000001e-02, -1.414922220916608e-03, 2.461864020422901e-03, -1.612430894032844e+06, 3.848207120323025e+04, -1.329311989129836e+05, 1.672183133918752e+06
40, 1.806310000000000e-01, 7.039890000000000e-02, -1.304120694713430e-03, 2.026888665173506e-03, -1.814881491524233e+06, 3.220957835388294e+04, -1.744911543311633e+05, 1.879769685941011e+06
41, 1.600330000000000e-01, 6.761140000000000e-02, -1.179002594722091e-03, 1.615361266726332e-03, -2.054327793133087e+06, 2.373863399498803e+04, -2.114345839034988e+05, 2.120655183814338e+06
42, 1.394760000000000e-01, 6.432340000000000e-02, -1.039228723043746e-03, 1.230889587110568e-03, -2.286586082890445e+06, 2.003591472539323e+04, -2.463592700482201e+05, 2.358659916062518e+06
43, 1.189730000000000e-01, 6.046550000000000e-02, -8.866509674437630e-04, 8.770696064496640e-04, -2.586942202304427e+06, -2.549441277705491e+02, -3.511176345282877e+05, 2.680314411542128e+06
44, 9.853700000000000e-02, 5.594070000000000e-02, -7.144662800988086e-04, 5.653595060717968e-04, -3.153987247538096e+06, -2.571890829680669e+04, -5.052281584666721e+05, 3.287413081851740e+06
45, 7.818849999999999e-02, 5.060340000000000e-02, -5.186907467756584e-04, 3.052907856465357e-04, -3.969246394589903e+06, -6.802685413102662e+04, -6.746813480613979e+05, 4.127989048985710e+06
46, 5.795880000000000e-02, 4.421300000000000e-02, -2.902105710644255e-04, 1.115183037462484e-04, -5.450931333296222e+06, -1.968504084858945e+05, -7.034005667448356e+05, 5.439159474922901e+06
47, 3.790390000000000e-02, 3.630690000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.934598515537652e+06, -5.796821432687795e+05, 1.479729216840767e+05, 3.367944151426003e+06
48, 1.815790000000000e-02, 2.570150000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.421862456570815e+05, 7.912882168698400e+04, 1.700411409847473e+04, 6.222451064442825e+05
49, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.680853140591252e+04, -1.846110457809025e+04, -1.197158506619552e+05, 2.457280453278917e+05
50, 2.265850000000000e-02, -2.172400000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.624892892974335e+05, -4.392626197045964e+04, 1.417904118972383e+05, 6.694459682778713e+05
51, 4.372870000000000e-02, -2.856010000000000e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.968523949067107e+06, 7.727609947780033e+05, 7.612192984299631e+05, 3.539875723978942e+06
