"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho]"  ,  "rms[RhoU]"  ,  "rms[RhoV]"  ,  "rms[RhoE]"  ,      "CD"     ,      "CL"     ,     "CSF"     ,     "CMx"     ,     "CMy"     ,     "CMz"     ,     "CFx"     ,     "CFy"     ,     "CFz"     ,     "CEff"    ,   "avg[bgs]"  ,    "rms[U][1]"   ,    "rms[R][1]"   ,    "rms[E][1]"   ,  "rms[DispX][1]" ,  "rms[DispY][1]" ,  "rms[DispZ][1]" ,   "avg[bgs][1]"  
          0,           0,           0,      -1.885455867,      0.3088090547,      0.2979776597,       3.608328303,      0.0407142582,      0.7091680991,                 0,                 0,                 0,      0.1132310326,     0.01593984644,      0.7101570002,                 0,       17.41817561,       1.684984699,      -3.308896765,       3.533608776,      -1.728894981,                 0,                 0,                 0,      -1.562281364
          0,           1,           0,      -2.303036889,      -0.251308523,    -0.08470212728,       3.183181291,      0.0114550392,      0.3406064127,                 0,                 0,                 0,     0.07951203034,  -0.0004389312789,      0.3407986995,                 0,       29.73419879,       1.292234314,      -3.818075631,       2.919331316,      -3.086126584,                 0,                 0,                 0,      -1.823053097
          0,           2,           0,      -2.767193796,     -0.5432288955,     -0.5307690811,       2.720435287,     0.01859136893,      0.4784421997,                 0,                 0,                 0,     0.08723703737,    0.001882651603,      0.4787995751,                 0,        25.7346407,      0.9096159119,      -4.350135782,       2.354718774,      -4.332896277,                 0,                 0,                 0,      -2.160286028
          0,           3,           0,      -3.323713257,       -1.19080888,      -1.085637144,       2.161026131,     0.01587794596,       0.436228221,                 0,                 0,                 0,     0.08455005735,   0.0006441281867,      0.4365166149,                 0,       27.47384467,      0.4318419738,      -4.408163998,       2.287981488,      -4.477084795,                 0,                 0,                 0,      -2.490663486
          0,           4,           0,      -3.781533985,      -1.625908527,      -1.547050321,       1.704541251,     0.01670430481,      0.4498715171,                 0,                 0,                 0,     0.08540792737,   0.0009938394709,      0.4501804394,                 0,       26.93147199,    -0.04978759111,      -4.466211633,       2.225420857,      -4.602556025,                 0,                 0,                 0,      -2.821256015
          0,           5,           0,      -4.294646054,       -2.12477751,       -2.05460963,       1.190306743,     0.01643206788,      0.4454165677,                 0,                 0,                 0,     0.08511665723,   0.0008772438771,      0.4457187028,                 0,       27.10654379,     -0.5360859393,      -4.512976171,        2.16388175,      -4.714235914,                 0,                 0,                 0,      -3.147262407
          0,           6,           0,      -4.778580939,      -2.610435276,      -2.542220609,      0.7070067469,     0.01651988402,      0.4468599864,                 0,                 0,                 0,     0.08521137121,   0.0009146319359,       0.447164307,                 0,       27.04982588,      -1.022054772,      -4.545653342,       2.048859034,      -4.880190556,                 0,                 0,                 0,      -3.488637506
          0,           7,           0,      -5.296854112,      -3.120428065,      -3.057533417,      0.1886373484,     0.01649262407,      0.4464107802,                 0,                 0,                 0,     0.08518118652,   0.0009030656569,      0.4467144231,                 0,       27.06729859,      -1.527728154,      -5.157157273,       1.409077908,      -6.132840119,                 0,                 0,                 0,       -3.84478495
          0,           8,           0,       -5.83067686,      -3.648112625,      -3.589603801,     -0.3456043064,     0.01650064223,      0.4465429131,                 0,                 0,                 0,     0.08519023854,   0.0009064675576,      0.4468467553,                 0,       27.06215352,      -2.060572039,       -5.64490518,      0.9327842641,      -7.097627855,                 0,                 0,                 0,      -4.189867294
          0,           9,           0,      -6.344937119,       -4.16277221,      -4.103550432,     -0.8598862601,     0.01649820551,      0.4465027996,                 0,                 0,                 0,     0.08518749021,   0.0009054322693,      0.4468065812,                 0,        27.0637191,      -2.578368172,      -6.176640455,      0.3975307201,      -8.164200834,                 0,                 0,                 0,       -4.53758152
          0,          10,           0,      -6.867439755,      -4.684043061,      -4.624469915,      -1.382345585,     0.01649893882,      0.4465148642,                 0,                 0,                 0,      0.0851883168,   0.0009057440809,      0.4468186641,                 0,       27.06324747,      -3.100061471,      -6.693507985,     -0.1182461194,       -9.19710578,                 0,                 0,                 0,      -4.884532895
          0,          11,           0,      -7.392561099,      -5.202291213,      -5.146740514,      -1.907405397,     0.01649871747,      0.4465112259,                 0,                 0,                 0,     0.08518806745,   0.0009056498368,      0.4468150203,                 0,       27.06339004,      -3.620283227,      -7.215969424,     -0.6409762202,      -10.24209983,                 0,                 0,                 0,      -5.231956295
          0,          12,           0,      -7.921786243,      -5.726379207,      -5.676160074,      -2.436525521,     0.01649878411,      0.4465123192,                 0,                 0,                 0,     0.08518814197,   0.0009056782856,      0.4468161153,                 0,       27.06334698,      -4.142121001,      -7.738949682,      -1.163972847,      -11.28807689,                 0,                 0,                 0,      -5.580602658
          0,          13,           0,      -8.453861425,       -6.24772466,      -6.204851208,      -2.968087391,     0.01649876414,      0.4465119914,                 0,                 0,                 0,     0.08518811965,   0.0009056697701,      0.4468157869,                 0,       27.06335987,      -4.663043201,      -8.262133913,      -1.687229063,      -12.33456575,                 0,                 0,                 0,      -5.929376329
          0,          14,           0,      -9.002502927,      -6.779991362,       -6.75014288,      -3.516679361,     0.01649877014,        0.44651209,                 0,                 0,                 0,     0.08518812645,   0.0009056723234,      0.4468158857,                 0,       27.06335601,      -5.185149981,      -8.780389838,      -2.205484648,       -13.3714048,                 0,                 0,                 0,      -6.275543879
          0,          15,           0,      -9.545718713,      -7.297293803,      -7.288649357,      -4.058903494,     0.01649876833,      0.4465120601,                 0,                 0,                 0,     0.08518812434,   0.0009056715555,      0.4468158557,                 0,       27.06335717,      -5.704035415,      -9.293931227,      -2.719102634,       -14.3989638,                 0,                 0,                 0,       -6.61849718
          0,          16,           0,       -10.0818824,      -7.835946086,      -7.822088803,      -4.595409182,     0.01649876888,      0.4465120693,                 0,                 0,                 0,       0.085188125,   0.0009056717909,      0.4468158649,                 0,       27.06335681,      -6.219574898,       -9.80129012,      -3.226738381,      -15.41464453,                 0,                 0,                 0,      -6.957548857
          0,          17,           0,      -10.50084198,      -8.260343403,      -8.253865735,      -5.012506891,     0.01649876871,      0.4465120664,                 0,                 0,                 0,     0.08518812479,   0.0009056717173,       0.446815862,                 0,       27.06335692,      -6.713264689,      -10.30032861,      -3.725750458,      -16.41324405,                 0,                 0,                 0,      -7.291264756
          0,          18,           0,      -10.98387872,      -8.736674763,      -8.811028743,      -5.488017635,     0.01649876876,      0.4465120673,                 0,                 0,                 0,     0.08518812486,   0.0009056717401,      0.4468158629,                 0,       27.06335689,       -7.24300013,      -10.81729179,      -4.238302547,      -17.43802743,                 0,                 0,                 0,      -7.633132485
          0,          19,           0,       -11.5141734,      -9.273789549,      -9.338013493,      -6.019126881,     0.01649876875,       0.446512067,                 0,                 0,                 0,     0.08518812484,   0.0009056717332,      0.4468158627,                 0,        27.0633569,      -7.794522466,       -11.3919038,      -4.814895329,      -18.58762085,                 0,                 0,                 0,      -8.008324425
