"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.3505471492,       2.046003134,       2.119025148,       5.135418527,      0.1159909306,      0.1971544723,                 0,                 0,                 0,     0.09956917128,      0.1090396802,      0.2010823962,                 0,       1.699740414
          0,           0,           1,     -0.5803964832,        1.88908422,       1.859295756,       4.908552271,      0.1471992612,      0.2377811434,                 0,                 0,                 0,      0.1100247429,      0.1388111491,      0.2427734737,                 0,       1.615369136
          0,           0,           2,     -0.7179023888,       1.760225025,       1.789804773,       4.757805361,       0.113455326,      0.2652186626,                 0,                 0,                 0,       0.104946508,      0.1041302142,      0.2690166323,                 0,       2.337648412
          0,           0,           3,     -0.7252153544,       1.710528695,       1.705298415,       4.754469215,     0.07840237029,      0.3030513705,                 0,                 0,                 0,      0.1063914637,     0.06777826938,       0.305602963,                 0,       3.865334292
          0,           0,           4,     -0.7578566279,        1.68407416,        1.61703482,       4.732591815,     0.06066390059,      0.3450588336,                 0,                 0,                 0,      0.1114913096,     0.04858456615,      0.3469657727,                 0,       5.688042316
          0,           0,           5,     -0.7913710646,       1.661810648,       1.586669533,       4.700437307,     0.05363269212,      0.3852026339,                 0,                 0,                 0,      0.1165919313,     0.04015664248,      0.3868397329,                 0,        7.18223566
          0,           0,           6,     -0.8263871642,       1.612845943,       1.561676563,       4.657182312,     0.05055008018,      0.4219407424,                 0,                 0,                 0,       0.120567157,     0.03579376688,      0.4234478798,                 0,       8.346984632
          0,           0,           7,     -0.8661125656,       1.528070191,       1.511234238,       4.608037089,     0.04809952663,      0.4559824085,                 0,                 0,                 0,      0.1235241012,     0.03215666914,      0.4573832856,                 0,       9.479977048
          0,           0,           8,     -0.9024153987,        1.44522325,       1.455084598,       4.569478152,     0.04530590726,      0.4875787191,                 0,                 0,                 0,      0.1255022559,     0.02826205623,      0.4888628527,                 0,       10.76192374
          0,           0,           9,     -0.9248307415,       1.421138523,       1.422579533,       4.554132049,     0.04228277868,      0.5170190801,                 0,                 0,                 0,      0.1265179646,     0.02421331548,      0.5181797738,                 0,       12.22765145
          0,           0,          10,     -0.9367817976,       1.443912449,       1.416780598,       4.552393224,     0.03933923582,      0.5443040689,                 0,                 0,                 0,      0.1264891867,     0.02031933336,      0.5453454131,                 0,       13.83616274
          0,           0,          11,     -0.9529097177,       1.455965704,       1.410846452,       4.543332493,     0.03672913722,      0.5691949938,                 0,                 0,                 0,      0.1253213723,     0.01684214401,       0.570130084,                 0,       15.49709677
          0,           0,          12,      -0.982599043,        1.43378255,       1.383268549,       4.515415845,     0.03463004475,      0.5912021259,                 0,                 0,                 0,      0.1230024912,     0.01397629242,      0.5920505527,                 0,        17.0719423
          0,           0,          13,      -1.024400997,       1.378369049,       1.327623932,       4.469931363,     0.03316124143,      0.6099075328,                 0,                 0,                 0,      0.1196708181,     0.01185557456,      0.6106933043,                 0,       18.39218035
          0,           0,          14,      -1.070284924,       1.302980844,       1.250836615,        4.41671068,     0.03242400884,      0.6252487097,                 0,                 0,                 0,      0.1155963837,     0.01058339172,      0.6259994067,                 0,       19.28351034
          0,           0,          15,      -1.110469111,       1.230451889,        1.17238213,       4.370041107,      0.0324256874,      0.6374324369,                 0,                 0,                 0,      0.1112807861,     0.01015986332,      0.6381757705,                 0,       19.65825517
          0,           0,          16,      -1.142872675,       1.182415004,       1.122242275,       4.336189963,     0.03308975703,      0.6465298162,                 0,                 0,                 0,      0.1071394195,     0.01050603445,      0.6472907836,                 0,       19.53866919
          0,           0,          17,      -1.169723784,       1.153161765,       1.105501819,       4.312563179,      0.0342696461,      0.6529883354,                 0,                 0,                 0,      0.1035615487,      0.0114598057,       0.653786546,                 0,       19.05442308
          0,           0,          18,      -1.197545445,       1.124754395,       1.099788653,       4.289590517,     0.03574988899,      0.6574345468,                 0,                 0,                 0,      0.1008702851,     0.01278397633,      0.6582817086,                 0,       18.38983464
          0,           0,          19,      -1.230858874,       1.086011312,       1.084802274,        4.26026847,     0.03731866149,      0.6604775952,                 0,                 0,                 0,     0.09923919556,     0.01424559231,      0.6613776526,                 0,       17.69831952
          0,           0,          20,      -1.270517377,       1.036293896,       1.052492631,        4.22275565,     0.03878024196,      0.6626105038,                 0,                 0,                 0,     0.09868219461,     0.01563184499,      0.6635602703,                 0,       17.08629112
          0,           0,          21,        -1.3137815,      0.9809065741,       1.002574019,       4.179653059,     0.03998866898,      0.6643107977,                 0,                 0,                 0,     0.09912836177,     0.01678019647,      0.6653017019,                 0,       16.61247585
          0,           0,          22,      -1.358218935,      0.9272464962,      0.9389348098,       4.133776858,     0.04085443199,      0.6659765949,                 0,                 0,                 0,      0.1004291271,      0.0175872966,      0.6669966991,                 0,       16.30120803
          0,           0,          23,      -1.403433181,      0.8796186881,      0.8699724452,       4.086162848,     0.04135008906,      0.6679301033,                 0,                 0,                 0,      0.1023854307,     0.01801447527,      0.6689663156,                 0,       16.15305114
          0,           0,          24,      -1.449945789,      0.8368191021,      0.8052700429,       4.037010896,     0.04150534416,      0.6704007927,                 0,                 0,                 0,      0.1047823769,     0.01808340997,      0.6714409183,                 0,       16.15215598
          0,           0,          25,       -1.49802663,      0.7958645928,      0.7538171419,       3.986593573,     0.04137525481,      0.6734028561,                 0,                 0,                 0,      0.1073607945,     0.01784862937,      0.6744366129,                 0,        16.2754975
          0,           0,          26,      -1.546785457,      0.7525861406,       0.717730301,       3.936059607,     0.04103872738,      0.6768796671,                 0,                 0,                 0,      0.1098778811,     0.01739096798,      0.6778995612,                 0,       16.49368073
          0,           0,          27,      -1.592385618,      0.7062149919,       0.691639457,       3.889384129,     0.04058452527,      0.6807248277,                 0,                 0,                 0,      0.1121378811,      0.0168028484,       0.681726528,                 0,       16.77301442
