"Time_Iter","Outer_Iter","Inner_Iter",     "rms[U]"     ,     "rms[R]"     ,     "rms[E]"     ,   "rms[DispX]"   ,   "rms[DispY]"   ,   "rms[DispZ]"   
          0,           0,           0,     -0.6083229486,       3.732409532,       2.457656729,                 0,                 0,                 0
          0,           0,           1,       -1.79936676,       5.200698398,       1.615499386,                 0,                 0,                 0
          0,           0,           2,      -1.946884138,       4.767965787,      0.7930010338,                 0,                 0,                 0
          0,           0,           3,      -2.344949785,       4.361987674,     -0.0330500535,                 0,                 0,                 0
          0,           0,           4,      -2.834460768,       3.953253083,     -0.8786056877,                 0,                 0,                 0
          0,           0,           5,      -3.308896765,       3.533608776,      -1.728894981,                 0,                 0,                 0
          0,           1,           0,      -1.017215166,       3.504886246,       1.662805449,                 0,                 0,                 0
          0,           1,           1,      -2.033044768,       4.616494298,      0.3438855565,                 0,                 0,                 0
          0,           1,           2,      -2.457984202,        4.19887983,     -0.5065122754,                 0,                 0,                 0
          0,           1,           3,      -2.923852633,       3.778739034,       -1.36444737,                 0,                 0,                 0
          0,           1,           4,      -3.375724063,       3.350579866,      -2.225111304,                 0,                 0,                 0
          0,           1,           5,      -3.818075631,       2.919331316,      -3.086126584,                 0,                 0,                 0
          0,           2,           0,      -1.515725579,       3.089314529,      0.6789389985,                 0,                 0,                 0
          0,           2,           1,      -2.538058496,       4.079271544,     -0.8225355529,                 0,                 0,                 0
          0,           2,           2,      -3.019478989,       3.659061244,      -1.710468127,                 0,                 0,                 0
          0,           2,           3,      -3.469667473,       3.226243795,       -2.58689073,                 0,                 0,                 0
          0,           2,           4,      -3.911311723,       2.790628056,      -3.460731031,                 0,                 0,                 0
          0,           2,           5,      -4.350135782,       2.354718774,      -4.332896277,                 0,                 0,                 0
          0,           3,           0,      -2.012482588,       2.625814705,       -0.31825464,                 0,                 0,                 0
          0,           3,           1,      -3.029192426,       3.576865524,      -1.832367841,                 0,                 0,                 0
          0,           3,           2,      -3.519702759,        3.15793346,      -2.724112302,                 0,                 0,                 0
          0,           3,           3,      -3.967605815,       2.724059568,      -3.602149828,                 0,                 0,                 0
          0,           3,           4,      -4.408163998,       2.287981488,      -4.477084795,                 0,                 0,                 0
          0,           4,           0,       -2.50573454,       2.213776347,      -1.304290274,                 0,                 0,                 0
          0,           4,           1,      -3.527638615,       3.078763335,      -2.830822721,                 0,                 0,                 0
          0,           4,           2,      -4.018461075,       2.659538808,      -3.723860792,                 0,                 0,                 0
          0,           4,           3,      -4.466211633,       2.225420857,      -4.602556025,                 0,                 0,                 0
          0,           5,           0,      -2.989546191,       1.923522894,      -2.272590991,                 0,                 0,                 0
          0,           5,           1,      -4.020204159,       2.582537353,      -3.820241337,                 0,                 0,                 0
          0,           5,           2,      -4.512976171,        2.16388175,      -4.714235914,                 0,                 0,                 0
          0,           6,           0,       -3.48738831,       1.769383658,      -3.267011919,                 0,                 0,                 0
          0,           6,           1,      -4.545653342,       2.048859034,      -4.880190556,                 0,                 0,                 0
          0,           7,           0,      -4.015153327,       1.644465411,      -4.313227101,                 0,                 0,                 0
          0,           7,           1,      -5.157157273,       1.409077908,      -6.132840119,                 0,                 0,                 0
          0,           8,           0,      -4.535120867,       1.013363521,      -5.359140876,                 0,                 0,                 0
          0,           8,           1,       -5.64490518,      0.9327842641,      -7.097627855,                 0,                 0,                 0
          0,           9,           0,      -5.055852034,       0.533936532,      -6.398706538,                 0,                 0,                 0
          0,           9,           1,      -6.176640455,      0.3975307201,      -8.164200834,                 0,                 0,                 0
          0,          10,           0,      -5.576577753,  -0.0004253269192,      -7.440880408,                 0,                 0,                 0
          0,          10,           1,      -6.693507985,     -0.1182461194,       -9.19710578,                 0,                 0,                 0
          0,          11,           0,      -6.097607534,     -0.5164576761,      -8.482553687,                 0,                 0,                 0
          0,          11,           1,      -7.215969424,     -0.6409762202,      -10.24209983,                 0,                 0,                 0
          0,          12,           0,      -6.620582186,      -1.039147479,      -9.528360575,                 0,                 0,                 0
          0,          12,           1,      -7.738949682,      -1.163972847,      -11.28807689,                 0,                 0,                 0
          0,          13,           0,      -7.143723973,      -1.562107607,      -10.57470864,                 0,                 0,                 0
          0,          13,           1,      -8.262133913,      -1.687229063,      -12.33456575,                 0,                 0,                 0
          0,          14,           0,      -7.663018063,      -2.085338721,      -11.61406469,                 0,                 0,                 0
          0,          14,           1,      -8.780389838,      -2.205484648,       -13.3714048,                 0,                 0,                 0
          0,          15,           0,      -8.177458952,      -2.603653291,      -12.64398271,                 0,                 0,                 0
          0,          15,           1,      -9.293931227,      -2.719102634,       -14.3989638,                 0,                 0,                 0
          0,          16,           0,       -8.68602608,      -3.117355961,      -13.66267544,                 0,                 0,                 0
          0,          16,           1,       -9.80129012,      -3.226738381,      -15.41464453,                 0,                 0,                 0
          0,          17,           0,      -9.186619617,       -3.62493787,      -14.66554458,                 0,                 0,                 0
          0,          17,           1,      -10.30032861,      -3.725750458,      -16.41324405,                 0,                 0,                 0
          0,          18,           0,      -9.699899612,      -4.123900589,      -15.68351439,                 0,                 0,                 0
          0,          18,           1,      -10.81729179,      -4.238302547,      -17.43802743,                 0,                 0,                 0
          0,          19,           0,      -10.26197018,      -4.637451277,      -16.79989155,                 0,                 0,                 0
          0,          19,           1,       -11.3919038,      -4.814895329,      -18.58762085,                 0,                 0,                 0
